date,open,high,low,close,volume,average,barCount
2024-05-24,26.81,26.9,26.43,26.86,1791,26.659,1381
2024-05-28,26.99,27.05,26.61,26.67,1293,26.803,927
2024-05-29,26.22,26.44,25.86,25.92,1201,26.122,995
2024-05-30,26.02,27.26,26.02,27.23,2348,27.048,1671
2024-05-31,27.26,27.59,27.06,27.58,2098,27.29,1602
2024-06-03,27.89,27.89,27.53,27.81,1520,27.737,1177
2024-06-04,27.48,27.65,26.51,26.95,1694,26.844,1264
2024-06-05,27.01,27.09,26.4,26.75,1562,26.884,1284
2024-06-06,26.52,26.73,26.04,26.14,1198,26.262,1019
2024-06-07,25.79,26.04,25.69,25.82,1384,25.809,1067
2024-06-10,25.37,25.56,25.05,25.47,1364,25.375,1069
2024-06-11,25.22,25.28,24.97,25.19,1353,25.144,1105
2024-06-12,25.93,26.24,25.62,25.76,1595,25.917,1211
2024-06-13,25.7,25.72,25.03,25.42,983,25.315,821
2024-06-14,25.21,25.21,24.78,25.09,1009,24.942,822
2024-06-17,25.0,25.19,24.73,25.09,1221,24.925,935
2024-06-18,25.1,25.56,25.06,25.19,1496,25.267,1119
2024-06-20,25.14,25.4,25.03,25.1,1315,25.162,1052
2024-06-21,25.06,25.63,24.82,25.6,3157,25.275,1598
2024-06-24,25.67,26.31,25.59,26.0,1575,26.13,1287
2024-06-25,25.83,25.96,24.49,25.64,1520,25.582,1250
2024-06-26,25.44,26.22,25.11,26.15,5636,25.81,3423
2024-06-27,26.31,26.72,25.34,26.42,3318,26.286,2362
2024-06-28,26.56,26.95,25.98,26.49,2861,26.389,2042
2024-07-01,26.4,26.69,26.16,26.46,2311,26.492,1601
2024-07-02,26.44,26.81,26.04,26.47,1809,26.595,1323
2024-07-03,26.65,26.79,26.21,26.24,1344,26.466,923
2024-07-05,26.16,26.45,26.12,26.13,1742,26.277,1294
2024-07-08,26.42,26.82,26.39,26.53,1637,26.557,1216
2024-07-09,26.4,26.46,25.84,25.91,1404,26.089,1041
2024-07-10,25.98,26.1,25.74,25.99,1537,25.937,1091
2024-07-11,26.65,27.21,26.58,27.1,1579,26.952,1089
2024-07-12,27.48,28.06,27.27,27.31,1301,27.572,1032
2024-07-15,27.43,28.27,27.43,27.72,2201,27.865,1502
2024-07-16,28.05,28.85,28.04,28.57,2214,28.442,1846
2024-07-17,28.3,29.62,28.29,29.41,2816,29.258,2043
2024-07-18,29.93,30.63,28.77,28.91,2374,29.519,1694
2024-07-19,28.87,29.16,28.44,28.54,1707,28.729,1182
2024-07-22,28.54,29.04,28.14,28.93,1733,28.732,1451
2024-07-23,28.81,29.51,28.79,29.28,1898,29.231,1536
2024-07-24,29.1,29.47,28.23,28.33,1431,28.676,1237
2024-07-25,28.67,30.02,28.66,29.69,2539,29.766,1942
2024-07-26,30.11,30.14,29.42,29.85,1845,29.779,1398
2024-07-29,29.93,30.13,29.63,30.07,3484,29.947,2054
2024-07-30,30.07,30.57,29.57,30.12,2934,30.08,1850
2024-07-31,30.43,31.73,30.3,31.02,3934,30.996,2765
2024-08-01,30.9,31.38,29.64,30.19,3266,30.218,2278
2024-08-02,28.96,29.71,28.72,29.37,2858,29.337,2016
2024-08-05,27.61,28.58,27.07,28.22,5234,28.068,3549
2024-08-06,28.27,28.93,27.66,28.53,4364,28.38,2885
2024-08-07,28.94,29.09,27.68,27.73,2344,28.288,1815
2024-08-08,28.02,28.29,27.66,28.17,1620,28.088,1336
2024-08-09,28.16,28.4,28.0,28.12,1100,28.156,895
2024-08-12,28.06,28.3,27.09,27.14,1574,27.412,1270
2024-08-13,27.51,28.37,27.32,28.27,1725,28.019,1392
2024-08-14,28.37,28.41,27.98,28.1,970,28.141,775
2024-08-15,28.69,29.34,28.66,29.22,1435,29.138,1088
2024-08-16,29.19,29.53,28.86,29.0,1339,29.073,1007
2024-08-19,29.01,29.49,29.01,29.32,1252,29.287,965
2024-08-20,29.23,29.29,28.56,28.63,1222,28.768,916
2024-08-21,28.97,29.22,28.8,29.21,1005,29.011,819
2024-08-22,29.06,29.36,28.78,28.82,1390,28.984,1057
2024-08-23,29.13,30.23,28.97,29.85,1957,29.841,1231
2024-08-26,30.09,30.56,29.75,29.98,2831,30.001,1595
2024-08-27,29.8,30.0,29.65,29.73,1117,29.814,823
2024-08-28,29.63,29.75,29.2,29.4,1085,29.479,867
2024-08-29,29.75,29.78,29.18,29.22,1309,29.472,1036
2024-08-30,29.14,29.48,28.91,29.45,1262,29.223,1022
2024-09-03,29.05,29.29,28.23,28.36,1896,28.455,1433
2024-09-04,28.4,28.69,27.9,28.08,1265,28.193,1027
2024-09-05,28.16,28.24,27.85,28.09,932,28.088,783
2024-09-06,27.98,28.21,26.75,26.87,1241,27.135,1078
2024-09-09,26.87,26.93,26.33,26.42,1747,26.554,1303
2024-09-10,26.35,26.57,26.1,26.4,1620,26.329,1247
2024-09-11,26.36,26.47,25.53,26.37,1391,26.024,1157
2024-09-12,26.66,26.66,25.99,26.0,3838,26.267,2604
2024-09-13,26.45,27.11,26.33,27.02,3567,26.783,2942
2024-09-16,27.0,27.36,26.73,27.19,1749,27.087,1315
2024-09-17,27.42,27.78,27.14,27.43,1867,27.5,1556
2024-09-18,27.47,28.33,27.27,27.69,1993,27.632,1625
2024-09-19,28.05,28.2,27.27,27.47,6594,27.724,3902
2024-09-20,24.25,24.8,22.81,23.5,17986,23.628,10986
2024-09-23,23.59,24.45,23.4,24.28,8003,24.039,5970
2024-09-24,24.38,24.98,24.38,24.68,5040,24.689,2721
2024-09-25,24.63,24.63,23.85,23.96,5030,24.093,3379
2024-09-26,24.38,24.94,24.03,24.83,5453,24.519,3779
2024-09-27,25.0,25.15,24.28,24.39,5872,24.589,2982
2024-09-30,24.0,24.84,23.89,24.76,4342,24.555,2774
2024-10-01,24.76,24.84,24.42,24.67,3144,24.626,1982
2024-10-02,24.51,24.77,24.11,24.15,2337,24.324,1636
2024-10-03,23.98,24.19,23.78,24.0,1836,24.015,1365
2024-10-04,24.33,24.57,24.2,24.56,1469,24.444,1029
2024-10-07,24.49,24.71,24.17,24.68,1657,24.506,1183
2024-10-08,24.74,24.79,24.16,24.39,1914,24.44,1594
2024-10-09,24.42,24.55,24.12,24.21,3725,24.328,1926
2024-10-10,23.98,23.98,23.28,23.61,2999,23.555,2316
2024-10-11,23.59,24.12,23.47,24.0,2599,23.96,1628
2024-10-14,23.94,24.45,23.83,24.37,1741,24.253,1121
2024-10-15,24.22,24.87,24.22,24.43,2361,24.636,1552
2024-10-16,24.74,25.3,24.72,25.11,2641,25.141,1879
2024-10-17,25.03,25.56,25.0,25.54,1742,25.319,1325
2024-10-18,25.42,25.56,24.98,25.26,2280,25.321,1432
2024-10-21,25.12,25.36,24.45,24.59,2895,24.656,1593
2024-10-22,24.49,24.55,24.21,24.37,2983,24.427,1643
2024-10-23,24.21,24.26,23.65,23.73,2152,23.913,1719
2024-10-24,23.84,24.02,23.31,23.59,2558,23.517,1881
2024-10-25,23.85,23.85,23.39,23.49,2841,23.559,2035
2024-10-28,23.68,23.87,23.49,23.6,1707,23.651,1268
2024-10-29,23.27,23.35,23.09,23.23,1848,23.227,1400
2024-10-30,23.16,23.88,22.99,23.01,1381,23.346,1066
2024-10-31,22.93,22.94,22.35,22.36,1867,22.599,1298
2024-11-01,22.5,22.95,22.5,22.8,2570,22.755,1656
2024-11-04,22.89,23.41,22.89,23.17,1905,23.213,1479
2024-11-05,23.02,23.48,23.02,23.47,1504,23.288,1094
2024-11-06,24.5,25.1,24.36,24.57,3262,24.63,2364
2024-11-07,24.48,24.87,24.06,24.23,2054,24.341,1647
2024-11-08,24.19,24.28,23.72,24.09,1871,24.069,1357
2024-11-11,24.31,24.82,24.31,24.7,1822,24.655,1488
2024-11-12,24.47,25.05,24.29,24.62,2122,24.734,1469
2024-11-13,24.82,24.97,23.96,24.04,2222,24.316,1718
2024-11-14,24.22,24.27,23.84,24.06,2285,24.028,1765
2024-11-15,24.18,24.43,23.84,23.88,2965,24.033,2241
2024-11-18,23.96,24.2,23.53,23.76,2304,23.912,1760
2024-11-19,23.48,23.57,23.25,23.48,3184,23.446,2372
2024-11-20,23.43,23.61,23.28,23.45,2573,23.427,2108
2024-11-21,23.52,23.86,23.33,23.73,2794,23.698,2243
2024-11-22,23.97,24.64,23.95,24.53,2058,24.44,1645
2024-11-25,24.87,25.92,24.86,25.53,2642,25.694,2151
2024-11-26,25.45,25.53,25.01,25.25,1930,25.223,1616
2024-11-27,25.41,25.9,25.4,25.45,2143,25.555,1724
2024-11-29,25.62,25.86,25.11,25.14,1502,25.264,1224
2024-12-02,25.07,25.96,24.82,25.89,2313,25.642,1878
2024-12-03,25.79,25.79,25.35,25.44,1445,25.49,1060
2024-12-04,25.49,25.91,25.18,25.74,2128,25.56,1556
2024-12-05,25.66,25.77,24.9,25.0,1340,25.121,1029
