date,open,high,low,close,volume,average,barCount
2024-01-02,8.49,9.08,8.49,8.68,722,8.767,474
2024-01-03,8.68,8.8,8.5,8.55,511,8.592,395
2024-01-04,8.61,8.88,8.5,8.63,408,8.65,342
2024-01-05,8.72,8.99,8.47,8.65,669,8.669,419
2024-01-08,8.62,9.15,8.48,9.12,326,8.883,239
2024-01-09,8.98,9.31,8.9,9.06,334,9.117,231
2024-01-10,9.03,9.51,8.96,9.23,300,9.214,157
2024-01-11,9.23,9.44,8.96,9.02,476,9.217,353
2024-01-12,9.2,9.44,8.92,9.3,507,9.221,332
2024-01-16,9.2,9.35,8.6,8.68,544,8.935,387
2024-01-17,8.42,8.81,8.27,8.71,439,8.539,277
2024-01-18,8.83,8.83,7.95,8.27,526,8.204,374
2024-01-19,8.35,8.88,8.27,8.77,529,8.667,418
2024-01-22,8.7,9.04,8.48,8.95,362,8.764,284
2024-01-23,9.16,9.46,8.97,9.45,435,9.299,334
2024-01-24,9.66,10.33,9.32,10.01,974,10.033,652
2024-01-25,10.15,10.8,10.0,10.64,801,10.478,590
2024-01-26,10.72,10.93,10.23,10.3,1139,10.449,511
2024-01-29,10.3,11.09,9.78,10.94,926,10.781,696
2024-01-30,10.88,11.15,10.74,10.85,320,10.915,247
2024-01-31,10.8,11.2,10.66,10.91,488,10.912,436
2024-02-01,10.97,12.75,10.97,12.7,4249,11.969,1177
2024-02-02,13.1,13.38,12.06,12.16,1024,12.371,732
2024-02-05,11.92,12.29,11.41,12.03,576,11.884,443
2024-02-06,11.92,12.55,11.46,12.28,312,12.268,233
2024-02-07,12.34,12.81,12.18,12.47,1200,12.427,724
2024-02-08,14.5,15.3,13.96,14.03,9255,14.533,3068
2024-02-09,14.15,15.0,14.02,14.73,2628,14.541,1383
2024-02-12,14.86,15.02,14.7,14.72,1350,14.844,810
2024-02-13,13.96,14.61,13.81,14.25,3592,14.312,1821
2024-02-14,14.47,14.68,14.3,14.54,591,14.496,435
2024-02-15,14.97,15.16,14.47,14.98,1652,14.957,944
2024-02-16,14.93,15.55,14.53,15.48,1599,15.203,1011
2024-02-20,15.28,15.57,15.16,15.3,814,15.28,671
2024-02-21,15.33,15.38,14.73,15.25,629,15.088,518
2024-02-22,15.13,15.96,15.13,15.66,1213,15.702,947
2024-02-23,15.6,15.93,15.33,15.88,317,15.707,198
2024-02-26,15.89,16.23,15.76,16.15,1107,16.051,656
2024-02-27,16.47,16.91,15.98,15.99,1610,16.302,1023
2024-02-28,15.83,15.95,14.44,14.74,1204,15.222,682
2024-02-29,15.05,15.46,14.7,15.38,431,15.148,280
2024-03-01,15.48,15.89,15.14,15.34,1464,15.576,858
2024-03-04,15.45,15.45,14.7,14.99,913,15.003,525
2024-03-05,14.74,15.08,14.58,14.6,394,14.813,327
2024-03-06,14.88,14.88,13.83,14.0,1564,14.158,885
2024-03-07,14.17,14.22,13.76,13.98,277,13.994,228
2024-03-08,14.15,14.55,13.53,14.1,1500,14.214,665
2024-03-11,14.1,14.35,13.21,13.26,428,13.574,314
2024-03-12,13.27,13.3,12.69,12.86,528,12.892,411
2024-03-13,13.0,13.05,12.3,12.59,3037,12.427,754
2024-03-14,12.6,12.77,12.38,12.6,348,12.581,298
2024-03-15,12.47,12.88,12.47,12.69,760,12.621,357
2024-03-18,12.76,12.89,12.42,12.61,310,12.698,236
2024-03-19,12.67,14.03,12.6,13.48,1175,13.423,502
2024-03-20,13.35,13.86,12.87,13.39,662,13.41,425
2024-03-21,13.35,13.74,12.65,13.09,3624,13.034,741
2024-03-22,13.08,13.12,12.63,12.84,1245,12.889,323
2024-03-25,12.89,13.24,12.8,12.92,453,12.989,135
2024-03-26,12.81,13.06,12.64,12.84,525,12.914,165
2024-03-27,13.53,13.53,12.69,12.78,407,12.995,176
2024-03-28,13.14,13.14,12.74,12.91,311,12.985,148
2024-04-01,12.91,13.38,12.8,13.03,531,13.105,388
2024-04-02,12.58,12.92,12.5,12.58,664,12.65,358
2024-04-03,12.5,12.98,12.5,12.9,239,12.847,182
2024-04-04,12.94,13.04,12.57,12.61,372,12.862,231
2024-04-05,12.93,13.56,12.84,12.99,1621,13.179,787
2024-04-08,13.46,13.75,13.03,13.26,965,13.355,462
2024-04-09,13.27,13.5,12.95,13.14,1108,13.157,550
2024-04-10,12.98,13.14,12.66,12.84,515,12.876,321
2024-04-11,12.95,13.12,12.77,13.11,359,13.013,250
2024-04-12,13.03,13.41,12.71,13.01,288,12.895,231
2024-04-15,12.94,12.97,12.32,12.34,260,12.648,163
2024-04-16,12.25,12.5,12.05,12.07,318,12.266,187
2024-04-17,12.15,12.24,11.89,12.0,388,12.11,215
2024-04-18,11.98,12.02,10.37,10.75,3652,11.034,677
2024-04-19,10.57,11.29,10.57,11.29,493,10.893,346
2024-04-22,11.28,11.42,10.96,11.14,143,11.159,102
2024-04-23,11.16,11.74,11.16,11.43,1161,11.502,140
2024-04-24,11.54,11.67,11.29,11.36,239,11.418,172
2024-04-25,11.13,11.15,10.7,11.04,191,10.955,137
2024-04-26,11.17,11.9,11.17,11.87,334,11.709,236
2024-04-29,12.01,12.41,11.93,12.37,195,12.264,161
2024-04-30,12.4,12.46,11.94,12.25,653,12.25,425
2024-05-01,12.41,13.53,12.41,12.8,3077,12.933,754
2024-05-02,13.09,13.23,12.72,13.09,486,13.057,373
2024-05-03,13.59,13.59,12.81,12.95,347,13.045,237
2024-05-06,13.16,13.97,12.98,13.75,4572,13.59,675
2024-05-07,13.74,14.31,13.6,14.17,2971,14.025,1087
2024-05-08,14.05,14.87,13.78,14.65,1962,14.433,919
2024-05-09,14.68,15.0,13.76,14.27,1325,14.323,981
2024-05-10,14.05,14.21,13.12,13.52,636,13.583,529
2024-05-13,13.53,13.83,12.6,12.93,726,13.152,423
2024-05-14,13.22,13.23,12.66,13.06,367,12.966,281
2024-05-15,13.36,13.75,12.88,13.07,356,13.097,266
2024-05-16,13.05,13.27,12.97,13.15,229,13.137,162
2024-05-17,13.12,13.19,12.83,13.0,182,13.036,123
2024-05-20,12.96,13.05,12.8,12.81,152,12.947,101
2024-05-21,12.78,12.94,12.61,12.91,261,12.801,201
2024-05-22,12.99,13.1,12.52,12.52,168,12.809,116
