date,open,high,low,close,volume,average,barCount
2025-02-18 09:00:00,10.21,10.75,10.18,10.21,138,10.246,85
2025-02-18 10:00:00,10.24,10.24,9.99,10.15,1171,10.095,154
2025-02-18 11:00:00,10.13,10.15,9.74,9.79,497,9.937,114
2025-02-18 12:00:00,9.79,9.82,9.5,9.6,408,9.676,255
2025-02-18 13:00:00,9.59,9.65,9.51,9.63,373,9.58,242
2025-02-18 14:00:00,9.65,9.71,9.55,9.55,531,9.616,394
2025-02-18 15:00:00,9.56,9.71,9.53,9.59,1222,9.617,916
2025-02-18 16:00:00,9.6,9.6,9.6,9.6,251,9.6,1
2025-02-18 17:00:00,9.6,9.6,9.6,9.6,0,9.6,0
2025-02-18 18:00:00,9.6,9.6,9.6,9.6,0,9.6,0
2025-02-18 19:00:00,9.6,9.6,9.6,9.6,0,9.6,0
2025-02-19 09:00:00,9.38,9.5,8.98,9.06,195,9.197,104
2025-02-19 10:00:00,9.09,9.28,9.01,9.28,250,9.125,101
2025-02-19 11:00:00,9.25,9.39,9.17,9.31,351,9.252,200
2025-02-19 12:00:00,9.26,9.35,9.24,9.3,166,9.294,105
2025-02-19 13:00:00,9.32,9.32,9.17,9.2,186,9.24,115
2025-02-19 14:00:00,9.18,9.33,9.18,9.23,502,9.201,112
2025-02-19 15:00:00,9.23,9.38,9.14,9.32,1073,9.246,436
2025-02-19 16:00:00,9.32,9.32,9.32,9.32,375,9.32,2
2025-02-19 17:00:00,9.32,9.32,9.32,9.32,0,9.32,0
2025-02-19 18:00:00,9.32,9.32,9.32,9.32,0,9.32,0
2025-02-19 19:00:00,9.32,9.32,9.32,9.32,0,9.32,0
2025-02-20 09:00:00,9.33,9.42,9.14,9.19,87,9.268,53
2025-02-20 10:00:00,9.15,9.42,9.14,9.42,577,9.226,142
2025-02-20 11:00:00,9.42,9.67,9.4,9.67,103,9.535,83
2025-02-20 12:00:00,9.65,9.66,9.47,9.54,374,9.524,194
2025-02-20 13:00:00,9.54,9.55,9.37,9.5,289,9.451,124
2025-02-20 14:00:00,9.49,9.49,9.41,9.44,100,9.443,85
2025-02-20 15:00:00,9.43,9.6,9.41,9.53,515,9.508,335
2025-02-20 16:00:00,9.53,9.53,9.53,9.53,175,9.53,1
2025-02-20 17:00:00,9.08,9.09,9.08,9.08,1,9.083,1
2025-02-20 18:00:00,9.08,9.08,9.08,9.08,0,9.08,0
2025-02-20 19:00:00,9.08,9.09,9.08,9.08,0,9.08,0
2025-02-21 04:00:00,8.9,8.9,8.9,8.9,1,8.9,1
2025-02-21 05:00:00,9.8,9.8,9.8,9.8,1,9.8,1
2025-02-21 06:00:00,9.33,9.33,9.33,9.33,1,9.33,1
2025-02-21 07:00:00,9.33,9.33,9.33,9.33,0,9.33,0
2025-02-21 08:00:00,9.33,9.33,9.33,9.33,0,9.33,0
2025-02-21 09:00:00,9.69,9.85,9.52,9.55,105,9.675,25
2025-02-21 10:00:00,9.52,9.54,9.41,9.5,159,9.5,130
2025-02-21 11:00:00,9.51,9.59,9.49,9.59,73,9.529,66
2025-02-21 12:00:00,9.59,9.71,9.5,9.59,315,9.568,196
2025-02-21 13:00:00,9.59,9.59,9.41,9.43,138,9.492,94
2025-02-21 14:00:00,9.43,9.48,9.37,9.48,622,9.441,167
2025-02-21 15:00:00,9.47,9.6,9.41,9.57,776,9.499,334
2025-02-21 16:00:00,9.56,9.56,9.56,9.56,313,9.56,1
2025-02-21 17:00:00,9.56,9.56,9.56,9.56,0,9.56,0
2025-02-21 18:00:00,9.56,9.56,9.56,9.56,0,9.56,0
2025-02-21 19:00:00,9.56,9.56,9.56,9.56,0,9.56,0
2025-02-24 04:00:00,9.2,9.2,9.2,9.2,1,9.2,1
2025-02-24 05:00:00,9.41,9.41,9.41,9.41,1,9.41,1
2025-02-24 06:00:00,9.4,9.4,9.4,9.4,1,9.4,1
2025-02-24 07:00:00,9.4,9.4,9.4,9.4,0,9.4,0
2025-02-24 08:00:00,9.53,9.53,9.53,9.53,1,9.53,1
2025-02-24 09:00:00,9.54,9.58,9.39,9.46,80,9.484,26
2025-02-24 10:00:00,9.44,9.5,9.24,9.29,317,9.334,269
2025-02-24 11:00:00,9.29,9.5,9.29,9.45,163,9.39,105
2025-02-24 12:00:00,9.45,9.58,9.44,9.54,55,9.517,43
2025-02-24 13:00:00,9.52,9.53,9.42,9.45,247,9.48,109
2025-02-24 14:00:00,9.43,9.51,9.38,9.5,267,9.447,178
2025-02-24 15:00:00,9.5,9.55,9.22,9.25,621,9.416,264
2025-02-24 16:00:00,9.25,9.25,9.25,9.25,244,9.25,4
2025-02-24 17:00:00,9.25,9.25,9.25,9.25,0,9.25,0
2025-02-24 18:00:00,9.25,9.25,9.25,9.25,0,9.25,0
2025-02-24 19:00:00,9.25,9.25,9.25,9.25,0,9.25,0
2025-02-25 09:00:00,9.28,9.29,8.8,8.9,295,8.949,137
2025-02-25 10:00:00,8.95,8.96,8.72,8.74,1258,8.923,124
2025-02-25 11:00:00,8.75,8.84,8.55,8.77,630,8.657,386
2025-02-25 12:00:00,8.7,8.81,8.7,8.72,227,8.747,129
2025-02-25 13:00:00,8.72,8.75,8.5,8.51,423,8.592,201
2025-02-25 14:00:00,8.5,8.55,8.26,8.32,4594,8.457,421
2025-02-25 15:00:00,8.32,8.89,8.24,8.76,1159,8.669,686
2025-02-25 16:00:00,8.76,8.76,8.76,8.76,293,8.76,2
2025-02-25 17:00:00,8.76,8.76,8.76,8.76,0,8.76,0
2025-02-25 18:00:00,8.76,8.76,8.76,8.76,0,8.76,0
2025-02-25 19:00:00,8.76,8.76,8.76,8.76,0,8.76,0
2025-02-26 08:00:00,8.9,9.0,8.9,9.0,8,8.963,2
2025-02-26 09:00:00,9.0,9.14,8.75,9.1,132,8.91,92
2025-02-26 10:00:00,9.22,9.64,9.2,9.62,164,9.478,122
2025-02-26 11:00:00,9.62,9.8,9.55,9.69,405,9.656,215
2025-02-26 12:00:00,9.69,9.88,9.62,9.62,73,9.74,66
2025-02-26 13:00:00,9.65,9.76,9.55,9.6,145,9.663,137
2025-02-26 14:00:00,9.57,9.6,9.38,9.39,193,9.564,163
2025-02-26 15:00:00,9.39,9.68,9.37,9.68,1059,9.54,457
2025-02-26 16:00:00,9.68,9.68,9.68,9.68,148,9.68,1
2025-02-26 17:00:00,9.68,9.68,9.68,9.68,0,9.68,0
