date,open,high,low,close,volume,average,barCount
2025-02-19 04:00:00,5.24,5.25,5.24,5.25,2,5.24496,2
2025-02-19 05:00:00,5.25,5.25,5.25,5.25,0,5.25,0
2025-02-19 06:00:00,5.25,5.25,5.25,5.25,0,5.25,0
2025-02-19 07:00:00,5.4,5.4,5.4,5.4,4,5.4,2
2025-02-19 08:00:00,5.4,5.4,5.4,5.4,21,5.4,2
2025-02-19 09:00:00,5.5,5.5,5.4,5.48,900,5.45444,171
2025-02-19 10:00:00,5.475,5.48,5.44,5.465,1272,5.45624,438
2025-02-19 11:00:00,5.465,5.56,5.465,5.505,2772,5.52338,1016
2025-02-19 12:00:00,5.505,5.53,5.5,5.52,1300,5.51407,509
2025-02-19 13:00:00,5.525,5.53,5.47,5.53,2148,5.50352,830
2025-02-19 14:00:00,5.52,5.5451,5.51,5.525,1433,5.52462,702
2025-02-19 15:00:00,5.525,5.53,5.47,5.51,4301,5.49967,1550
2025-02-19 16:00:00,5.51,5.57,5.51,5.56,1988,5.51006,15
2025-02-19 17:00:00,5.56,5.56,5.56,5.56,0,5.56,0
2025-02-19 18:00:00,5.56,5.56,5.56,5.56,0,5.56,0
2025-02-19 19:00:00,5.57,5.57,5.57,5.57,9,5.57,2
2025-02-20 09:00:00,5.48,5.57,5.44,5.56,1640,5.51262,430
2025-02-20 10:00:00,5.555,5.6,5.53,5.57,1316,5.5746,534
2025-02-20 11:00:00,5.565,5.59,5.53,5.535,1151,5.56257,420
2025-02-20 12:00:00,5.535,5.55,5.52,5.545,663,5.53472,301
2025-02-20 13:00:00,5.545,5.545,5.51,5.525,975,5.51991,351
2025-02-20 14:00:00,5.525,5.639,5.5,5.63,6104,5.57232,1283
2025-02-20 15:00:00,5.6398,5.68,5.61,5.67,4802,5.65586,1606
2025-02-20 16:00:00,5.66,5.68,5.66,5.68,1335,5.66011,10
2025-02-20 17:00:00,5.67,5.75,5.67,5.73,160,5.70899,12
2025-02-20 18:00:00,5.75,5.75,5.6511,5.6511,7,5.6888,2
2025-02-20 19:00:00,5.7,5.7,5.7,5.7,2,5.7,1
2025-02-21 08:00:00,5.7499,5.7499,5.74,5.74,29,5.74538,7
2025-02-21 09:00:00,5.74,5.775,5.69,5.705,1853,5.73051,192
2025-02-21 10:00:00,5.7,5.77,5.68,5.7691,1397,5.72006,626
2025-02-21 11:00:00,5.765,5.855,5.765,5.835,2181,5.80932,863
2025-02-21 12:00:00,5.83,5.845,5.73,5.74,1854,5.79076,515
2025-02-21 13:00:00,5.739,5.74,5.675,5.7,1183,5.69819,408
2025-02-21 14:00:00,5.7,5.75,5.68,5.74,832,5.71987,283
2025-02-21 15:00:00,5.735,5.79,5.704,5.75,3284,5.75376,1120
2025-02-21 16:00:00,5.76,5.878,5.76,5.8,4412,5.76026,12
2025-02-21 17:00:00,5.81,5.81,5.8,5.8,17,5.80618,4
2025-02-21 18:00:00,5.84,5.84,5.82,5.82,6,5.83433,2
2025-02-21 19:00:00,5.8,5.8001,5.8,5.8001,5,5.80003,3
2025-02-24 06:00:00,5.87,5.87,5.87,5.87,2,5.87,2
2025-02-24 07:00:00,5.87,5.87,5.87,5.87,0,5.87,0
2025-02-24 08:00:00,5.87,5.87,5.82,5.83,14,5.85635,6
2025-02-24 09:00:00,5.85,5.8799,5.76,5.8,1892,5.8083,292
2025-02-24 10:00:00,5.7801,5.8,5.74,5.74,991,5.76574,366
2025-02-24 11:00:00,5.74,5.76,5.7,5.745,1223,5.72899,515
2025-02-24 12:00:00,5.74,5.7515,5.725,5.735,383,5.73761,181
2025-02-24 13:00:00,5.735,5.74,5.7,5.7,558,5.71831,272
2025-02-24 14:00:00,5.71,5.7299,5.66,5.66,1728,5.69312,360
2025-02-24 15:00:00,5.66,5.715,5.66,5.68,2939,5.69264,864
2025-02-24 16:00:00,5.7,5.7825,5.685,5.78,2304,5.70129,16
2025-02-24 17:00:00,5.78,5.78,5.76,5.76,3,5.77474,3
2025-02-24 18:00:00,5.702,5.702,5.702,5.702,3,5.702,1
2025-02-24 19:00:00,5.702,5.702,5.702,5.702,0,5.702,0
2025-02-25 05:00:00,5.72,5.72,5.72,5.72,1,5.72,1
2025-02-25 06:00:00,5.87,5.87,5.87,5.87,1,5.87,1
2025-02-25 07:00:00,5.87,5.87,5.87,5.87,0,5.87,0
2025-02-25 08:00:00,5.7793,5.8,5.74,5.74,25,5.78233,6
2025-02-25 09:00:00,5.61,5.77,5.57,5.635,1232,5.61968,314
