date,open,high,low,close,volume,average,barCount
2025-02-18 04:00:00,8.9,8.99,8.79,8.96,2586,8.895,916
2025-02-18 05:00:00,8.97,9.06,8.96,9.05,1170,9.004,305
2025-02-18 06:00:00,9.05,9.05,8.98,9.01,633,9.003,232
2025-02-18 07:00:00,9.0,9.1,8.98,9.1,1935,9.034,512
2025-02-18 08:00:00,8.99,9.16,8.76,9.15,6892,9.061,1074
2025-02-18 09:00:00,9.14,9.21,8.75,8.98,38897,8.95,6138
2025-02-18 10:00:00,8.97,9.3,8.93,9.21,40068,9.131,6623
2025-02-18 11:00:00,9.21,9.23,8.98,8.98,19461,9.075,2872
2025-02-18 12:00:00,8.98,9.03,8.72,8.74,21365,8.91,3337
2025-02-18 13:00:00,8.74,8.82,8.65,8.72,30527,8.722,4628
2025-02-18 14:00:00,8.72,9.02,8.58,8.95,27700,8.763,4582
2025-02-18 15:00:00,8.94,9.0,8.8,8.96,25826,8.923,3785
2025-02-18 16:00:00,8.97,8.98,8.89,8.91,1690,8.937,297
2025-02-18 17:00:00,8.92,8.98,8.91,8.98,528,8.95,104
2025-02-18 18:00:00,8.96,9.11,8.96,9.05,4183,9.072,213
2025-02-18 19:00:00,9.08,9.1,9.04,9.07,646,9.065,123
2025-02-19 04:00:00,9.1,9.1,9.0,9.05,1871,9.045,621
2025-02-19 05:00:00,9.05,9.13,9.05,9.11,1088,9.099,454
2025-02-19 06:00:00,9.1,9.13,9.09,9.12,578,9.11,212
2025-02-19 07:00:00,9.13,9.16,9.05,9.05,1673,9.116,647
2025-02-19 08:00:00,9.13,9.16,8.94,9.12,5236,9.104,699
2025-02-19 09:00:00,9.12,9.29,8.93,9.02,33993,9.117,5516
2025-02-19 10:00:00,9.01,9.06,8.85,8.87,33455,8.946,5582
2025-02-19 11:00:00,8.87,9.0,8.86,8.91,18434,8.921,3141
2025-02-19 12:00:00,8.9,8.9,8.74,8.79,25405,8.822,4415
2025-02-19 13:00:00,8.8,8.8,8.32,8.33,49700,8.537,7575
2025-02-19 14:00:00,8.33,8.39,8.17,8.34,66505,8.272,8879
2025-02-19 15:00:00,8.33,8.34,8.06,8.14,58183,8.162,8143
2025-02-19 16:00:00,8.14,8.25,8.12,8.25,5388,8.186,752
2025-02-19 17:00:00,8.25,8.28,8.23,8.26,1896,8.255,334
2025-02-19 18:00:00,8.25,8.38,8.25,8.36,2158,8.35,279
2025-02-19 19:00:00,8.35,8.35,8.3,8.32,1251,8.316,176
2025-02-20 04:00:00,8.43,8.48,8.39,8.46,1472,8.436,524
2025-02-20 05:00:00,8.46,8.47,8.43,8.45,639,8.447,195
2025-02-20 06:00:00,8.45,8.47,8.43,8.45,581,8.449,241
2025-02-20 07:00:00,8.44,8.47,8.4,8.41,1330,8.439,470
2025-02-20 08:00:00,8.46,8.48,8.32,8.35,6273,8.401,977
2025-02-20 09:00:00,8.34,8.59,8.03,8.05,63990,8.322,8114
2025-02-20 10:00:00,8.05,8.23,7.95,8.08,63063,8.124,7609
2025-02-20 11:00:00,8.09,8.3,8.07,8.21,30670,8.185,3688
2025-02-20 12:00:00,8.21,8.34,8.19,8.24,22437,8.266,3325
2025-02-20 13:00:00,8.24,8.45,8.22,8.34,20665,8.333,3422
2025-02-20 14:00:00,8.34,8.4,8.27,8.38,15363,8.34,2428
2025-02-20 15:00:00,8.38,8.45,8.31,8.39,25572,8.385,3743
2025-02-20 16:00:00,8.36,8.39,8.23,8.33,2514,8.348,213
2025-02-20 17:00:00,8.34,8.34,8.32,8.34,907,8.332,86
2025-02-20 18:00:00,8.33,8.36,8.31,8.36,814,8.339,79
2025-02-20 19:00:00,8.36,8.39,8.33,8.33,1032,8.348,75
2025-02-21 04:00:00,8.31,8.5,8.3,8.41,1464,8.424,493
2025-02-21 05:00:00,8.42,8.45,8.41,8.43,440,8.443,193
2025-02-21 06:00:00,8.44,8.44,8.41,8.43,676,8.421,276
2025-02-21 07:00:00,8.43,8.5,8.42,8.5,1203,8.449,417
2025-02-21 08:00:00,8.43,8.67,8.32,8.61,12044,8.577,2442
2025-02-21 09:00:00,8.62,8.63,8.38,8.4,32775,8.53,5296
2025-02-21 10:00:00,8.4,8.52,8.05,8.15,57292,8.234,9388
2025-02-21 11:00:00,8.16,8.24,8.03,8.13,33467,8.149,5215
2025-02-21 12:00:00,8.13,8.2,7.55,7.63,71072,7.837,9462
2025-02-21 13:00:00,7.63,7.79,7.58,7.67,44035,7.69,6193
2025-02-21 14:00:00,7.67,7.72,7.26,7.36,59280,7.456,8135
2025-02-21 15:00:00,7.36,7.49,7.11,7.12,70339,7.283,9244
2025-02-21 16:00:00,7.14,7.19,7.12,7.15,7178,7.153,1189
2025-02-21 17:00:00,7.15,7.3,7.13,7.3,4536,7.195,807
2025-02-21 18:00:00,7.3,7.37,7.27,7.34,2222,7.319,248
2025-02-21 19:00:00,7.32,7.37,7.32,7.35,1039,7.341,202
2025-02-24 04:00:00,7.25,7.4,7.24,7.35,2915,7.362,762
2025-02-24 05:00:00,7.35,7.38,7.3,7.33,1353,7.333,392
2025-02-24 06:00:00,7.33,7.33,7.3,7.33,1022,7.313,271
2025-02-24 07:00:00,7.33,7.34,7.25,7.27,1506,7.288,546
2025-02-24 08:00:00,7.33,7.4,7.17,7.33,6250,7.309,1200
2025-02-24 09:00:00,7.33,7.34,6.46,6.57,116024,6.887,11782
2025-02-24 10:00:00,6.57,6.6,6.01,6.3,153687,6.341,16317
2025-02-24 11:00:00,6.3,6.87,6.24,6.73,69734,6.6,7631
2025-02-24 12:00:00,6.74,7.05,6.73,6.86,37657,6.886,4037
2025-02-24 13:00:00,6.85,6.96,6.8,6.81,24882,6.883,2437
2025-02-24 14:00:00,6.82,6.9,6.6,6.62,34404,6.71,3192
2025-02-24 15:00:00,6.62,6.63,6.3,6.31,47856,6.505,5099
2025-02-24 16:00:00,6.3,6.35,6.3,6.31,7247,6.319,886
2025-02-24 17:00:00,6.3,6.31,6.04,6.04,9855,6.135,1391
2025-02-24 18:00:00,6.05,6.1,6.0,6.0,8537,6.039,1076
2025-02-24 19:00:00,6.01,6.09,5.95,6.09,5517,6.01,872
2025-02-25 04:00:00,6.03,6.15,5.48,5.48,19271,5.641,5090
2025-02-25 05:00:00,5.48,5.62,5.39,5.58,14896,5.49,3874
2025-02-25 06:00:00,5.58,5.82,5.52,5.82,9497,5.627,2162
2025-02-25 07:00:00,5.82,5.82,5.68,5.82,10773,5.74,3026
2025-02-25 08:00:00,5.8,6.14,5.39,5.7,28395,5.695,3914
2025-02-25 09:00:00,5.7,5.74,5.15,5.25,118838,5.456,13537
2025-02-25 10:00:00,5.26,5.28,4.74,5.07,235314,4.995,24421
2025-02-25 11:00:00,5.08,5.08,4.71,5.0,139576,4.9,12395
2025-02-25 12:00:00,5.0,5.01,4.81,4.86,70703,4.911,7556
2025-02-25 13:00:00,4.85,5.08,4.75,4.75,67024,4.875,7097
2025-02-25 14:00:00,4.75,4.98,4.56,4.94,92541,4.765,7362
2025-02-25 15:00:00,4.95,5.23,4.71,4.87,120159,4.995,11629
2025-02-25 16:00:00,4.87,5.08,4.86,5.06,8249,4.964,1172
2025-02-25 17:00:00,5.06,5.14,4.98,5.03,9498,5.06,1316
2025-02-25 18:00:00,5.06,5.08,5.04,5.06,3250,5.056,321
2025-02-25 19:00:00,5.06,5.06,4.96,5.01,4438,5.02,403
2025-02-26 04:00:00,5.1,5.26,4.97,5.23,9012,5.174,2100
2025-02-26 05:00:00,5.23,5.26,5.2,5.24,2778,5.224,813
2025-02-26 06:00:00,5.24,5.24,5.1,5.11,4014,5.137,794
2025-02-26 07:00:00,5.12,5.12,4.91,4.97,7641,5.021,1723
2025-02-26 08:00:00,5.08,5.26,4.88,4.88,21413,4.977,2847
2025-02-26 09:00:00,4.88,5.0,4.55,4.99,131238,4.796,15018
2025-02-26 10:00:00,5.0,5.16,4.85,5.07,113096,5.033,9916
2025-02-26 11:00:00,5.07,5.24,4.97,5.08,81227,5.103,8307
2025-02-26 12:00:00,5.08,5.28,5.02,5.04,54148,5.158,7289
2025-02-26 13:00:00,5.04,5.19,4.72,4.8,99990,4.906,9075
2025-02-26 14:00:00,4.79,4.97,4.76,4.88,40373,4.895,3621
2025-02-26 15:00:00,4.89,5.39,4.74,5.35,101478,4.99,7233
2025-02-26 16:00:00,5.33,5.51,5.25,5.43,13243,5.388,2350
2025-02-26 17:00:00,5.44,5.57,5.38,5.39,6851,5.468,909
2025-02-26 18:00:00,5.39,5.39,5.31,5.33,2989,5.338,311
2025-02-26 19:00:00,5.34,5.35,5.31,5.34,2175,5.331,204
2025-02-27 04:00:00,5.55,5.6,5.47,5.58,9078,5.546,2401
2025-02-27 05:00:00,5.59,5.64,5.57,5.63,2550,5.604,747
2025-02-27 06:00:00,5.64,5.65,5.54,5.58,3455,5.577,843
2025-02-27 07:00:00,5.58,5.67,5.57,5.63,8152,5.621,1847
2025-02-27 08:00:00,5.58,5.77,5.42,5.55,21029,5.613,3346
2025-02-27 09:00:00,5.55,5.68,4.95,4.97,126600,5.33,12497
2025-02-27 10:00:00,4.96,5.25,4.84,5.01,136273,5.076,12283
2025-02-27 11:00:00,5.0,5.25,5.0,5.06,52505,5.123,4717
2025-02-27 12:00:00,5.06,5.1,4.92,5.01,49122,5.002,4154
2025-02-27 13:00:00,5.0,5.14,5.0,5.03,40079,5.077,3045
2025-02-27 14:00:00,5.04,5.05,4.63,4.74,98784,4.806,6823
2025-02-27 15:00:00,4.73,4.73,4.39,4.41,132318,4.499,8763
2025-02-27 16:00:00,4.41,4.54,4.31,4.51,14116,4.457,1738
2025-02-27 17:00:00,4.52,4.53,4.47,4.51,6033,4.502,592
2025-02-27 18:00:00,4.5,4.6,4.5,4.6,4798,4.562,414
2025-02-27 19:00:00,4.59,4.6,4.53,4.54,3116,4.56,256
2025-02-28 04:00:00,4.0,4.32,3.84,4.23,36369,4.129,6906
2025-02-28 05:00:00,4.24,4.26,4.09,4.19,11714,4.163,2659
2025-02-28 06:00:00,4.19,4.25,4.18,4.21,6894,4.222,1248
2025-02-28 07:00:00,4.21,4.22,4.09,4.17,9763,4.143,2050
2025-02-28 08:00:00,4.2,4.39,3.78,4.29,54269,4.195,6640
2025-02-28 09:00:00,4.29,4.6,4.09,4.52,164868,4.381,13391
2025-02-28 10:00:00,4.51,5.0,4.45,4.87,228754,4.826,16757
2025-02-28 11:00:00,4.87,4.91,4.63,4.75,94644,4.766,7955
2025-02-28 12:00:00,4.75,4.88,4.62,4.62,51298,4.763,3542
