date,open,high,low,close,volume,average,barCount
2024-08-15,20.65,22.3,20.15,20.36,9741,21.358,3410
2024-08-16,20.78,21.59,19.24,20.67,20125,20.482,6901
2024-08-19,20.78,21.58,20.17,21.31,18758,20.857,3554
2024-08-20,22.51,22.94,20.01,20.86,26257,21.112,4571
2024-08-21,21.0,23.3,20.64,22.98,25268,22.059,5000
2024-08-22,23.04,23.2,20.77,20.82,20316,21.807,4969
2024-08-23,21.78,25.69,21.28,25.14,42401,23.404,7015
2024-08-26,24.64,25.89,24.1,24.36,30837,24.879,8302
2024-08-27,23.5,23.7,21.7,22.2,39415,22.385,8529
2024-08-28,21.6,21.66,19.6,19.97,38746,20.334,7632
2024-08-29,21.28,21.88,19.65,20.06,33111,20.742,6378
2024-08-30,20.52,20.71,18.9,19.98,20164,19.759,4015
2024-09-03,19.86,19.87,17.32,17.41,25565,18.502,5224
2024-09-04,16.8,18.21,16.29,17.9,18149,17.407,3144
2024-09-05,17.33,18.34,16.54,16.59,31242,17.273,5190
2024-09-06,17.4,17.8,15.18,15.36,26053,16.003,4741
2024-09-09,16.45,17.82,16.01,17.72,37515,17.219,6937
2024-09-10,17.26,18.91,16.88,18.89,30461,17.725,4833
2024-09-11,17.57,19.22,16.75,18.8,23001,18.006,4258
2024-09-12,18.74,20.0,18.3,19.18,17832,19.193,3756
2024-09-13,19.19,22.29,18.94,21.84,40164,21.05,7970
2024-09-16,20.72,20.9,19.55,20.08,30656,20.14,6227
2024-09-17,21.0,21.4,18.52,19.11,44589,19.93,10290
2024-09-18,18.94,21.21,18.45,19.46,36372,19.72,8227
2024-09-19,21.42,23.6,21.25,22.59,50532,22.603,13153
2024-09-20,22.47,23.45,21.7,22.54,20875,22.597,4866
2024-09-23,23.15,24.35,22.63,23.91,36684,23.574,9258
2024-09-24,24.02,25.12,22.99,25.02,38999,24.0,9768
2024-09-25,24.42,26.14,24.3,24.44,27138,25.214,6117
2024-09-26,25.96,28.8,25.68,28.3,58863,27.381,15477
2024-09-27,29.7,32.45,29.08,31.45,59228,31.14,13490
2024-09-30,29.16,31.17,28.65,29.01,42416,29.84,10405
2024-10-01,29.17,29.24,25.52,27.17,48040,27.028,9313
2024-10-02,26.5,30.47,26.26,27.75,38337,28.726,7922
2024-10-03,27.34,28.15,25.79,27.44,26043,26.984,6019
2024-10-04,28.4,31.16,27.6,31.16,43099,29.45,11366
2024-10-07,32.22,35.92,32.0,34.1,55108,34.434,13867
2024-10-08,34.23,38.1,33.71,36.01,48093,36.539,13894
2024-10-09,35.24,38.06,33.74,35.0,42202,35.843,10809
2024-10-10,36.0,36.0,31.45,33.22,39380,33.334,9746
2024-10-11,34.87,42.41,34.52,42.33,61172,39.356,15630
2024-10-14,46.6,47.4,38.47,38.54,57471,43.56,18097
2024-10-15,40.17,41.71,34.58,36.08,41014,37.698,14124
2024-10-16,38.0,38.0,35.25,36.02,23945,36.615,6638
2024-10-17,35.47,37.52,33.25,35.8,27134,36.151,6512
2024-10-18,37.02,43.83,36.88,42.86,36443,41.035,10119
2024-10-21,42.21,45.42,40.32,43.98,24094,42.537,7636
2024-10-22,43.14,44.82,41.53,44.2,21672,43.283,6044
2024-10-23,42.6,45.27,39.12,42.21,32499,42.529,8727
2024-10-24,44.11,49.8,43.75,49.67,36045,46.595,9308
2024-10-25,49.75,53.27,46.7,49.14,40663,50.411,12293
2024-10-28,52.93,58.3,52.2,56.75,36440,54.974,12300
2024-10-29,60.32,61.7,55.21,57.73,39665,58.332,14071
2024-10-30,52.73,56.75,49.26,52.95,31208,54.32,12246
2024-10-31,54.1,55.25,48.6,51.71,34927,51.918,12536
2024-11-01,51.96,56.27,43.8,45.33,44270,48.639,12932
2024-11-04,44.24,45.98,41.8,42.68,18935,44.055,5988
2024-11-05,46.53,50.32,43.5,44.31,29557,47.331,9947
2024-11-06,57.03,57.13,50.1,55.91,35951,54.44,12114
