date,open,high,low,close,volume,average,barCount
2025-02-20 04:00:00,17.8,17.81,17.6,17.6,585,17.69,254
2025-02-20 05:00:00,17.62,17.76,17.6,17.68,285,17.66,103
2025-02-20 06:00:00,17.66,17.68,17.61,17.65,190,17.647,84
2025-02-20 07:00:00,17.64,17.84,17.59,17.75,373,17.699,133
2025-02-20 08:00:00,17.62,17.95,17.6,17.93,1108,17.784,335
2025-02-20 09:00:00,17.93,18.58,17.3,18.53,12130,17.925,3226
2025-02-20 10:00:00,18.52,18.8,18.13,18.49,11562,18.379,2445
2025-02-20 11:00:00,18.44,18.48,17.98,18.19,10646,18.219,1947
2025-02-20 12:00:00,18.17,18.22,17.87,18.12,5292,18.028,1169
2025-02-20 13:00:00,18.11,18.14,17.62,17.88,4590,17.892,1151
2025-02-20 14:00:00,17.88,18.03,17.73,17.76,2987,17.872,772
2025-02-20 15:00:00,17.77,17.95,17.61,17.78,7615,17.775,1848
2025-02-20 16:00:00,17.78,17.9,17.76,17.88,487,17.839,135
2025-02-20 17:00:00,17.88,17.93,17.8,17.8,317,17.883,22
2025-02-20 18:00:00,17.81,17.89,17.8,17.84,71,17.818,12
2025-02-20 19:00:00,17.8,17.84,17.8,17.81,75,17.811,25
2025-02-21 04:00:00,17.83,17.83,17.47,17.62,1180,17.63,331
2025-02-21 05:00:00,17.64,17.67,17.58,17.59,307,17.611,93
2025-02-21 06:00:00,17.61,17.66,17.61,17.62,150,17.633,77
2025-02-21 07:00:00,17.6,17.66,17.44,17.44,397,17.587,102
2025-02-21 08:00:00,17.63,17.87,17.13,17.29,2000,17.339,699
2025-02-21 09:00:00,17.23,17.72,17.2,17.69,8391,17.428,1934
2025-02-21 10:00:00,17.7,18.43,17.41,18.2,15323,17.98,3285
2025-02-21 11:00:00,18.18,18.47,18.03,18.26,9529,18.228,1893
2025-02-21 12:00:00,18.27,19.47,18.11,19.33,14506,18.926,3158
2025-02-21 13:00:00,19.34,19.43,18.97,19.25,14232,19.213,2710
2025-02-21 14:00:00,19.26,20.1,19.13,19.92,13723,19.578,2792
2025-02-21 15:00:00,19.93,20.46,19.62,20.4,21621,20.081,4722
2025-02-21 16:00:00,20.4,20.4,20.29,20.33,1419,20.357,317
2025-02-21 17:00:00,20.33,20.35,20.02,20.02,383,20.217,100
2025-02-21 18:00:00,20.02,20.04,19.9,19.95,312,19.996,68
2025-02-21 19:00:00,19.86,20.11,19.7,19.8,425,19.95,118
2025-02-24 04:00:00,19.84,19.84,19.63,19.77,871,19.725,368
2025-02-24 05:00:00,19.72,20.03,19.68,19.85,554,19.867,204
2025-02-24 06:00:00,19.81,20.0,19.78,19.87,344,19.889,131
2025-02-24 07:00:00,19.87,20.04,19.87,19.97,435,19.976,178
2025-02-24 08:00:00,19.97,20.2,19.63,19.8,1940,19.875,576
2025-02-24 09:00:00,19.79,22.24,19.76,21.95,22322,21.129,5375
2025-02-24 10:00:00,21.96,23.59,21.89,22.75,50094,22.632,13642
2025-02-24 11:00:00,22.78,22.92,21.1,21.48,21717,21.789,5364
2025-02-24 12:00:00,21.5,21.51,20.59,21.17,13626,21.071,3401
2025-02-24 13:00:00,21.2,21.3,20.86,21.28,7540,21.044,1728
2025-02-24 14:00:00,21.29,21.86,21.04,21.85,8843,21.535,2043
2025-02-24 15:00:00,21.82,22.75,21.78,22.74,13977,22.119,3632
2025-02-24 16:00:00,22.7,22.8,22.52,22.8,1412,22.696,420
2025-02-24 17:00:00,22.8,23.8,22.8,23.8,2590,23.361,690
2025-02-24 18:00:00,23.8,24.4,23.56,24.38,1404,23.875,271
2025-02-24 19:00:00,24.1,24.31,23.67,23.67,1081,23.917,260
2025-02-25 04:00:00,25.75,25.87,24.61,25.76,3855,25.227,1754
2025-02-25 05:00:00,25.76,27.6,25.25,25.36,5625,25.754,1919
2025-02-25 06:00:00,25.38,25.62,24.5,24.5,2855,25.141,1005
