date,open,high,low,close,volume,average,barCount
2025-02-20 04:00:00,12.0,12.0,12.0,12.0,2,12.0,2
2025-02-20 05:00:00,11.1,11.1,11.1,11.1,1,11.1,1
2025-02-20 06:00:00,11.31,11.32,11.31,11.31,7,11.311,4
2025-02-20 07:00:00,11.31,11.31,11.31,11.31,0,11.31,0
2025-02-20 08:00:00,11.31,11.31,11.31,11.31,0,11.31,0
2025-02-20 09:00:00,11.05,11.2,10.91,11.14,75,11.122,31
2025-02-20 10:00:00,11.09,11.09,11.0,11.05,60,11.051,49
2025-02-20 11:00:00,11.07,11.12,11.05,11.09,41,11.091,35
2025-02-20 12:00:00,11.09,11.17,11.09,11.14,55,11.138,50
2025-02-20 13:00:00,11.14,11.14,11.09,11.11,63,11.11,46
2025-02-20 14:00:00,11.1,11.2,11.09,11.19,73,11.146,64
2025-02-20 15:00:00,11.2,11.28,11.17,11.26,553,11.234,356
2025-02-20 16:00:00,11.26,11.26,11.26,11.26,222,11.26,1
2025-02-20 17:00:00,11.6,11.6,11.6,11.6,1,11.6,1
2025-02-20 18:00:00,11.6,11.6,11.6,11.6,0,11.6,0
2025-02-20 19:00:00,11.6,11.6,11.6,11.6,0,11.6,0
2025-02-21 09:00:00,11.37,11.37,11.07,11.19,156,11.354,15
2025-02-21 10:00:00,11.09,11.11,10.96,10.99,31,11.032,28
2025-02-21 11:00:00,11.04,11.07,11.01,11.01,26,11.042,24
2025-02-21 12:00:00,11.03,11.1,10.98,10.98,100,11.04,76
2025-02-21 13:00:00,10.97,10.97,10.86,10.86,65,10.915,50
2025-02-21 14:00:00,10.85,10.92,10.85,10.89,165,10.879,111
2025-02-21 15:00:00,10.89,10.9,10.75,10.75,567,10.83,372
2025-02-21 16:00:00,10.75,10.75,10.75,10.75,390,10.75,1
2025-02-21 17:00:00,10.75,10.75,10.75,10.75,0,10.75,0
2025-02-21 18:00:00,10.75,10.75,10.75,10.75,0,10.75,0
2025-02-21 19:00:00,10.75,10.75,10.75,10.75,0,10.75,0
2025-02-24 09:00:00,10.71,10.73,10.5,10.68,61,10.68,18
2025-02-24 10:00:00,10.68,10.69,10.52,10.57,342,10.601,238
2025-02-24 11:00:00,10.58,10.7,10.56,10.69,94,10.619,78
2025-02-24 12:00:00,10.71,10.75,10.69,10.75,43,10.715,42
2025-02-24 13:00:00,10.72,10.77,10.69,10.71,69,10.733,52
2025-02-24 14:00:00,10.71,10.75,10.7,10.73,97,10.731,78
2025-02-24 15:00:00,10.72,10.74,10.68,10.72,508,10.705,327
2025-02-24 16:00:00,10.73,10.73,10.73,10.73,326,10.73,1
2025-02-24 17:00:00,10.73,10.73,10.73,10.73,0,10.73,0
2025-02-24 18:00:00,10.73,10.73,10.73,10.73,0,10.73,0
2025-02-24 19:00:00,10.73,10.73,10.73,10.73,0,10.73,0
2025-02-25 09:00:00,10.8,10.87,10.73,10.73,84,10.777,43
2025-02-25 10:00:00,10.69,10.75,10.67,10.71,307,10.705,230
2025-02-25 11:00:00,10.71,10.77,10.71,10.76,154,10.73,121
2025-02-25 12:00:00,10.77,10.81,10.7,10.8,50,10.746,40
2025-02-25 13:00:00,10.8,10.83,10.78,10.82,102,10.806,83
2025-02-25 14:00:00,10.82,10.84,10.75,10.8,274,10.792,207
2025-02-25 15:00:00,10.8,10.82,10.66,10.67,757,10.754,536
2025-02-25 16:00:00,10.67,11.04,10.67,11.04,446,10.675,4
2025-02-25 17:00:00,11.04,11.04,11.04,11.04,0,11.04,0
2025-02-25 18:00:00,10.9,10.91,10.9,10.91,8,10.901,6
2025-02-25 19:00:00,10.75,10.75,10.75,10.75,1,10.75,1
2025-02-26 09:00:00,10.69,10.78,10.69,10.76,29,10.712,8
2025-02-26 10:00:00,10.76,10.78,10.71,10.72,70,10.745,55
2025-02-26 11:00:00,10.71,10.86,10.71,10.77,66,10.787,55
2025-02-26 12:00:00,10.75,10.78,10.72,10.72,51,10.752,47
2025-02-26 13:00:00,10.71,10.72,10.63,10.68,90,10.677,76
2025-02-26 14:00:00,10.67,10.69,10.63,10.63,89,10.671,77
2025-02-26 15:00:00,10.63,10.65,10.62,10.63,282,10.636,210
2025-02-26 16:00:00,10.63,10.63,10.25,10.25,285,10.625,2
2025-02-26 17:00:00,10.25,10.25,10.25,10.25,0,10.25,0
2025-02-26 18:00:00,10.25,10.25,10.25,10.25,0,10.25,0
2025-02-26 19:00:00,10.25,10.26,10.25,10.25,0,10.25,0
2025-02-27 09:00:00,10.6,10.6,10.5,10.52,16,10.57,7
2025-02-27 10:00:00,10.5,10.56,10.43,10.43,112,10.496,70
2025-02-27 11:00:00,10.42,10.52,10.38,10.48,95,10.446,71
2025-02-27 12:00:00,10.46,10.46,10.38,10.38,71,10.416,43
2025-02-27 13:00:00,10.4,10.47,10.4,10.44,84,10.429,70
2025-02-27 14:00:00,10.43,10.44,10.34,10.36,241,10.395,152
2025-02-27 15:00:00,10.35,10.37,10.25,10.27,902,10.288,502
2025-02-27 16:00:00,10.27,10.27,10.27,10.27,286,10.27,1
2025-02-27 17:00:00,10.27,10.27,10.27,10.27,0,10.27,0
2025-02-27 18:00:00,10.27,10.27,10.27,10.27,0,10.27,0
2025-02-27 19:00:00,10.02,10.03,10.02,10.02,1,10.021,1
2025-02-28 09:00:00,10.27,10.27,10.06,10.15,216,10.173,83
2025-02-28 10:00:00,10.15,10.19,10.03,10.18,370,10.104,181
2025-02-28 11:00:00,10.17,10.19,10.09,10.14,285,10.137,139
2025-02-28 12:00:00,10.14,10.18,10.04,10.04,396,10.116,199
2025-02-28 13:00:00,10.04,10.07,9.99,10.0,155,10.037,110
2025-02-28 14:00:00,10.0,10.04,9.97,10.03,195,9.998,136
2025-02-28 15:00:00,10.0,10.06,9.94,10.05,1098,10.002,699
2025-02-28 16:00:00,10.07,10.07,10.07,10.07,610,10.07,1
2025-02-28 17:00:00,10.07,10.07,10.07,10.07,0,10.07,0
2025-02-28 18:00:00,10.07,10.07,10.07,10.07,0,10.07,0
2025-02-28 19:00:00,10.07,10.07,10.07,10.07,0,10.07,0
2025-03-03 09:00:00,10.17,10.28,10.13,10.15,133,10.184,68
2025-03-03 10:00:00,10.17,10.34,10.16,10.33,107,10.268,66
