date,open,high,low,close,volume,average,barCount
2024-01-02,6.56,6.56,6.26,6.29,587,6.374,274
2024-01-03,6.25,6.25,6.06,6.09,611,6.114,262
2024-01-04,6.09,6.23,6.07,6.1,335,6.141,158
2024-01-05,6.11,6.2,6.06,6.07,282,6.122,111
2024-01-08,6.06,6.35,6.05,6.26,518,6.241,330
2024-01-09,6.16,6.26,6.16,6.25,440,6.216,212
2024-01-10,6.22,6.25,6.13,6.19,152,6.191,87
2024-01-11,6.17,6.22,6.04,6.16,426,6.124,190
2024-01-12,6.16,6.19,6.02,6.04,1086,6.065,730
2024-01-16,6.06,6.08,5.96,5.96,585,6.011,236
2024-01-17,5.95,5.98,5.81,5.96,561,5.897,263
2024-01-18,5.86,6.02,5.85,5.96,702,5.923,246
2024-01-19,5.97,6.02,5.86,5.99,413,5.956,239
2024-01-22,5.95,6.1,5.94,6.07,490,6.034,219
2024-01-23,6.12,6.18,6.07,6.11,306,6.12,146
2024-01-24,6.28,6.28,6.04,6.04,463,6.16,189
2024-01-25,6.09,6.09,5.91,5.93,545,5.98,244
2024-01-26,5.92,5.97,5.79,5.83,800,5.85,375
2024-01-29,5.82,6.11,5.8,6.1,717,6.014,388
2024-01-30,6.04,6.04,5.63,5.69,1070,5.746,599
2024-01-31,5.63,5.85,5.62,5.67,714,5.728,393
2024-02-01,5.71,5.86,5.71,5.86,389,5.807,237
2024-02-02,5.81,5.85,5.65,5.7,506,5.728,237
2024-02-05,5.7,5.78,5.64,5.69,705,5.686,285
2024-02-06,5.63,5.73,5.57,5.59,439,5.644,141
2024-02-07,5.57,5.6,5.52,5.57,529,5.557,163
2024-02-08,5.51,5.58,5.51,5.53,575,5.546,155
2024-02-09,5.55,5.7,5.53,5.6,444,5.597,151
2024-02-12,5.65,5.99,5.62,5.98,900,5.886,484
2024-02-13,5.87,5.98,5.7,5.78,623,5.8,313
2024-02-14,5.8,5.96,5.77,5.83,482,5.829,292
2024-02-15,5.89,6.05,5.89,6.04,673,5.977,339
2024-02-16,6.05,6.05,5.84,5.87,233,5.936,103
2024-02-20,5.87,6.14,5.75,5.95,1183,5.972,492
2024-02-21,5.7,5.8,5.29,5.52,2635,5.498,1149
2024-02-22,5.67,5.75,5.4,5.42,861,5.508,374
2024-02-23,5.45,5.84,5.35,5.63,1359,5.625,536
2024-02-26,5.57,5.67,5.37,5.5,1886,5.519,691
2024-02-27,5.48,5.56,5.42,5.49,442,5.489,177
2024-02-28,5.48,5.49,5.3,5.33,588,5.378,212
2024-02-29,5.36,5.49,5.35,5.4,437,5.401,207
2024-03-01,5.41,5.53,5.37,5.38,406,5.45,168
2024-03-04,5.4,5.43,5.2,5.21,1004,5.286,382
2024-03-05,5.15,5.25,5.1,5.16,961,5.146,271
2024-03-06,5.11,5.28,5.11,5.16,676,5.179,181
2024-03-07,5.14,5.27,5.14,5.2,346,5.191,132
2024-03-08,5.22,5.43,5.22,5.36,388,5.337,166
2024-03-11,5.31,5.4,5.2,5.22,616,5.288,322
2024-03-12,5.2,5.22,5.11,5.13,420,5.167,154
2024-03-13,5.1,5.23,5.1,5.13,493,5.143,232
2024-03-14,5.15,5.19,5.02,5.02,630,5.082,149
2024-03-15,5.0,5.09,4.95,4.97,856,5.008,260
2024-03-18,5.11,5.2,4.98,5.01,740,5.095,217
2024-03-19,5.01,5.1,5.01,5.02,285,5.04,117
2024-03-20,5.02,5.09,5.0,5.04,1353,5.025,639
2024-03-21,5.05,5.24,5.05,5.11,672,5.136,213
2024-03-22,5.07,5.11,4.95,4.95,725,5.02,311
2024-03-25,4.95,5.06,4.86,5.03,1442,4.944,556
2024-03-26,5.05,5.15,5.0,5.02,930,5.038,325
2024-03-27,5.03,5.17,5.03,5.13,1220,5.074,305
2024-03-28,5.17,5.4,5.17,5.28,1005,5.298,522
2024-04-01,5.36,5.4,5.31,5.32,414,5.344,147
2024-04-02,5.29,5.32,5.15,5.16,512,5.229,206
2024-04-03,5.22,5.29,5.1,5.19,1801,5.153,677
2024-04-04,5.25,5.42,5.18,5.2,758,5.296,328
2024-04-05,5.25,5.25,5.14,5.17,382,5.183,189
2024-04-08,5.17,5.45,5.17,5.28,691,5.342,329
2024-04-09,5.3,5.4,5.3,5.34,241,5.343,141
2024-04-10,5.3,5.3,5.1,5.12,444,5.201,191
2024-04-11,5.14,5.16,5.06,5.12,360,5.113,183
2024-04-12,5.1,5.23,5.06,5.08,351,5.136,138
2024-04-15,5.09,5.09,4.9,4.97,766,5.007,271
2024-04-16,4.91,4.95,4.82,4.88,698,4.887,339
2024-04-17,4.91,5.09,4.86,4.89,557,4.955,274
2024-04-18,4.86,5.03,4.86,5.02,397,4.963,280
2024-04-19,4.98,5.22,4.91,5.22,1044,5.095,586
2024-04-22,5.23,5.23,5.06,5.12,481,5.159,264
2024-04-23,5.09,5.19,5.08,5.17,316,5.139,129
2024-04-24,5.17,5.35,5.15,5.27,513,5.268,239
2024-04-25,5.3,5.35,5.02,5.08,756,5.128,288
2024-04-26,5.1,5.26,5.1,5.24,450,5.181,223
2024-04-29,5.26,5.45,5.26,5.35,440,5.346,219
2024-04-30,5.31,5.35,5.22,5.22,347,5.264,232
2024-05-01,5.22,5.4,5.22,5.36,727,5.327,195
2024-05-02,5.39,5.4,5.23,5.27,412,5.338,155
2024-05-03,5.25,5.4,5.23,5.39,803,5.337,295
2024-05-06,5.38,5.45,5.38,5.44,264,5.408,108
2024-05-07,5.5,5.5,5.28,5.3,517,5.371,176
2024-05-08,5.3,5.34,5.18,5.25,586,5.289,147
2024-05-09,5.17,5.25,5.17,5.2,313,5.211,142
2024-05-10,5.2,5.21,5.13,5.13,288,5.166,111
2024-05-13,5.14,5.24,5.12,5.2,613,5.185,251
2024-05-14,5.16,5.24,5.16,5.19,248,5.184,132
2024-05-15,5.21,5.4,5.19,5.36,526,5.289,230
2024-05-16,5.36,5.43,5.2,5.21,403,5.309,138
2024-05-17,5.24,5.36,5.23,5.36,288,5.284,133
2024-05-20,5.43,5.45,5.27,5.3,723,5.352,289
2024-05-21,5.28,5.31,5.2,5.22,349,5.244,226
2024-05-22,5.21,5.27,5.14,5.14,455,5.195,192
2024-05-23,5.15,5.33,5.12,5.14,479,5.236,280
2024-05-24,5.13,5.2,5.1,5.12,394,5.132,198
2024-05-28,5.2,5.2,5.1,5.11,450,5.144,182
2024-05-29,5.1,5.12,5.05,5.05,337,5.071,163
2024-05-30,5.05,5.26,5.05,5.06,633,5.137,233
2024-05-31,5.06,5.11,4.98,5.0,545,5.042,207
2024-06-03,4.99,5.06,4.98,5.03,312,5.007,124
2024-06-04,5.02,5.03,4.93,4.94,224,4.96,106
2024-06-05,4.95,5.12,4.91,5.09,362,5.035,182
