date,open,high,low,close,volume,average,barCount
2025-01-31,25.5,28.87,25.5,26.5,37316,26.43,15407
2025-02-03,26.5,30.02,25.06,27.8,7720,27.974,4279
2025-02-04,28.16,28.76,27.02,28.01,4837,28.157,2521
2025-02-05,27.73,29.27,27.73,29.25,7092,28.943,3284
2025-02-06,29.25,30.0,28.08,29.53,9222,29.283,4354
2025-02-07,28.89,30.26,28.77,29.5,2693,29.349,1547
2025-02-10,29.6,31.64,29.0,30.08,1111,29.909,627
2025-02-11,29.77,31.16,29.65,30.76,1074,30.442,740
2025-02-12,30.96,31.78,30.8,31.65,1797,31.242,1228
2025-02-13,32.01,32.05,29.2,30.03,3847,30.482,1983
2025-02-14,30.32,31.0,29.94,30.58,1978,30.604,1144
2025-02-18,30.61,32.33,30.61,32.08,1992,31.872,1060
2025-02-19,32.58,32.81,31.36,31.91,3239,31.983,698
2025-02-20,32.05,32.35,31.21,31.64,2975,31.838,691
2025-02-21,31.66,32.01,31.13,31.65,931,31.518,626
2025-02-24,31.64,31.8,29.14,29.81,6542,30.324,1969
2025-02-25,30.39,31.17,27.0,27.33,6833,28.641,2613
2025-02-26,27.7,28.78,26.86,27.21,6448,27.618,2078
2025-02-27,27.08,27.49,24.7,25.01,8646,25.606,3587
2025-02-28,24.83,25.51,24.19,24.78,5152,24.771,3061
2025-03-03,24.78,29.07,24.78,28.5,5728,27.777,2844
2025-03-04,28.45,28.8,27.1,27.49,4075,27.978,2202
2025-03-05,27.25,28.87,26.42,26.42,1529,27.221,1098
2025-03-06,26.0,27.3,25.34,26.92,2663,26.668,1774
2025-03-07,26.99,27.29,24.86,25.47,3538,25.918,2560
2025-03-10,25.47,25.77,24.66,25.03,2976,25.057,2183
2025-03-11,24.84,25.82,23.91,24.96,3581,24.61,2426
2025-03-12,25.58,26.01,24.63,25.78,4571,25.264,2308
2025-03-13,25.73,26.03,23.08,24.26,4955,24.073,2842
2025-03-14,24.3,25.26,23.97,25.21,3202,24.803,2097
2025-03-17,25.21,29.01,25.21,28.38,3317,28.001,2309
2025-03-18,28.3,31.16,28.19,30.33,5183,30.203,2760
2025-03-19,30.14,32.22,29.82,29.86,4513,30.827,2821
2025-03-20,29.35,29.76,27.38,27.82,5447,28.033,3623
2025-03-21,27.51,28.84,26.89,28.02,6615,28.017,4285
2025-03-24,27.64,30.44,27.64,30.07,3930,29.811,2819
2025-03-25,29.82,30.96,28.62,29.16,3755,29.257,2548
2025-03-26,28.0,28.99,27.58,28.11,3277,28.31,2217
2025-03-27,28.35,30.4,27.9,30.09,969,29.355,627
