date,open,high,low,close,volume,average,barCount
2024-05-23,32.89,33.26,31.08,31.49,151,31.873,112
2024-05-24,31.49,32.93,31.06,32.11,172,32.182,158
2024-05-28,32.62,32.8,31.0,31.71,304,31.443,242
2024-05-29,31.27,33.65,31.0,33.34,220,32.726,172
2024-05-30,33.09,34.21,32.45,34.03,254,33.548,202
2024-05-31,34.68,38.33,34.32,37.6,707,37.405,577
2024-06-03,38.0,38.97,35.07,37.23,275,37.056,223
2024-06-04,37.75,38.59,36.5,37.73,181,37.401,158
2024-06-05,37.69,39.08,37.01,37.47,220,37.818,172
2024-06-06,37.12,38.07,36.4,37.16,438,37.008,114
2024-06-07,36.62,38.1,36.51,37.88,70,37.195,62
2024-06-10,37.31,38.62,37.31,37.35,133,37.865,123
2024-06-11,37.89,37.89,36.16,37.18,203,36.993,125
2024-06-12,37.35,38.41,36.72,37.18,171,37.646,147
2024-06-13,37.12,42.57,37.11,41.99,1676,40.13,962
2024-06-14,42.0,43.06,39.41,42.59,379,41.757,291
2024-06-17,43.25,44.52,39.89,40.0,345,42.11,252
2024-06-18,38.71,39.99,29.69,30.32,1345,32.512,882
2024-06-20,30.5,31.43,29.89,31.07,1383,30.411,1112
2024-06-21,31.3,31.53,30.07,31.01,421,30.888,358
2024-06-24,30.8,32.53,30.8,31.75,335,31.924,305
2024-06-25,31.62,32.62,31.01,31.1,606,31.357,515
2024-06-26,30.87,32.65,30.15,32.01,651,31.081,442
2024-06-27,32.88,36.92,32.88,34.82,590,34.914,468
2024-06-28,34.95,37.15,33.96,36.39,1073,35.752,895
2024-07-01,36.39,40.98,35.46,40.62,859,39.321,662
2024-07-02,40.44,42.52,36.89,38.46,1999,39.716,1001
2024-07-03,38.41,39.0,35.92,35.98,434,37.77,324
2024-07-05,35.78,35.87,33.67,34.13,311,34.315,219
2024-07-08,34.11,38.15,34.11,36.79,367,37.001,260
2024-07-09,36.55,39.68,36.24,38.3,370,38.599,206
2024-07-10,38.53,40.39,38.28,38.56,419,39.101,325
2024-07-11,39.49,43.54,38.94,41.77,355,41.633,261
2024-07-12,42.0,44.0,40.88,42.58,405,42.219,292
2024-07-15,42.93,49.05,41.02,45.95,1781,45.681,885
2024-07-16,46.08,47.31,45.38,45.75,497,46.119,355
2024-07-17,45.0,46.3,43.09,44.34,1534,43.905,416
2024-07-18,44.4,45.07,39.3,41.42,460,42.061,229
2024-07-19,41.69,43.09,40.52,42.26,331,42.052,260
2024-07-22,42.26,44.99,42.26,43.32,379,43.773,307
2024-07-23,43.2,43.97,42.16,43.03,606,43.18,424
2024-07-24,43.98,44.0,42.15,42.74,868,42.872,355
2024-07-25,42.83,44.04,41.82,42.7,974,42.894,659
2024-07-26,43.55,45.13,42.46,44.83,1262,43.417,997
2024-07-29,44.96,47.0,39.83,41.35,841,42.489,668
2024-07-30,41.51,42.16,37.97,39.12,580,40.545,248
2024-07-31,39.62,41.56,38.34,41.14,387,40.407,344
