date,open,high,low,close,volume,average,barCount
2024-05-23,2.1,2.12,1.97,1.99,3714,2.01387,1179
2024-05-24,2.0,2.04,1.98,2.01,1660,1.99862,598
2024-05-28,2.05,2.107,2.01,2.07,1275,2.0457,424
2024-05-29,1.99,2.0407,1.97,1.98,1648,1.99621,608
2024-05-30,1.99,2.07,1.98,2.02,1074,2.026,519
2024-05-31,2.02,2.05,1.97,2.05,1217,2.01721,675
2024-06-03,2.04,2.04,1.97,1.97,1607,1.98788,537
2024-06-04,2.0,2.0,1.93,1.96,1501,1.96454,644
2024-06-05,1.97,2.04,1.95,1.99,1457,1.9962,630
2024-06-06,1.99,2.03,1.96,2.01,1157,1.99325,590
2024-06-07,1.98,2.01,1.9,1.92,1648,1.92508,653
2024-06-10,1.92,1.9703,1.91,1.92,739,1.94043,315
2024-06-11,1.9,1.9362,1.8,1.81,3202,1.82568,1191
2024-06-12,1.82,1.8899,1.75,1.76,1852,1.8033,441
2024-06-13,1.77,1.84,1.7606,1.8,1689,1.807,709
2024-06-14,1.78,1.83,1.776,1.8,1102,1.80592,514
2024-06-17,1.8,1.86,1.78,1.8,1001,1.80767,552
2024-06-18,1.8,1.83,1.77,1.78,914,1.81069,408
2024-06-20,1.79,1.81,1.75,1.79,1279,1.79319,638
2024-06-21,1.77,1.85,1.77,1.84,1037,1.81799,488
2024-06-24,1.83,1.85,1.76,1.77,1112,1.78659,472
2024-06-25,1.81,1.82,1.72,1.75,865,1.76868,302
2024-06-26,1.75,1.77,1.71,1.74,703,1.74088,335
2024-06-27,1.72,1.745,1.685,1.69,1194,1.70104,407
2024-06-28,1.69,1.74,1.65,1.74,1535,1.68876,443
2024-07-01,1.77,1.7779,1.69,1.7,1225,1.71572,427
2024-07-02,1.69,1.78,1.69,1.77,1607,1.74869,705
2024-07-03,1.77,1.838,1.73,1.82,2173,1.78396,733
2024-07-05,1.94,1.99,1.82,1.905,4975,1.8832,1369
2024-07-08,1.95,2.31,1.91,2.21,12226,2.12837,3359
2024-07-09,2.31,2.46,2.25,2.28,12990,2.34524,3507
2024-07-10,2.23,2.32,2.155,2.18,3312,2.23106,1442
2024-07-11,2.19,2.37,2.19,2.315,4751,2.31779,1863
2024-07-12,2.29,2.34,2.195,2.24,2852,2.25458,1215
2024-07-15,2.22,2.22,2.07,2.13,5013,2.11983,1622
2024-07-16,2.09,2.24,2.09,2.17,2277,2.14111,760
2024-07-17,2.17,2.19,2.1,2.15,1242,2.1418,607
2024-07-18,2.13,2.19,2.07,2.07,2663,2.11052,936
2024-07-19,2.05,2.075,1.92,2.05,2136,2.01444,632
2024-07-22,2.05,2.09,2.0,2.03,848,2.04383,371
2024-07-23,2.0,2.01,1.93,1.97,1676,1.9741,417
2024-07-24,1.94,1.9981,1.88,1.9,1172,1.91824,448
2024-07-25,1.89,1.99,1.89,1.96,1203,1.93864,343
2024-07-26,1.96,2.08,1.95,2.04,1549,2.02792,719
2024-07-29,2.05,2.11,2.0,2.02,1259,2.03964,581
2024-07-30,2.0,2.02,1.94,1.95,1267,1.96734,427
2024-07-31,1.98,2.045,1.97,1.98,1278,2.006,494
2024-08-01,2.01,2.02,1.885,1.94,3085,1.94117,691
2024-08-02,1.91,1.95,1.86,1.91,2823,1.91602,658
2024-08-05,1.77,1.91,1.77,1.83,2334,1.83659,592
2024-08-06,1.82,1.87,1.81,1.84,1787,1.83461,496
2024-08-07,1.81,1.87,1.78,1.8,1255,1.81659,309
2024-08-08,1.8,1.89,1.79,1.84,1744,1.84132,589
2024-08-09,1.84,1.9,1.82,1.83,1541,1.85633,561
2024-08-12,2.01,2.01,1.75,1.8,3498,1.81823,913
2024-08-13,1.81,1.855,1.8,1.85,1482,1.81605,513
2024-08-14,1.86,1.87,1.8,1.81,1251,1.82712,545
2024-08-15,1.83,1.88,1.8275,1.84,1879,1.85903,783
2024-08-16,1.82,1.88,1.82,1.83,836,1.84743,229
2024-08-19,1.83,1.9,1.83,1.865,1499,1.87037,337
2024-08-20,1.87,1.87,1.79,1.82,1514,1.83018,368
2024-08-21,1.83,1.85,1.81,1.82,945,1.82952,390
2024-08-22,1.83,1.85,1.795,1.81,1707,1.81448,398
2024-08-23,1.82,1.85,1.82,1.84,1035,1.83402,351
2024-08-26,1.87,1.96,1.85,1.94,2100,1.90155,481
2024-08-27,1.94,1.9576,1.86,1.89,1641,1.89263,482
2024-08-28,1.87,1.88,1.8,1.83,1481,1.82838,308
2024-08-29,1.865,1.89,1.81,1.86,1227,1.84872,526
2024-08-30,1.89,1.91,1.86,1.88,1150,1.88909,326
2024-09-03,1.88,1.92,1.815,1.82,828,1.87866,342
2024-09-04,1.84,1.8573,1.8,1.835,1010,1.83093,301
2024-09-05,1.83,1.86,1.82,1.82,742,1.83349,234
2024-09-06,1.82,1.84,1.76,1.81,2237,1.80309,421
2024-09-09,1.78,1.88,1.78,1.79,1715,1.81941,602
2024-09-10,1.77,1.84,1.77,1.79,653,1.79596,298
2024-09-11,1.79,1.82,1.76,1.81,858,1.79307,296
2024-09-12,1.8,1.8027,1.78,1.79,479,1.79035,146
2024-09-13,1.8,1.81,1.78,1.79,778,1.79471,362
2024-09-16,1.87,1.87,1.8,1.81,650,1.82369,223
2024-09-17,1.83,1.966,1.83,1.9,3079,1.91831,750
2024-09-18,1.91,1.91,1.81,1.86,2279,1.86184,675
2024-09-19,1.91,1.93,1.87,1.92,1737,1.90514,397
2024-09-20,1.93,1.93,1.8795,1.88,480,1.89201,139
2024-09-23,1.86,1.935,1.86,1.88,1027,1.9094,296
2024-09-24,1.96,2.1497,1.955,2.1,7589,2.06597,1920
2024-09-25,2.08,2.09,1.97,2.0,3055,2.00476,793
2024-09-26,2.1,2.19,2.05,2.17,9798,2.12907,2810
2024-09-27,2.21,2.2874,2.13,2.22,9174,2.21421,3226
2024-09-30,2.35,2.44,2.265,2.3,13713,2.34372,2862
2024-10-01,2.27,2.5,2.22,2.49,6975,2.36496,1678
2024-10-02,2.65,2.8292,2.65,2.76,18401,2.73743,4351
2024-10-03,2.63,2.885,2.6,2.74,8034,2.74925,2222
2024-10-04,2.84,2.87,2.67,2.8,8346,2.75833,2218
2024-10-07,3.12,3.5,3.1,3.37,38588,3.3683,9796
2024-10-08,2.96,3.2,2.8117,2.9,13539,3.00205,3465
2024-10-09,2.75,2.81,2.565,2.69,11476,2.66356,3155
2024-10-10,2.71,2.7194,2.53,2.65,6581,2.62062,1864
2024-10-11,2.57,2.74,2.54,2.65,4005,2.66194,1170
2024-10-14,2.61,2.665,2.495,2.52,4698,2.55678,1547
2024-10-15,2.42,2.49,2.35,2.38,5998,2.38339,1984
2024-10-16,2.42,2.43,2.325,2.41,2832,2.38043,1017
2024-10-17,2.34,2.35,2.26,2.29,3129,2.29792,990
2024-10-18,2.43,2.51,2.36,2.4,3497,2.4237,1018
2024-10-21,2.37,2.69,2.37,2.58,7312,2.56893,2595
2024-10-22,2.58,2.81,2.54,2.615,5074,2.70395,1759
2024-10-23,2.63,2.68,2.4099,2.41,3932,2.52595,1078
2024-10-24,2.39,2.44,2.36,2.4,2177,2.39076,633
2024-10-25,2.42,2.4324,2.17,2.27,11427,2.24077,3831
2024-10-28,2.29,2.5388,2.2859,2.52,5339,2.45244,1988
2024-10-29,2.52,2.5489,2.37,2.38,2218,2.42043,826
2024-10-30,2.37,2.39,2.28,2.34,2681,2.32333,737
2024-10-31,2.31,2.31,2.18,2.3,3304,2.24007,1124
2024-11-01,2.34,2.34,2.22,2.31,2345,2.27753,923
2024-11-04,2.3,2.34,2.23,2.24,2010,2.29922,525
2024-11-05,2.28,2.3402,2.265,2.28,2820,2.29846,954
2024-11-06,2.17,2.18,2.0306,2.09,4881,2.1245,1444
2024-11-07,2.22,2.31,2.135,2.225,4223,2.2491,1173
2024-11-08,2.15,2.17,2.105,2.14,3270,2.13398,890
2024-11-11,2.14,2.29,2.13,2.26,5277,2.21876,1325
2024-11-12,2.2,2.22,2.115,2.13,5504,2.15884,1239
2024-11-13,2.15,2.16,2.03,2.04,5189,2.07333,1560
2024-11-14,2.01,2.02,1.98,2.0,3081,1.99762,790
2024-11-15,2.02,2.025,1.97,1.99,3535,1.99974,1102
2024-11-18,1.98,2.015,1.84,1.98,6292,1.93388,1281
2024-11-19,2.0,2.0,1.82,1.83,7482,1.86221,1524
2024-11-20,1.83,1.878,1.75,1.79,4317,1.8157,1048
2024-11-21,1.81,1.84,1.79,1.8,3450,1.81076,743
2024-11-22,1.79,1.86,1.73,1.85,4093,1.81083,965
2024-11-25,1.82,1.905,1.8,1.8,4199,1.84998,1103
2024-11-26,1.81,1.8417,1.78,1.79,1715,1.79928,458
2024-11-27,1.8,1.915,1.8,1.87,2811,1.8784,701
2024-11-29,1.88,1.89,1.84,1.86,2452,1.86271,476
2024-12-02,1.92,2.0198,1.88,1.92,6077,1.93285,1255
2024-12-03,1.91,1.9361,1.88,1.88,2117,1.89765,551
2024-12-04,1.87,1.89,1.81,1.84,5725,1.84731,1284
2024-12-05,1.83,1.9,1.81,1.81,1985,1.84723,522
2024-12-06,1.84,1.93,1.84,1.9,4319,1.89236,996
2024-12-09,2.0,2.1397,1.985,2.01,13628,2.04811,2561
2024-12-10,1.95,1.98,1.88,1.88,6911,1.92349,977
2024-12-11,1.9,1.92,1.825,1.86,3440,1.85123,834
2024-12-12,1.87,1.92,1.83,1.87,2527,1.88132,614
2024-12-13,1.85,1.85,1.78,1.84,3811,1.8231,866
2024-12-16,1.81,1.8301,1.77,1.79,2504,1.79976,616
2024-12-17,1.8,1.86,1.76,1.8,2149,1.81461,493
2024-12-18,1.81,1.835,1.7,1.73,3881,1.77705,659
2024-12-19,1.76,1.76,1.71,1.73,2587,1.73553,531
2024-12-20,1.72,1.77,1.7,1.76,2186,1.74322,539
2024-12-23,1.75,1.82,1.73,1.79,2270,1.78234,509
2024-12-24,1.8,1.8488,1.79,1.83,1351,1.82414,275
2024-12-26,1.86,1.8673,1.81,1.86,1788,1.84243,307
2024-12-27,1.86,1.92,1.7911,1.89,3304,1.86488,733
2024-12-30,1.84,1.85,1.78,1.78,2206,1.8085,475
2024-12-31,1.78,1.835,1.77,1.79,1883,1.78776,393
2025-01-02,1.8,1.81,1.735,1.74,2466,1.77289,563
2025-01-03,1.75,1.8,1.7,1.77,2202,1.74295,567
2025-01-06,1.9,1.9,1.78,1.79,3984,1.84329,688
2025-01-07,1.82,1.8401,1.785,1.79,2057,1.81514,443
2025-01-08,1.79,1.79,1.71,1.75,2088,1.7349,488
2025-01-10,1.72,1.72,1.67,1.71,3614,1.69195,785
2025-01-13,1.72,1.74,1.66,1.73,2607,1.71541,564
2025-01-14,1.76,1.78,1.72,1.72,1298,1.73823,280
2025-01-15,1.74,1.79,1.7,1.78,2696,1.75669,953
2025-01-16,1.79,1.8208,1.7519,1.79,1663,1.78261,488
2025-01-17,1.82,1.91,1.79,1.9,5268,1.85855,1133
2025-01-21,1.91,1.98,1.905,1.93,3364,1.93532,976
2025-01-22,1.87,1.885,1.845,1.87,1926,1.86279,481
2025-01-23,1.87,1.94,1.85,1.93,2017,1.91249,576
2025-01-24,1.97,2.015,1.95,1.99,2754,1.9835,701
2025-01-27,1.96,2.02,1.895,1.93,3707,1.94819,1048
2025-01-28,1.93,2.045,1.93,2.04,3633,2.00007,811
2025-01-29,2.05,2.08,1.94,1.985,3681,1.99024,1079
2025-01-30,1.96,2.08,1.95,2.04,2915,2.02734,991
2025-01-31,2.04,2.08,2.01,2.02,2734,2.0359,687
2025-02-03,1.95,2.05,1.94,1.98,2868,1.99569,822
2025-02-04,2.0,2.08,2.0,2.06,4575,2.06062,853
2025-02-05,2.02,2.07,1.9706,1.98,1765,2.02527,506
2025-02-06,2.06,2.06,1.95,1.97,3430,2.00724,714
2025-02-07,1.99,2.08,1.99,2.07,3686,2.04733,1114
2025-02-10,2.12,2.205,2.11,2.16,5684,2.16396,1290
2025-02-11,2.14,2.14,2.07,2.1,2223,2.10512,611
2025-02-12,2.11,2.24,2.1098,2.2,7488,2.20224,1611
2025-02-13,2.19,2.23,2.1313,2.19,6239,2.20054,1041
2025-02-14,2.3,2.38,2.24,2.3,6389,2.29919,1382
2025-02-18,2.34,2.34,2.21,2.22,5073,2.28338,1152
2025-02-19,2.23,2.27,2.12,2.13,3952,2.17738,857
2025-02-20,2.18,2.38,2.178,2.25,9072,2.27027,2378
2025-02-21,2.36,2.525,2.32,2.34,14238,2.4413,2933
2025-02-24,2.35,2.45,2.1429,2.32,9915,2.28376,2537
2025-02-25,2.41,2.77,2.38,2.57,25392,2.61967,5776
2025-02-26,2.7,2.72,2.49,2.54,18888,2.59658,4457
2025-02-27,2.57,2.74,2.52,2.56,12311,2.64027,3077
2025-02-28,2.41,2.5093,2.355,2.49,5424,2.45566,1675
2025-03-03,2.55,2.56,2.33,2.35,7147,2.43471,1681
2025-03-04,2.35,2.38,2.22,2.29,5228,2.29102,1491
2025-03-05,2.4,2.52,2.4,2.48,6664,2.45927,1935
2025-03-06,2.5,2.58,2.49,2.52,5256,2.54029,1399
2025-03-07,2.53,2.62,2.4,2.41,3930,2.48136,945
2025-03-10,2.36,2.4,2.255,2.3,5842,2.31852,1668
2025-03-11,2.34,2.545,2.34,2.46,4631,2.45512,1402
