date,open,high,low,close,volume,average,barCount
2023-12-20,2.45,2.4787,2.36,2.36,16794,2.42019,3063
2023-12-21,2.36,2.4,2.35,2.4,10419,2.37738,2176
2023-12-22,2.38,2.44,2.362,2.4,13551,2.40461,3002
2023-12-26,2.37,2.535,2.37,2.5,26689,2.48776,4804
2023-12-27,2.5,2.5781,2.43,2.47,14260,2.48494,3286
2023-12-28,2.46,2.51,2.45,2.46,14293,2.46989,3022
2023-12-29,2.5,2.51,2.4,2.4,17140,2.43788,3859
2024-01-02,2.38,2.415,2.33,2.34,15672,2.37049,3248
2024-01-03,2.31,2.345,2.28,2.29,15595,2.30897,3542
2024-01-04,2.3,2.35,2.275,2.33,6950,2.32178,1679
2024-01-05,2.36,2.365,2.29,2.31,7886,2.30898,2015
2024-01-08,2.32,2.34,2.28,2.3,6866,2.30289,1668
2024-01-09,2.28,2.31,2.27,2.29,8518,2.29058,2129
2024-01-10,2.28,2.29,2.22,2.24,11443,2.25131,2829
2024-01-11,2.23,2.26,2.19,2.2,17732,2.20932,3261
2024-01-12,2.24,2.27,2.18,2.23,18681,2.22627,4232
2024-01-16,2.2,2.2,2.14,2.14,12194,2.15763,2637
2024-01-17,2.11,2.12,2.09,2.11,10720,2.10603,2949
2024-01-18,2.1,2.135,2.07,2.09,15569,2.09442,3530
2024-01-19,2.1,2.22,2.0601,2.22,27759,2.15547,5899
2024-01-22,2.21,2.33,2.2,2.29,30996,2.28639,5644
2024-01-23,2.31,2.38,2.31,2.34,20827,2.34766,4244
2024-01-24,2.34,2.346,2.28,2.29,18102,2.30599,4025
2024-01-25,2.28,2.3655,2.28,2.36,15553,2.33296,3372
2024-01-26,2.33,2.43,2.33,2.38,16989,2.3872,3593
2024-01-29,2.34,2.44,2.33,2.43,16123,2.40554,3165
2024-01-30,2.4,2.44,2.35,2.35,14647,2.39574,2683
2024-01-31,2.33,2.49,2.3107,2.4,20480,2.42828,4013
2024-02-01,2.4,2.48,2.4,2.44,15004,2.45232,3216
2024-02-02,2.41,2.49,2.405,2.47,11042,2.45652,2643
2024-02-05,2.44,2.47,2.35,2.4,20285,2.41292,4159
2024-02-06,2.38,2.48,2.38,2.43,15577,2.44712,3150
2024-02-07,2.45,2.53,2.44,2.49,22861,2.49507,4137
2024-02-08,2.47,2.57,2.47,2.55,18387,2.5416,3878
2024-02-09,2.57,2.66,2.56,2.56,20596,2.62339,4152
2024-02-12,2.55,2.645,2.55,2.61,21475,2.61283,3868
2024-02-13,2.51,2.57,2.48,2.49,15008,2.53323,3318
2024-02-14,2.52,2.66,2.52,2.62,19680,2.60529,4447
2024-02-15,2.6,2.74,2.6,2.72,21447,2.68893,4732
2024-02-16,2.71,2.8895,2.71,2.84,26194,2.81894,4952
2024-02-20,2.8,2.865,2.69,2.69,18064,2.76695,3726
2024-02-21,2.7,2.795,2.66,2.67,16416,2.72105,3324
2024-02-22,2.71,2.81,2.71,2.71,15172,2.76607,3203
2024-02-23,2.7,2.74,2.68,2.72,11585,2.71281,2743
2024-02-26,2.7,2.85,2.69,2.82,22885,2.80433,4649
2024-02-27,2.81,2.9,2.81,2.88,24186,2.87803,4731
2024-02-28,2.9,2.99,2.825,2.84,18820,2.91188,3669
2024-02-29,2.85,2.91,2.84,2.85,14581,2.8739,3510
2024-03-01,2.82,2.92,2.81,2.89,17176,2.8926,3781
2024-03-04,2.93,3.01,2.8,2.81,30063,2.87462,5826
2024-03-05,2.75,2.83,2.7,2.75,20908,2.761,4529
2024-03-06,2.78,2.9,2.78,2.85,18914,2.85691,3662
2024-03-07,2.8,2.91,2.8,2.88,17522,2.88596,3584
2024-03-08,2.85,2.96,2.85,2.92,21793,2.91991,4871
2024-03-11,2.9,2.995,2.87,2.92,23708,2.95705,4409
2024-03-12,2.9,2.98,2.9,2.92,13349,2.95023,2897
2024-03-13,2.9,2.99,2.9,2.95,14233,2.95926,3449
2024-03-14,2.91,2.955,2.78,2.79,24947,2.85648,4664
2024-03-15,2.83,2.92,2.82,2.89,21374,2.88604,4213
2024-03-18,2.86,2.915,2.78,2.78,10778,2.82032,2719
2024-03-19,2.74,2.8,2.725,2.75,13267,2.75632,3496
2024-03-20,2.7,2.85,2.7,2.83,16573,2.79272,3663
2024-03-21,2.89,3.0,2.68,2.69,39188,2.87277,7675
2024-03-22,2.7,2.82,2.7,2.73,14177,2.75812,3657
2024-03-25,2.72,2.785,2.7,2.7,10025,2.72249,2444
2024-03-26,2.74,2.83,2.7,2.75,10029,2.76787,2993
2024-03-27,2.76,2.83,2.755,2.8,10515,2.80231,2676
2024-03-28,2.79,2.87,2.7725,2.785,10473,2.81563,2812
2024-04-01,2.79,2.845,2.71,2.73,9654,2.7532,2640
2024-04-02,2.68,2.725,2.67,2.7,7211,2.69116,2244
2024-04-03,2.69,2.75,2.6698,2.74,7806,2.71853,2185
2024-04-04,2.74,2.795,2.66,2.67,8518,2.72226,2417
2024-04-05,2.64,2.7,2.61,2.68,10436,2.66717,2882
2024-04-08,2.66,2.8,2.65,2.8,11523,2.75947,3542
2024-04-09,2.79,2.83,2.74,2.81,9684,2.79519,2619
2024-04-10,2.74,2.8002,2.71,2.74,8140,2.74873,2232
2024-04-11,2.74,2.79,2.7,2.7,10429,2.72887,2566
2024-04-12,2.68,2.73,2.58,2.61,10810,2.63159,2632
2024-04-15,2.61,2.64,2.5,2.51,9636,2.55828,2233
2024-04-16,2.51,2.54,2.395,2.47,15365,2.44412,4487
2024-04-17,2.44,2.545,2.44,2.46,6988,2.48444,2317
2024-04-18,2.46,2.48,2.385,2.43,7778,2.4343,2855
2024-04-19,2.41,2.45,2.38,2.39,10781,2.41171,3287
2024-04-22,2.4,2.455,2.38,2.42,8253,2.42733,2756
2024-04-23,2.41,2.5,2.4,2.46,5381,2.47298,1833
2024-04-24,2.46,2.535,2.46,2.51,5206,2.5082,1768
2024-04-25,2.47,2.5,2.46,2.46,5022,2.47327,1519
2024-04-26,2.46,2.51,2.44,2.45,5954,2.46574,1843
2024-04-29,2.43,2.515,2.43,2.47,6881,2.46454,2426
2024-04-30,2.43,2.45,2.385,2.41,7267,2.40958,2232
2024-05-01,2.4,2.53,2.39,2.45,6383,2.45976,1794
2024-05-02,2.45,2.54,2.45,2.49,7723,2.49715,2530
2024-05-03,2.5,2.56,2.495,2.51,8086,2.53258,2662
2024-05-06,2.5,2.58,2.5,2.52,6961,2.54804,1888
2024-05-07,2.5,2.54,2.37,2.38,17785,2.45555,4881
2024-05-08,2.38,2.41,2.37,2.37,7079,2.38333,2742
2024-05-09,2.38,2.415,2.34,2.4,8498,2.38323,2604
2024-05-10,2.4,2.4358,2.34,2.35,6525,2.37068,1657
2024-05-13,2.35,2.57,2.35,2.55,16970,2.52601,3883
2024-05-14,2.56,2.7393,2.54,2.66,24429,2.66192,5836
2024-05-15,2.67,2.7,2.56,2.59,10968,2.60755,3823
2024-05-16,2.56,2.68,2.56,2.67,9269,2.63423,2355
2024-05-17,2.65,2.75,2.65,2.71,15232,2.71231,5019
2024-05-20,2.67,2.7091,2.62,2.63,12216,2.66306,3419
2024-05-21,2.61,2.68,2.57,2.57,9099,2.602,2283
2024-05-22,2.55,2.65,2.55,2.6,8616,2.60607,2647
2024-05-23,2.58,2.59,2.5425,2.56,6764,2.56742,2064
2024-05-24,2.55,2.695,2.55,2.64,7970,2.64611,2558
2024-05-28,2.64,2.74,2.64,2.69,12706,2.69159,2968
2024-05-29,2.64,2.68,2.61,2.65,5742,2.65386,1978
2024-05-30,2.65,2.73,2.64,2.68,6969,2.69024,2272
2024-05-31,2.66,2.74,2.65,2.72,7544,2.68997,2876
2024-06-03,2.67,2.74,2.55,2.61,13726,2.62157,4158
2024-06-04,2.57,2.655,2.57,2.59,7125,2.60894,2234
2024-06-05,2.6,2.67,2.57,2.59,12006,2.59844,3519
2024-06-06,2.56,2.65,2.55,2.64,9384,2.59305,2580
2024-06-07,2.58,2.648,2.58,2.59,7129,2.60842,2245
2024-06-10,2.55,2.62,2.51,2.55,8209,2.56246,2432
2024-06-11,2.52,2.57,2.5,2.51,6787,2.5319,2165
2024-06-12,2.5,2.58,2.435,2.44,12126,2.48788,3315
2024-06-13,2.41,2.41,2.35,2.37,9348,2.37679,2646
2024-06-14,2.35,2.3799,2.3,2.31,12244,2.32615,3088
2024-06-17,2.3,2.315,2.25,2.25,11263,2.268,2219
2024-06-18,2.25,2.26,2.21,2.25,10716,2.23953,3161
2024-06-20,2.21,2.2399,2.2,2.21,8091,2.21687,2082
2024-06-21,2.21,2.24,2.205,2.21,9166,2.22488,2675
2024-06-24,2.22,2.24,2.19,2.2,10751,2.20757,2729
2024-06-25,2.19,2.21,2.15,2.19,9932,2.18551,2746
2024-06-26,2.16,2.2,2.15,2.18,10170,2.17254,2840
2024-06-27,2.18,2.21,2.17,2.2,4578,2.19515,1529
2024-06-28,2.2,2.22,2.18,2.2,6569,2.20163,2046
2024-07-01,2.2,2.22,2.2,2.2,5386,2.20398,1416
2024-07-02,2.19,2.215,2.16,2.16,6288,2.18123,1839
2024-07-03,2.34,2.62,2.28,2.52,67684,2.48867,18372
2024-07-05,2.51,2.55,2.395,2.45,16946,2.4582,4308
2024-07-08,2.43,2.485,2.38,2.42,11745,2.43699,3717
2024-07-09,2.4,2.42,2.35,2.35,8742,2.38158,2436
2024-07-10,2.34,2.37,2.31,2.32,11012,2.33271,2901
2024-07-11,2.33,2.39,2.33,2.39,7597,2.35757,2514
2024-07-12,2.4,2.44,2.35,2.36,8054,2.3709,2322
2024-07-15,2.35,2.36,2.3,2.33,9026,2.32263,2434
2024-07-16,2.32,2.4978,2.3101,2.48,13819,2.4205,3875
2024-07-17,2.46,2.52,2.4,2.4,10501,2.45588,3443
2024-07-18,2.4,2.41,2.29,2.29,8272,2.32975,2357
2024-07-19,2.28,2.33,2.25,2.29,8084,2.28353,2500
2024-07-22,2.29,2.35,2.26,2.3,6156,2.28672,1785
2024-07-23,2.3,2.36,2.29,2.35,4385,2.32427,1418
2024-07-24,2.31,2.35,2.28,2.31,5269,2.31177,1982
2024-07-25,2.3,2.34,2.27,2.285,9753,2.31058,2492
2024-07-26,2.38,2.5,2.37,2.46,28563,2.43927,5521
2024-07-29,2.5,2.52,2.4125,2.46,15824,2.45534,3547
2024-07-30,2.53,2.53,2.44,2.475,13284,2.46702,3459
2024-07-31,2.52,2.525,2.42,2.43,23035,2.48299,5490
2024-08-01,2.45,2.45,2.32,2.34,12062,2.36816,2635
2024-08-02,2.33,2.33,2.22,2.26,10104,2.26172,2512
2024-08-05,2.18,2.21,2.1,2.18,14798,2.17265,3482
2024-08-06,2.19,2.24,2.165,2.2,7587,2.20933,2299
2024-08-07,2.24,2.255,2.1,2.11,9893,2.16842,2371
2024-08-08,2.15,2.22,2.12,2.2,6545,2.18752,2612
2024-08-09,2.16,2.1899,2.04,2.04,29922,2.07423,7981
2024-08-12,2.06,2.12,2.06,2.06,7347,2.07905,1859
2024-08-13,2.07,2.12,2.07,2.09,8529,2.09137,2332
2024-08-14,2.1,2.11,2.06,2.09,6027,2.08574,1552
2024-08-15,2.06,2.16,2.06,2.14,6336,2.1299,2009
2024-08-16,2.15,2.15,2.1,2.14,8493,2.1277,1932
