date,open,high,low,close,volume,average,barCount
2025-02-14,14.6,14.7,14.5,14.5,25527,14.575,5860
2025-02-18,14.5,14.75,14.5,14.59,1402,14.597,537
2025-02-19,14.5,14.57,14.25,14.54,1942,14.492,615
2025-02-20,14.57,14.98,14.3,14.6,1321,14.57,627
2025-02-21,14.72,14.72,14.43,14.48,1451,14.488,787
2025-02-24,14.51,14.68,14.25,14.39,1479,14.4,778
2025-02-25,14.32,14.48,14.31,14.35,775,14.391,422
2025-02-26,14.35,14.43,14.25,14.35,285,14.35,149
2025-02-27,14.35,14.48,14.35,14.41,470,14.385,213
2025-02-28,14.35,14.54,14.25,14.5,782,14.405,320
2025-03-03,14.36,14.5,14.05,14.43,494,14.307,298
2025-03-04,14.24,14.29,13.5,14.17,739,14.028,409
2025-03-05,14.01,14.29,13.79,14.1,465,14.108,243
2025-03-06,14.08,14.17,13.7,13.89,547,13.935,349
2025-03-07,13.79,14.29,13.77,14.01,471,14.078,368
2025-03-10,14.11,14.11,13.55,13.63,952,13.719,466
2025-03-11,13.77,13.88,13.68,13.75,771,13.753,519
2025-03-12,13.79,14.16,13.68,13.89,1098,13.922,462
2025-03-13,13.8,14.22,13.51,14.17,818,13.885,455
2025-03-14,14.21,14.24,13.72,13.89,688,13.887,406
2025-03-17,13.82,14.71,13.79,14.64,926,14.465,667
2025-03-18,14.63,14.77,14.11,14.4,1152,14.399,642
2025-03-19,14.48,14.48,13.66,14.24,470,14.158,320
2025-03-20,14.26,14.83,14.26,14.49,1122,14.59,693
