date,open,high,low,close,volume,average,barCount
2025-02-20 09:00:00,14.57,14.57,14.5,14.51,246,14.505,19
2025-02-20 10:00:00,14.5,14.57,14.3,14.5,306,14.415,138
2025-02-20 11:00:00,14.52,14.75,14.5,14.75,180,14.607,94
2025-02-20 12:00:00,14.75,14.98,14.66,14.66,189,14.836,103
2025-02-20 13:00:00,14.75,14.75,14.51,14.57,84,14.619,44
2025-02-20 14:00:00,14.6,14.63,14.56,14.58,62,14.589,42
2025-02-20 15:00:00,14.58,14.6,14.55,14.6,251,14.574,187
2025-02-20 16:00:00,14.6,14.6,14.6,14.6,146,14.6,1
2025-02-20 17:00:00,14.6,14.6,14.6,14.6,0,14.6,0
2025-02-20 18:00:00,14.6,14.6,14.6,14.6,0,14.6,0
2025-02-20 19:00:00,14.72,14.72,14.72,14.72,1,14.72,1
2025-02-21 09:00:00,14.72,14.72,14.5,14.5,75,14.567,30
2025-02-21 10:00:00,14.5,14.51,14.45,14.46,303,14.497,178
2025-02-21 11:00:00,14.46,14.49,14.45,14.48,26,14.459,14
2025-02-21 12:00:00,14.47,14.47,14.45,14.45,4,14.46,4
2025-02-21 13:00:00,14.49,14.5,14.45,14.5,38,14.478,21
2025-02-21 14:00:00,14.48,14.55,14.45,14.45,277,14.484,135
2025-02-21 15:00:00,14.46,14.69,14.43,14.5,727,14.48,405
2025-02-21 16:00:00,14.48,14.48,14.48,14.48,447,14.48,1
2025-02-21 17:00:00,14.48,14.48,14.48,14.48,0,14.48,0
2025-02-21 18:00:00,14.48,14.48,14.48,14.48,0,14.48,0
2025-02-21 19:00:00,14.48,14.48,14.48,14.48,0,14.48,0
2025-02-24 09:00:00,14.51,14.68,14.5,14.52,142,14.541,60
2025-02-24 10:00:00,14.5,14.51,14.28,14.31,611,14.405,311
2025-02-24 11:00:00,14.31,14.41,14.25,14.41,223,14.277,107
2025-02-24 12:00:00,14.36,14.45,14.27,14.35,198,14.37,110
2025-02-24 13:00:00,14.34,14.37,14.34,14.34,21,14.341,20
2025-02-24 14:00:00,14.34,14.5,14.34,14.46,108,14.424,74
2025-02-24 15:00:00,14.48,14.49,14.42,14.43,174,14.452,96
2025-02-24 16:00:00,14.39,14.39,14.39,14.39,556,14.39,1
2025-02-24 17:00:00,14.39,14.39,14.39,14.39,0,14.39,0
2025-02-24 18:00:00,14.39,14.39,14.39,14.39,0,14.39,0
2025-02-24 19:00:00,14.39,14.39,14.39,14.39,0,14.39,0
2025-02-25 07:00:00,14.99,14.99,14.99,14.99,1,14.99,1
2025-02-25 08:00:00,14.99,14.99,14.99,14.99,0,14.99,0
2025-02-25 09:00:00,14.32,14.46,14.32,14.46,96,14.44,17
2025-02-25 10:00:00,14.46,14.46,14.37,14.42,136,14.396,89
2025-02-25 11:00:00,14.38,14.42,14.31,14.4,178,14.356,70
2025-02-25 12:00:00,14.38,14.48,14.38,14.46,124,14.435,79
2025-02-25 13:00:00,14.48,14.48,14.33,14.35,47,14.421,36
2025-02-25 14:00:00,14.35,14.42,14.33,14.4,63,14.369,43
2025-02-25 15:00:00,14.36,14.38,14.34,14.35,129,14.358,88
2025-02-25 16:00:00,14.35,14.35,14.35,14.35,75,14.35,1
2025-02-25 17:00:00,14.35,14.35,14.35,14.35,0,14.35,0
2025-02-25 18:00:00,14.35,14.35,14.35,14.35,0,14.35,0
2025-02-25 19:00:00,14.35,14.35,14.35,14.35,0,14.35,0
2025-02-26 09:00:00,14.35,14.35,14.35,14.35,2,14.35,2
2025-02-26 10:00:00,14.35,14.43,14.35,14.4,23,14.389,12
2025-02-26 11:00:00,14.4,14.4,14.39,14.4,3,14.397,3
2025-02-26 12:00:00,14.39,14.4,14.38,14.38,32,14.39,14
2025-02-26 13:00:00,14.36,14.37,14.35,14.35,23,14.351,13
2025-02-26 14:00:00,14.35,14.36,14.34,14.34,140,14.348,59
2025-02-26 15:00:00,14.34,14.4,14.25,14.38,61,14.316,46
2025-02-26 16:00:00,14.35,14.35,14.35,14.35,21,14.35,1
2025-02-26 17:00:00,14.35,14.35,14.35,14.35,0,14.35,0
2025-02-26 18:00:00,14.35,14.35,14.35,14.35,0,14.35,0
2025-02-26 19:00:00,14.5,14.5,14.5,14.5,1,14.5,1
2025-02-27 09:00:00,14.35,14.44,14.35,14.37,11,14.383,6
2025-02-27 10:00:00,14.44,14.44,14.35,14.39,12,14.378,7
2025-02-27 11:00:00,14.39,14.39,14.37,14.38,3,14.381,3
2025-02-27 12:00:00,14.37,14.39,14.35,14.37,10,14.363,7
2025-02-27 13:00:00,14.35,14.37,14.35,14.37,9,14.355,8
2025-02-27 14:00:00,14.38,14.39,14.35,14.39,54,14.37,47
2025-02-27 15:00:00,14.35,14.48,14.35,14.4,368,14.389,135
2025-02-27 16:00:00,14.41,14.41,14.41,14.41,59,14.41,1
2025-02-27 17:00:00,14.41,14.41,14.41,14.41,0,14.41,0
2025-02-27 18:00:00,15.0,15.0,15.0,15.0,10,15.0,1
2025-02-27 19:00:00,15.0,15.0,15.0,15.0,0,15.0,0
2025-02-28 09:00:00,14.27,14.44,14.25,14.44,35,14.328,7
2025-02-28 10:00:00,14.35,14.41,14.25,14.26,252,14.316,80
2025-02-28 11:00:00,14.26,14.3,14.25,14.3,45,14.277,32
2025-02-28 12:00:00,14.28,14.45,14.28,14.43,109,14.394,51
2025-02-28 13:00:00,14.4,14.45,14.4,14.41,15,14.421,10
2025-02-28 14:00:00,14.43,14.44,14.41,14.41,20,14.43,18
2025-02-28 15:00:00,14.44,14.54,14.43,14.52,312,14.501,126
2025-02-28 16:00:00,14.5,14.5,14.5,14.5,30,14.5,1
2025-02-28 17:00:00,14.5,14.5,14.5,14.5,0,14.5,0
2025-02-28 18:00:00,14.5,14.5,14.5,14.5,0,14.5,0
2025-02-28 19:00:00,14.5,14.5,14.5,14.5,0,14.5,0
2025-03-03 09:00:00,14.36,14.49,14.27,14.3,86,14.333,41
2025-03-03 10:00:00,14.3,14.33,14.05,14.14,108,14.179,76
2025-03-03 11:00:00,14.06,14.18,14.06,14.17,43,14.088,9
2025-03-03 12:00:00,14.15,14.28,14.15,14.27,15,14.241,14
2025-03-03 13:00:00,14.27,14.28,14.24,14.28,35,14.248,24
2025-03-03 14:00:00,14.26,14.35,14.26,14.35,12,14.304,10
2025-03-03 15:00:00,14.35,14.5,14.33,14.46,192,14.435,124
2025-03-03 16:00:00,14.43,14.43,14.43,14.43,29,14.43,1
2025-03-03 17:00:00,14.43,14.43,14.43,14.43,0,14.43,0
2025-03-03 18:00:00,14.43,14.43,14.43,14.43,0,14.43,0
2025-03-03 19:00:00,14.43,14.43,14.43,14.43,0,14.43,0
2025-03-04 09:00:00,14.24,14.29,13.91,14.1,200,14.138,79
2025-03-04 10:00:00,14.1,14.11,13.5,13.97,182,13.804,100
2025-03-04 11:00:00,13.91,14.12,13.91,14.03,158,14.026,87
2025-03-04 12:00:00,14.04,14.16,14.0,14.16,23,14.086,17
2025-03-04 13:00:00,14.16,14.21,14.16,14.18,10,14.19,10
2025-03-04 14:00:00,14.2,14.2,14.07,14.07,10,14.132,9
2025-03-04 15:00:00,14.04,14.17,14.03,14.17,154,14.127,107
2025-03-04 16:00:00,14.17,14.17,14.17,14.17,85,14.17,1
2025-03-04 17:00:00,14.17,14.17,14.17,14.17,0,14.17,0
2025-03-04 18:00:00,14.17,14.17,14.17,14.17,0,14.17,0
2025-03-04 19:00:00,14.17,14.17,14.17,14.17,0,14.17,0
2025-03-05 09:00:00,14.01,14.01,13.79,13.8,6,13.916,4
2025-03-05 10:00:00,14.0,14.02,14.0,14.02,5,14.007,5
2025-03-05 11:00:00,14.04,14.28,14.04,14.28,11,14.087,7
2025-03-05 12:00:00,14.06,14.28,14.06,14.28,7,14.123,3
2025-03-05 13:00:00,14.06,14.06,14.06,14.06,1,14.06,1
2025-03-05 14:00:00,14.08,14.29,14.06,14.1,102,14.099,60
2025-03-05 15:00:00,14.16,14.19,14.03,14.12,331,14.116,163
2025-03-05 16:00:00,14.1,14.1,14.1,14.1,55,14.1,1
2025-03-05 17:00:00,14.1,14.1,14.1,14.1,0,14.1,0
2025-03-05 18:00:00,14.1,14.1,14.1,14.1,0,14.1,0
2025-03-05 19:00:00,14.1,14.1,14.1,14.1,0,14.1,0
2025-03-06 09:00:00,14.08,14.08,13.7,13.78,74,13.853,28
2025-03-06 10:00:00,13.72,13.94,13.71,13.94,68,13.831,57
2025-03-06 11:00:00,14.0,14.17,13.87,14.0,44,13.951,24
2025-03-06 12:00:00,13.93,14.0,13.91,14.0,40,13.963,34
2025-03-06 13:00:00,14.0,14.01,13.96,14.0,18,13.996,15
2025-03-06 14:00:00,14.0,14.02,13.94,14.0,43,13.99,35
