date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,1.84,1.87,1.74,1.76,6818,1.78231,1728
2024-05-29 00:00:00,1.75,1.765,1.7,1.71,7030,1.72692,2324
2024-05-30 00:00:00,1.74,1.75,1.67,1.69,8652,1.70113,2856
2024-05-31 00:00:00,1.68,1.74,1.66,1.71,9135,1.69214,1858
2024-06-03 00:00:00,1.73,1.74,1.58,1.59,11855,1.61876,4161
2024-06-04 00:00:00,1.59,1.6,1.5,1.55,13261,1.53379,3416
2024-06-05 00:00:00,1.58,1.61,1.54,1.59,7972,1.56044,2581
2024-06-06 00:00:00,1.56,1.64,1.515,1.54,6291,1.55887,1719
2024-06-07 00:00:00,1.54,1.54,1.47,1.47,6915,1.49321,1870
2024-06-10 00:00:00,1.54,1.64,1.49,1.58,18481,1.55426,4227
2024-06-11 00:00:00,1.6,1.76,1.59,1.75,21764,1.68143,4238
2024-06-12 00:00:00,1.84,1.89,1.72,1.74,19830,1.80166,4581
2024-06-13 00:00:00,1.86,1.9799,1.83,1.87,36610,1.89366,7552
2024-06-14 00:00:00,1.99,2.04,1.87,1.88,30096,1.94771,6494
2024-06-17 00:00:00,1.97,1.98,1.75,1.8,26182,1.84536,5874
2024-06-18 00:00:00,1.81,1.9,1.77,1.8,15368,1.85703,4286
2024-06-20 00:00:00,1.86,1.88,1.725,1.73,14033,1.78517,2684
2024-06-21 00:00:00,1.72,1.73,1.66,1.67,11382,1.69735,2547
2024-06-24 00:00:00,1.67,1.69,1.62,1.65,9835,1.65951,2383
2024-06-25 00:00:00,1.67,1.69,1.61,1.65,8054,1.66165,1910
2024-06-26 00:00:00,1.63,1.66,1.62,1.62,6668,1.63517,1419
2024-06-27 00:00:00,1.62,1.66,1.6,1.66,6187,1.6368,1692
2024-06-28 00:00:00,1.66,1.72,1.63,1.67,7948,1.66704,2044
2024-07-01 00:00:00,1.67,1.72,1.55,1.61,10304,1.59533,2657
2024-07-02 00:00:00,1.59,1.61,1.55,1.59,5742,1.58041,1790
2024-07-03 00:00:00,1.61,1.64,1.57,1.62,2566,1.61571,773
2024-07-05 00:00:00,1.59,1.61,1.55,1.56,4425,1.57646,1106
2024-07-08 00:00:00,1.56,1.62,1.56,1.58,5449,1.59018,1802
2024-07-09 00:00:00,1.56,1.58,1.52,1.53,6216,1.54854,1412
2024-07-10 00:00:00,1.56,1.57,1.51,1.55,4969,1.54223,1279
2024-07-11 00:00:00,1.59,1.78,1.5804,1.7,18705,1.69876,3411
2024-07-12 00:00:00,1.7,1.755,1.655,1.67,7240,1.69453,1682
2024-07-15 00:00:00,1.71,1.73,1.675,1.7,7439,1.70198,2124
2024-07-16 00:00:00,1.74,1.835,1.69,1.82,11537,1.76046,2776
2024-07-17 00:00:00,1.83,1.86,1.77,1.83,10935,1.81269,2841
2024-07-18 00:00:00,1.81,1.845,1.66,1.67,10608,1.73127,2158
2024-07-19 00:00:00,1.7,1.72,1.63,1.66,7178,1.67349,2213
2024-07-22 00:00:00,1.67,1.71,1.62,1.69,5410,1.6674,1523
2024-07-23 00:00:00,1.67,1.78,1.6601,1.77,4497,1.74193,1256
2024-07-24 00:00:00,1.75,1.76,1.67,1.68,4655,1.7232,1331
2024-07-25 00:00:00,1.69,1.785,1.64,1.75,8213,1.74482,2265
2024-07-26 00:00:00,1.8,1.82,1.71,1.82,9785,1.77221,2664
2024-07-29 00:00:00,1.82,1.84,1.73,1.75,4325,1.76849,1313
2024-07-30 00:00:00,1.77,1.8308,1.755,1.79,6922,1.7788,1877
2024-07-31 00:00:00,1.79,1.82,1.73,1.73,7194,1.77723,1650
2024-08-01 00:00:00,1.73,1.75,1.62,1.67,8519,1.65549,2283
2024-08-02 00:00:00,1.56,1.68,1.55,1.66,13916,1.63451,4026
2024-08-05 00:00:00,1.53,1.6,1.4808,1.59,4635,1.56448,1084
2024-08-06 00:00:00,1.64,1.65,1.535,1.58,3722,1.57211,973
2024-08-07 00:00:00,1.61,1.625,1.47,1.47,5728,1.52158,1257
2024-08-08 00:00:00,1.49,1.6,1.47,1.59,16242,1.53483,3882
2024-08-09 00:00:00,1.13,1.13,0.82,0.8258,208399,0.88792,23677
2024-08-12 00:00:00,0.8597,0.8699,0.7269,0.75,96319,0.77358,12221
2024-08-13 00:00:00,0.7434,0.9085,0.7351,0.8701,108261,0.85078,12505
2024-08-14 00:00:00,0.8819,0.9468,0.8238,0.8531,34072,0.88317,6000
2024-08-15 00:00:00,0.8419,0.922,0.83,0.8801,41156,0.88931,7621
2024-08-16 00:00:00,0.88,0.9557,0.824,0.955,51808,0.8815,8718
2024-08-19 00:00:00,0.9656,1.0905,0.885,1.08,49780,0.99048,8798
2024-08-20 00:00:00,1.18,1.19,1.02,1.04,41509,1.06062,6387
2024-08-21 00:00:00,1.09,1.11,1.03,1.08,35752,1.07202,6675
2024-08-22 00:00:00,1.1,1.1,1.01,1.02,19349,1.0496,3658
2024-08-23 00:00:00,1.04,1.16,1.025,1.12,35618,1.11136,5290
2024-08-26 00:00:00,1.13,1.13,1.07,1.1,12940,1.10163,2716
2024-08-27 00:00:00,1.07,1.09,1.06,1.07,8257,1.07824,1560
2024-08-28 00:00:00,1.07,1.07,1.0,1.01,12862,1.02439,2143
