date,open,high,low,close,volume,average,barCount
2024-12-13,5.25,5.88,4.59,5.0,22982,5.275,3626
2024-12-16,5.1,5.17,4.66,5.07,1625,4.88,422
2024-12-17,5.01,5.25,4.88,5.16,1704,5.052,252
2024-12-18,5.24,5.6,5.0,5.22,812,5.324,280
2024-12-19,5.47,5.47,5.11,5.45,759,5.319,277
2024-12-20,5.5,5.5,5.15,5.38,141,5.365,95
2024-12-23,5.49,5.89,5.11,5.22,771,5.355,237
2024-12-24,5.29,5.45,5.18,5.35,1472,5.294,140
2024-12-26,5.25,5.45,5.21,5.44,53,5.354,38
2024-12-27,5.49,5.5,5.38,5.4,49,5.459,25
2024-12-30,5.47,5.99,5.4,5.76,456,5.755,218
2024-12-31,5.79,5.9,5.79,5.85,72,5.846,13
2025-01-02,5.84,6.27,5.73,5.84,744,5.945,172
2025-01-03,5.8,5.9,5.64,5.8,474,5.773,216
2025-01-06,5.86,6.06,5.3,5.4,443,5.718,245
2025-01-07,5.47,5.9,5.4,5.63,166,5.54,26
2025-01-08,5.45,7.8,5.45,6.69,3764,6.336,820
2025-01-10,7.29,7.95,6.5,7.01,8903,6.891,1790
2025-01-13,7.3,7.8,6.75,7.3,5332,7.047,893
2025-01-14,7.5,7.59,7.24,7.4,2109,7.314,459
2025-01-15,7.3,7.9,7.15,7.58,5950,7.645,1069
2025-01-16,7.46,7.95,7.44,7.76,4130,7.69,860
2025-01-17,7.74,9.26,7.74,9.19,1374,8.431,277
2025-01-21,9.43,9.82,8.0,8.45,1028,8.86,305
2025-01-22,8.15,8.4,6.59,7.38,764,7.502,339
2025-01-23,7.29,7.29,6.7,7.18,1084,7.01,356
2025-01-24,7.36,7.95,7.07,7.29,277,7.282,96
2025-01-27,7.2,7.56,7.16,7.23,103,7.26,48
2025-01-28,7.22,9.86,6.93,8.41,911,8.245,333
2025-01-29,8.21,9.03,7.64,8.96,1227,8.478,841
2025-01-30,8.89,9.7,8.03,8.28,506,8.547,209
2025-01-31,8.51,8.73,7.5,7.76,557,7.817,255
2025-02-03,7.66,7.9,7.2,7.27,591,7.528,300
2025-02-04,7.19,8.0,7.05,7.77,1298,7.517,416
2025-02-05,7.82,8.79,7.4,8.72,409,7.959,195
2025-02-06,8.88,8.88,7.9,8.17,234,8.312,108
2025-02-07,8.36,8.6,8.03,8.15,515,8.313,212
2025-02-10,8.31,8.47,8.1,8.47,175,8.279,93
2025-02-11,8.21,8.53,8.12,8.15,35,8.261,20
2025-02-12,8.1,8.28,7.98,8.28,42,8.144,26
2025-02-13,8.23,8.23,7.53,7.8,158,7.704,44
2025-02-14,7.5,7.89,7.5,7.89,28,7.722,20
2025-02-18,7.71,7.72,7.01,7.32,179,7.283,91
2025-02-19,7.68,7.75,7.3,7.32,58,7.532,44
2025-02-20,7.2,8.12,7.06,7.84,1341,7.575,641
2025-02-21,7.75,8.04,6.19,7.2,1177,7.423,702
2025-02-24,6.85,7.48,6.64,7.05,410,7.151,190
2025-02-25,7.08,8.29,6.65,7.58,1612,7.474,673
2025-02-26,7.65,7.65,7.3,7.3,152,7.579,14
2025-02-27,7.34,7.55,6.66,7.1,1434,7.099,459
2025-02-28,7.3,7.5,6.92,7.14,86,7.184,53
2025-03-03,7.82,7.98,7.2,7.7,1115,7.621,433
2025-03-04,7.77,8.97,7.65,8.04,516,7.9,99
2025-03-05,7.6,8.21,7.0,7.55,338,7.864,259
2025-03-06,7.9,8.35,7.77,8.21,193,8.013,84
2025-03-07,8.42,10.76,8.4,10.27,1086,9.738,519
2025-03-10,10.18,10.64,9.44,10.19,380,9.968,115
2025-03-11,9.76,10.98,9.6,10.43,280,9.966,95
2025-03-12,10.42,11.5,10.3,11.02,215,10.755,114
2025-03-13,10.92,11.4,10.8,10.9,87,11.002,37
2025-03-14,11.21,11.21,10.51,10.87,169,10.955,50
2025-03-17,10.7,11.49,10.7,10.99,101,11.146,56
2025-03-18,10.57,10.99,10.56,10.96,17,10.666,11
2025-03-19,11.2,11.2,9.32,9.32,91,10.083,33
