date,open,high,low,close,volume,average,barCount
2023-12-15,48.19,49.4,48.12,48.89,3089727,48.9505,136556
2023-12-18,49.39,50.43,49.15,50.08,2935701,49.8899,136088
2023-12-19,49.42,49.7,48.9,49.6,3183002,49.3044,148943
2023-12-20,49.65,50.0,48.1,48.11,2851865,49.2839,122558
2023-12-21,48.8,49.1,48.42,48.99,2191312,48.7288,94458
2023-12-22,49.2,49.38,48.47,48.83,1859404,48.9843,76633
2023-12-26,48.97,49.6,48.96,49.28,1688014,49.3717,70853
2023-12-27,49.51,49.68,49.09,49.42,1679662,49.3523,68565
2023-12-28,49.65,49.88,49.41,49.52,1774233,49.6483,79213
2023-12-29,49.81,50.0,48.75,49.52,2866955,49.5195,126557
2024-01-02,49.27,49.3,47.6,48.17,2859006,48.0404,136415
2024-01-03,47.47,48.19,47.32,47.57,2198004,47.6828,98072
2024-01-04,47.77,48.5,47.51,48.0,2151339,48.1027,98077
2024-01-05,48.46,49.55,48.31,49.1,2972249,49.0319,136329
2024-01-08,49.51,52.27,49.48,52.25,4551394,51.2955,215739
2024-01-09,52.42,54.33,51.69,53.14,5735959,53.1449,250279
2024-01-10,53.63,54.6,53.49,54.35,3919095,54.1696,164459
2024-01-11,54.98,55.35,53.56,54.82,4451027,54.579,181808
2024-01-12,54.62,54.97,54.33,54.71,2584446,54.6719,105481
2024-01-16,55.02,56.84,54.9,56.38,3133612,56.1261,138652
2024-01-17,56.35,56.47,54.74,56.05,3462897,55.6432,152526
2024-01-18,57.27,57.6,56.11,57.11,3452947,57.0649,158716
2024-01-19,57.97,59.5,57.23,59.49,3787335,58.4851,172348
2024-01-22,60.05,60.33,59.07,59.65,2983930,59.7794,138739
2024-01-23,59.57,59.91,58.59,59.87,2061318,59.4409,95860
2024-01-24,60.3,62.85,59.94,61.36,4085449,61.7563,184900
2024-01-25,62.34,62.72,60.85,61.62,3409535,61.9409,153009
2024-01-26,60.96,61.78,60.57,61.03,2719912,61.1652,122711
2024-01-29,61.25,62.49,60.91,62.46,2301981,61.7442,105591
2024-01-30,62.9,63.49,62.26,62.77,2871451,62.9069,131636
2024-01-31,61.44,62.27,60.7,61.53,3142713,61.5154,145664
2024-02-01,62.11,63.19,61.65,63.03,2595259,62.3981,120993
2024-02-02,63.97,66.6,63.69,66.16,3280477,65.6022,161227
2024-02-05,68.23,69.5,67.21,69.33,4697336,68.6347,222631
2024-02-06,69.63,69.75,66.3,68.22,4756746,67.7485,224890
2024-02-07,68.32,70.22,67.6,70.1,3366646,69.212,160242
2024-02-08,70.07,70.79,69.46,69.64,2759564,70.136,130502
2024-02-09,70.51,72.19,70.21,72.13,2990769,71.4536,149459
2024-02-12,72.59,74.61,71.25,72.25,4257285,72.9121,209080
2024-02-13,70.43,73.45,69.62,72.13,4115091,72.0073,204049
2024-02-14,73.2,74.24,71.94,73.9,3497273,73.2065,169033
2024-02-15,73.85,73.98,72.4,72.66,2839945,73.0232,141622
