date,open,high,low,close,volume,average,barCount
2023-12-21,3.23,3.25,3.18,3.25,9797,3.2147,311
2023-12-22,3.28,3.29,3.18,3.23,7061,3.2435,208
2023-12-26,3.25,3.32,3.24,3.28,8889,3.2818,250
2023-12-27,3.32,3.32,3.25,3.3,6572,3.2779,223
2023-12-28,3.33,3.36,3.3,3.3,6681,3.326,270
2023-12-29,3.34,3.36,3.21,3.3,6553,3.2947,226
2024-01-02,3.26,3.27,3.04,3.12,10280,3.1014,368
2024-01-03,3.03,3.11,3.02,3.04,9546,3.0519,311
2024-01-04,3.06,3.16,3.04,3.1,3829,3.112,182
2024-01-05,3.15,3.29,3.15,3.24,9233,3.2392,405
2024-01-08,3.29,3.65,3.28,3.65,21456,3.5316,636
2024-01-09,3.68,3.94,3.57,3.78,39324,3.7811,1104
2024-01-10,3.85,3.98,3.82,3.94,17850,3.9172,629
2024-01-11,4.02,4.09,3.83,4.01,36006,3.9695,930
2024-01-12,3.98,4.02,3.93,3.99,8378,3.986,336
2024-01-16,4.04,4.29,4.02,4.24,24282,4.2025,680
2024-01-17,4.24,4.24,3.98,4.18,22051,4.0953,607
2024-01-18,4.37,4.41,4.19,4.34,27224,4.3312,884
2024-01-19,4.48,4.71,4.36,4.69,31847,4.559,852
2024-01-22,4.8,4.83,4.62,4.73,24975,4.7278,948
2024-01-23,4.7,4.76,4.57,4.75,13414,4.668,437
2024-01-24,4.83,5.22,4.76,4.98,30420,5.0361,1048
2024-01-25,5.15,5.2,4.91,5.03,26798,5.0853,806
2024-01-26,4.91,5.05,4.85,4.92,32470,4.9496,1512
2024-01-29,4.97,5.16,4.9,5.16,15610,5.0306,570
2024-01-30,5.25,5.32,5.12,5.21,14111,5.2359,501
2024-01-31,4.98,5.12,4.86,4.99,33760,4.9997,1132
2024-02-01,5.1,5.26,5.03,5.24,22053,5.1344,803
2024-02-02,5.41,5.83,5.34,5.76,43978,5.6411,1479
2024-02-05,6.13,6.33,5.94,6.31,64960,6.1783,2462
2024-02-06,6.38,6.38,5.75,6.09,54120,6.0043,1829
2024-02-07,6.12,6.46,5.99,6.45,27493,6.2656,957
2024-02-08,6.44,6.56,6.33,6.35,26093,6.4306,962
2024-02-09,6.52,6.81,6.46,6.81,30636,6.6642,1216
2024-02-12,6.93,7.26,6.64,6.84,64655,6.9413,2611
2024-02-13,6.46,7.05,6.34,6.82,36133,6.7612,1565
2024-02-14,7.0,7.2,6.77,7.12,37159,6.9912,1478
2024-02-15,7.12,7.12,6.83,6.89,19813,6.9456,793
2024-02-16,7.14,7.2,6.85,6.87,25901,7.0496,1023
2024-02-20,6.73,6.75,5.95,6.28,74250,6.208,2650
2024-02-21,6.01,6.15,5.69,5.92,39773,5.9027,1770
2024-02-22,7.26,7.85,7.09,7.75,97238,7.5635,4577
2024-02-23,8.31,8.6,7.65,7.88,101902,8.148,4739
2024-02-26,8.08,8.25,7.83,7.96,59777,8.0479,2827
2024-02-27,7.99,8.01,7.56,7.89,40045,7.8344,1519
2024-02-28,7.63,7.9,7.55,7.63,30244,7.6954,1208
2024-02-29,7.91,8.13,7.78,7.98,43780,7.9902,2000
2024-03-01,8.15,8.58,8.01,8.56,39972,8.3587,1622
2024-03-04,8.99,9.69,8.88,9.18,60752,9.2917,2736
2024-03-05,9.18,9.36,8.78,9.35,56469,9.1161,2524
2024-03-06,9.8,10.15,9.59,9.95,75913,9.8857,3211
