date,open,high,low,close,volume,average,barCount
2025-02-20 08:00:00,24.25,24.25,24.25,24.25,49,24.25,1
2025-02-20 09:00:00,24.25,25.591,24.25,24.875,794,24.96773,398
2025-02-20 10:00:00,24.85,25.325,24.545,24.78,1050,24.84939,379
2025-02-20 11:00:00,24.78,25.05,24.77,24.84,718,24.92547,378
2025-02-20 12:00:00,24.84,25.04,24.62,24.655,715,24.81731,345
2025-02-20 13:00:00,24.655,24.6567,24.36,24.365,794,24.46704,482
2025-02-20 14:00:00,24.38,24.38,23.85,24.01,1485,24.01333,975
2025-02-20 15:00:00,24.01,24.34,23.87,24.135,2569,24.16846,1509
2025-02-20 16:00:00,24.15,24.15,24.15,24.15,1398,24.15,6
2025-02-20 17:00:00,25.35,25.35,25.35,25.35,4,25.35,1
2025-02-20 18:00:00,25.35,25.35,25.35,25.35,0,25.35,0
2025-02-20 19:00:00,25.35,25.35,25.35,25.35,0,25.35,0
2025-02-21 07:00:00,24.06,24.06,24.06,24.06,1,24.06,1
2025-02-21 08:00:00,24.41,24.41,24.41,24.41,1,24.41,1
2025-02-21 09:00:00,24.15,24.33,23.35,23.51,663,23.91074,168
2025-02-21 10:00:00,23.47,23.5593,22.89,23.3,896,23.22373,458
2025-02-21 11:00:00,23.34,23.47,23.19,23.21,533,23.36498,260
2025-02-21 12:00:00,23.25,23.26,22.89,22.89,696,23.10667,379
2025-02-21 13:00:00,22.91,22.9198,22.52,22.56,824,22.71544,538
2025-02-21 14:00:00,22.555,22.6767,22.43,22.455,707,22.54123,486
2025-02-21 15:00:00,22.445,22.6,22.35,22.53,2670,22.46186,1522
2025-02-21 16:00:00,22.53,22.53,22.53,22.53,1846,22.53,4
2025-02-21 17:00:00,22.53,22.53,22.53,22.53,0,22.53,0
2025-02-21 18:00:00,22.53,22.53,22.53,22.53,0,22.53,0
2025-02-21 19:00:00,22.53,22.53,22.53,22.53,0,22.53,0
2025-02-24 09:00:00,22.6,22.66,22.16,22.2,352,22.40321,188
2025-02-24 10:00:00,22.22,22.38,21.93,22.245,1276,22.14773,696
2025-02-24 11:00:00,22.24,22.53,22.24,22.25,725,22.39087,386
2025-02-24 12:00:00,22.275,22.44,22.26,22.26,812,22.33665,481
2025-02-24 13:00:00,22.25,22.29,22.19,22.24,512,22.25038,335
2025-02-24 14:00:00,22.25,22.4,22.23,22.255,774,22.32892,520
2025-02-24 15:00:00,22.255,22.3767,22.085,22.09,2250,22.23817,1118
2025-02-24 16:00:00,22.09,22.09,22.09,22.09,1678,22.09,10
2025-02-24 17:00:00,22.09,22.09,22.09,22.09,45,22.09,1
2025-02-24 18:00:00,22.09,22.09,22.09,22.09,0,22.09,0
2025-02-24 19:00:00,22.09,22.09,22.09,22.09,0,22.09,0
2025-02-25 09:00:00,22.26,22.57,22.06,22.4,1018,22.36134,372
2025-02-25 10:00:00,22.39,22.56,21.99,22.395,1713,22.35271,1055
2025-02-25 11:00:00,22.37,22.49,22.1,22.23,1170,22.35397,612
