date,open,high,low,close,volume,average,barCount
2024-01-02,16.74,17.24,16.7,17.02,11688,17.012,7486
2024-01-03,16.92,16.92,16.47,16.55,12783,16.714,8447
2024-01-04,16.6,16.88,16.53,16.69,9388,16.726,5526
2024-01-05,16.55,16.91,16.54,16.68,10217,16.763,7209
2024-01-08,16.68,16.95,16.57,16.95,10682,16.822,5984
2024-01-09,16.71,16.86,16.61,16.85,12190,16.783,7349
2024-01-10,16.8,16.86,16.62,16.81,10614,16.773,6678
2024-01-11,16.64,16.71,16.33,16.59,12953,16.482,8320
2024-01-12,16.76,16.82,16.28,16.4,9309,16.478,6027
2024-01-16,16.17,16.3,16.09,16.17,12268,16.182,7182
2024-01-17,15.85,16.26,15.79,16.15,10131,16.115,6806
2024-01-18,16.22,16.38,16.14,16.28,9135,16.253,6007
2024-01-19,16.34,16.66,16.2,16.66,9824,16.462,6938
2024-01-22,16.78,17.0,16.72,16.96,12887,16.859,7564
2024-01-23,17.18,17.24,16.72,16.72,12509,16.845,8598
2024-01-24,16.83,17.09,16.74,16.9,10007,16.924,7440
2024-01-25,17.12,17.15,16.73,17.09,12853,16.975,7878
2024-01-26,17.22,17.28,16.99,17.16,7939,17.164,5273
2024-01-29,17.15,17.43,17.1,17.4,8219,17.297,6164
2024-01-30,17.33,17.44,17.17,17.17,12492,17.279,7658
2024-01-31,16.78,17.09,16.43,16.47,16141,16.727,10332
2024-02-01,16.59,16.69,15.74,16.2,30134,16.104,18043
2024-02-02,15.94,16.25,15.87,16.06,17058,16.089,10889
2024-02-05,15.87,16.07,15.68,15.95,13571,15.899,7805
2024-02-06,15.9,16.15,15.74,15.83,9586,15.891,7162
2024-02-07,15.83,16.01,15.49,15.85,20306,15.847,12245
2024-02-08,15.73,15.94,15.68,15.89,12337,15.851,8043
2024-02-09,15.9,16.15,15.74,16.15,11288,16.025,7360
2024-02-12,16.09,16.66,16.09,16.34,21495,16.469,11256
2024-02-13,15.8,15.89,15.36,15.6,24719,15.629,15275
2024-02-14,15.77,15.95,15.56,15.91,12124,15.782,7831
2024-02-15,16.03,16.7,16.02,16.66,15728,16.511,9105
2024-02-16,16.56,16.66,16.3,16.44,16082,16.505,9089
2024-02-20,16.26,16.6,16.14,16.39,10570,16.455,6742
2024-02-21,16.27,16.35,16.11,16.26,15215,16.223,8726
2024-02-22,16.42,16.65,16.3,16.63,18784,16.53,10869
2024-02-23,16.54,16.7,16.37,16.4,8959,16.522,5870
2024-02-26,16.27,16.45,16.11,16.2,7993,16.246,5126
2024-02-27,16.34,16.44,16.23,16.37,7063,16.344,4729
2024-02-28,16.23,16.42,16.13,16.18,7522,16.249,4244
2024-02-29,16.49,16.64,16.27,16.43,8363,16.43,5469
2024-03-01,16.27,16.41,15.94,16.39,10713,16.265,5972
2024-03-04,16.31,16.5,16.09,16.13,8771,16.271,6500
2024-03-05,16.04,16.89,15.99,16.78,17812,16.696,8821
2024-03-06,16.78,16.97,16.29,16.77,16360,16.642,11650
2024-03-07,16.95,16.99,16.69,16.76,9578,16.816,6643
2024-03-08,16.99,17.01,16.74,16.78,9761,16.864,6598
2024-03-11,16.79,16.9,16.68,16.76,7710,16.802,5686
2024-03-12,16.71,16.84,16.46,16.53,7782,16.618,5172
2024-03-13,16.49,16.75,16.49,16.59,7417,16.633,4925
2024-03-14,16.51,16.59,16.07,16.19,8314,16.216,5598
2024-03-15,16.13,16.55,16.13,16.4,17204,16.361,8532
2024-03-18,16.35,16.36,16.13,16.18,10634,16.245,7112
2024-03-19,16.16,16.47,16.15,16.37,7947,16.363,5660
2024-03-20,16.21,17.0,16.15,16.89,17347,16.592,8268
2024-03-21,16.97,17.25,16.93,17.12,10932,17.076,6828
2024-03-22,17.2,17.22,16.79,16.82,9150,16.874,5832
2024-03-25,16.83,17.02,16.82,16.85,7789,16.887,4846
2024-03-26,16.98,17.0,16.79,16.87,8358,16.877,5515
2024-03-27,16.86,17.43,16.79,17.41,8499,17.239,5086
2024-03-28,17.4,17.51,17.32,17.41,12953,17.434,7825
2024-04-01,17.45,17.47,16.51,16.65,42204,16.706,18379
2024-04-02,16.5,16.54,16.2,16.21,44535,16.346,18425
2024-04-03,16.21,16.31,16.04,16.04,36576,16.129,14908
2024-04-04,16.38,16.8,16.37,16.65,44161,16.568,18216
