date,open,high,low,close,volume,average,barCount
2025-02-20 08:00:00,24.57,24.57,24.57,24.57,1,24.57,1
2025-02-20 09:00:00,24.47,24.47,24.08,24.14,2340,24.241,1117
2025-02-20 10:00:00,24.15,24.16,23.8,23.85,3394,23.952,2028
2025-02-20 11:00:00,23.86,23.96,23.73,23.95,2596,23.846,1544
2025-02-20 12:00:00,23.95,24.04,23.95,24.0,875,23.995,651
2025-02-20 13:00:00,24.0,24.02,23.92,23.95,1300,23.98,703
2025-02-20 14:00:00,23.95,24.0,23.91,23.98,995,23.97,691
2025-02-20 15:00:00,23.98,24.05,23.96,23.97,3156,23.992,2219
2025-02-20 16:00:00,23.97,23.97,23.97,23.97,2474,23.97,9
2025-02-20 17:00:00,23.97,23.97,23.97,23.97,0,23.97,0
2025-02-20 18:00:00,23.97,23.97,23.97,23.97,0,23.97,0
2025-02-20 19:00:00,23.97,23.97,23.97,23.97,0,23.97,0
2025-02-21 09:00:00,24.15,24.19,23.91,23.97,1456,24.102,327
2025-02-21 10:00:00,23.97,24.01,23.76,23.77,1634,23.913,1232
2025-02-21 11:00:00,23.78,23.92,23.78,23.89,1474,23.863,956
2025-02-21 12:00:00,23.89,23.95,23.79,23.81,1548,23.891,932
2025-02-21 13:00:00,23.8,23.82,23.51,23.51,4461,23.703,2190
2025-02-21 14:00:00,23.52,23.61,23.42,23.48,1790,23.52,1331
2025-02-21 15:00:00,23.46,23.64,23.43,23.46,5539,23.521,3529
2025-02-21 16:00:00,23.46,23.46,23.46,23.46,3620,23.46,16
2025-02-21 17:00:00,23.46,23.46,23.46,23.46,0,23.46,0
2025-02-21 18:00:00,23.46,23.46,23.46,23.46,0,23.46,0
2025-02-21 19:00:00,23.46,23.46,23.46,23.46,0,23.46,0
2025-02-24 09:00:00,23.65,23.65,23.41,23.41,719,23.534,460
2025-02-24 10:00:00,23.4,23.52,23.18,23.38,1822,23.359,1176
2025-02-24 11:00:00,23.39,23.57,23.37,23.46,1562,23.484,994
2025-02-24 12:00:00,23.46,23.56,23.45,23.52,2323,23.497,806
2025-02-24 13:00:00,23.52,23.58,23.48,23.48,1424,23.514,693
