date,open,high,low,close,volume,average,barCount
2024-05-24,8.82,8.91,8.5,8.55,4805,8.715,2062
2024-05-28,8.63,8.84,8.41,8.81,1681,8.678,1284
2024-05-29,8.63,8.66,8.33,8.45,1823,8.475,1282
2024-05-30,8.67,8.94,8.46,8.93,2117,8.805,1259
2024-05-31,9.0,9.32,8.93,8.99,1913,9.058,1368
2024-06-03,9.07,9.31,8.49,8.78,2584,8.712,1049
2024-06-04,8.9,8.97,8.63,8.66,1275,8.756,938
2024-06-05,8.74,9.37,8.51,9.17,3292,9.104,1473
2024-06-06,9.16,9.36,8.9,8.93,1019,9.05,644
2024-06-07,8.78,8.96,8.71,8.83,771,8.819,572
2024-06-10,8.72,8.91,8.49,8.6,1889,8.71,1358
2024-06-11,8.53,8.6,7.99,8.01,1492,8.15,1001
2024-06-12,8.32,8.72,7.82,7.9,2425,8.018,1702
2024-06-13,7.9,7.91,7.46,7.68,2960,7.641,2008
2024-06-14,7.59,7.92,7.41,7.49,2450,7.514,1525
2024-06-17,7.39,7.51,7.23,7.44,1677,7.376,1210
2024-06-18,7.43,7.68,7.18,7.18,935,7.296,706
2024-06-20,7.16,7.3,6.95,7.01,2012,7.104,1281
2024-06-21,7.07,7.33,6.99,7.23,2293,7.169,1073
2024-06-24,7.24,7.38,6.93,7.15,2198,7.119,1279
2024-06-25,7.12,7.13,6.63,6.74,1399,6.819,759
2024-06-26,6.71,6.71,6.39,6.63,5272,6.53,2731
2024-06-27,6.66,7.16,6.33,6.91,3955,6.716,2401
2024-06-28,6.95,7.1,6.8,7.07,2422,6.961,1599
2024-07-01,7.07,7.68,6.94,7.64,2378,7.407,1675
2024-07-02,7.59,7.84,7.25,7.52,2981,7.589,1793
2024-07-03,7.56,7.87,7.45,7.52,885,7.608,620
2024-07-05,7.55,7.8,7.32,7.69,1546,7.639,1066
2024-07-08,7.81,8.53,7.72,8.5,9003,8.257,3530
2024-07-09,8.49,9.4,8.39,9.34,9218,9.125,3381
2024-07-10,9.49,9.97,9.11,9.33,5684,9.384,3018
2024-07-11,9.71,10.02,9.34,9.6,6895,9.725,4825
2024-07-12,9.73,10.39,9.7,10.06,5950,10.032,3358
2024-07-15,10.06,10.91,9.77,10.75,3067,10.595,2244
2024-07-16,10.95,11.19,10.58,10.99,3156,10.972,2234
2024-07-17,11.63,11.96,9.96,10.22,5839,10.423,3727
2024-07-18,10.14,10.62,9.98,10.22,5017,10.327,3285
2024-07-19,10.24,10.37,10.03,10.22,1711,10.214,1166
2024-07-22,10.31,10.71,10.14,10.69,1280,10.514,1025
2024-07-23,10.68,11.38,10.61,11.26,2125,11.17,1578
2024-07-24,11.03,11.37,10.65,10.78,1919,10.951,1452
2024-07-25,10.9,11.44,10.84,11.24,2060,11.233,1427
2024-07-26,11.46,12.09,11.39,11.9,4376,11.939,1790
2024-07-29,11.86,11.94,10.88,11.13,1725,11.249,1123
2024-07-30,11.2,11.42,10.97,11.23,1338,11.186,891
2024-07-31,11.34,11.65,11.05,11.2,2309,11.385,1356
2024-08-01,11.2,11.26,10.57,10.61,3378,10.746,2013
2024-08-02,10.2,10.2,9.33,9.71,3272,9.663,1929
2024-08-05,9.01,9.19,8.58,8.87,4264,8.89,2784
2024-08-06,9.03,9.27,8.75,8.99,1685,9.034,1270
2024-08-07,9.21,9.21,8.45,8.47,2163,8.712,1257
2024-08-08,8.71,8.93,8.52,8.83,3051,8.769,2082
2024-08-09,8.88,9.1,8.11,8.39,2194,8.412,1279
2024-08-12,8.52,8.54,8.11,8.28,1142,8.344,803
2024-08-13,8.26,8.88,8.2,8.84,2069,8.585,1420
2024-08-14,8.87,9.96,8.71,9.87,7865,9.601,3039
2024-08-15,10.21,10.84,9.69,10.83,4464,10.394,2289
2024-08-16,10.85,10.94,9.21,9.3,3754,9.772,2236
2024-08-19,9.37,10.13,9.37,10.1,1906,9.819,1314
2024-08-20,10.1,10.16,9.57,9.86,2330,9.859,1477
2024-08-21,9.96,10.26,9.59,9.81,1741,9.814,1263
2024-08-22,9.84,9.93,9.11,9.19,2316,9.366,1608
2024-08-23,9.29,9.72,9.29,9.6,1573,9.576,1196
2024-08-26,9.76,10.19,9.6,10.18,2073,9.991,1545
2024-08-27,10.16,10.21,9.92,9.99,2146,10.042,1497
2024-08-28,10.0,10.36,9.82,10.17,1181,10.068,735
2024-08-29,10.17,10.63,10.05,10.2,969,10.323,626
2024-08-30,10.31,10.47,10.04,10.37,940,10.269,613
2024-09-03,10.17,10.73,9.89,10.07,2780,10.108,1730
2024-09-04,9.97,10.12,9.55,9.59,1904,9.749,1327
2024-09-05,9.63,9.91,9.36,9.48,1065,9.627,862
2024-09-06,9.81,9.83,9.11,9.65,1801,9.475,1151
2024-09-09,9.71,10.07,9.67,9.79,1740,9.806,1266
2024-09-10,9.8,10.11,9.72,9.96,1256,9.941,960
2024-09-11,9.95,10.15,9.69,9.9,1498,9.931,989
2024-09-12,9.91,10.0,8.91,9.06,1574,9.375,1120
2024-09-13,9.2,10.18,9.2,9.89,12534,9.774,4170
2024-09-16,9.93,10.3,9.8,9.99,4061,10.01,1555
2024-09-17,10.06,10.52,9.98,10.1,1538,10.157,906
2024-09-18,10.14,10.96,10.09,10.67,2055,10.534,1320
2024-09-19,11.12,12.83,11.04,11.16,6565,11.762,2840
2024-09-20,11.16,11.7,10.77,11.25,5184,11.232,2023
2024-09-23,11.3,11.53,10.67,10.73,3452,11.013,2108
2024-09-24,10.78,10.85,10.52,10.75,1368,10.718,812
2024-09-25,10.8,11.04,9.65,10.0,8161,10.566,1784
2024-09-26,10.28,10.52,10.0,10.36,1473,10.307,875
2024-09-27,10.48,10.88,10.39,10.65,1012,10.635,651
2024-09-30,10.53,10.9,9.99,10.25,1528,10.329,832
2024-10-01,10.15,10.15,9.69,10.04,2023,9.942,1190
2024-10-02,10.01,10.01,9.57,9.79,1133,9.768,846
2024-10-03,9.64,9.79,9.45,9.54,1181,9.629,730
2024-10-04,9.74,9.8,9.43,9.61,1100,9.632,614
2024-10-07,9.57,9.66,9.42,9.5,1809,9.523,901
2024-10-08,9.47,9.9,9.44,9.49,1427,9.629,876
2024-10-09,9.51,9.66,9.13,9.27,1007,9.335,650
2024-10-10,9.14,9.39,8.96,9.28,2384,9.218,1565
2024-10-11,9.26,9.4,9.14,9.33,1725,9.299,801
2024-10-14,9.33,9.82,9.25,9.54,1465,9.654,811
2024-10-15,9.54,9.67,9.25,9.52,1969,9.527,1046
2024-10-16,9.62,9.76,9.46,9.65,2913,9.611,1606
2024-10-17,9.7,9.74,9.1,9.15,1642,9.274,1070
2024-10-18,9.21,9.47,9.18,9.45,1094,9.322,566
2024-10-21,9.45,9.45,9.01,9.12,1371,9.128,731
2024-10-22,9.08,9.17,8.68,8.71,1225,8.841,643
2024-10-23,9.94,10.42,8.72,8.82,6678,9.429,2160
2024-10-24,8.8,8.93,8.33,8.44,1676,8.523,902
2024-10-25,8.44,8.6,8.14,8.15,972,8.339,578
2024-10-28,8.31,8.58,8.17,8.45,1703,8.362,891
2024-10-29,8.37,9.19,8.15,9.0,10589,8.811,1881
2024-10-30,8.94,9.77,8.94,9.42,2888,9.506,1501
2024-10-31,10.25,10.37,9.27,9.38,3831,9.643,1567
2024-11-01,9.5,9.64,9.25,9.41,1168,9.438,732
2024-11-04,9.4,9.53,8.71,9.48,3898,9.182,1543
2024-11-05,9.52,9.79,8.96,9.68,5260,9.352,1160
2024-11-06,10.09,10.55,9.8,10.3,3021,10.238,1858
2024-11-07,10.27,10.47,9.77,9.95,1369,10.058,859
2024-11-08,9.93,10.29,9.84,10.26,639,10.102,468
2024-11-11,10.43,10.6,10.19,10.3,1257,10.331,809
2024-11-12,10.1,10.36,10.06,10.26,1423,10.245,845
2024-11-13,10.23,11.11,10.21,10.27,1405,10.578,762
2024-11-14,10.15,10.61,8.71,8.83,5217,9.529,2297
2024-11-15,9.01,9.11,8.1,8.5,3797,8.401,2492
2024-11-18,8.51,8.81,8.12,8.56,3174,8.55,2007
2024-11-19,8.5,8.9,8.37,8.89,1352,8.727,1048
2024-11-20,8.8,8.85,8.48,8.74,1343,8.682,1019
2024-11-21,8.93,9.31,8.51,9.12,1933,9.01,1181
2024-11-22,9.19,9.72,9.02,9.59,1498,9.51,722
2024-11-25,9.84,10.06,9.67,9.87,3976,9.821,1700
2024-11-26,9.83,9.96,9.43,9.8,1055,9.769,749
2024-11-27,9.86,10.06,9.69,9.97,1290,9.95,913
2024-11-29,10.0,10.07,9.78,9.9,651,9.922,407
2024-12-02,9.92,10.35,9.7,10.17,1565,9.938,854
2024-12-03,10.06,10.09,9.43,9.6,1340,9.674,906
