date,open,high,low,close,volume,average,barCount
2024-08-01,4.0,4.0,2.51,2.51,3644,3.29,853
2024-08-02,2.97,4.9,2.79,4.0,43140,4.07,12810
2024-08-05,3.67,4.0,2.51,2.85,2852,3.45155,815
2024-08-06,3.24,3.35,2.88,3.35,2411,3.20872,555
2024-08-07,3.65,3.65,3.12,3.35,964,3.37635,179
2024-08-08,3.42,3.42,3.05,3.16,615,3.14872,178
2024-08-09,3.23,4.67,3.1,4.22,4260,3.92843,1285
2024-08-12,4.25,4.25,3.6,3.61,1190,3.86181,409
2024-08-13,3.47,4.09,2.56,3.2,2509,3.28131,799
2024-08-14,3.49,3.8,2.89,3.16,2229,3.3186,477
2024-08-15,3.1,3.64,3.1,3.54,2006,3.42269,729
2024-08-16,3.46,3.64,3.2,3.48,740,3.40026,286
2024-08-19,3.51,4.0,3.33,3.99,1074,3.78438,362
2024-08-20,4.0,4.0,3.7,3.88,772,3.85215,323
2024-08-21,3.95,4.35,3.76,4.04,1041,4.09321,391
2024-08-22,4.19,4.29,3.95,4.02,832,4.09834,302
2024-08-23,4.07,4.29,3.9,4.15,555,4.12813,173
2024-08-26,4.4,4.47,4.05,4.05,1264,4.28411,445
2024-08-27,4.08,4.2,3.9,4.04,689,4.04862,228
2024-08-28,4.05,4.09,3.64,3.64,1227,3.92593,339
2024-08-29,3.8,3.94,3.27,3.62,559,3.58045,222
2024-08-30,3.85,4.31,3.72,4.14,1035,4.10296,329
2024-09-03,4.1,4.15,3.76,3.96,714,4.02579,172
2024-09-04,4.01,4.22,3.89,4.12,583,4.09058,175
2024-09-05,4.08,4.14,3.88,4.0,192,3.99671,85
2024-09-06,4.02,4.18,3.9,4.18,333,4.01734,150
2024-09-09,4.18,4.18,4.05,4.17,474,4.13276,301
2024-09-10,4.15,4.2,3.75,3.75,667,3.95564,409
2024-09-11,3.87,3.87,3.25,3.51,724,3.64059,279
2024-09-12,3.72,3.75,3.5,3.5,216,3.64789,90
2024-09-13,3.66,3.66,3.26,3.44,970,3.41572,282
2024-09-16,3.26,3.6,3.26,3.54,241,3.45315,75
2024-09-17,3.48,3.7,3.45,3.53,225,3.58481,96
2024-09-18,3.53,3.77,3.45,3.52,352,3.55284,131
2024-09-19,3.62,3.62,3.45,3.55,190,3.53569,85
2024-09-20,3.5,3.68,3.45,3.48,334,3.55717,276
2024-09-23,3.51,3.6,3.21,3.21,197,3.43609,128
2024-09-24,3.21,3.4,3.03,3.28,282,3.25069,95
2024-09-25,3.23,3.24,2.86,2.95,960,3.02681,193
2024-09-26,2.99,3.13,2.91,2.96,768,3.01056,199
2024-09-27,2.95,3.05,2.77,2.88,1041,2.91297,476
2024-09-30,2.88,3.04,2.8,2.8,313,2.89669,133
2024-10-01,2.81,3.03,2.81,2.87,374,2.89871,185
2024-10-02,2.9,3.05,2.8,2.91,285,2.90657,92
2024-10-03,2.89,3.75,2.89,3.0,1084,3.32306,352
2024-10-04,3.15,3.4,3.03,3.28,395,3.21722,133
2024-10-07,3.33,3.34,3.1,3.28,170,3.21645,78
2024-10-08,3.25,3.28,3.05,3.15,148,3.17367,84
2024-10-09,3.18,3.35,3.03,3.13,137,3.14313,54
2024-10-10,3.13,3.25,2.95,3.07,180,3.1028,62
2024-10-11,3.01,3.07,2.95,3.0,88,3.0275,46
2024-10-14,3.02,3.24,3.0,3.01,64,3.07983,38
2024-10-15,2.93,3.14,2.86,3.02,134,2.96265,65
2024-10-16,2.9,3.15,2.89,3.14,187,3.04731,102
2024-10-17,3.14,3.15,3.02,3.02,69,3.06647,32
2024-10-18,3.03,3.13,3.01,3.02,85,3.09334,26
2024-10-21,3.08,3.13,2.99,2.99,143,3.04855,72
2024-10-22,2.96,3.13,2.92,3.0,147,3.0231,62
2024-10-23,3.0,3.06,2.94,2.99,70,3.00607,36
2024-10-24,2.97,3.06,2.91,2.91,180,2.94972,44
2024-10-25,2.98,3.02,2.86,2.86,105,2.94428,34
2024-10-28,2.87,2.99,2.87,2.91,138,2.91761,21
2024-10-29,2.92,2.95,2.65,2.66,153,2.80472,51
2024-10-30,2.57,2.72,2.56,2.71,358,2.60481,86
2024-10-31,2.79,2.83,2.62,2.62,143,2.73241,46
2024-11-01,2.74,2.89,2.63,2.63,86,2.79651,29
2024-11-04,2.61,2.74,2.61,2.65,84,2.66873,16
2024-11-05,2.66,2.71,2.6,2.62,107,2.66068,10
2024-11-06,2.71,2.78,2.68,2.78,96,2.72736,39
2024-11-07,2.77,2.85,2.76,2.81,36,2.81192,14
2024-11-08,2.87,2.95,2.67,2.85,105,2.85153,45
2024-11-11,2.81,2.88,2.55,2.68,95,2.70918,37
2024-11-12,2.7,2.88,2.6,2.63,67,2.68484,22
2024-11-13,2.5,2.79,2.49,2.52,528,2.51321,68
2024-11-14,2.74,2.76,2.14,2.2,400,2.39292,104
2024-11-15,2.5,2.5,2.1,2.2,194,2.20079,63
2024-11-18,2.2,2.34,2.06,2.06,241,2.24689,27
2024-11-19,2.06,2.18,1.58,1.77,602,1.82119,267
2024-11-20,1.72,1.84,1.665,1.725,591,1.72234,125
2024-11-21,1.75,1.936,1.72,1.855,347,1.81225,119
2024-11-22,1.86,2.0624,1.86,1.95,171,1.98122,60
2024-11-25,1.99,2.06,1.82,2.05,243,1.9879,100
2024-11-26,2.02,2.06,1.9461,2.0,80,2.01509,39
2024-11-27,2.06,2.2566,1.925,2.06,96,2.06701,26
2024-11-29,1.93,2.2,1.93,2.14,32,2.06525,16
2024-12-02,2.19,2.27,2.1,2.23,302,2.17241,75
2024-12-03,2.22,2.2271,2.0,2.08,292,2.09683,62
2024-12-04,2.08,2.1831,1.92,1.96,193,1.99048,61
2024-12-05,1.95,2.05,1.85,1.86,119,1.91675,56
2024-12-06,1.87,2.0,1.8248,1.88,97,1.90559,31
2024-12-09,1.905,2.1899,1.8914,2.08,152,2.01931,50
2024-12-10,2.25,2.69,2.155,2.5,885,2.51427,222
2024-12-11,2.49,3.74,2.49,3.67,2608,3.1646,883
2024-12-12,3.92,4.77,3.1,4.46,2071,4.00058,815
2024-12-13,4.25,4.2926,2.755,3.02,3163,3.25361,1123
2024-12-16,3.25,3.59,3.05,3.48,497,3.25707,166
2024-12-17,3.38,6.48,3.26,4.8925,4989,4.98788,1602
