date,open,high,low,close,volume,average,barCount
2023-12-20,6.82,7.28,6.34,6.37,10914,6.775,3371
2023-12-21,6.61,6.99,6.49,6.92,7733,6.78,2366
2023-12-22,7.07,7.33,6.89,7.23,6530,7.19,2176
2023-12-26,7.3,8.26,7.23,8.2,14499,7.897,4375
2023-12-27,8.31,8.56,8.14,8.32,10938,8.356,3797
2023-12-28,8.2,8.21,7.91,8.0,7141,8.034,2776
2023-12-29,7.95,7.95,7.57,7.67,7172,7.694,2493
2024-01-02,7.5,7.52,7.09,7.15,6558,7.223,2906
2024-01-03,6.95,7.0,6.7,6.92,8532,6.872,3490
2024-01-04,6.92,7.15,6.77,6.87,6798,7.023,2658
2024-01-05,6.82,7.0,6.66,6.99,6413,6.879,2791
2024-01-08,6.96,7.35,6.94,7.1,5139,7.174,1806
2024-01-09,6.98,7.74,6.74,7.39,11460,7.398,3399
2024-01-10,7.39,7.43,6.57,6.76,10068,6.796,3572
2024-01-11,6.62,6.82,6.23,6.65,9107,6.48,3364
2024-01-12,6.66,6.92,6.39,6.63,7176,6.557,3203
2024-01-16,6.5,6.5,6.23,6.23,8068,6.363,2718
2024-01-17,6.0,6.14,5.86,6.12,5587,6.052,2736
2024-01-18,6.23,6.23,5.77,6.05,9081,5.962,4002
2024-01-19,6.1,6.19,5.87,6.13,5804,6.037,2229
2024-01-22,6.22,6.68,6.2,6.34,4410,6.376,2138
2024-01-23,6.47,6.59,5.96,6.01,5649,6.142,2209
2024-01-24,6.18,6.18,5.64,5.73,6229,5.793,2618
2024-01-25,5.75,5.76,5.55,5.69,4229,5.654,1655
2024-01-26,5.72,5.89,5.5,5.55,4777,5.614,2093
2024-01-29,5.55,6.0,5.41,5.94,6719,5.777,2916
2024-01-30,5.9,5.91,5.34,5.39,5697,5.54,2316
2024-01-31,5.4,5.52,5.2,5.22,4003,5.353,1849
2024-02-01,5.27,5.36,4.94,4.98,10052,5.065,5032
2024-02-02,4.9,5.04,4.73,5.0,6402,4.931,2736
2024-02-05,4.86,4.92,4.69,4.71,5095,4.771,2110
2024-02-06,4.75,5.05,4.65,4.99,7451,4.931,2968
2024-02-07,4.98,5.02,4.82,4.93,3266,4.918,1568
2024-02-08,4.9,5.18,4.85,5.06,4834,5.061,2174
2024-02-09,5.15,5.4,5.1,5.4,3697,5.297,1740
2024-02-12,5.4,5.91,5.37,5.79,6196,5.729,2864
2024-02-13,5.5,5.57,5.24,5.29,4979,5.382,2192
2024-02-14,5.48,5.83,5.44,5.73,5509,5.696,2135
2024-02-15,5.82,6.08,5.77,5.91,5478,5.942,1939
2024-02-16,5.82,5.89,5.63,5.8,3103,5.732,1601
2024-02-20,5.71,5.8,5.5,5.6,3572,5.591,1422
2024-02-21,5.5,5.53,5.34,5.44,3707,5.435,1577
2024-02-22,5.46,5.54,5.39,5.45,4312,5.462,1791
2024-02-23,5.41,5.45,5.13,5.37,4247,5.296,1878
2024-02-26,5.45,5.68,5.36,5.53,6103,5.495,2232
2024-02-27,5.63,5.73,5.48,5.57,4222,5.597,1735
2024-02-28,5.4,5.58,5.31,5.33,3951,5.416,1406
2024-02-29,5.43,5.72,5.32,5.43,4415,5.471,1403
2024-03-01,5.4,5.61,5.24,5.56,5209,5.477,1747
2024-03-04,5.61,5.61,5.26,5.39,4211,5.368,1310
2024-03-05,5.3,5.3,5.05,5.15,4232,5.171,1494
2024-03-06,5.26,5.52,5.15,5.36,3321,5.376,1346
2024-03-07,5.45,5.47,5.28,5.34,2486,5.396,1070
2024-03-08,5.47,5.77,5.45,5.53,4705,5.612,1894
2024-03-11,5.5,5.71,5.41,5.48,2766,5.512,1172
2024-03-12,5.46,5.46,4.97,5.06,10548,5.138,3461
2024-03-13,5.03,5.21,4.97,5.09,4394,5.096,2002
2024-03-14,5.05,5.15,4.65,4.73,8025,4.835,3083
2024-03-15,4.72,4.98,4.66,4.82,5517,4.831,2169
2024-03-18,4.84,5.06,4.68,4.88,3781,4.904,1444
2024-03-19,4.79,5.01,4.75,4.95,2848,4.919,1248
2024-03-20,4.89,5.09,4.79,5.02,4172,4.92,1699
2024-03-21,5.1,5.2,5.05,5.14,3334,5.134,1316
2024-03-22,5.14,5.14,4.91,4.94,2523,4.98,1149
