date,open,high,low,close,volume,average,barCount
2024-05-09,15.0,15.24,14.74,14.75,30950,14.921,12013
2024-05-10,14.8,15.2,14.8,15.0,3088,14.982,1695
2024-05-13,15.25,15.25,14.95,15.03,1325,15.056,549
2024-05-14,15.25,15.3,14.91,15.19,1818,15.177,948
2024-05-15,15.38,15.38,15.02,15.18,1049,15.188,348
2024-05-16,15.05,15.34,14.92,15.1,718,15.08,247
2024-05-17,15.02,15.02,14.77,14.78,1052,14.927,434
2024-05-20,14.99,15.0,14.85,14.9,918,14.92,347
2024-05-21,14.9,14.99,14.75,14.8,1996,14.839,773
2024-05-22,14.93,15.0,14.74,14.92,1392,14.921,587
2024-05-23,14.82,15.05,14.78,14.86,563,14.934,342
2024-05-24,14.83,15.05,14.81,14.98,511,14.988,232
2024-05-28,14.93,15.05,14.93,15.04,608,14.993,404
2024-05-29,15.0,15.06,14.86,15.0,512,15.008,388
2024-05-30,15.0,15.16,14.9,15.13,892,15.057,403
2024-05-31,15.06,15.31,14.85,15.31,2009,15.054,473
2024-06-03,15.35,15.37,15.02,15.27,757,15.237,470
2024-06-04,15.17,15.36,15.01,15.11,567,15.125,406
2024-06-05,15.12,15.25,15.02,15.1,644,15.128,440
2024-06-06,14.96,15.15,14.9,15.05,612,15.063,452
2024-06-07,15.05,15.25,14.82,15.03,531,15.015,362
2024-06-10,15.24,15.42,15.14,15.26,1153,15.251,586
2024-06-11,15.26,15.37,14.86,14.92,590,15.02,348
2024-06-12,15.13,15.36,15.03,15.22,2009,15.242,958
2024-06-13,15.24,15.25,14.57,14.95,1286,14.805,548
2024-06-14,14.79,15.25,14.64,15.25,3503,15.145,377
2024-06-17,15.24,15.34,14.96,15.06,1096,15.149,399
2024-06-18,15.09,16.53,14.5,15.25,2225,15.244,859
2024-06-20,15.1,15.79,15.1,15.61,2008,15.374,999
2024-06-21,15.57,16.03,15.34,15.91,2226,15.723,1090
2024-06-24,15.92,16.4,15.92,16.2,3241,16.258,1574
2024-06-25,16.3,16.73,15.94,16.31,2853,16.298,1779
2024-06-26,16.46,16.87,16.34,16.73,1849,16.637,1240
2024-06-27,16.79,16.9,16.09,16.22,1540,16.377,1125
2024-06-28,16.17,16.36,15.76,16.06,2014,16.046,1384
2024-07-01,16.03,16.88,16.03,16.21,901,16.592,513
2024-07-02,16.12,16.89,16.12,16.55,649,16.656,520
2024-07-03,16.75,17.0,16.53,16.98,1107,16.885,498
2024-07-05,16.9,17.22,16.5,17.1,900,16.925,305
2024-07-08,17.24,17.53,16.9,17.22,1862,17.299,990
2024-07-09,17.35,17.75,17.05,17.26,1085,17.302,515
2024-07-10,17.4,17.57,17.21,17.34,700,17.379,485
2024-07-11,17.53,17.61,17.36,17.39,574,17.466,289
2024-07-12,17.63,17.69,17.24,17.32,398,17.423,194
2024-07-15,17.47,17.76,17.08,17.4,414,17.323,307
2024-07-16,17.55,18.19,17.4,17.95,2438,17.677,873
2024-07-17,18.03,18.65,17.37,18.42,1474,18.212,1077
2024-07-18,18.5,19.0,17.63,17.96,1203,18.151,835
2024-07-19,18.15,18.76,17.95,18.56,2054,18.38,1222
2024-07-22,18.52,18.9,17.59,18.5,1153,18.436,669
2024-07-23,18.44,19.19,18.33,18.73,1009,18.83,676
2024-07-24,18.71,18.71,18.09,18.19,331,18.35,248
2024-07-25,18.4,19.51,18.23,19.03,3787,18.905,1299
2024-07-26,19.09,19.59,18.92,19.41,3763,19.28,1008
2024-07-29,19.41,19.62,18.66,19.29,1647,19.272,936
2024-07-30,19.5,20.62,19.47,20.32,4815,20.169,1379
2024-07-31,20.48,21.01,20.1,20.15,1170,20.626,664
2024-08-01,20.15,20.57,19.37,19.56,470,19.776,323
2024-08-02,19.18,19.57,18.46,19.13,678,19.05,437
2024-08-05,18.56,19.03,17.99,18.78,503,18.726,369
2024-08-06,18.96,19.52,18.75,19.28,884,19.097,484
2024-08-07,19.57,19.62,18.49,18.61,1179,18.958,812
2024-08-08,18.68,19.4,18.51,19.13,458,18.939,365
2024-08-09,19.31,20.3,18.2,18.77,1627,18.886,1015
2024-08-12,18.71,19.66,18.45,19.66,886,19.316,613
2024-08-13,19.86,20.8,19.84,20.1,1005,20.165,529
2024-08-14,20.05,20.85,19.83,20.49,664,20.191,337
2024-08-15,20.24,20.34,19.03,19.06,1982,19.318,763
2024-08-16,18.96,19.57,18.59,18.85,852,18.871,627
