date,open,high,low,close,volume,average,barCount
2024-12-27,4.1,4.46,3.7,4.07,17175,4.257,2088
2024-12-30,4.2,5.2,3.92,4.85,3885,4.492,803
2024-12-31,4.91,6.9,4.84,6.29,3977,5.858,1258
2025-01-02,5.88,6.02,4.3,4.6,1853,5.138,672
2025-01-03,4.64,4.64,4.2,4.4,1608,4.411,525
2025-01-06,4.42,5.34,4.42,4.71,591,4.786,274
2025-01-07,4.97,5.2,4.69,4.99,218,4.968,89
2025-01-08,4.99,5.2,4.6,4.63,346,4.89,176
2025-01-10,4.54,5.2,4.54,4.83,269,4.906,118
2025-01-13,4.93,5.75,4.74,5.75,657,5.321,365
2025-01-14,5.75,6.01,5.5,5.78,670,5.738,255
2025-01-15,5.72,5.84,5.36,5.8,575,5.611,310
2025-01-16,5.96,6.08,5.61,5.85,516,5.778,222
2025-01-17,5.95,6.05,5.65,5.71,121,5.834,57
2025-01-21,5.8,6.0,5.75,5.89,149,5.901,41
2025-01-22,5.74,5.93,5.01,5.25,338,5.316,156
2025-01-23,5.49,5.77,5.38,5.7,108,5.556,46
2025-01-24,5.98,5.98,5.23,5.49,514,5.572,314
2025-01-27,5.51,5.74,5.1,5.35,605,5.504,321
2025-01-28,5.3,5.6,5.3,5.34,74,5.416,23
2025-01-29,5.45,5.7,5.25,5.69,84,5.461,48
2025-01-30,5.75,6.65,5.75,6.11,612,6.096,286
2025-01-31,5.65,6.32,5.41,6.0,482,5.921,225
2025-02-03,5.82,6.32,5.79,6.19,122,6.056,76
2025-02-04,6.19,6.33,5.85,6.18,154,6.068,68
2025-02-05,5.95,6.15,5.03,5.28,451,5.709,214
2025-02-06,5.42,5.74,5.4,5.48,81,5.507,43
2025-02-07,5.32,5.75,5.32,5.6,67,5.529,33
2025-02-10,5.6,5.6,5.21,5.28,121,5.383,73
2025-02-11,5.2,5.36,4.55,5.26,163,5.039,86
2025-02-12,5.27,5.27,5.01,5.12,58,5.113,21
2025-02-13,5.15,5.56,5.13,5.55,70,5.27,44
2025-02-14,5.25,5.57,5.17,5.26,59,5.296,28
2025-02-18,5.25,5.6,4.94,5.6,106,5.164,50
2025-02-19,5.31,5.56,5.2,5.56,67,5.28,18
2025-02-20,5.21,5.47,5.2,5.45,8,5.344,8
2025-02-21,5.21,5.45,5.21,5.44,54,5.415,20
2025-02-24,5.0,5.38,5.0,5.38,17,5.155,6
2025-02-25,5.0,5.37,5.0,5.24,14,5.283,5
2025-02-26,5.0,5.45,5.0,5.45,29,5.192,10
2025-02-27,5.94,5.94,5.19,5.19,18,5.695,6
2025-02-28,5.48,5.48,5.22,5.24,21,5.278,10
2025-03-03,5.19,5.82,5.15,5.82,2452,5.408,374
2025-03-04,5.8,7.41,5.74,7.19,2737,6.651,606
2025-03-05,7.41,7.81,6.15,6.65,4615,7.329,997
2025-03-06,6.75,7.0,6.1,6.9,4013,6.663,781
2025-03-07,6.79,7.98,6.43,7.69,3920,7.33,462
2025-03-10,7.9,9.17,7.7,8.04,3971,8.322,487
2025-03-11,8.12,8.95,7.68,8.3,3978,8.284,425
2025-03-12,8.23,9.0,7.85,8.75,5050,8.286,846
2025-03-13,8.71,9.0,8.15,8.24,4454,8.503,624
2025-03-14,8.29,8.65,7.51,7.7,4168,8.385,362
2025-03-17,8.38,8.39,6.9,7.89,5034,7.824,911
2025-03-18,7.8,10.98,7.3,10.47,4800,9.105,1575
2025-03-19,10.6,11.0,9.52,9.72,5143,10.478,833
2025-03-20,9.6,11.91,9.26,11.03,4808,10.525,1109
2025-03-21,11.0,13.98,11.0,13.48,5132,12.125,1074
2025-03-24,13.31,13.32,10.13,10.82,5020,12.122,1326
2025-03-25,11.23,11.88,9.45,9.54,6180,9.919,1054
2025-03-26,9.57,11.31,9.3,10.36,3809,9.987,854
2025-03-27,10.28,12.41,10.05,11.8,4131,11.325,782
