date,open,high,low,close,volume,average,barCount
2024-12-27 00:00:00,4.1,4.46,3.7,4.07,17175,4.257,2088
2024-12-30 00:00:00,4.2,5.2,3.92,4.85,3885,4.492,803
2024-12-31 00:00:00,4.91,6.9,4.84,6.29,3977,5.858,1258
2025-01-02 00:00:00,5.88,6.02,4.3,4.6,1853,5.138,672
2025-01-03 00:00:00,4.64,4.64,4.2,4.4,1608,4.411,525
2025-01-06 00:00:00,4.42,5.34,4.42,4.71,591,4.786,274
2025-01-07 00:00:00,4.97,5.2,4.69,4.99,218,4.968,89
2025-01-08 00:00:00,4.99,5.2,4.6,4.63,346,4.89,176
2025-01-10 00:00:00,4.54,5.2,4.54,4.83,269,4.906,118
2025-01-13 00:00:00,4.93,5.75,4.74,5.75,657,5.321,365
2025-01-14 00:00:00,5.75,6.01,5.5,5.78,670,5.738,255
2025-01-15 00:00:00,5.72,5.84,5.36,5.8,575,5.611,310
2025-01-16 00:00:00,5.96,6.08,5.61,5.85,516,5.778,222
2025-01-17 00:00:00,5.95,6.05,5.65,5.71,121,5.834,57
2025-01-21 00:00:00,5.8,6.0,5.75,5.89,149,5.901,41
2025-01-22 00:00:00,5.74,5.93,5.01,5.25,338,5.316,156
2025-01-23 00:00:00,5.49,5.77,5.38,5.7,108,5.556,46
2025-01-24 00:00:00,5.98,5.98,5.23,5.49,514,5.572,314
2025-01-27 00:00:00,5.51,5.74,5.1,5.35,605,5.504,321
2025-01-28 00:00:00,5.3,5.6,5.3,5.34,74,5.416,23
2025-01-29 00:00:00,5.45,5.7,5.25,5.69,84,5.461,48
2025-01-30 00:00:00,5.75,6.65,5.75,6.11,612,6.096,286
2025-01-31 00:00:00,5.65,6.32,5.41,6.0,482,5.921,225
2025-02-03 00:00:00,5.82,6.32,5.79,6.19,122,6.056,76
2025-02-04 00:00:00,6.19,6.33,5.85,6.18,154,6.068,68
2025-02-05 00:00:00,5.95,6.15,5.03,5.28,451,5.709,214
2025-02-06 00:00:00,5.42,5.74,5.4,5.48,81,5.507,43
2025-02-07 00:00:00,5.32,5.75,5.32,5.6,67,5.529,33
2025-02-10 00:00:00,5.6,5.6,5.21,5.28,121,5.383,73
2025-02-11 00:00:00,5.2,5.36,4.55,5.26,163,5.039,86
2025-02-12 00:00:00,5.27,5.27,5.01,5.12,58,5.113,21
2025-02-13 00:00:00,5.15,5.56,5.13,5.55,70,5.27,44
2025-02-14 00:00:00,5.25,5.57,5.17,5.26,59,5.296,28
2025-02-18 00:00:00,5.25,5.6,4.94,5.6,106,5.164,50
2025-02-18 10:00:00,5.25,5.25,4.94,5.2,52,5.101,24
2025-02-18 11:00:00,5.2,5.3,5.13,5.3,23,5.201,12
2025-02-18 12:00:00,5.3,5.3,5.3,5.3,0,5.3,0
2025-02-18 13:00:00,5.3,5.3,5.3,5.3,4,5.3,2
2025-02-18 14:00:00,5.25,5.25,5.15,5.15,11,5.227,6
2025-02-18 15:00:00,5.2,5.6,5.2,5.6,15,5.243,6
2025-02-18 16:00:00,5.6,5.6,5.6,5.6,0,5.6,0
2025-02-18 17:00:00,5.6,5.6,5.6,5.6,0,5.6,0
2025-02-18 18:00:00,5.6,5.6,5.6,5.6,0,5.6,0
2025-02-18 19:00:00,5.6,5.6,5.6,5.6,0,5.6,0
2025-02-19 00:00:00,5.31,5.56,5.2,5.56,67,5.28,18
2025-02-19 09:00:00,5.5,5.5,5.2,5.22,54,5.292,8
2025-02-19 10:00:00,5.22,5.22,5.2,5.2,9,5.207,7
2025-02-19 11:00:00,5.28,5.3,5.28,5.3,2,5.292,2
2025-02-19 12:00:00,5.3,5.3,5.3,5.3,0,5.3,0
2025-02-19 13:00:00,5.3,5.3,5.3,5.3,0,5.3,0
2025-02-19 14:00:00,5.3,5.3,5.3,5.3,0,5.3,0
2025-02-19 15:00:00,5.21,5.56,5.21,5.56,2,5.385,2
2025-02-19 16:00:00,5.56,5.56,5.56,5.56,0,5.56,0
2025-02-19 17:00:00,5.56,5.56,5.56,5.56,0,5.56,0
2025-02-19 18:00:00,5.56,5.56,5.56,5.56,0,5.56,0
2025-02-19 19:00:00,5.56,5.56,5.56,5.56,0,5.56,0
2025-02-20 00:00:00,5.21,5.47,5.2,5.45,8,5.344,8
2025-02-20 09:00:00,5.21,5.21,5.2,5.2,2,5.205,2
2025-02-20 10:00:00,5.29,5.32,5.29,5.32,3,5.311,3
2025-02-20 11:00:00,5.45,5.47,5.44,5.45,3,5.453,3
2025-02-20 12:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-20 13:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-20 14:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-20 15:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-20 16:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-20 17:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-20 18:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-20 19:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-21 00:00:00,5.21,5.45,5.21,5.44,54,5.415,20
2025-02-21 10:00:00,5.21,5.4,5.21,5.39,4,5.347,3
2025-02-21 11:00:00,5.41,5.45,5.29,5.44,50,5.42,17
2025-02-21 12:00:00,5.44,5.44,5.44,5.44,0,5.44,0
2025-02-21 13:00:00,5.44,5.44,5.44,5.44,0,5.44,0
2025-02-21 14:00:00,5.44,5.44,5.44,5.44,0,5.44,0
2025-02-21 15:00:00,5.44,5.44,5.44,5.44,0,5.44,0
2025-02-21 16:00:00,5.44,5.44,5.44,5.44,0,5.44,0
2025-02-21 17:00:00,5.44,5.44,5.44,5.44,0,5.44,0
2025-02-21 18:00:00,5.44,5.44,5.44,5.44,0,5.44,0
2025-02-21 19:00:00,5.44,5.44,5.44,5.44,0,5.44,0
2025-02-24 00:00:00,5.0,5.38,5.0,5.38,17,5.155,6
2025-02-24 09:00:00,5.0,5.0,5.0,5.0,10,5.0,1
2025-02-24 10:00:00,5.38,5.38,5.38,5.38,1,5.38,1
2025-02-24 11:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-24 12:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-24 13:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-24 14:00:00,5.36,5.38,5.36,5.37,5,5.372,3
2025-02-24 15:00:00,5.38,5.38,5.38,5.38,1,5.38,1
2025-02-24 16:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-24 17:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-24 18:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-24 19:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-25 00:00:00,5.0,5.37,5.0,5.24,14,5.283,5
2025-02-25 10:00:00,5.0,5.37,5.0,5.36,3,5.238,3
2025-02-25 11:00:00,5.36,5.36,5.36,5.36,5,5.36,1
2025-02-25 12:00:00,5.24,5.24,5.24,5.24,6,5.24,1
2025-02-25 13:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-25 14:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-25 15:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-25 16:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-25 17:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-25 18:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-25 19:00:00,5.24,5.24,5.1,5.1,14,5.193,3
2025-02-26 00:00:00,5.0,5.45,5.0,5.45,29,5.192,10
2025-02-26 10:00:00,5.0,5.0,5.0,5.0,1,5.0,1
2025-02-26 11:00:00,5.0,5.0,5.0,5.0,1,5.0,1
2025-02-26 12:00:00,5.0,5.0,5.0,5.0,0,5.0,0
2025-02-26 13:00:00,5.0,5.0,5.0,5.0,0,5.0,0
2025-02-26 14:00:00,5.0,5.0,5.0,5.0,0,5.0,0
2025-02-26 15:00:00,5.18,5.45,5.18,5.45,27,5.208,8
2025-02-26 16:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-26 17:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-26 18:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-26 19:00:00,5.45,5.45,5.45,5.45,0,5.45,0
2025-02-27 00:00:00,5.94,5.94,5.19,5.19,18,5.695,6
2025-02-27 09:00:00,5.94,5.94,5.94,5.94,11,5.94,1
2025-02-27 10:00:00,5.35,5.39,5.35,5.38,5,5.364,4
2025-02-27 11:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-27 12:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-27 13:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-27 14:00:00,5.38,5.38,5.38,5.38,0,5.38,0
2025-02-27 15:00:00,5.19,5.19,5.19,5.19,1,5.19,1
2025-02-27 16:00:00,5.19,5.19,5.19,5.19,0,5.19,0
2025-02-27 17:00:00,5.19,5.19,5.19,5.19,0,5.19,0
2025-02-27 18:00:00,5.19,5.19,5.19,5.19,0,5.19,0
2025-02-27 19:00:00,5.19,5.19,5.19,5.19,0,5.19,0
2025-02-28 00:00:00,5.48,5.48,5.22,5.24,21,5.278,10
2025-02-28 09:00:00,5.48,5.48,5.47,5.47,2,5.475,2
2025-02-28 10:00:00,5.22,5.33,5.22,5.33,2,5.275,2
2025-02-28 11:00:00,5.33,5.33,5.33,5.33,0,5.33,0
2025-02-28 12:00:00,5.33,5.33,5.33,5.33,0,5.33,0
2025-02-28 13:00:00,5.33,5.33,5.33,5.33,0,5.33,0
2025-02-28 14:00:00,5.33,5.33,5.33,5.33,0,5.33,0
2025-02-28 15:00:00,5.26,5.26,5.24,5.24,17,5.256,6
2025-02-28 16:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-28 17:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-28 18:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-02-28 19:00:00,5.24,5.24,5.24,5.24,0,5.24,0
2025-03-03 00:00:00,5.19,5.82,5.15,5.82,2452,5.408,374
2025-03-03 09:00:00,5.19,5.46,5.17,5.17,33,5.272,13
2025-03-03 10:00:00,5.22,5.22,5.19,5.21,12,5.206,8
2025-03-03 11:00:00,5.21,5.45,5.15,5.38,1686,5.366,125
2025-03-03 12:00:00,5.45,5.46,5.3,5.3,10,5.407,7
2025-03-03 13:00:00,5.3,5.3,5.3,5.3,0,5.3,0
2025-03-03 14:00:00,5.45,5.74,5.34,5.5,384,5.501,86
2025-03-03 15:00:00,5.5,5.82,5.25,5.82,325,5.539,135
2025-03-03 16:00:00,5.82,5.82,5.82,5.82,0,5.82,0
2025-03-03 17:00:00,5.82,5.82,5.82,5.82,0,5.82,0
2025-03-03 18:00:00,5.82,5.82,5.82,5.82,0,5.82,0
2025-03-03 19:00:00,5.82,5.82,5.82,5.82,0,5.82,0
2025-03-04 00:00:00,5.8,7.41,5.74,7.19,2737,6.651,606
2025-03-04 05:00:00,5.82,5.82,5.82,5.82,10,5.82,6
2025-03-04 06:00:00,5.82,5.82,5.82,5.82,0,5.82,0
2025-03-04 07:00:00,5.82,5.82,5.82,5.82,0,5.82,0
2025-03-04 08:00:00,5.82,5.82,5.82,5.82,0,5.82,0
2025-03-04 09:00:00,5.8,5.99,5.79,5.99,15,5.811,7
2025-03-04 10:00:00,5.82,5.82,5.81,5.82,2,5.818,2
2025-03-04 11:00:00,5.89,6.6,5.74,6.6,798,5.971,142
2025-03-04 12:00:00,6.49,7.3,6.38,6.8,312,6.884,170
2025-03-04 13:00:00,6.81,7.4,6.61,6.95,1282,6.915,118
2025-03-04 14:00:00,6.96,7.26,6.55,7.25,160,7.009,98
2025-03-04 15:00:00,7.25,7.41,6.85,7.19,166,7.18,69
2025-03-04 16:00:00,7.19,7.19,7.19,7.19,0,7.19,0
2025-03-04 17:00:00,7.19,7.19,7.19,7.19,0,7.19,0
2025-03-04 18:00:00,7.19,7.19,7.19,7.19,0,7.19,0
2025-03-04 19:00:00,7.19,7.19,7.18,7.19,0,7.19,0
2025-03-05 00:00:00,7.41,7.81,6.15,6.65,4615,7.329,997
2025-03-05 04:00:00,7.19,7.19,7.18,7.19,5,7.188,3
2025-03-05 05:00:00,7.19,7.19,7.19,7.19,0,7.19,0
2025-03-05 06:00:00,7.19,7.19,7.19,7.19,0,7.19,0
2025-03-05 07:00:00,7.19,7.19,7.19,7.19,0,7.19,0
2025-03-05 08:00:00,7.19,7.19,7.19,7.19,0,7.19,0
2025-03-05 09:00:00,7.41,7.78,7.14,7.5,17,7.339,7
2025-03-05 10:00:00,7.71,7.75,7.1,7.75,633,7.351,92
2025-03-05 11:00:00,7.66,7.81,7.12,7.12,2701,7.525,231
2025-03-05 12:00:00,7.12,7.12,7.12,7.12,0,7.12,0
2025-03-05 13:00:00,7.15,7.2,7.14,7.2,6,7.166,5
2025-03-05 14:00:00,7.2,7.3,6.61,7.13,739,7.062,290
2025-03-05 15:00:00,7.11,7.49,6.15,6.65,518,6.666,372
2025-03-05 16:00:00,6.65,6.65,6.65,6.65,0,6.65,0
2025-03-05 17:00:00,7.0,7.0,7.0,7.0,1,7.0,1
2025-03-05 18:00:00,7.0,7.0,7.0,7.0,0,7.0,0
2025-03-05 19:00:00,7.0,7.0,7.0,7.0,0,7.0,0
2025-03-06 00:00:00,6.75,7.0,6.1,6.9,4013,6.663,781
2025-03-06 10:00:00,6.75,7.0,6.62,6.65,1154,6.713,77
2025-03-06 11:00:00,6.56,6.8,6.13,6.25,895,6.616,125
2025-03-06 12:00:00,6.25,6.3,6.18,6.25,31,6.246,24
2025-03-06 13:00:00,6.37,6.71,6.1,6.71,436,6.507,184
2025-03-06 14:00:00,6.65,6.85,6.51,6.82,30,6.704,25
2025-03-06 15:00:00,6.67,6.9,6.41,6.64,1465,6.708,346
2025-03-06 16:00:00,6.9,6.9,6.9,6.9,11,6.9,3
2025-03-06 17:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-03-06 18:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-03-06 19:00:00,6.9,6.9,6.9,6.9,0,6.9,0
2025-03-07 00:00:00,6.79,7.98,6.43,7.69,3920,7.33,462
2025-03-07 09:00:00,6.79,6.79,6.43,6.78,530,6.695,45
2025-03-07 10:00:00,6.5,7.47,6.48,7.21,128,6.99,98
2025-03-07 11:00:00,7.28,7.5,7.21,7.3,2287,7.35,123
2025-03-07 12:00:00,7.36,7.88,7.36,7.82,41,7.571,25
2025-03-07 13:00:00,7.82,7.98,7.64,7.98,7,7.817,3
2025-03-07 14:00:00,7.7,7.9,7.5,7.71,869,7.664,149
2025-03-07 15:00:00,7.74,7.93,7.74,7.87,56,7.87,19
2025-03-07 16:00:00,7.69,7.69,7.69,7.69,8,7.69,1
2025-03-07 17:00:00,7.69,7.69,7.69,7.69,0,7.69,0
2025-03-07 18:00:00,7.69,7.69,7.69,7.69,0,7.69,0
2025-03-07 19:00:00,7.69,7.69,7.69,7.69,0,7.69,0
2025-03-10 00:00:00,7.9,9.17,7.7,8.04,3971,8.322,487
2025-03-10 08:00:00,7.9,8.36,7.83,7.94,512,7.867,22
2025-03-10 09:00:00,8.12,8.61,7.7,8.61,1115,8.29,84
2025-03-10 10:00:00,8.98,9.09,8.75,9.09,750,8.923,129
2025-03-10 11:00:00,9.09,9.17,7.9,8.03,201,8.516,63
2025-03-10 12:00:00,8.12,8.18,7.95,8.18,35,8.041,26
2025-03-10 13:00:00,8.1,8.3,8.06,8.2,1328,8.165,151
2025-03-10 14:00:00,8.18,8.3,8.03,8.03,28,8.188,12
2025-03-10 15:00:00,8.03,8.03,8.03,8.03,0,8.03,0
2025-03-10 16:00:00,8.03,8.03,8.03,8.03,0,8.03,0
2025-03-10 17:00:00,8.03,8.03,8.03,8.03,0,8.03,0
2025-03-10 18:00:00,8.03,8.04,8.03,8.03,0,8.03,0
2025-03-11 00:00:00,8.12,8.95,7.68,8.3,3978,8.284,425
2025-03-11 08:00:00,8.12,8.95,7.72,8.85,95,8.545,33
2025-03-11 09:00:00,8.89,8.9,7.92,7.92,1564,8.409,98
2025-03-11 10:00:00,7.92,8.29,7.84,8.0,416,7.986,142
2025-03-11 11:00:00,8.28,8.28,8.06,8.15,8,8.134,7
2025-03-11 12:00:00,7.78,7.78,7.78,7.78,9,7.78,1
2025-03-11 13:00:00,7.84,8.37,7.68,8.33,1723,8.218,115
2025-03-11 14:00:00,8.25,8.5,8.2,8.48,158,8.435,29
2025-03-11 15:00:00,8.3,8.3,8.3,8.3,7,8.3,1
2025-03-11 16:00:00,8.3,8.3,8.3,8.3,0,8.3,0
2025-03-11 17:00:00,8.3,8.3,8.3,8.3,0,8.3,0
2025-03-11 18:00:00,8.3,8.3,8.3,8.3,0,8.3,0
2025-03-12 00:00:00,8.23,9.0,7.85,8.75,5050,8.286,846
2025-03-12 08:00:00,8.23,9.0,7.85,8.46,88,8.712,62
2025-03-12 09:00:00,8.7,8.7,7.99,8.13,1861,8.277,199
2025-03-12 10:00:00,8.2,8.36,8.08,8.22,167,8.231,74
2025-03-12 11:00:00,8.36,8.37,7.99,8.16,548,8.098,45
2025-03-12 12:00:00,8.18,8.6,8.1,8.36,1256,8.215,176
2025-03-12 13:00:00,8.36,8.7,7.97,8.53,683,8.399,258
2025-03-12 14:00:00,8.57,8.75,8.4,8.75,445,8.514,32
2025-03-12 15:00:00,8.75,8.75,8.75,8.75,5,8.75,1
2025-03-12 16:00:00,8.75,8.75,8.75,8.75,0,8.75,0
2025-03-12 17:00:00,8.75,8.75,8.75,8.75,0,8.75,0
2025-03-12 18:00:00,8.75,8.75,8.75,8.75,0,8.75,0
2025-03-13 00:00:00,8.71,9.0,8.15,8.24,4454,8.503,624
2025-03-13 08:00:00,8.71,9.0,8.45,8.55,650,8.507,96
2025-03-13 09:00:00,8.53,8.78,8.15,8.39,222,8.485,104
2025-03-13 10:00:00,8.49,8.6,8.3,8.6,1515,8.443,122
2025-03-13 11:00:00,8.7,8.75,8.5,8.59,114,8.587,45
2025-03-13 12:00:00,8.8,8.8,8.4,8.4,1214,8.551,159
2025-03-13 13:00:00,8.5,8.6,8.39,8.52,719,8.541,83
2025-03-13 14:00:00,8.35,8.48,8.33,8.33,18,8.356,15
2025-03-13 15:00:00,8.24,8.24,8.24,8.24,4,8.24,1
2025-03-13 16:00:00,8.24,8.24,8.24,8.24,0,8.24,0
2025-03-13 17:00:00,8.24,8.24,8.24,8.24,0,8.24,0
2025-03-13 18:00:00,8.24,8.24,8.24,8.24,0,8.24,0
2025-03-14 00:00:00,8.29,8.65,7.51,7.7,4168,8.385,362
2025-03-14 08:00:00,8.29,8.45,7.97,8.45,30,8.25,9
2025-03-14 09:00:00,8.38,8.56,8.1,8.52,1654,8.323,101
2025-03-14 10:00:00,8.38,8.65,8.26,8.49,600,8.436,67
2025-03-14 11:00:00,8.49,8.65,8.43,8.64,139,8.542,37
2025-03-14 12:00:00,8.5,8.61,8.38,8.4,1053,8.583,41
2025-03-14 13:00:00,8.3,8.39,7.99,8.0,41,8.119,17
2025-03-14 14:00:00,8.23,8.29,7.51,7.6,649,8.166,90
2025-03-14 15:00:00,7.7,7.7,7.7,7.7,3,7.7,1
2025-03-14 16:00:00,7.7,7.7,7.7,7.7,0,7.7,0
2025-03-14 17:00:00,7.7,7.7,7.7,7.7,0,7.7,0
2025-03-14 18:00:00,7.7,7.7,7.7,7.7,0,7.7,0
2025-03-17 00:00:00,8.38,8.39,6.9,7.89,5034,7.824,911
2025-03-17 08:00:00,8.38,8.39,8.38,8.38,1,8.383,1
2025-03-17 09:00:00,8.09,8.09,7.0,7.0,871,7.411,100
2025-03-17 10:00:00,7.1,7.89,6.9,7.8,1743,7.632,224
2025-03-17 11:00:00,7.9,8.15,7.81,8.15,36,7.95,17
2025-03-17 12:00:00,8.21,8.26,8.01,8.17,914,8.129,108
2025-03-17 13:00:00,8.3,8.37,7.65,8.08,1222,8.16,324
2025-03-17 14:00:00,8.03,8.2,7.5,7.53,244,7.827,137
2025-03-17 15:00:00,7.89,7.89,7.89,7.89,1,7.89,1
2025-03-17 16:00:00,7.89,7.89,7.89,7.89,0,7.89,0
2025-03-17 17:00:00,7.89,7.89,7.89,7.89,0,7.89,0
2025-03-17 18:00:00,7.89,7.89,7.89,7.89,0,7.89,0
2025-03-18 00:00:00,7.8,10.98,7.3,10.6,5016,9.166,1615
2025-03-18 08:00:00,7.8,7.8,7.3,7.75,807,7.579,99
2025-03-18 09:00:00,7.75,9.55,7.65,9.51,2020,8.971,726
2025-03-18 10:00:00,9.5,10.4,9.24,9.99,1093,9.565,390
2025-03-18 11:00:00,9.99,10.1,9.63,9.77,102,9.872,72
2025-03-18 12:00:00,9.81,10.98,9.69,10.39,288,10.183,186
2025-03-18 13:00:00,10.33,10.48,10.01,10.19,78,10.283,49
2025-03-18 14:00:00,10.28,10.47,10.19,10.47,409,10.369,53
2025-03-18 15:00:00,10.6,10.8,10.6,10.77,22,10.62,4
2025-03-18 16:00:00,10.99,10.99,10.66,10.66,2,10.825,2
