date,open,high,low,close,volume,average,barCount
2025-03-04,3.69,4.45,3.66,4.03,10356,4.064,1968
2025-03-05,4.16,4.16,3.71,3.9,487,3.934,179
2025-03-06,4.09,4.09,3.8,3.81,950,3.928,295
2025-03-07,3.94,3.99,3.65,3.79,667,3.843,188
2025-03-10,3.8,3.97,3.69,3.9,688,3.79,161
2025-03-11,3.8,3.95,3.63,3.74,88,3.789,40
2025-03-12,3.64,3.96,3.64,3.73,105,3.798,32
2025-03-13,3.77,4.02,3.73,3.77,237,3.879,59
2025-03-14,3.67,4.09,3.62,3.62,396,3.886,133
2025-03-17,3.89,3.92,3.7,3.85,76,3.867,34
2025-03-18,3.98,3.99,3.72,3.76,385,3.823,77
2025-03-19,3.73,3.99,3.73,3.88,231,3.868,40
2025-03-20,3.75,3.85,3.4,3.75,64,3.732,40
2025-03-21,3.85,3.97,3.8,3.91,281,3.904,76
2025-03-24,3.89,3.89,3.76,3.81,49,3.809,23
2025-03-25,3.75,3.95,3.65,3.7,163,3.752,45
2025-03-26,3.88,3.9,3.78,3.9,70,3.86,21
