date,open,high,low,close,volume,average,barCount
2025-03-04 00:00:00,3.69,4.45,3.66,4.03,10356,4.064,1968
2025-03-05 00:00:00,4.16,4.16,3.71,3.9,487,3.934,179
2025-03-05 06:00:00,4.08,4.08,4.08,4.08,1,4.08,1
2025-03-05 07:00:00,4.1,4.1,4.1,4.1,33,4.1,7
2025-03-05 08:00:00,3.92,3.93,3.83,3.83,23,3.908,8
2025-03-05 09:00:00,4.08,4.16,3.71,3.99,209,3.911,57
2025-03-05 10:00:00,3.94,4.07,3.84,3.87,79,3.918,22
2025-03-05 11:00:00,3.99,4.0,3.9,3.96,42,3.959,15
2025-03-05 12:00:00,3.99,4.06,3.99,4.01,74,4.009,51
2025-03-05 13:00:00,4.0,4.01,3.85,3.85,42,3.944,22
2025-03-05 14:00:00,3.86,3.98,3.85,3.85,13,3.908,6
2025-03-05 15:00:00,3.85,3.98,3.85,3.9,26,3.934,8
2025-03-05 16:00:00,3.88,4.02,3.88,4.02,4,3.983,2
2025-03-05 17:00:00,4.02,4.09,4.01,4.06,16,4.071,4
2025-03-05 18:00:00,4.06,4.06,4.06,4.06,0,4.06,0
2025-03-05 19:00:00,4.06,4.06,4.06,4.06,0,4.06,0
2025-03-06 00:00:00,4.09,4.09,3.8,3.81,950,3.928,295
2025-03-06 09:00:00,4.09,4.09,3.91,3.97,21,3.986,12
2025-03-06 10:00:00,3.93,3.96,3.8,3.8,37,3.849,7
2025-03-06 11:00:00,3.83,4.02,3.83,4.02,21,3.985,16
2025-03-06 12:00:00,4.01,4.08,3.85,3.86,36,4.021,14
2025-03-06 13:00:00,4.06,4.06,3.8,3.8,35,3.891,17
2025-03-06 14:00:00,3.88,3.95,3.84,3.94,134,3.88,56
2025-03-06 15:00:00,3.94,4.01,3.8,3.81,664,3.935,173
2025-03-06 16:00:00,3.81,3.81,3.81,3.81,0,3.81,0
2025-03-06 17:00:00,3.81,3.81,3.81,3.81,0,3.81,0
2025-03-06 18:00:00,3.81,3.81,3.81,3.81,0,3.81,0
2025-03-06 19:00:00,3.81,3.81,3.81,3.81,0,3.81,0
2025-03-07 00:00:00,3.94,3.99,3.65,3.79,667,3.843,188
2025-03-07 08:00:00,4.07,4.07,4.07,4.07,1,4.07,1
2025-03-07 09:00:00,3.94,3.99,3.94,3.99,3,3.955,2
2025-03-07 10:00:00,3.8,3.93,3.8,3.93,8,3.816,3
2025-03-07 11:00:00,3.93,3.94,3.8,3.82,23,3.837,7
2025-03-07 12:00:00,3.82,3.83,3.7,3.7,83,3.797,13
2025-03-07 13:00:00,3.78,3.85,3.72,3.84,23,3.823,17
2025-03-07 14:00:00,3.85,3.85,3.83,3.85,5,3.845,5
2025-03-07 15:00:00,3.84,3.89,3.65,3.79,520,3.852,141
2025-03-07 16:00:00,3.79,3.79,3.79,3.79,0,3.79,0
2025-03-07 17:00:00,3.79,3.79,3.79,3.79,0,3.79,0
2025-03-07 18:00:00,3.79,3.79,3.79,3.79,0,3.79,0
2025-03-07 19:00:00,3.79,3.79,3.79,3.79,0,3.79,0
2025-03-10 00:00:00,3.8,3.97,3.69,3.9,688,3.79,161
2025-03-10 08:00:00,3.8,3.8,3.76,3.76,5,3.788,4
2025-03-10 09:00:00,3.76,3.76,3.76,3.76,0,3.76,0
2025-03-10 10:00:00,3.76,3.76,3.76,3.76,1,3.76,1
2025-03-10 11:00:00,3.76,3.76,3.76,3.76,1,3.76,1
2025-03-10 12:00:00,3.7,3.7,3.7,3.7,4,3.7,2
2025-03-10 13:00:00,3.8,3.84,3.69,3.75,290,3.751,48
2025-03-10 14:00:00,3.75,3.97,3.74,3.9,385,3.82,105
2025-03-10 15:00:00,3.9,3.9,3.9,3.9,0,3.9,0
2025-03-10 16:00:00,3.9,3.9,3.9,3.9,0,3.9,0
2025-03-10 17:00:00,3.9,3.9,3.9,3.9,0,3.9,0
2025-03-10 18:00:00,3.9,3.9,3.89,3.9,0,3.89,0
2025-03-11 00:00:00,3.8,3.95,3.63,3.74,88,3.789,40
2025-03-11 09:00:00,3.8,3.9,3.8,3.9,2,3.851,2
2025-03-11 10:00:00,3.66,3.9,3.63,3.9,7,3.767,7
2025-03-11 11:00:00,3.95,3.95,3.64,3.9,25,3.87,13
2025-03-11 12:00:00,3.63,3.89,3.63,3.72,26,3.692,10
2025-03-11 13:00:00,3.82,3.83,3.74,3.74,7,3.806,5
2025-03-11 14:00:00,3.85,3.85,3.74,3.74,21,3.809,3
2025-03-11 15:00:00,3.74,3.74,3.74,3.74,0,3.74,0
2025-03-11 16:00:00,3.74,3.74,3.74,3.74,0,3.74,0
2025-03-11 17:00:00,3.74,3.74,3.74,3.74,0,3.74,0
2025-03-11 18:00:00,3.74,3.74,3.74,3.74,0,3.74,0
2025-03-12 00:00:00,3.64,3.96,3.64,3.73,105,3.798,32
2025-03-12 09:00:00,3.64,3.96,3.64,3.67,3,3.757,3
2025-03-12 10:00:00,3.89,3.95,3.67,3.69,6,3.851,5
2025-03-12 11:00:00,3.66,3.7,3.66,3.69,9,3.671,6
2025-03-12 12:00:00,3.93,3.94,3.71,3.74,42,3.809,8
2025-03-12 13:00:00,3.73,3.73,3.73,3.73,10,3.73,1
