date,open,high,low,close,volume,average,barCount
2025-02-19 09:00:00,14.41,14.57,14.41,14.57,30,14.462,10
2025-02-19 10:00:00,14.58,14.61,14.51,14.51,45,14.546,41
2025-02-19 11:00:00,14.54,14.67,14.54,14.57,78,14.621,37
2025-02-19 12:00:00,14.57,14.57,14.43,14.44,27,14.474,19
2025-02-19 13:00:00,14.43,14.46,14.42,14.45,41,14.445,29
2025-02-19 14:00:00,14.44,14.53,14.44,14.49,98,14.488,65
2025-02-19 15:00:00,14.49,14.53,14.36,14.38,231,14.431,186
2025-02-19 16:00:00,14.37,14.37,14.37,14.37,422,14.37,4
2025-02-19 17:00:00,14.37,14.37,14.37,14.37,0,14.37,0
2025-02-19 18:00:00,14.37,14.37,14.37,14.37,0,14.37,0
2025-02-19 19:00:00,14.37,14.37,14.37,14.37,0,14.37,0
2025-02-20 09:00:00,14.22,14.35,14.22,14.34,75,14.292,38
2025-02-20 10:00:00,14.37,14.47,14.18,14.19,174,14.354,121
2025-02-20 11:00:00,14.18,14.24,14.13,14.24,63,14.186,48
2025-02-20 12:00:00,14.23,14.29,14.17,14.24,233,14.23,89
2025-02-20 13:00:00,14.26,14.34,14.2,14.31,74,14.277,61
2025-02-20 14:00:00,14.31,14.42,14.29,14.37,106,14.341,72
2025-02-20 15:00:00,14.39,14.46,14.37,14.41,338,14.408,196
2025-02-20 16:00:00,14.41,14.41,14.41,14.41,406,14.41,4
2025-02-20 17:00:00,14.41,14.41,14.41,14.41,0,14.41,0
2025-02-20 18:00:00,14.41,14.41,14.41,14.41,0,14.41,0
2025-02-20 19:00:00,14.41,14.41,14.41,14.41,0,14.41,0
2025-02-21 04:00:00,13.1,14.27,13.1,14.27,2,13.685,2
2025-02-21 05:00:00,14.49,15.0,14.49,15.0,2,14.745,2
2025-02-21 06:00:00,15.0,15.0,15.0,15.0,0,15.0,0
2025-02-21 07:00:00,15.0,15.0,15.0,15.0,0,15.0,0
2025-02-21 08:00:00,15.0,15.0,15.0,15.0,0,15.0,0
2025-02-21 09:00:00,14.55,14.55,14.43,14.43,164,14.531,17
2025-02-21 10:00:00,14.36,14.42,14.33,14.33,20,14.37,20
2025-02-21 11:00:00,14.34,14.36,14.26,14.26,16,14.315,15
2025-02-21 12:00:00,14.24,14.25,14.15,14.15,16,14.203,13
2025-02-21 13:00:00,14.13,14.13,13.99,14.03,63,14.061,50
2025-02-21 14:00:00,14.01,14.08,14.0,14.08,107,14.03,73
2025-02-21 15:00:00,14.06,14.14,13.96,13.99,364,14.047,232
2025-02-21 16:00:00,13.99,13.99,13.99,13.99,408,13.99,2
2025-02-21 17:00:00,13.99,13.99,13.99,13.99,0,13.99,0
2025-02-21 18:00:00,13.99,13.99,13.99,13.99,0,13.99,0
2025-02-21 19:00:00,13.99,13.99,13.99,13.99,0,13.99,0
2025-02-24 09:00:00,13.97,14.02,13.9,13.98,23,13.96,9
2025-02-24 10:00:00,14.02,14.19,14.0,14.13,84,14.102,63
2025-02-24 11:00:00,14.12,14.15,14.07,14.07,50,14.108,40
2025-02-24 12:00:00,14.07,14.1,14.03,14.05,73,14.067,56
2025-02-24 13:00:00,14.04,14.26,14.04,14.24,522,14.104,121
2025-02-24 14:00:00,14.24,14.3,14.24,14.3,74,14.262,66
2025-02-24 15:00:00,14.31,14.32,14.0,14.05,1052,14.098,662
2025-02-24 16:00:00,14.05,15.25,14.05,15.25,918,14.108,4
2025-02-24 17:00:00,15.25,15.25,15.25,15.25,0,15.25,0
2025-02-24 18:00:00,15.25,15.25,15.25,15.25,0,15.25,0
2025-02-24 19:00:00,15.0,15.0,15.0,15.0,4,15.0,1
2025-02-25 04:00:00,16.0,16.01,15.5,15.5,4,15.879,4
2025-02-25 05:00:00,15.5,15.5,15.5,15.5,0,15.5,0
2025-02-25 06:00:00,15.5,15.5,15.5,15.5,0,15.5,0
2025-02-25 07:00:00,15.5,15.5,15.5,15.5,0,15.5,0
2025-02-25 08:00:00,14.5,14.75,14.5,14.75,16,14.547,3
2025-02-25 09:00:00,15.12,16.25,15.11,15.6,468,15.656,138
2025-02-25 10:00:00,15.69,16.74,15.53,16.36,484,16.252,263
2025-02-25 11:00:00,16.26,16.35,15.96,16.12,299,16.077,146
2025-02-25 12:00:00,16.17,16.3,16.12,16.27,136,16.209,101
2025-02-25 13:00:00,16.29,16.33,16.15,16.15,146,16.246,110
2025-02-25 14:00:00,16.17,16.25,16.09,16.22,88,16.194,78
2025-02-25 15:00:00,16.22,16.34,16.13,16.14,605,16.197,421
2025-02-25 16:00:00,16.13,16.13,16.13,16.13,810,16.13,8
2025-02-25 17:00:00,16.13,16.13,16.13,16.13,0,16.13,0
2025-02-25 18:00:00,16.13,16.13,16.13,16.13,0,16.13,0
2025-02-25 19:00:00,16.13,16.13,16.13,16.13,0,16.13,0
2025-02-26 09:00:00,16.25,16.25,15.52,15.56,309,15.72,76
2025-02-26 10:00:00,15.56,15.78,15.43,15.78,64,15.615,50
2025-02-26 11:00:00,15.84,15.86,15.62,15.62,61,15.748,45
2025-02-26 12:00:00,15.61,15.73,15.58,15.59,104,15.643,66
2025-02-26 13:00:00,15.6,15.6,15.48,15.48,138,15.536,96
2025-02-26 14:00:00,15.48,15.59,15.47,15.58,93,15.532,73
2025-02-26 15:00:00,15.58,15.7,15.55,15.65,633,15.647,338
2025-02-26 16:00:00,15.65,15.65,15.65,15.65,755,15.65,4
2025-02-26 17:00:00,15.65,15.65,15.65,15.65,0,15.65,0
2025-02-26 18:00:00,15.65,15.65,15.65,15.65,0,15.65,0
2025-02-26 19:00:00,15.65,15.65,15.65,15.65,0,15.65,0
2025-02-27 09:00:00,15.62,15.63,15.57,15.63,18,15.618,3
2025-02-27 10:00:00,15.62,15.78,15.6,15.66,42,15.658,32
2025-02-27 11:00:00,15.66,15.67,15.58,15.64,99,15.63,58
2025-02-27 12:00:00,15.64,15.64,15.52,15.56,71,15.577,57
2025-02-27 13:00:00,15.56,15.65,15.55,15.63,94,15.611,51
2025-02-27 14:00:00,15.63,15.63,15.51,15.56,96,15.577,80
2025-02-27 15:00:00,15.55,15.55,15.39,15.43,434,15.45,309
2025-02-27 16:00:00,15.45,15.45,15.45,15.45,580,15.45,8
2025-02-27 17:00:00,15.45,15.45,15.45,15.45,0,15.45,0
2025-02-27 18:00:00,15.18,15.18,15.18,15.18,1,15.18,1
2025-02-27 19:00:00,15.18,15.18,15.18,15.18,0,15.18,0
2025-02-28 09:00:00,15.54,15.67,15.52,15.61,45,15.576,29
2025-02-28 10:00:00,15.62,15.66,15.48,15.5,58,15.568,48
2025-02-28 11:00:00,15.49,15.51,15.37,15.37,42,15.434,32
2025-02-28 12:00:00,15.36,15.45,15.3,15.36,227,15.349,98
2025-02-28 13:00:00,15.36,15.4,15.3,15.37,93,15.341,71
2025-02-28 14:00:00,15.37,15.61,15.36,15.6,211,15.496,123
2025-02-28 15:00:00,15.6,15.67,15.53,15.66,327,15.615,234
2025-02-28 16:00:00,15.64,15.64,15.64,15.64,733,15.64,2
2025-02-28 17:00:00,15.64,15.64,15.64,15.64,0,15.64,0
2025-02-28 18:00:00,15.64,15.64,15.64,15.64,0,15.64,0
2025-02-28 19:00:00,15.64,15.64,15.64,15.64,0,15.64,0
2025-03-03 09:00:00,15.77,16.02,15.66,15.9,86,15.833,28
2025-03-03 10:00:00,15.89,16.19,15.89,16.09,222,16.024,118
2025-03-03 11:00:00,16.11,16.13,16.04,16.07,93,16.093,64
2025-03-03 12:00:00,16.08,16.24,16.08,16.14,167,16.182,87
2025-03-03 13:00:00,16.14,16.26,16.14,16.19,107,16.19,65
2025-03-03 14:00:00,16.2,16.29,16.08,16.08,138,16.187,99
2025-03-03 15:00:00,16.07,16.23,16.02,16.04,444,16.122,317
2025-03-03 16:00:00,16.04,16.04,16.04,16.04,691,16.04,4
2025-03-03 17:00:00,16.04,16.04,16.04,16.04,0,16.04,0
2025-03-03 18:00:00,16.04,16.04,16.04,16.04,0,16.04,0
2025-03-03 19:00:00,16.04,16.04,16.04,16.04,0,16.04,0
2025-03-04 08:00:00,15.88,15.88,15.88,15.88,1,15.88,1
2025-03-04 09:00:00,15.96,16.06,15.74,15.75,96,15.874,58
2025-03-04 10:00:00,15.75,15.94,15.74,15.79,114,15.844,98
2025-03-04 11:00:00,15.79,15.87,15.79,15.84,71,15.831,65
2025-03-04 12:00:00,15.87,15.88,15.76,15.76,70,15.821,58
2025-03-04 13:00:00,15.75,15.89,15.73,15.86,63,15.827,50
2025-03-04 14:00:00,15.85,15.92,15.84,15.89,93,15.867,69
2025-03-04 15:00:00,15.89,15.96,15.56,15.59,821,15.737,402
2025-03-04 16:00:00,15.59,15.59,15.59,15.59,734,15.59,1
2025-03-04 17:00:00,15.59,15.59,15.59,15.59,0,15.59,0
2025-03-04 18:00:00,15.59,15.59,15.59,15.59,0,15.59,0
2025-03-04 19:00:00,15.59,15.59,15.59,15.59,0,15.59,0
2025-03-05 09:00:00,15.65,15.96,15.65,15.87,65,15.833,44
