date,open,high,low,close,volume,average,barCount
2024-01-02,8.82,9.24,8.5,8.76,3229,8.91379,1764
2024-01-03,8.7,8.99,8.42,8.87,2142,8.82251,1241
2024-01-04,8.96,9.18,8.83,9.01,2433,9.02899,1069
2024-01-05,8.78,9.04,8.5,8.98,4501,8.83,1599
2024-01-08,8.96,9.15,8.86,9.05,2963,9.00215,1212
2024-01-09,8.94,9.2,8.7,9.01,4600,9.01741,1614
2024-01-10,9.0,9.2,8.51,8.68,4954,8.75411,1681
2024-01-11,8.5,8.68,7.9,8.15,5527,8.17317,1993
2024-01-12,8.2,8.78,7.97,7.99,2711,8.19574,1346
2024-01-16,7.53,7.53,6.7,7.01,8138,6.95746,3522
2024-01-17,6.93,7.1,6.68,6.8,5377,6.80611,2673
2024-01-18,6.86,6.87,6.37,6.39,3652,6.55419,1771
2024-01-19,6.39,6.58,6.26,6.5,3847,6.46554,1809
2024-01-22,6.59,6.85,6.45,6.7,5161,6.62145,2142
2024-01-23,6.77,6.89,6.48,6.61,3425,6.59336,1676
2024-01-24,6.74,6.77,6.46,6.52,2800,6.59712,1525
2024-01-25,6.66,6.84,6.56,6.68,2395,6.68855,1295
2024-01-26,6.73,7.0,6.49,6.53,3040,6.61651,1431
2024-01-29,6.65,7.7,6.4,7.49,6422,7.35008,2607
2024-01-30,7.4,7.42,6.7,6.79,5123,6.87915,2254
2024-01-31,6.8,6.87,6.32,6.35,4674,6.5912,2321
2024-02-01,6.44,6.74,6.28,6.71,3436,6.56617,1587
2024-02-02,6.51,6.67,6.36,6.61,3918,6.53415,1731
2024-02-05,6.45,6.59,6.22,6.47,3601,6.40413,1453
2024-02-06,6.45,6.82,6.27,6.79,3823,6.6555,1901
2024-02-07,6.8,6.8,6.48,6.5,1801,6.58461,1030
2024-02-08,6.5,6.8,6.46,6.73,2050,6.69114,1080
2024-02-09,6.82,6.92,6.72,6.74,3334,6.7907,1493
2024-02-12,6.76,7.33,6.76,7.29,4954,7.12028,2610
2024-02-13,6.83,6.95,6.55,6.62,4317,6.6741,1938
2024-02-14,6.79,6.97,6.51,6.87,3396,6.80949,1794
2024-02-15,6.52,7.95,6.34,7.8,37227,7.44064,16789
2024-02-16,7.62,8.56,7.5,8.46,11359,8.28538,4959
2024-02-20,8.4,8.65,7.74,8.03,8162,8.0497,3595
2024-02-21,8.56,8.63,8.08,8.49,4226,8.36098,2546
2024-02-22,8.48,8.86,8.03,8.45,5079,8.42578,2900
2024-02-23,8.56,8.73,7.92,8.32,3043,8.22979,1768
2024-02-26,8.31,8.86,8.17,8.66,2979,8.58282,1603
2024-02-27,8.95,9.77,8.82,9.39,7503,9.35143,3412
2024-02-28,9.21,9.45,9.07,9.18,3883,9.29466,1886
2024-02-29,9.51,9.62,8.6,8.63,4471,8.95028,2370
2024-03-01,8.71,9.06,8.7,8.74,4364,8.84762,2806
2024-03-04,8.91,8.91,8.25,8.77,4076,8.52296,2174
2024-03-05,8.69,8.88,7.89,8.06,4508,8.16446,2572
2024-03-06,8.29,8.55,8.13,8.42,3712,8.38098,1876
2024-03-07,8.42,8.54,8.04,8.14,2875,8.16248,1773
2024-03-08,8.4,8.58,8.02,8.08,2519,8.23624,1743
2024-03-11,8.12,8.35,8.0,8.03,2216,8.12524,1385
2024-03-12,8.09,8.14,7.62,7.71,3416,7.75136,1410
2024-03-13,7.64,8.07,7.64,7.93,2907,7.90077,1970
2024-03-14,7.86,7.86,6.77,6.88,8420,7.17708,3502
2024-03-15,6.85,7.2,6.61,7.16,6684,6.89259,2705
2024-03-18,7.18,7.22,6.71,7.02,2403,7.02848,1395
2024-03-19,6.95,7.28,6.9,7.11,1910,7.14591,1140
2024-03-20,7.09,7.51,6.8,7.37,2053,7.19255,1170
2024-03-21,7.47,7.59,7.18,7.34,1800,7.38009,1064
2024-03-22,7.34,7.34,6.91,6.93,2800,7.00712,1662
2024-03-25,6.93,7.09,6.86,6.87,2183,6.94885,1147
2024-03-26,7.1,7.1,6.5,6.66,4843,6.70224,1804
2024-03-27,6.77,6.96,6.6,6.76,4339,6.81418,2163
2024-03-28,6.83,7.06,6.71,7.0,4849,6.97434,2050
2024-04-01,7.05,7.06,6.61,6.76,4274,6.76437,1792
2024-04-02,6.52,6.61,6.18,6.32,15386,6.30366,3924
2024-04-03,6.38,6.45,5.79,5.8,9778,5.98902,3912
2024-04-04,5.9,6.04,5.72,5.79,8291,5.85943,2809
2024-04-05,5.71,5.91,5.47,5.75,6726,5.71309,2724
2024-04-08,5.87,6.17,5.82,6.1,5160,6.03592,1904
2024-04-09,6.18,6.4,6.08,6.18,3337,6.21072,1561
2024-04-10,5.82,6.02,5.78,5.89,3584,5.91423,1996
2024-04-11,5.99,6.01,5.61,5.81,4105,5.769,2169
2024-04-12,5.75,5.86,5.65,5.73,3193,5.75979,1781
2024-04-15,5.7,5.72,5.4,5.44,4733,5.48141,2198
2024-04-16,5.4,5.41,5.17,5.27,3857,5.26946,2091
2024-04-17,5.32,5.32,4.92,4.93,4682,5.07045,2230
2024-04-18,4.93,4.98,4.56,4.59,7029,4.71243,3437
2024-04-19,4.59,4.68,4.34,4.51,7165,4.4764,3341
2024-04-22,4.69,4.91,4.37,4.78,11750,4.67218,4654
2024-04-23,4.85,5.3,4.79,4.8,5897,5.02718,2760
2024-04-24,4.79,4.94,4.68,4.7,3926,4.75227,1904
2024-04-25,4.66,4.66,4.11,4.3,7064,4.31503,3175
2024-04-26,4.34,4.65,4.15,4.42,5113,4.43325,2498
2024-04-29,4.9,5.14,4.65,4.86,10337,4.91312,4515
2024-04-30,5.0,5.11,4.63,4.92,8989,4.84109,2717
2024-05-01,4.88,5.59,4.85,5.27,6033,5.26261,2893
2024-05-02,5.38,5.72,5.12,5.61,6300,5.46256,3103
2024-05-03,5.92,6.09,5.45,5.59,7208,5.66199,3330
2024-05-06,5.65,5.77,5.39,5.4,11492,5.5328,4658
2024-05-07,5.46,5.59,5.24,5.57,4933,5.47447,2383
2024-05-08,5.47,5.52,5.17,5.36,5137,5.29541,2429
2024-05-09,5.38,5.81,5.34,5.72,4985,5.61446,2408
2024-05-10,5.92,6.02,5.61,5.61,2631,5.78742,1442
2024-05-13,5.88,6.83,5.88,6.42,11569,6.47782,5498
2024-05-14,6.71,7.17,6.55,6.66,6478,6.8418,2807
2024-05-15,6.91,7.13,6.62,6.76,3644,6.78179,1964
2024-05-16,7.0,7.15,6.6,7.04,6568,6.95281,3079
2024-05-17,7.05,7.18,6.87,7.08,4104,7.08098,2013
2024-05-20,7.19,7.63,6.9,7.53,5764,7.34808,2719
2024-05-21,7.68,8.27,7.61,8.03,14959,8.00043,6208
2024-05-22,8.08,8.12,7.42,7.45,10384,7.71049,4353
2024-05-23,7.45,7.53,6.68,6.94,10434,6.96277,4657
2024-05-24,6.97,7.23,6.8,6.92,4307,7.05648,1801
2024-05-28,7.26,7.31,6.4,6.5,10129,6.63806,3638
2024-05-29,6.27,6.59,6.03,6.54,6120,6.2767,2469
2024-05-30,6.67,6.79,6.38,6.5,9148,6.48958,2491
2024-05-31,6.53,6.67,6.38,6.48,8468,6.49905,2999
2024-06-03,6.61,6.72,6.41,6.55,6706,6.52213,2544
2024-06-04,6.49,6.63,6.43,6.45,6299,6.50742,2499
2024-06-05,6.49,6.59,6.3,6.58,7503,6.49411,1959
2024-06-06,6.6,6.96,6.43,6.89,3261,6.74938,1564
