date,open,high,low,close,volume,average,barCount
2025-02-18 06:00:00,2.84,2.84,2.84,2.84,4,2.84,1
2025-02-18 07:00:00,2.88,2.89,2.88,2.89,106,2.88978,7
2025-02-18 08:00:00,2.89,2.91,2.89,2.91,44,2.89652,11
2025-02-18 09:00:00,2.88,3.19,2.87,3.09,3609,3.08527,853
2025-02-18 10:00:00,3.09,3.27,3.06,3.11,5144,3.17341,1434
2025-02-18 11:00:00,3.1,3.11,2.99,3.01,1078,3.03795,249
2025-02-18 12:00:00,3.0,3.01,2.95,2.99,1438,2.97543,407
2025-02-18 13:00:00,2.99,2.99,2.89,2.94,1083,2.92753,368
2025-02-18 14:00:00,2.94,2.96,2.9,2.95,404,2.93306,226
2025-02-18 15:00:00,2.94,3.02,2.93,2.99,1514,2.98588,665
2025-02-18 16:00:00,2.99,3.0,2.99,3.0,717,2.99002,5
2025-02-18 17:00:00,2.95,3.08,2.95,3.05,15,2.98933,3
2025-02-18 18:00:00,2.93,2.93,2.92,2.92,5,2.922,3
2025-02-18 19:00:00,2.92,2.92,2.92,2.92,0,2.92,0
2025-02-19 08:00:00,3.0,3.12,3.0,3.04,26,3.01513,8
2025-02-19 09:00:00,3.01,3.11,2.93,3.01,918,3.02313,274
2025-02-19 10:00:00,3.03,3.11,2.95,3.08,1361,3.04903,527
2025-02-19 11:00:00,3.08,3.33,3.08,3.3,2386,3.22882,748
2025-02-19 12:00:00,3.29,3.35,3.16,3.33,2380,3.25913,700
2025-02-19 13:00:00,3.32,3.35,3.28,3.33,2234,3.3211,726
2025-02-19 14:00:00,3.32,3.36,3.3,3.35,1200,3.33711,341
2025-02-19 15:00:00,3.35,3.35,3.23,3.29,1783,3.28408,631
2025-02-19 16:00:00,3.29,3.3,3.2,3.21,439,3.26326,17
2025-02-19 17:00:00,3.21,3.21,3.2,3.2,103,3.20058,6
2025-02-19 18:00:00,3.3,3.3,3.2,3.2,7,3.25709,3
2025-02-19 19:00:00,3.2,3.3,3.2,3.3,21,3.2078,2
2025-02-20 07:00:00,3.3,3.3,3.29,3.29,34,3.29083,4
2025-02-20 08:00:00,3.24,3.3,3.23,3.23,152,3.28594,8
2025-02-20 09:00:00,3.25,3.29,3.07,3.12,1379,3.19524,357
2025-02-20 10:00:00,3.12,3.25,3.1,3.15,2578,3.1675,809
2025-02-20 11:00:00,3.15,3.28,3.12,3.27,2730,3.20497,657
2025-02-20 12:00:00,3.27,3.27,3.14,3.21,451,3.20294,222
2025-02-20 13:00:00,3.22,3.23,3.16,3.2,610,3.19861,361
2025-02-20 14:00:00,3.19,3.24,3.18,3.2,580,3.20902,273
2025-02-20 15:00:00,3.2,3.21,3.12,3.13,1972,3.1547,798
2025-02-20 16:00:00,3.13,3.15,3.13,3.15,402,3.1301,2
2025-02-20 17:00:00,3.1,3.11,3.1,3.1,24,3.1002,1
2025-02-20 18:00:00,3.1,3.11,3.1,3.1,5,3.1012,1
2025-02-20 19:00:00,3.1,3.11,3.1,3.1,0,3.1,0
2025-02-21 07:00:00,3.19,3.19,3.19,3.19,1,3.19,1
2025-02-21 08:00:00,3.19,3.19,3.19,3.19,0,3.19,0
2025-02-21 09:00:00,3.2,3.2,3.11,3.11,548,3.15646,158
2025-02-21 10:00:00,3.1,3.1,2.97,3.0,1058,3.02655,325
2025-02-21 11:00:00,3.0,3.07,3.0,3.06,785,3.02944,355
2025-02-21 12:00:00,3.06,3.07,2.99,3.01,569,3.02079,228
2025-02-21 13:00:00,3.02,3.03,2.97,3.0,995,3.00105,248
2025-02-21 14:00:00,3.0,3.02,2.97,3.01,749,2.99741,276
2025-02-21 15:00:00,3.01,3.02,2.96,2.96,1586,2.98439,730
2025-02-21 16:00:00,2.97,2.97,2.96,2.96,466,2.96499,6
2025-02-21 17:00:00,2.95,2.97,2.95,2.97,10,2.95473,2
2025-02-21 18:00:00,2.97,2.97,2.97,2.97,0,2.97,0
2025-02-21 19:00:00,2.97,2.97,2.97,2.97,0,2.97,0
2025-02-24 04:00:00,3.19,3.21,2.97,3.2,13,3.13045,6
2025-02-24 05:00:00,3.2,3.2,3.2,3.2,0,3.2,0
2025-02-24 06:00:00,3.17,3.17,3.17,3.17,1,3.17,1
2025-02-24 07:00:00,3.04,3.04,3.04,3.04,1,3.04,1
2025-02-24 08:00:00,3.1,3.14,3.1,3.1,13,3.11054,6
2025-02-24 09:00:00,3.02,3.09,2.91,2.91,931,2.96255,246
2025-02-24 10:00:00,2.91,2.93,2.78,2.81,2885,2.85052,918
2025-02-24 11:00:00,2.81,2.92,2.79,2.91,745,2.86797,421
2025-02-24 12:00:00,2.9,2.96,2.9,2.92,492,2.92875,212
2025-02-24 13:00:00,2.93,3.01,2.91,2.99,1040,2.96329,397
2025-02-24 14:00:00,2.99,2.99,2.92,2.93,926,2.94635,387
2025-02-24 15:00:00,2.93,2.94,2.89,2.89,711,2.9139,396
2025-02-24 16:00:00,2.9,2.9,2.87,2.87,359,2.89399,4
2025-02-24 17:00:00,3.03,3.03,3.03,3.03,1,3.03,1
2025-02-24 18:00:00,3.03,3.03,3.03,3.03,0,3.03,0
2025-02-24 19:00:00,2.87,2.88,2.87,2.88,4,2.87477,2
2025-02-25 05:00:00,2.89,2.9,2.89,2.9,20,2.8975,3
2025-02-25 06:00:00,2.9,2.9,2.9,2.9,0,2.9,0
2025-02-25 07:00:00,2.9,2.9,2.9,2.9,0,2.9,0
2025-02-25 08:00:00,2.85,2.86,2.85,2.85,3,2.8503,1
2025-02-25 09:00:00,2.85,2.94,2.8,2.86,524,2.84733,127
2025-02-25 10:00:00,2.84,2.85,2.75,2.77,1421,2.78808,529
2025-02-25 11:00:00,2.77,2.77,2.64,2.68,1781,2.68806,458
2025-02-25 12:00:00,2.68,2.77,2.65,2.76,1519,2.70707,564
2025-02-25 13:00:00,2.76,2.79,2.56,2.63,3705,2.63091,929
2025-02-25 14:00:00,2.63,2.65,2.58,2.63,1343,2.60846,358
2025-02-25 15:00:00,2.63,2.69,2.62,2.64,1101,2.65294,511
2025-02-25 16:00:00,2.65,2.65,2.64,2.64,476,2.64994,4
2025-02-25 17:00:00,2.65,2.65,2.65,2.65,5,2.65,1
2025-02-25 18:00:00,2.59,2.59,2.59,2.59,1,2.59,1
2025-02-25 19:00:00,2.59,2.59,2.59,2.59,0,2.59,0
2025-02-26 04:00:00,2.66,2.66,2.65,2.65,4,2.65222,2
2025-02-26 05:00:00,2.65,2.65,2.65,2.65,0,2.65,0
2025-02-26 06:00:00,2.66,2.66,2.66,2.66,1,2.66,1
2025-02-26 07:00:00,2.66,2.66,2.66,2.66,0,2.66,0
2025-02-26 08:00:00,2.78,2.78,2.78,2.78,10,2.78,1
2025-02-26 09:00:00,2.7,2.73,2.64,2.65,287,2.67032,108
2025-02-26 10:00:00,2.65,2.69,2.58,2.59,1999,2.61105,476
2025-02-26 11:00:00,2.6,2.66,2.59,2.65,819,2.63207,273
2025-02-26 12:00:00,2.64,2.68,2.62,2.62,309,2.64543,133
2025-02-26 13:00:00,2.63,2.63,2.56,2.56,423,2.58806,211
2025-02-26 14:00:00,2.56,2.58,2.55,2.55,580,2.5649,287
2025-02-26 15:00:00,2.55,2.56,2.5,2.53,2630,2.52044,826
2025-02-26 16:00:00,2.54,2.56,2.54,2.56,453,2.54008,2
2025-02-26 17:00:00,2.57,2.57,2.5,2.5,14,2.53555,10
2025-02-26 18:00:00,2.55,2.65,2.55,2.65,9,2.63404,2
2025-02-26 19:00:00,2.65,2.65,2.65,2.65,0,2.65,0
2025-02-27 07:00:00,2.64,2.64,2.6,2.6,17,2.63765,5
2025-02-27 08:00:00,2.62,2.65,2.56,2.65,12,2.60935,4
2025-02-27 09:00:00,2.63,2.68,2.56,2.62,598,2.62316,173
2025-02-27 10:00:00,2.61,2.66,2.58,2.59,868,2.61785,367
2025-02-27 11:00:00,2.59,2.64,2.56,2.56,697,2.60686,269
2025-02-27 12:00:00,2.56,2.57,2.51,2.52,639,2.53723,179
2025-02-27 13:00:00,2.52,2.57,2.51,2.54,389,2.5349,174
2025-02-27 14:00:00,2.54,2.55,2.49,2.5,1624,2.50783,373
2025-02-27 15:00:00,2.49,2.49,2.41,2.42,1694,2.44931,700
2025-02-27 16:00:00,2.42,2.54,2.42,2.47,520,2.42034,4
2025-02-27 17:00:00,2.47,2.47,2.47,2.47,3,2.47,1
2025-02-27 18:00:00,2.47,2.47,2.47,2.47,0,2.47,0
2025-02-27 19:00:00,2.44,2.44,2.44,2.44,4,2.44,2
2025-02-28 04:00:00,2.41,2.41,2.41,2.41,1,2.41,1
2025-02-28 05:00:00,2.41,2.41,2.41,2.41,0,2.41,0
2025-02-28 06:00:00,2.41,2.41,2.41,2.41,0,2.41,0
2025-02-28 07:00:00,2.41,2.41,2.41,2.41,0,2.41,0
2025-02-28 08:00:00,2.47,2.58,2.45,2.5,105,2.49239,13
2025-02-28 09:00:00,2.41,2.49,2.33,2.34,1075,2.39093,263
2025-02-28 10:00:00,2.35,2.53,2.35,2.52,1456,2.45769,407
2025-02-28 11:00:00,2.52,2.55,2.44,2.48,764,2.49108,278
2025-02-28 12:00:00,2.47,2.53,2.44,2.44,714,2.49127,184
2025-02-28 13:00:00,2.44,2.55,2.42,2.51,992,2.47902,292
2025-02-28 14:00:00,2.5,2.54,2.46,2.52,957,2.49615,285
2025-02-28 15:00:00,2.52,2.55,2.48,2.53,1550,2.51156,725
2025-02-28 16:00:00,2.52,2.52,2.52,2.52,586,2.52,1
2025-02-28 17:00:00,2.52,2.52,2.52,2.52,0,2.52,0
2025-02-28 18:00:00,2.57,2.57,2.57,2.57,20,2.57,1
2025-02-28 19:00:00,2.57,2.57,2.57,2.57,0,2.57,0
2025-03-03 05:00:00,2.53,2.53,2.53,2.53,1,2.53,1
2025-03-03 06:00:00,2.53,2.53,2.49,2.5,51,2.52134,8
2025-03-03 07:00:00,2.5,2.5,2.5,2.5,0,2.5,0
2025-03-03 08:00:00,2.38,2.39,2.38,2.38,1,2.3823,1
2025-03-03 09:00:00,2.56,2.63,2.43,2.44,792,2.55644,274
2025-03-03 10:00:00,2.43,2.47,2.4,2.41,1048,2.4256,447
2025-03-03 11:00:00,2.42,2.42,2.38,2.39,1102,2.39973,310
2025-03-03 12:00:00,2.39,2.4,2.37,2.39,485,2.3842,238
2025-03-03 13:00:00,2.39,2.39,2.28,2.29,2656,2.32289,851
2025-03-03 14:00:00,2.29,2.33,2.27,2.27,1712,2.29841,621
2025-03-03 15:00:00,2.27,2.28,2.22,2.23,3678,2.24494,1178
2025-03-03 16:00:00,2.24,2.28,2.23,2.28,675,2.23545,10
2025-03-03 17:00:00,2.28,2.28,2.21,2.21,25,2.22492,4
2025-03-03 18:00:00,2.23,2.23,2.23,2.23,1,2.23,1
2025-03-03 19:00:00,2.24,2.3,2.23,2.3,100,2.28522,4
2025-03-04 08:00:00,2.25,2.25,2.19,2.22,159,2.20688,17
2025-03-04 09:00:00,2.23,2.23,2.12,2.2,2228,2.16762,865
2025-03-04 10:00:00,2.2,2.24,2.19,2.2,2015,2.21269,687
2025-03-04 11:00:00,2.21,2.21,2.16,2.21,1780,2.19462,699
2025-03-04 12:00:00,2.21,2.21,2.17,2.19,942,2.18568,365
2025-03-04 13:00:00,2.19,2.23,2.18,2.23,1406,2.21008,447
2025-03-04 14:00:00,2.23,2.26,2.22,2.25,1735,2.24022,526
2025-03-04 15:00:00,2.25,2.3,2.2,2.21,1759,2.24431,768
2025-03-04 16:00:00,2.21,2.21,2.2,2.21,343,2.205,2
2025-03-04 17:00:00,2.31,2.31,2.31,2.31,1,2.31,1
2025-03-04 18:00:00,2.31,2.31,2.31,2.31,0,2.31,0
2025-03-04 19:00:00,2.31,2.31,2.31,2.31,2,2.31,2
