date,open,high,low,close,volume,average,barCount
2024-05-28 00:00:00,7.6,7.67,7.34,7.51,5115,7.482,3184
2024-05-29 00:00:00,7.4,7.55,7.24,7.24,3046,7.35,1925
2024-05-30 00:00:00,7.32,7.51,7.28,7.43,2390,7.418,1489
2024-05-31 00:00:00,7.49,7.61,7.41,7.6,4156,7.534,2047
2024-06-03 00:00:00,7.7,7.74,7.33,7.39,2551,7.406,1703
2024-06-04 00:00:00,7.33,7.34,7.17,7.21,1826,7.22,1213
2024-06-05 00:00:00,7.29,7.53,7.19,7.5,4739,7.433,2007
2024-06-06 00:00:00,7.41,7.5,7.31,7.35,1817,7.389,1070
2024-06-07 00:00:00,7.23,7.31,7.12,7.12,1877,7.185,1111
2024-06-10 00:00:00,7.03,7.22,7.0,7.18,1359,7.141,795
2024-06-11 00:00:00,7.08,7.4,7.05,7.39,3245,7.305,1725
2024-06-12 00:00:00,7.69,7.84,7.46,7.46,2603,7.574,1804
2024-06-13 00:00:00,7.46,7.51,7.39,7.47,2114,7.451,1475
2024-06-14 00:00:00,7.7,7.8,7.43,7.5,1909,7.54,1199
2024-06-17 00:00:00,7.49,7.76,7.45,7.75,3085,7.632,2165
2024-06-18 00:00:00,7.72,7.99,7.72,7.98,2922,7.892,2146
2024-06-20 00:00:00,7.93,8.0,7.8,7.88,2906,7.883,1419
2024-06-21 00:00:00,7.87,7.87,7.61,7.79,4522,7.804,1153
2024-06-24 00:00:00,7.82,7.94,7.69,7.78,2913,7.814,1831
2024-06-25 00:00:00,7.74,7.82,7.57,7.61,1678,7.625,928
2024-06-26 00:00:00,7.57,7.68,7.47,7.62,2446,7.62,1284
2024-06-27 00:00:00,7.71,7.71,7.54,7.67,2891,7.608,1800
2024-06-28 00:00:00,7.75,7.84,7.54,7.83,4121,7.694,2524
2024-07-01 00:00:00,7.84,7.84,7.49,7.55,2828,7.581,1881
2024-07-02 00:00:00,7.55,7.83,7.49,7.76,3117,7.728,2042
2024-07-03 00:00:00,7.83,8.08,7.8,7.95,1277,7.974,614
2024-07-05 00:00:00,7.95,7.95,7.76,7.85,1735,7.847,1069
2024-07-08 00:00:00,7.95,8.17,7.95,8.0,3586,8.029,1714
2024-07-09 00:00:00,7.96,8.02,7.75,7.78,2518,7.812,1492
2024-07-10 00:00:00,7.89,7.9,7.63,7.76,3143,7.744,1610
2024-07-11 00:00:00,8.01,8.2,7.85,8.12,4237,8.071,2765
2024-07-12 00:00:00,8.31,8.7,7.96,7.97,5316,8.152,2138
2024-07-15 00:00:00,8.04,8.21,7.83,8.12,5678,8.122,2887
2024-07-16 00:00:00,8.16,8.7,8.07,8.6,6385,8.492,3664
2024-07-17 00:00:00,8.49,8.69,8.4,8.55,3496,8.553,2158
2024-07-18 00:00:00,8.54,8.68,8.4,8.44,2739,8.506,1631
2024-07-19 00:00:00,8.41,8.52,8.24,8.47,3615,8.445,2111
2024-07-22 00:00:00,8.55,8.97,8.41,8.88,4252,8.791,2305
2024-07-23 00:00:00,8.87,9.13,8.76,9.08,4294,9.006,2131
2024-07-24 00:00:00,9.0,9.15,8.83,8.83,4036,8.955,2292
2024-07-25 00:00:00,8.84,9.03,8.69,8.85,3400,8.871,2073
2024-07-26 00:00:00,9.09,9.09,8.85,8.96,2800,8.951,1694
2024-07-29 00:00:00,8.99,9.27,8.9,9.2,11574,9.157,3889
2024-07-30 00:00:00,9.24,9.41,9.13,9.32,8928,9.31,4027
2024-07-31 00:00:00,9.32,9.84,9.17,9.69,12023,9.57,5859
2024-08-01 00:00:00,11.33,11.38,10.05,10.73,15183,10.593,7833
2024-08-02 00:00:00,10.02,10.26,9.2,9.69,8318,9.603,4107
2024-08-05 00:00:00,8.92,9.45,8.26,9.41,5740,9.145,3025
2024-08-06 00:00:00,9.39,10.25,9.3,10.2,5991,9.954,2899
2024-08-07 00:00:00,10.5,10.72,9.91,9.97,6744,10.205,3741
2024-08-08 00:00:00,10.2,10.43,9.93,10.41,4580,10.213,2377
2024-08-09 00:00:00,10.48,10.5,10.15,10.25,2755,10.254,1458
2024-08-12 00:00:00,10.4,10.44,10.13,10.29,3386,10.314,1566
2024-08-13 00:00:00,10.29,10.49,10.08,10.43,2073,10.347,1181
2024-08-14 00:00:00,10.4,10.44,10.16,10.41,2937,10.333,1500
2024-08-15 00:00:00,10.56,10.82,10.44,10.5,4882,10.531,2303
