date,open,high,low,close,volume,average,barCount
2023-12-20,2.18,2.2,1.94,1.96,3987,2.04991,1472
2023-12-21,2.02,2.2099,2.0,2.01,1063,2.05467,318
2023-12-22,2.03,2.0559,1.87,1.9,1970,1.94497,704
2023-12-26,1.91,2.02,1.9,2.01,1238,1.95471,521
2023-12-27,2.01,2.03,1.95,2.01,1982,1.98173,859
2023-12-28,2.0,2.0,1.9,1.97,1638,1.96569,616
2023-12-29,1.95,2.04,1.92,1.98,1442,1.97452,528
2024-01-02,2.0,2.135,1.95,2.075,1894,2.07109,740
2024-01-03,2.08,2.12,2.01,2.04,980,2.06761,431
2024-01-04,2.04,2.1,1.98,2.0,1301,2.02665,677
2024-01-05,2.03,2.06,2.0,2.025,805,2.02972,317
2024-01-08,2.02,2.0699,1.935,1.99,1863,1.98367,747
2024-01-09,2.0,2.05,1.94,1.98,875,2.01083,368
2024-01-10,1.96,2.04,1.88,1.98,1401,1.97777,693
2024-01-11,1.93,2.04,1.93,2.01,1485,1.99912,787
2024-01-12,2.02,2.23,1.99,2.23,2931,2.12806,1002
2024-01-16,2.24,2.53,2.2201,2.5,6691,2.41505,2003
2024-01-17,2.48,3.29,2.48,2.85,31724,3.00595,9645
2024-01-18,2.82,2.82,2.06,2.12,13569,2.31681,4173
2024-01-19,2.17,2.23,2.0501,2.08,3646,2.11451,1211
2024-01-22,1.84,2.07,1.7,1.94,8126,1.89216,1771
2024-01-23,1.9,2.045,1.9,2.01,2023,1.98111,950
2024-01-24,1.98,2.25,1.98,2.09,2320,2.13245,898
2024-01-25,2.15,2.22,2.07,2.09,1622,2.15194,675
2024-01-26,2.06,2.1599,2.06,2.08,914,2.10006,336
2024-01-29,2.04,2.12,1.95,2.09,3577,2.0427,883
2024-01-30,2.11,2.2,2.02,2.16,1766,2.15964,759
2024-01-31,2.13,2.29,2.13,2.17,1661,2.22537,762
2024-02-01,2.19,2.23,2.09,2.17,1286,2.16261,631
2024-02-02,2.17,2.19,2.09,2.13,902,2.13563,535
2024-02-05,2.11,2.16,2.0,2.15,1658,2.08981,708
2024-02-06,2.15,2.2,2.05,2.17,1751,2.13699,985
2024-02-07,2.15,2.15,2.0,2.06,2850,2.07945,1199
2024-02-08,2.08,2.15,2.03,2.1,1838,2.081,797
2024-02-09,2.12,2.3,2.11,2.2,4479,2.21235,1445
2024-02-12,2.2,2.33,2.18,2.21,2225,2.22567,1024
2024-02-13,2.16,2.23,2.03,2.07,2430,2.12016,924
2024-02-14,2.12,2.15,1.88,1.93,6106,1.99583,1745
2024-02-15,1.94,2.09,1.92,1.95,3113,2.00678,870
2024-02-16,1.98,2.03,1.9,1.95,2682,1.97154,841
2024-02-20,1.95,2.02,1.8615,1.9,2292,1.92833,679
2024-02-21,1.94,2.0,1.86,1.9,2270,1.90867,761
2024-02-22,1.9,2.05,1.9,2.03,1977,2.0055,553
2024-02-23,1.99,2.08,1.98,2.04,1136,2.04844,345
2024-02-26,2.06,2.13,2.0408,2.1,852,2.09698,385
2024-02-27,2.1,2.18,2.09,2.095,2948,2.12202,1026
2024-02-28,2.06,2.12,1.99,2.0,1563,2.03794,747
2024-02-29,2.06,2.12,1.962,2.015,1769,2.01835,758
2024-03-01,2.04,2.05,1.97,1.98,855,1.99812,203
2024-03-04,2.0,2.0,1.86,1.94,1391,1.92215,503
2024-03-05,1.9,1.96,1.83,1.9,1664,1.88713,622
2024-03-06,1.88,1.92,1.85,1.89,1180,1.88565,360
2024-03-07,1.8973,2.0,1.87,1.96,1160,1.94471,403
2024-03-08,1.92,2.12,1.92,2.09,2130,2.01531,610
2024-03-11,2.1,2.1592,2.0,2.02,1243,2.09548,443
2024-03-12,2.05,2.12,1.98,2.05,2159,2.03313,883
2024-03-13,2.02,2.46,2.02,2.33,5309,2.2719,2149
2024-03-14,2.35,2.4776,2.2301,2.32,3177,2.34261,1443
2024-03-15,2.34,2.7,2.32,2.56,4550,2.5251,1870
2024-03-18,2.55,2.57,2.4015,2.47,1929,2.49629,797
2024-03-19,2.45,2.64,2.3709,2.51,1931,2.47454,719
2024-03-20,2.49,2.5899,2.4,2.47,1413,2.45563,454
2024-03-21,2.46,2.5223,2.38,2.4,930,2.41846,364
2024-03-22,2.37,2.42,2.27,2.38,2299,2.37506,945
2024-03-25,2.46,2.49,2.36,2.39,1347,2.41342,718
2024-03-26,2.37,2.49,2.3505,2.4,407,2.38202,187
2024-03-27,2.4,2.4363,2.36,2.38,348,2.38015,191
2024-03-28,2.41,2.47,2.23,2.29,959,2.30663,372
2024-04-01,2.26,2.26,2.1,2.19,1531,2.1582,604
2024-04-02,2.14,2.21,2.0501,2.1,1201,2.14041,455
2024-04-03,2.09,2.18,2.08,2.125,598,2.10988,186
2024-04-04,2.12,2.2,2.115,2.18,1030,2.15093,324
2024-04-05,2.16,2.22,2.13,2.21,752,2.18016,244
2024-04-08,2.2,2.25,2.13,2.13,2424,2.19065,660
2024-04-09,2.15,2.46,2.1478,2.39,1958,2.34434,742
2024-04-10,2.27,2.39,2.25,2.26,2703,2.31512,1057
2024-04-11,2.29,2.31,2.25,2.3,300,2.27597,116
2024-04-12,2.29,2.31,2.11,2.2,994,2.19656,403
2024-04-15,2.2,2.2,1.91,2.045,2962,2.01957,973
2024-04-16,2.0,2.07,1.91,2.0,1837,2.01689,607
2024-04-17,2.0,2.04,1.86,1.9,1758,1.9273,647
2024-04-18,1.94,2.05,1.81,1.86,1723,1.89601,415
2024-04-19,1.9,2.07,1.865,1.99,1110,1.97449,576
2024-04-22,1.99,2.1,1.97,2.0,914,2.04871,471
2024-04-23,2.01,2.12,1.99,2.02,1556,2.05468,491
2024-04-24,2.02,2.0399,1.97,2.01,309,1.99809,151
2024-04-25,1.97,2.0331,1.84,1.96,1909,1.94809,641
2024-04-26,1.95,1.99,1.93,1.94,429,1.95419,265
2024-04-29,1.97,2.05,1.93,1.97,2942,2.00218,533
2024-04-30,1.99,2.0106,1.9,1.94,343,1.94531,132
2024-05-01,1.93,2.03,1.85,2.0,2172,1.96346,654
2024-05-02,2.01,2.05,1.97,1.99,260,1.99882,106
2024-05-03,1.99,2.05,1.97,2.01,2036,2.00661,380
2024-05-06,2.04,2.04,1.98,2.02,570,2.00746,236
2024-05-07,2.04,2.06,1.93,1.99,841,1.98189,353
2024-05-08,2.04,2.05,1.96,2.0,806,1.99759,288
2024-05-09,2.02,2.02,1.94,2.0,648,1.98199,230
2024-05-10,2.0,2.1642,1.93,1.98,1673,2.02223,592
2024-05-13,1.96,2.0,1.94,1.98,636,1.96937,310
2024-05-14,2.02,2.05,1.93,1.985,717,1.97155,272
2024-05-15,1.98,1.99,1.88,1.91,1128,1.93598,432
2024-05-16,1.9,1.9428,1.88,1.92,482,1.91451,228
2024-05-17,1.94,2.0,1.93,1.94,591,1.95811,162
2024-05-20,1.94,1.955,1.905,1.92,350,1.92999,134
2024-05-21,1.92,1.9499,1.88,1.9,537,1.90141,262
2024-05-22,1.91,1.97,1.9,1.94,378,1.92731,225
2024-05-23,1.95,1.96,1.8694,1.89,515,1.90394,286
2024-05-24,1.9,1.94,1.85,1.88,627,1.88394,276
2024-05-28,1.87,1.9095,1.77,1.84,1019,1.82876,413
2024-05-29,1.84,1.89,1.808,1.83,853,1.84672,317
2024-05-30,1.83,1.93,1.83,1.83,1547,1.88551,349
2024-05-31,1.86,1.96,1.83,1.95,565,1.88452,287
2024-06-03,1.96,1.9999,1.91,1.98,628,1.95485,227
2024-06-04,1.98,2.1,1.97,2.0,1207,2.02198,615
2024-06-05,2.01,2.0385,1.97,2.01,287,1.99138,134
2024-06-06,2.0,2.04,1.97,1.99,528,2.00648,206
2024-06-07,1.98,2.02,1.84,1.85,838,1.90223,356
2024-06-10,1.85,1.92,1.76,1.81,1079,1.81787,457
2024-06-11,1.8,1.86,1.7652,1.83,548,1.82581,171
2024-06-12,1.85,1.92,1.76,1.8,776,1.8115,212
2024-06-13,1.78,1.84,1.78,1.79,573,1.79763,251
2024-06-14,1.84,1.85,1.73,1.76,1841,1.77705,424
2024-06-17,1.75,1.77,1.66,1.7,2527,1.70877,811
2024-06-18,1.61,1.75,1.61,1.665,1188,1.67099,379
2024-06-20,1.66,1.73,1.65,1.71,723,1.69874,246
2024-06-21,1.7,1.7299,1.68,1.71,355,1.70854,123
2024-06-24,1.69,1.7197,1.62,1.65,1237,1.65646,273
2024-06-25,1.67,1.78,1.65,1.66,1854,1.7,377
2024-06-26,1.64,1.6899,1.63,1.65,506,1.6573,262
2024-06-27,1.62,1.68,1.62,1.65,314,1.65183,145
2024-06-28,1.63,1.69,1.63,1.66,1319,1.66833,339
2024-07-01,1.63,1.715,1.63,1.65,341,1.66253,115
2024-07-02,1.65,1.66,1.63,1.645,457,1.64681,127
2024-07-03,1.63,1.7093,1.61,1.64,324,1.63962,164
2024-07-05,1.64,1.72,1.6301,1.7,1418,1.6889,306
2024-07-08,1.71,1.72,1.65,1.66,658,1.66656,178
2024-07-09,1.65,1.72,1.65,1.69,441,1.67365,110
2024-07-10,1.67,1.72,1.67,1.71,515,1.69455,138
2024-07-11,1.72,1.795,1.7,1.73,1143,1.74742,354
2024-07-12,1.77,1.86,1.74,1.85,1660,1.78527,438
2024-07-15,1.83,1.86,1.75,1.75,525,1.82388,129
2024-07-16,1.76,1.9,1.76,1.88,1138,1.86239,211
2024-07-17,1.88,1.8972,1.83,1.835,359,1.8508,107
2024-07-18,1.84,1.8499,1.79,1.8,177,1.83255,60
2024-07-19,1.8,1.85,1.78,1.785,253,1.81397,101
2024-07-22,1.78,1.8299,1.78,1.8,354,1.80183,132
2024-07-23,1.8,1.94,1.8,1.885,676,1.85195,198
2024-07-24,1.88,1.9299,1.87,1.88,89,1.89714,50
2024-07-25,1.89,1.91,1.85,1.885,432,1.8897,165
2024-07-26,1.8999,1.92,1.87,1.88,158,1.89949,83
2024-07-29,1.88,1.91,1.8,1.805,1295,1.8144,156
2024-07-30,1.8,1.87,1.8,1.86,91,1.84529,58
2024-07-31,1.87,1.98,1.8557,1.93,1089,1.94138,212
2024-08-01,1.88,2.0,1.8,1.82,719,1.83898,252
2024-08-02,1.8352,1.9999,1.77,1.78,537,1.77949,156
