date,open,high,low,close,volume,average,barCount
2023-12-20,37.29,37.86,36.0,36.92,3399,37.053,1933
2023-12-21,37.56,38.0,36.73,37.27,2162,37.226,1515
2023-12-22,37.73,39.38,37.71,39.27,2711,38.758,1831
2023-12-26,40.12,41.08,39.54,40.21,2997,40.389,1713
2023-12-27,40.28,40.28,37.16,37.88,5282,37.949,3297
2023-12-28,38.25,39.54,37.4,38.47,5958,38.402,3498
2023-12-29,38.5,38.64,35.99,36.34,3575,36.632,2183
2024-01-02,35.98,38.74,35.64,38.54,3745,38.086,2461
2024-01-03,38.15,39.03,36.82,38.04,3814,38.112,2615
2024-01-04,38.55,40.53,38.14,40.39,4972,39.821,3159
2024-01-05,39.81,41.1,38.23,40.66,6139,40.385,3830
2024-01-08,31.54,35.54,28.71,35.28,28091,32.167,13033
2024-01-09,34.08,41.55,33.52,39.62,22949,39.105,13000
2024-01-10,39.55,40.19,34.24,35.87,12874,36.184,7507
2024-01-11,35.66,36.2,33.7,34.81,7603,34.593,4411
2024-01-12,34.69,36.19,33.96,34.67,3499,34.635,2205
2024-01-16,34.2,34.9,32.61,33.12,3785,33.628,2385
2024-01-17,32.5,32.95,31.26,32.38,4928,31.988,2970
2024-01-18,32.53,32.74,31.5,32.32,2048,32.087,1508
2024-01-19,32.34,33.61,31.73,33.05,4601,32.763,2682
2024-01-22,33.16,34.75,32.56,34.07,2873,33.671,1983
2024-01-23,34.57,34.65,32.86,33.69,3744,33.596,1838
2024-01-24,34.0,34.17,32.64,32.93,1644,33.115,1200
2024-01-25,33.06,33.47,31.58,32.06,3996,32.232,2115
2024-01-26,32.43,33.02,32.09,32.63,1833,32.557,1241
2024-01-29,32.64,33.84,31.68,33.76,2181,33.226,1531
2024-01-30,31.47,31.57,29.4,29.86,9281,30.255,5039
2024-01-31,29.98,30.31,28.26,28.39,8472,29.215,5269
2024-02-01,28.65,28.81,27.28,27.37,4987,27.713,2660
2024-02-02,26.92,27.35,25.14,25.77,5855,25.627,3411
2024-02-05,25.27,25.59,24.28,25.05,11685,25.067,5354
2024-02-06,25.03,26.41,24.51,26.31,5087,25.937,3048
2024-02-07,26.28,27.13,25.78,26.61,3325,26.496,2111
2024-02-08,26.55,27.75,26.49,27.43,5028,27.387,3035
2024-02-09,27.65,28.65,27.54,28.38,6488,28.363,3045
2024-02-12,28.4,30.19,28.4,29.43,4474,29.498,2815
2024-02-13,27.94,29.32,26.34,26.49,6513,27.262,4301
2024-02-14,27.76,27.76,25.89,27.29,4322,27.037,2957
2024-02-15,27.23,28.86,27.11,28.52,3560,28.377,2873
2024-02-16,28.45,30.32,27.46,28.02,7772,28.482,5740
2024-02-20,27.42,28.3,26.89,27.53,3479,27.307,2645
2024-02-21,27.44,27.86,26.59,27.05,3013,26.968,2348
2024-02-22,26.95,27.5,26.13,26.95,3749,26.91,3002
2024-02-23,27.03,27.65,26.8,27.22,2967,27.203,2188
2024-02-26,27.2,28.43,27.2,28.18,2832,27.945,2019
2024-02-27,28.87,31.03,28.35,30.3,3963,29.899,2663
