date,open,high,low,close,volume,average,barCount
2023-12-20,1.51,1.63,1.37,1.46,8530,1.52806,2578
2023-12-21,1.5,1.58,1.44,1.51,3842,1.52266,909
2023-12-22,1.49,1.54,1.41,1.465,3129,1.48206,1090
2023-12-26,1.51,1.83,1.51,1.75,8976,1.72776,2313
2023-12-27,1.81,2.15,1.68,2.03,14211,1.95008,3031
2023-12-28,2.03,2.38,2.0,2.35,10692,2.22133,2948
2023-12-29,2.36,2.36,1.96,2.1,10232,2.11548,2781
2024-01-02,2.13,2.3499,2.03,2.04,7808,2.22843,1803
2024-01-03,2.14,2.15,1.89,1.95,5588,1.9928,1718
2024-01-04,1.96,2.09,1.95,2.0,2242,2.03098,900
2024-01-05,2.08,2.21,1.88,2.14,4681,2.07309,1431
2024-01-08,2.16,2.25,2.007,2.19,3357,2.17256,1299
2024-01-09,2.14,2.31,2.0603,2.13,4036,2.18928,1195
2024-01-10,2.12,2.12,1.9208,1.99,3940,1.99035,1274
2024-01-11,2.0,2.0,1.79,1.81,3955,1.85023,1602
2024-01-12,1.79,1.83,1.7,1.74,3031,1.76883,1189
2024-01-16,1.75,1.7703,1.55,1.65,8685,1.63667,3160
2024-01-17,1.59,1.77,1.59,1.75,9059,1.72998,2395
2024-01-18,1.79,1.81,1.61,1.62,2739,1.66834,1163
2024-01-19,1.63,1.65,1.5,1.5,5050,1.5422,1594
2024-01-22,1.5,1.67,1.5,1.61,3816,1.60978,1352
2024-01-23,1.63,1.76,1.6057,1.63,2171,1.64308,702
2024-01-24,1.65,1.665,1.57,1.57,2014,1.60858,849
2024-01-25,1.61,1.61,1.44,1.5,3911,1.49107,950
2024-01-26,1.49,1.54,1.37,1.37,4905,1.43126,1699
2024-01-29,1.37,1.55,1.37,1.53,4331,1.47231,1314
2024-01-30,1.54,1.54,1.39,1.4,2467,1.43283,910
2024-01-31,1.4,1.45,1.33,1.34,2903,1.39544,1044
2024-02-01,1.36,1.4,1.28,1.29,3108,1.33144,1428
2024-02-02,1.3,1.33,1.24,1.32,3803,1.27515,1238
2024-02-05,1.31,1.35,1.22,1.24,3172,1.25721,884
2024-02-06,1.21,1.28,1.2,1.24,3631,1.2383,1054
2024-02-07,1.24,1.25,1.14,1.15,2943,1.176,863
2024-02-08,1.14,1.19,1.12,1.17,3470,1.15331,801
2024-02-09,1.19,1.255,1.19,1.2,2235,1.22142,518
2024-02-12,1.18,1.37,1.18,1.34,5344,1.29781,1447
2024-02-13,1.29,1.31,1.15,1.19,4257,1.22326,1059
2024-02-14,1.25,1.3039,1.17,1.195,3340,1.24173,811
2024-02-15,1.24,1.4,1.24,1.32,4108,1.33054,1106
2024-02-16,1.27,1.3892,1.25,1.36,3973,1.34046,1071
2024-02-20,1.33,1.38,1.23,1.26,3227,1.29027,709
2024-02-21,1.24,1.26,1.1901,1.23,1992,1.22222,542
2024-02-22,1.24,1.31,1.22,1.25,1445,1.27044,402
2024-02-23,1.26,1.335,1.21,1.28,2176,1.26888,573
2024-02-26,1.31,1.52,1.3,1.5,4061,1.45552,1500
2024-02-27,1.55,1.6,1.38,1.5,4335,1.45996,1426
2024-02-28,1.44,1.5,1.41,1.46,2434,1.47312,820
2024-02-29,1.32,1.63,1.31,1.55,7294,1.52373,1763
2024-03-01,1.6,1.74,1.545,1.69,4484,1.6535,1139
2024-03-04,1.73,1.8,1.65,1.74,5096,1.75427,1356
2024-03-05,1.75,1.76,1.625,1.7,4753,1.70142,1854
2024-03-06,1.78,1.8,1.68,1.75,3671,1.75704,1326
2024-03-07,1.74,1.78,1.57,1.68,5184,1.67759,1795
2024-03-08,1.72,1.78,1.59,1.65,3424,1.69085,1544
2024-03-11,1.64,1.78,1.64,1.72,3521,1.72516,1432
2024-03-12,1.73,1.75,1.65,1.73,3388,1.70641,1549
2024-03-13,1.69,1.8,1.645,1.69,2792,1.73013,1157
2024-03-14,1.71,1.71,1.52,1.58,4615,1.60272,1441
2024-03-15,1.56,1.6491,1.56,1.61,1346,1.60064,607
2024-03-18,1.62,1.6596,1.59,1.63,1721,1.61859,792
2024-03-19,1.62,1.65,1.53,1.62,1485,1.59056,677
2024-03-20,1.59,1.6,1.31,1.51,9180,1.43744,2421
2024-03-21,1.49,1.55,1.46,1.46,1811,1.49138,875
2024-03-22,1.48,1.48,1.39,1.42,2017,1.42408,943
2024-03-25,1.44,1.475,1.41,1.44,1366,1.44154,628
2024-03-26,1.5,1.53,1.42,1.43,1537,1.45966,499
2024-03-27,1.45,1.47,1.4,1.45,1767,1.43655,686
2024-03-28,1.48,1.535,1.46,1.49,2236,1.50059,1025
2024-04-01,1.5,1.54,1.41,1.43,3306,1.44417,1350
2024-04-02,1.42,1.43,1.36,1.37,1638,1.38495,435
2024-04-03,1.38,1.39,1.34,1.35,1518,1.36492,724
2024-04-04,1.39,1.47,1.38,1.4,2406,1.4205,1054
2024-04-05,1.42,1.42,1.37,1.39,1425,1.38952,419
2024-04-08,1.41,1.42,1.3701,1.41,658,1.39695,231
2024-04-09,1.45,1.4699,1.41,1.45,1116,1.45186,441
2024-04-10,1.42,1.42,1.35,1.38,1330,1.38649,423
2024-04-11,1.38,1.4,1.36,1.37,1021,1.37785,266
2024-04-12,1.38,1.38,1.26,1.275,3869,1.30504,1149
2024-04-15,1.32,1.32,1.24,1.26,2443,1.27146,802
2024-04-16,1.27,1.28,1.22,1.24,2305,1.25221,684
2024-04-17,1.28,1.32,1.19,1.2,3320,1.21741,997
2024-04-18,1.22,1.27,1.18,1.21,2590,1.21797,916
2024-04-19,1.2,1.31,1.2,1.29,2444,1.26823,1130
2024-04-22,1.31,1.31,1.23,1.26,1815,1.26554,761
2024-04-23,1.26,1.4199,1.255,1.38,1604,1.37187,549
