date,open,high,low,close,volume,average,barCount
2024-01-02,27.04,28.49,27.0,28.04,5031,27.922,3956
2024-01-03,27.75,27.94,27.0,27.23,4661,27.354,3134
2024-01-04,27.44,28.33,27.44,28.09,4229,28.005,3192
2024-01-05,27.5,27.98,26.86,27.9,4051,27.431,2951
2024-01-08,27.81,30.0,27.07,29.99,7152,28.766,5033
2024-01-09,29.32,30.0,28.57,28.71,7436,29.032,5417
2024-01-10,28.51,29.36,27.9,28.85,4958,28.478,3192
2024-01-11,28.44,29.03,27.96,28.77,4695,28.565,2520
2024-01-12,29.23,29.55,27.15,27.33,3988,27.755,3010
2024-01-16,27.13,28.73,26.98,28.62,7092,28.405,4504
2024-01-17,28.5,28.81,27.16,28.1,4800,28.1,3535
2024-01-18,28.01,28.35,27.0,27.33,5289,27.394,3570
2024-01-19,27.37,27.57,26.16,27.06,5990,27.028,4329
2024-01-22,27.29,27.91,27.0,27.27,4573,27.318,3684
2024-01-23,27.79,28.19,27.33,27.96,2732,27.79,2264
2024-01-24,28.36,28.65,27.18,27.21,2370,27.584,2023
2024-01-25,27.23,28.09,26.53,26.66,4054,27.067,3037
2024-01-26,25.71,27.21,25.1,27.05,17774,26.274,11932
2024-01-29,27.13,28.5,25.79,28.16,4995,27.754,3715
2024-01-30,28.13,28.13,26.44,26.56,4624,26.989,3618
2024-01-31,26.52,27.35,26.01,26.09,4686,26.501,3820
2024-02-01,26.24,26.34,25.22,26.03,4327,25.902,3093
2024-02-02,25.45,25.85,24.79,25.18,4206,25.202,2944
2024-02-05,24.78,25.18,23.94,25.07,3980,24.633,2833
2024-02-06,24.95,26.89,24.69,26.79,4648,26.148,3249
2024-02-07,26.74,26.74,25.18,25.24,2627,25.775,1742
2024-02-08,25.31,25.67,24.88,25.25,2464,25.3,1923
2024-02-09,25.41,25.75,25.22,25.51,3016,25.403,2144
2024-02-12,25.69,25.97,25.43,25.92,3365,25.717,2655
2024-02-13,24.85,25.1,23.58,24.15,7030,24.155,4513
2024-02-14,24.34,25.38,24.29,25.04,6874,24.873,3047
2024-02-15,25.34,25.87,25.18,25.69,4471,25.627,2517
2024-02-16,25.35,26.35,25.13,25.91,5904,25.828,3046
2024-02-20,25.71,26.36,25.31,25.98,3472,25.913,2359
2024-02-21,25.94,26.19,25.34,25.94,3337,25.825,2216
2024-02-22,25.82,26.61,25.52,26.04,2931,26.075,2291
2024-02-23,26.01,27.75,25.74,27.07,5972,26.977,3596
2024-02-26,27.01,28.46,26.83,27.95,4051,28.064,2682
2024-02-27,28.43,28.66,27.61,28.31,3639,28.187,2486
2024-02-28,28.18,28.92,27.98,28.2,3726,28.381,2174
2024-02-29,28.87,28.94,27.79,28.19,8249,28.314,4974
2024-03-01,26.5,32.91,25.4,31.95,13770,31.244,8195
2024-03-04,32.71,32.77,30.08,30.98,5298,30.87,3723
2024-03-05,30.71,31.58,30.25,31.3,3656,31.122,2165
2024-03-06,31.87,31.9,30.17,30.88,3152,30.849,2372
2024-03-07,31.17,31.29,30.6,30.76,3472,30.833,2483
2024-03-08,31.34,31.65,30.54,31.16,2477,31.11,1878
2024-03-11,31.19,31.66,30.57,30.7,5005,30.903,2526
2024-03-12,30.63,31.74,30.11,31.69,3091,31.26,2349
2024-03-13,31.72,32.23,30.58,30.79,4355,31.325,1913
2024-03-14,30.36,30.36,28.25,28.89,3723,28.988,2849
2024-03-15,28.79,29.92,28.71,29.55,5340,29.266,2404
2024-03-18,29.43,29.84,28.57,29.01,2047,29.177,1597
2024-03-19,28.93,30.81,28.5,30.43,3850,30.315,2420
2024-03-20,30.66,30.67,29.0,29.51,4452,29.42,2919
2024-03-21,29.97,30.95,29.42,30.17,2011,30.453,1691
2024-03-22,30.2,30.46,29.05,29.09,1247,29.444,952
2024-03-25,29.0,29.76,28.29,28.86,1789,28.949,1042
2024-03-26,29.38,29.47,27.92,27.96,2243,28.377,1775
2024-03-27,28.18,29.85,27.91,29.44,1752,29.23,1343
2024-03-28,29.48,29.83,29.0,29.09,2198,29.36,1700
2024-04-01,28.95,29.01,27.95,28.59,3100,28.448,2155
2024-04-02,28.05,28.96,27.6,28.4,2702,28.385,2042
2024-04-03,28.13,29.14,27.7,29.0,2703,28.714,2043
2024-04-04,29.13,29.42,27.72,27.82,1986,28.282,1377
2024-04-05,27.31,27.72,26.46,27.02,1938,27.253,1475
2024-04-08,27.12,27.43,26.54,26.88,2741,26.875,1837
2024-04-09,26.95,27.72,26.72,27.6,2407,27.326,1611
2024-04-10,26.57,27.34,26.3,26.91,2378,26.759,1928
2024-04-11,27.45,27.82,26.65,27.4,1920,27.23,1470
2024-04-12,27.58,28.01,26.11,26.42,3345,26.723,2359
2024-04-15,26.42,26.78,25.39,25.68,5157,25.864,3964
2024-04-16,25.42,26.32,25.14,25.29,3864,25.555,2979
2024-04-17,25.5,25.5,24.79,25.16,3200,25.192,2636
2024-04-18,25.13,25.28,24.47,24.69,4340,24.847,3496
2024-04-19,24.01,25.55,24.01,25.32,7452,25.163,5181
2024-04-22,25.34,26.49,25.18,25.97,3305,25.917,2186
2024-04-23,26.16,26.27,25.16,25.41,3642,25.615,2696
2024-04-24,25.79,26.0,24.85,25.21,2222,25.338,1761
2024-04-25,24.66,25.65,23.99,25.49,4088,25.02,2828
2024-04-26,27.0,29.27,25.67,28.57,10223,28.36,4749
2024-04-29,29.4,32.61,29.07,32.14,10807,31.271,4845
2024-04-30,31.96,32.88,31.7,32.15,7188,32.479,3612
2024-05-01,32.27,35.47,31.7,34.16,5410,33.69,3307
2024-05-02,34.73,34.9,33.21,33.62,3559,33.767,1719
2024-05-03,34.73,34.83,32.81,33.01,6359,33.306,2614
2024-05-06,32.96,33.32,32.54,32.96,2189,32.913,1673
2024-05-07,33.16,33.3,31.7,31.79,2331,32.107,1773
2024-05-08,31.13,31.6,30.7,31.14,3083,31.022,2294
2024-05-09,31.14,31.39,30.79,31.05,2746,31.084,2330
2024-05-10,31.23,32.69,31.01,32.25,2881,32.126,2298
2024-05-13,32.25,33.26,31.48,31.7,3922,32.065,2628
2024-05-14,32.54,33.14,30.95,31.18,2323,31.478,1720
2024-05-15,32.03,33.79,31.92,33.66,3152,32.864,1235
2024-05-16,33.74,34.32,33.32,34.03,2359,33.947,1591
2024-05-17,33.71,33.94,32.88,33.09,2883,33.317,1586
2024-05-20,38.5,40.69,37.57,40.12,18693,39.572,9206
2024-05-21,39.92,40.69,38.27,38.85,7251,39.321,4776
2024-05-22,38.86,39.02,37.21,38.64,6199,38.467,3379
2024-05-23,38.63,38.63,36.92,37.13,3401,37.639,2602
2024-05-24,37.27,38.14,37.06,37.2,2831,37.486,1894
2024-05-28,37.76,37.76,36.25,36.47,4572,36.857,3392
2024-05-29,35.73,36.5,34.8,35.03,3849,35.347,2867
2024-05-30,35.41,36.59,35.03,35.81,3620,35.902,2668
2024-05-31,35.99,36.82,35.85,36.36,2431,36.394,1870
2024-06-03,36.3,37.94,35.95,37.43,5826,37.175,3226
2024-06-04,37.51,38.71,37.22,37.91,2114,38.174,1610
2024-06-05,38.12,38.66,37.57,38.0,2429,38.113,1691
2024-06-06,38.09,38.17,36.76,36.93,3116,37.133,1986
2024-06-07,36.77,37.29,36.22,36.52,2934,36.656,2314
2024-06-10,36.12,38.27,36.12,37.61,3739,37.179,2195
2024-06-11,37.23,37.8,36.6,37.69,2262,37.299,1598
2024-06-12,38.96,39.95,36.97,37.67,2779,37.832,2139
2024-06-13,37.66,38.12,36.7,36.9,4113,37.117,2351
2024-06-14,36.45,36.57,35.53,35.81,4525,35.97,3246
2024-06-17,35.67,36.6,35.19,35.4,3431,35.921,2569
2024-06-18,35.42,36.12,34.49,35.62,3881,35.15,2654
2024-06-20,36.26,36.94,32.85,33.29,14223,33.766,7631
2024-06-21,33.55,36.54,33.48,36.52,9784,35.534,5414
2024-06-24,36.95,37.64,35.69,35.77,3883,36.442,3009
2024-06-25,36.44,37.32,35.08,35.15,3608,35.882,2506
2024-06-26,35.08,35.35,34.46,35.02,2675,34.938,2020
2024-06-27,35.57,36.22,34.56,34.66,2897,34.944,2244
2024-06-28,29.25,32.41,28.72,30.58,13919,30.282,7905
2024-07-01,30.56,31.85,30.4,31.17,4202,31.077,3084
2024-07-02,31.1,31.33,29.92,30.39,4036,30.497,2852
2024-07-03,30.91,31.14,30.29,31.0,2018,30.778,1200
2024-07-05,30.95,31.2,30.14,30.93,2785,30.643,1689
2024-07-08,31.63,32.17,30.99,31.73,2304,31.654,1594
2024-07-09,31.65,32.33,30.87,31.55,2582,31.733,1751
2024-07-10,31.69,32.4,31.42,31.77,1857,31.798,1435
2024-07-11,32.4,33.88,31.87,33.2,3006,33.355,2349
2024-07-12,33.61,34.44,32.76,33.27,2093,33.378,1638
2024-07-15,33.38,33.76,32.53,33.13,2455,33.087,1779
2024-07-16,33.75,34.49,33.67,34.17,4011,34.129,2542
2024-07-17,33.86,34.56,33.36,34.19,4088,34.063,2411
2024-07-18,34.07,34.18,32.35,32.81,3383,33.031,1437
2024-07-19,32.91,33.62,32.41,32.63,3474,32.95,1834
2024-07-22,32.93,33.21,32.54,33.03,2214,32.851,1664
2024-07-23,32.77,33.75,32.77,33.55,1057,33.462,879
2024-07-24,33.28,34.46,32.89,33.97,2615,34.002,1380
2024-07-25,34.09,34.58,33.54,33.57,2078,33.933,1593
2024-07-26,34.09,34.56,33.62,34.09,1651,34.04,1213
2024-07-29,34.08,34.08,32.18,32.52,2272,32.854,1518
2024-07-30,32.8,33.31,32.2,33.03,1543,32.893,1136
2024-07-31,33.22,34.52,32.76,33.85,1417,33.786,1012
2024-08-01,33.87,34.14,32.37,32.69,2306,32.99,1479
2024-08-02,30.81,32.31,30.4,32.19,1987,31.599,1293
2024-08-05,31.26,31.59,30.31,31.0,3733,30.935,2434
2024-08-06,31.14,32.83,30.81,32.09,2887,32.286,2257
2024-08-07,32.74,32.75,31.63,31.85,2156,32.005,1755
2024-08-08,31.86,32.53,30.65,32.45,2494,31.922,1791
2024-08-09,29.38,33.23,29.01,31.29,4127,31.355,3107
2024-08-12,31.7,32.03,30.08,31.31,2315,31.258,2015
2024-08-13,31.64,32.06,30.87,31.87,1815,31.569,1260
2024-08-14,31.97,32.23,30.91,31.77,1906,31.608,1441
2024-08-15,32.66,33.19,32.39,33.04,2316,32.874,1757
2024-08-16,33.0,33.46,32.47,33.42,2410,32.913,1697
2024-08-19,33.47,34.62,33.27,34.46,2108,34.218,1603
2024-08-20,34.64,34.64,33.38,34.39,1801,34.123,957
2024-08-21,34.49,34.54,33.86,33.93,2199,34.152,1131
2024-08-22,34.03,34.03,32.84,33.43,1382,33.284,899
2024-08-23,33.76,34.58,33.49,34.15,1690,34.204,1256
2024-08-26,35.45,35.91,34.36,34.91,2211,35.051,1449
2024-08-27,34.87,35.56,34.15,35.32,3794,35.021,2072
2024-08-28,35.11,35.64,34.88,35.19,1873,35.233,1425
2024-08-29,35.61,36.32,35.36,35.53,2075,35.769,1184
2024-08-30,35.68,35.72,34.44,35.32,1420,35.042,1112
2024-09-03,35.12,35.99,33.22,33.41,2920,33.893,1827
2024-09-04,33.71,33.77,32.72,33.59,1300,33.416,1002
2024-09-05,33.67,33.9,30.41,31.6,5087,31.74,2958
2024-09-06,31.64,31.98,30.59,31.54,3242,31.434,2088
2024-09-09,31.59,32.3,31.25,31.42,2075,31.743,1613
