date,open,high,low,close,volume,average,barCount
2024-01-02,16.2,16.22,15.91,16.02,1730,16.024,1022
2024-01-03,15.84,15.84,15.25,15.48,1734,15.54,1149
2024-01-04,15.47,15.47,15.05,15.07,1365,15.222,826
2024-01-05,14.93,15.23,14.82,14.86,1968,14.964,1330
2024-01-08,14.9,15.37,14.89,15.33,2057,15.265,1271
2024-01-09,15.05,15.25,14.97,15.0,1249,15.089,807
2024-01-10,14.98,15.16,14.82,15.05,1159,15.008,743
2024-01-11,15.02,15.18,14.79,15.02,1036,14.953,668
2024-01-12,15.12,15.32,14.94,14.95,1598,15.083,1049
2024-01-16,14.67,14.87,14.16,14.21,2484,14.413,1500
2024-01-17,14.0,14.29,13.86,14.27,3370,14.094,2298
2024-01-18,14.48,14.71,14.35,14.66,1379,14.521,888
2024-01-19,14.83,14.91,14.6,14.89,1314,14.76,726
2024-01-22,14.92,15.24,14.88,15.07,2012,15.049,983
2024-01-23,15.13,15.35,14.98,15.01,1204,15.142,782
2024-01-24,14.8,15.07,14.59,14.73,3944,14.859,1714
2024-01-25,14.73,15.53,14.72,15.53,2646,15.183,1416
2024-01-26,15.6,15.75,15.3,15.38,1129,15.479,606
2024-01-29,15.41,16.09,15.37,16.07,1187,15.806,731
2024-01-30,15.96,16.04,15.54,15.76,1591,15.693,1165
2024-01-31,15.52,15.8,15.15,15.18,1334,15.419,926
2024-02-01,15.35,15.43,14.95,15.0,1132,15.114,727
2024-02-02,15.07,15.4,14.82,15.22,1356,15.172,757
2024-02-05,15.02,15.06,14.76,14.81,1238,14.895,762
2024-02-06,14.81,15.37,14.76,15.34,1144,15.117,578
2024-02-07,15.31,15.42,15.06,15.3,975,15.276,639
2024-02-08,15.26,15.63,15.16,15.51,1675,15.439,950
2024-02-09,15.65,15.97,15.57,15.84,1638,15.776,665
2024-02-12,15.76,16.17,15.76,15.82,1822,16.002,1145
2024-02-13,15.14,15.48,14.79,14.96,1675,15.159,1035
2024-02-14,15.22,15.8,15.15,15.65,1688,15.464,1116
2024-02-15,15.84,16.38,15.73,16.34,3069,16.09,1770
2024-02-16,16.44,17.36,16.21,17.19,6503,16.884,2966
2024-02-20,16.75,17.0,16.16,16.43,2062,16.414,1350
2024-02-21,16.36,16.41,15.91,16.16,2357,16.122,1455
2024-02-22,16.29,16.59,15.79,16.05,1387,16.046,884
2024-02-23,15.72,16.5,15.61,16.36,3656,16.123,1825
2024-02-26,16.35,16.88,16.26,16.57,4164,16.657,2678
2024-02-27,20.49,21.83,19.1,20.48,30168,20.581,13327
2024-02-28,19.86,20.21,18.85,19.18,8135,19.491,4115
2024-02-29,19.52,21.0,19.47,20.94,7698,20.282,3115
2024-03-01,21.53,21.59,20.55,21.07,4497,21.03,2491
2024-03-04,21.2,21.71,20.84,21.31,3513,21.37,1963
2024-03-05,21.04,21.04,20.36,20.69,5382,20.698,3069
2024-03-06,20.98,21.22,20.64,20.74,1841,20.803,1150
2024-03-07,20.9,20.96,20.27,20.57,2486,20.526,1563
2024-03-08,20.74,21.23,20.65,20.75,1704,20.923,967
2024-03-11,20.66,20.77,20.14,20.37,1643,20.438,1082
2024-03-12,20.37,21.91,20.18,21.79,10626,21.287,4237
2024-03-13,21.86,23.28,21.56,22.98,7310,22.647,3742
2024-03-14,23.0,23.86,22.55,23.58,6822,23.411,3745
2024-03-15,22.97,23.23,22.35,22.9,4294,22.774,2132
2024-03-18,23.06,23.42,22.73,22.98,2080,23.089,1110
2024-03-19,22.83,23.02,22.53,22.88,1375,22.822,787
2024-03-20,22.87,23.58,22.71,23.39,2478,23.125,1423
2024-03-21,23.62,23.83,23.31,23.75,2600,23.657,1340
2024-03-22,23.89,24.06,23.05,23.3,2423,23.468,1356
2024-03-25,23.13,23.7,23.07,23.3,1961,23.432,933
2024-03-26,23.54,23.92,23.46,23.61,1839,23.68,1254
2024-03-27,23.62,23.87,22.96,23.26,1495,23.24,861
2024-03-28,23.09,24.07,23.05,23.72,2947,23.8,1460
2024-04-01,23.75,24.17,23.52,23.74,1959,23.859,983
2024-04-02,23.0,23.62,22.5,23.62,2592,23.148,1367
2024-04-03,23.4,23.99,23.4,23.5,1592,23.681,728
2024-04-04,23.72,24.19,23.36,23.42,1930,23.817,1021
2024-04-05,23.22,23.87,23.22,23.69,1152,23.646,647
2024-04-08,23.89,24.11,23.61,23.68,1543,23.852,864
2024-04-09,23.73,23.93,23.56,23.64,892,23.749,549
2024-04-10,23.25,23.58,22.63,22.91,3008,22.907,1705
2024-04-11,23.04,23.36,22.61,23.28,2575,22.93,1686
2024-04-12,23.0,23.4,22.7,22.86,1661,23.032,951
2024-04-15,22.84,22.93,21.52,21.67,2775,22.133,1473
2024-04-16,21.63,21.9,21.32,21.73,1194,21.652,762
2024-04-17,21.97,22.09,21.57,21.57,1345,21.793,771
2024-04-18,21.44,21.98,21.43,21.54,918,21.647,542
2024-04-19,21.66,22.09,21.45,21.61,1693,21.79,878
2024-04-22,21.61,22.23,21.57,22.17,927,21.988,589
2024-04-23,22.32,23.13,22.32,22.84,1750,22.886,927
2024-04-24,23.0,23.42,22.86,23.34,1262,23.25,886
2024-04-25,22.8,22.94,22.42,22.81,1414,22.741,955
2024-04-26,22.96,23.45,22.69,23.21,1245,23.218,587
2024-04-29,23.37,23.39,23.05,23.17,694,23.207,411
2024-04-30,23.04,23.43,22.42,22.44,1039,22.809,604
2024-05-01,22.45,23.37,22.39,22.78,817,22.796,577
2024-05-02,23.19,23.33,22.72,23.11,722,23.016,565
2024-05-03,23.38,23.74,23.07,23.43,1523,23.325,936
2024-05-06,23.54,23.72,23.41,23.53,1149,23.541,782
2024-05-07,23.5,24.53,23.22,24.02,4978,24.032,2672
2024-05-08,25.17,25.37,22.48,22.58,5552,23.514,2736
2024-05-09,22.56,22.78,21.8,22.47,2479,22.392,1618
2024-05-10,22.47,22.7,22.25,22.49,1686,22.462,976
2024-05-13,22.49,23.28,22.49,22.74,2395,22.847,1350
2024-05-14,22.74,23.3,22.74,22.82,1888,23.003,1005
2024-05-15,23.11,23.39,22.39,23.29,2086,22.84,1285
2024-05-16,23.04,23.53,22.59,22.82,3799,22.975,2250
2024-05-17,22.8,24.18,22.74,24.02,4455,23.808,2423
2024-05-20,24.07,24.09,23.52,23.58,1375,23.787,775
2024-05-21,23.35,23.55,22.99,23.08,1201,23.226,659
2024-05-22,22.95,23.52,22.9,23.08,1376,23.196,988
2024-05-23,23.24,23.35,22.58,22.72,2770,22.833,1302
2024-05-24,22.76,24.19,22.7,23.75,6258,23.887,2701
2024-05-28,23.87,24.5,23.47,23.66,3649,24.044,1853
2024-05-29,23.3,24.04,23.11,23.58,1846,23.767,1118
2024-05-30,23.62,23.69,23.09,23.28,1683,23.375,1102
2024-05-31,23.43,23.5,21.57,21.9,3256,22.158,1618
2024-06-03,22.04,22.09,20.94,21.08,3559,21.251,2018
2024-06-04,20.99,21.48,20.9,21.1,1870,21.203,1142
2024-06-05,21.15,21.87,21.11,21.57,2393,21.607,1452
2024-06-06,21.57,21.68,21.25,21.35,2270,21.402,935
2024-06-07,21.01,21.36,20.88,21.12,1265,21.124,835
2024-06-10,20.89,21.18,20.62,21.14,1838,21.019,1278
2024-06-11,21.12,21.63,21.07,21.48,1480,21.394,884
2024-06-12,22.3,22.33,21.49,21.66,2117,21.788,1204
2024-06-13,21.73,21.98,21.43,21.55,1034,21.632,610
2024-06-14,21.25,21.47,21.04,21.22,1056,21.178,613
2024-06-17,21.08,21.37,20.78,21.15,1318,21.078,777
2024-06-18,21.02,21.15,20.39,20.39,1427,20.714,719
2024-06-20,20.3,20.3,19.13,19.49,8045,19.484,4515
2024-06-21,19.46,19.94,19.31,19.89,2775,19.672,1456
2024-06-24,19.75,19.88,19.2,19.31,1789,19.39,1313
2024-06-25,19.32,19.65,19.1,19.65,1540,19.405,1021
2024-06-26,19.52,19.78,19.47,19.63,1160,19.602,733
2024-06-27,19.59,19.8,19.46,19.59,1049,19.643,736
2024-06-28,19.75,20.39,19.43,20.31,3278,20.004,1919
2024-07-01,20.26,20.41,19.76,20.4,1738,20.1,1228
2024-07-02,20.32,20.6,20.13,20.44,1460,20.418,1048
2024-07-03,20.31,20.8,20.31,20.67,1239,20.641,882
2024-07-05,20.57,20.65,19.71,19.82,2318,20.022,1522
2024-07-08,19.75,20.3,19.24,20.06,3036,19.927,1826
2024-07-09,20.0,20.3,19.75,20.29,1989,20.04,1248
