date,open,high,low,close,volume,average,barCount
2025-02-20 09:00:00,15.11,15.12,14.66,14.7,275,14.924,129
2025-02-20 10:00:00,14.64,14.83,14.6,14.68,385,14.751,151
2025-02-20 11:00:00,14.68,14.81,14.66,14.75,140,14.725,80
2025-02-20 12:00:00,14.74,14.75,14.7,14.7,108,14.723,50
2025-02-20 13:00:00,14.69,14.74,14.64,14.72,119,14.68,77
2025-02-20 14:00:00,14.7,14.72,14.61,14.65,188,14.679,110
2025-02-20 15:00:00,14.67,14.84,14.64,14.79,616,14.753,437
2025-02-20 16:00:00,14.79,14.79,14.79,14.79,738,14.79,5
2025-02-20 17:00:00,14.79,14.79,14.79,14.79,0,14.79,0
2025-02-20 18:00:00,14.79,14.79,14.79,14.79,0,14.79,0
2025-02-20 19:00:00,15.0,15.0,15.0,15.0,1,15.0,1
2025-02-21 09:00:00,15.0,15.02,14.65,14.75,338,14.852,76
2025-02-21 10:00:00,14.76,14.78,14.52,14.56,236,14.642,118
2025-02-21 11:00:00,14.58,14.68,14.55,14.56,165,14.615,63
2025-02-21 12:00:00,14.59,14.64,14.51,14.57,297,14.57,160
2025-02-21 13:00:00,14.55,14.7,14.53,14.66,250,14.62,105
2025-02-21 14:00:00,14.68,14.7,14.47,14.54,227,14.57,135
2025-02-21 15:00:00,14.52,14.64,14.49,14.5,467,14.546,329
2025-02-21 16:00:00,14.52,14.53,14.52,14.53,836,14.52,4
2025-02-21 17:00:00,14.53,14.53,14.53,14.53,0,14.53,0
2025-02-21 18:00:00,14.53,14.53,14.53,14.53,0,14.53,0
2025-02-21 19:00:00,14.53,14.53,14.53,14.53,0,14.53,0
2025-02-24 04:00:00,14.52,14.52,14.52,14.52,1,14.52,1
2025-02-24 05:00:00,14.52,14.52,14.52,14.52,0,14.52,0
2025-02-24 06:00:00,14.3,14.3,14.3,14.3,1,14.3,1
2025-02-24 07:00:00,14.3,14.3,14.3,14.3,0,14.3,0
2025-02-24 08:00:00,14.3,14.3,14.3,14.3,0,14.3,0
2025-02-24 09:00:00,14.59,14.63,14.37,14.37,255,14.528,91
2025-02-24 10:00:00,14.37,14.59,14.29,14.49,234,14.448,147
2025-02-24 11:00:00,14.52,14.65,14.48,14.56,132,14.559,84
2025-02-24 12:00:00,14.55,14.67,14.54,14.63,150,14.59,117
2025-02-24 13:00:00,14.65,14.72,14.63,14.68,107,14.684,60
2025-02-24 14:00:00,14.67,14.68,14.6,14.61,61,14.64,52
2025-02-24 15:00:00,14.61,14.7,14.57,14.65,430,14.635,310
2025-02-24 16:00:00,14.64,14.64,14.64,14.64,825,14.64,12
2025-02-24 17:00:00,14.64,14.64,14.64,14.64,0,14.64,0
2025-02-24 18:00:00,14.64,14.64,14.64,14.64,0,14.64,0
2025-02-24 19:00:00,14.64,14.64,14.64,14.64,0,14.64,0
2025-02-25 08:00:00,14.31,14.31,14.31,14.31,1,14.31,1
2025-02-25 09:00:00,14.63,14.65,14.5,14.57,138,14.589,33
2025-02-25 10:00:00,14.53,14.54,14.26,14.4,388,14.4,204
2025-02-25 11:00:00,14.38,14.46,14.32,14.45,295,14.38,191
2025-02-25 12:00:00,14.44,14.47,14.36,14.47,101,14.414,70
2025-02-25 13:00:00,14.48,14.5,14.38,14.43,144,14.435,87
2025-02-25 14:00:00,14.44,14.54,14.43,14.52,54,14.465,48
2025-02-25 15:00:00,14.52,14.55,14.41,14.44,409,14.46,302
2025-02-25 16:00:00,14.43,14.43,14.43,14.43,651,14.43,10
2025-02-25 17:00:00,14.43,14.43,14.43,14.43,0,14.43,0
2025-02-25 18:00:00,14.43,14.43,14.43,14.43,0,14.43,0
2025-02-25 19:00:00,14.43,14.43,14.43,14.43,0,14.43,0
2025-02-26 04:00:00,14.29,14.3,14.29,14.3,2,14.295,2
2025-02-26 05:00:00,14.3,14.3,14.3,14.3,0,14.3,0
2025-02-26 06:00:00,14.3,14.3,14.3,14.3,0,14.3,0
2025-02-26 07:00:00,14.3,14.3,14.3,14.3,0,14.3,0
2025-02-26 08:00:00,14.3,14.3,14.3,14.3,0,14.3,0
2025-02-26 09:00:00,14.41,14.52,14.34,14.52,197,14.428,67
2025-02-26 10:00:00,14.5,14.58,14.43,14.58,414,14.511,250
2025-02-26 11:00:00,14.58,14.58,14.49,14.49,329,14.524,249
2025-02-26 12:00:00,14.49,14.5,14.37,14.37,312,14.436,236
2025-02-26 13:00:00,14.37,14.41,14.34,14.38,262,14.372,180
2025-02-26 14:00:00,14.38,14.41,14.34,14.34,152,14.382,117
2025-02-26 15:00:00,14.34,14.52,14.33,14.41,1117,14.439,696
2025-02-26 16:00:00,14.39,14.39,14.39,14.39,1017,14.39,10
2025-02-26 17:00:00,14.39,14.39,14.39,14.39,0,14.39,0
2025-02-26 18:00:00,14.22,14.22,14.21,14.22,1,14.219,1
2025-02-26 19:00:00,14.22,14.22,14.21,14.22,0,14.22,0
2025-02-27 08:00:00,14.42,14.42,14.42,14.42,1,14.42,1
2025-02-27 09:00:00,14.62,14.8,14.33,14.34,236,14.519,99
2025-02-27 10:00:00,14.29,14.44,14.2,14.26,544,14.29,283
2025-02-27 11:00:00,14.27,14.37,14.22,14.32,655,14.314,350
2025-02-27 12:00:00,14.32,14.46,14.31,14.42,292,14.402,188
2025-02-27 13:00:00,14.43,14.5,14.33,14.33,187,14.448,137
2025-02-27 14:00:00,14.33,14.34,14.09,14.11,394,14.192,263
2025-02-27 15:00:00,14.1,14.12,13.94,13.98,1226,14.041,693
2025-02-27 16:00:00,13.97,13.97,11.25,12.5,869,13.26,88
2025-02-27 17:00:00,12.5,12.7,12.3,12.33,14,12.418,8
2025-02-27 18:00:00,12.32,12.32,12.29,12.3,20,12.302,7
2025-02-27 19:00:00,12.15,12.15,12.15,12.15,1,12.15,1
2025-02-28 07:00:00,12.15,12.15,10.55,11.75,47,11.203,28
2025-02-28 08:00:00,11.05,12.31,11.03,11.9,39,11.723,11
2025-02-28 09:00:00,11.49,11.88,10.5,11.44,3051,11.058,943
2025-02-28 10:00:00,11.43,11.49,10.57,10.65,1713,10.897,816
2025-02-28 11:00:00,10.65,10.78,10.52,10.73,1518,10.626,770
2025-02-28 12:00:00,10.71,10.99,10.69,10.83,1227,10.827,593
2025-02-28 13:00:00,10.82,10.83,10.68,10.81,693,10.764,353
2025-02-28 14:00:00,10.8,10.86,10.35,10.47,1834,10.547,821
2025-02-28 15:00:00,10.46,10.71,10.38,10.63,2220,10.564,1188
2025-02-28 16:00:00,10.63,11.1,10.63,11.01,1727,10.637,8
2025-02-28 17:00:00,11.01,11.01,11.01,11.01,0,11.01,0
2025-02-28 18:00:00,10.88,10.88,10.65,10.84,10,10.766,7
2025-02-28 19:00:00,10.7,10.7,10.7,10.7,1,10.7,1
2025-03-03 08:00:00,10.98,10.98,10.63,10.63,15,10.84,3
2025-03-03 09:00:00,10.64,10.96,10.33,10.85,1471,10.719,601
2025-03-03 10:00:00,10.85,11.01,10.7,10.7,1413,10.887,895
2025-03-03 11:00:00,10.72,10.79,10.66,10.71,680,10.721,506
2025-03-03 12:00:00,10.7,10.71,10.6,10.62,836,10.645,536
2025-03-03 13:00:00,10.61,10.68,10.41,10.48,1021,10.535,643
2025-03-03 14:00:00,10.47,10.66,10.47,10.58,873,10.545,545
2025-03-03 15:00:00,10.57,10.58,10.27,10.29,3324,10.361,1616
2025-03-03 16:00:00,10.3,10.3,10.3,10.3,982,10.3,5
2025-03-03 17:00:00,10.32,10.32,10.3,10.3,19,10.303,2
2025-03-03 18:00:00,10.3,10.3,10.3,10.3,0,10.3,0
2025-03-03 19:00:00,10.81,10.81,10.28,10.28,6,10.372,2
2025-03-04 04:00:00,10.8,10.8,10.8,10.8,1,10.8,1
2025-03-04 05:00:00,10.46,10.46,10.46,10.46,1,10.46,1
2025-03-04 06:00:00,10.42,10.42,10.42,10.42,1,10.42,1
2025-03-04 07:00:00,10.24,10.24,10.24,10.24,19,10.24,2
2025-03-04 08:00:00,10.24,10.24,10.24,10.24,0,10.24,0
2025-03-04 09:00:00,10.1,10.42,9.92,10.31,1117,10.131,503
2025-03-04 10:00:00,10.29,10.51,10.17,10.17,1215,10.357,744
2025-03-04 11:00:00,10.17,10.39,10.0,10.39,1035,10.201,658
2025-03-04 12:00:00,10.39,10.56,10.35,10.5,569,10.481,364
2025-03-04 13:00:00,10.49,10.7,10.48,10.67,449,10.611,296
2025-03-04 14:00:00,10.67,10.8,10.65,10.75,746,10.706,407
2025-03-04 15:00:00,10.75,10.9,10.58,10.62,1449,10.733,978
2025-03-04 16:00:00,10.62,10.62,10.62,10.62,894,10.62,5
2025-03-04 17:00:00,10.62,10.62,10.62,10.62,0,10.62,0
2025-03-04 18:00:00,10.62,10.62,10.62,10.62,0,10.62,0
2025-03-04 19:00:00,10.62,10.62,10.62,10.62,0,10.62,0
2025-03-05 08:00:00,11.15,11.15,10.7,10.7,4,10.897,4
2025-03-05 09:00:00,10.64,10.77,10.58,10.67,525,10.643,183
2025-03-05 10:00:00,10.72,10.9,10.68,10.8,773,10.769,423
2025-03-05 11:00:00,10.8,10.82,10.73,10.79,397,10.774,304
