date,open,high,low,close,volume,average,barCount
2024-03-18 03:00:00,2.1,2.13,2.1,2.13,93,2.12656,13
2024-03-18 04:00:00,2.12,2.2,2.12,2.2,153,2.14681,50
2024-03-18 05:00:00,2.19,2.23,2.15,2.16,134,2.18355,40
2024-03-18 06:00:00,2.16,2.17,2.14,2.15,101,2.15554,28
2024-03-18 07:00:00,2.16,2.18,2.07,2.16,760,2.1529,144
2024-03-18 08:00:00,2.15,2.34,2.1,2.2901,14643,2.24966,2120
2024-03-18 09:00:00,2.3,2.36,2.22,2.3401,15996,2.30347,2970
2024-03-18 10:00:00,2.3405,2.41,2.29,2.4,10167,2.34277,1945
2024-03-18 11:00:00,2.4,2.42,2.3,2.31,8333,2.38536,1401
2024-03-18 12:00:00,2.3063,2.31,2.25,2.3092,6576,2.27795,967
2024-03-18 13:00:00,2.305,2.315,2.28,2.31,2567,2.30217,643
2024-03-18 14:00:00,2.315,2.38,2.3,2.35,7537,2.34183,1602
2024-03-18 15:00:00,2.34,2.39,2.3,2.36,633,2.35161,53
2024-03-18 16:00:00,2.35,2.38,2.33,2.33,69,2.34932,33
2024-03-18 17:00:00,2.3697,2.38,2.34,2.3694,80,2.36537,13
2024-03-18 18:00:00,2.34,2.3799,2.3,2.35,347,2.31885,52
2024-03-19 03:00:00,2.32,2.34,2.32,2.34,30,2.32886,14
2024-03-19 04:00:00,2.35,2.35,2.33,2.33,60,2.34771,14
2024-03-19 05:00:00,2.33,2.34,2.3,2.3,51,2.30989,15
2024-03-19 06:00:00,2.32,2.32,2.19,2.24,733,2.23385,251
2024-03-19 07:00:00,2.32,2.3293,2.19,2.21,1706,2.2294,292
2024-03-19 08:00:00,2.22,2.23,2.08,2.135,11411,2.13983,1732
2024-03-19 09:00:00,2.135,2.18,2.03,2.1,11297,2.10758,1944
2024-03-19 10:00:00,2.1,2.16,2.09,2.14,4586,2.13923,816
2024-03-19 11:00:00,2.14,2.24,2.1208,2.21,4572,2.18434,984
2024-03-19 12:00:00,2.21,2.26,2.14,2.1728,3975,2.20389,756
2024-03-19 13:00:00,2.17,2.23,2.15,2.21,2503,2.19004,602
2024-03-19 14:00:00,2.21,2.22,2.13,2.145,5487,2.15025,1612
2024-03-19 15:00:00,2.17,2.18,2.13,2.18,676,2.16765,25
2024-03-19 16:00:00,2.17,2.17,2.14,2.16,20,2.14695,5
2024-03-19 17:00:00,2.16,2.16,2.14,2.16,37,2.14824,9
2024-03-19 18:00:00,2.2293,2.23,2.22,2.22,11,2.2217,4
2024-03-20 03:00:00,2.19,2.21,2.19,2.2,50,2.19423,8
2024-03-20 04:00:00,2.21,2.21,2.2,2.21,22,2.20839,9
2024-03-20 05:00:00,2.21,2.22,2.18,2.18,43,2.20939,12
2024-03-20 06:00:00,2.2,2.21,2.17,2.21,64,2.1863,14
2024-03-20 07:00:00,2.19,2.22,2.15,2.1506,371,2.17777,77
2024-03-20 08:00:00,2.16,2.3,2.09,2.11,8806,2.16272,1066
2024-03-20 09:00:00,2.105,2.17,2.08,2.09,4822,2.10476,660
2024-03-20 10:00:00,2.0901,2.125,2.08,2.105,2166,2.10426,653
2024-03-20 11:00:00,2.11,2.13,2.1,2.115,1693,2.11675,318
2024-03-20 12:00:00,2.115,2.13,1.92,1.94,13169,2.01975,1474
2024-03-20 13:00:00,1.94,2.1,1.932,2.08,11868,2.00377,1703
2024-03-20 14:00:00,2.085,2.11,2.02,2.05,5547,2.06189,1326
2024-03-20 15:00:00,2.05,2.1,2.03,2.07,656,2.05296,31
2024-03-20 16:00:00,2.05,2.09,2.05,2.09,63,2.07733,16
2024-03-20 17:00:00,2.06,2.1,2.06,2.08,65,2.09455,13
2024-03-20 18:00:00,2.08,2.12,2.06,2.12,196,2.09685,15
2024-03-21 03:00:00,2.13,2.14,2.12,2.14,73,2.13007,16
2024-03-21 04:00:00,2.14,2.16,2.12,2.12,92,2.15126,13
2024-03-21 05:00:00,2.13,2.13,2.12,2.13,17,2.12676,9
2024-03-21 06:00:00,2.12,2.12,2.08,2.09,93,2.10603,32
2024-03-21 07:00:00,2.1099,2.1401,2.08,2.11,476,2.09879,97
2024-03-21 08:00:00,2.12,2.175,2.08,2.1,5248,2.13229,695
2024-03-21 09:00:00,2.0996,2.1,1.98,2.005,6400,2.0349,1004
2024-03-21 10:00:00,2.005,2.02,1.98,2.005,5175,2.0011,1188
2024-03-21 11:00:00,2.005,2.0099,1.95,1.9798,4224,1.97354,936
2024-03-21 12:00:00,1.98,2.0,1.965,1.975,2102,1.97945,566
2024-03-21 13:00:00,1.9776,1.98,1.87,1.91,7524,1.93266,1073
2024-03-21 14:00:00,1.9195,1.92,1.85,1.88,8721,1.88454,1596
2024-03-21 15:00:00,1.9,2.01,1.9,1.9195,1273,1.93012,88
2024-03-21 16:00:00,1.92,1.92,1.9197,1.92,26,1.91998,11
2024-03-21 17:00:00,1.92,1.97,1.92,1.97,18,1.95639,7
2024-03-21 18:00:00,1.95,1.96,1.91,1.91,18,1.93693,6
2024-03-22 03:00:00,1.94,1.97,1.915,1.94,208,1.95063,22
2024-03-22 04:00:00,1.95,1.95,1.91,1.94,77,1.92921,19
2024-03-22 05:00:00,1.94,1.94,1.94,1.94,6,1.94,5
2024-03-22 06:00:00,1.93,1.94,1.91,1.93,87,1.92329,29
2024-03-22 07:00:00,1.9203,1.94,1.89,1.89,448,1.91,101
2024-03-22 08:00:00,1.9,1.9299,1.86,1.91,5716,1.8915,909
2024-03-22 09:00:00,1.92,2.0,1.87,1.98,8710,1.93472,1482
2024-03-22 10:00:00,1.985,2.02,1.95,1.99,5371,1.99148,893
2024-03-22 11:00:00,1.98,2.05,1.97,2.02,3465,2.00767,603
2024-03-22 12:00:00,2.015,2.025,1.98,2.0,1799,2.0033,393
2024-03-22 13:00:00,2.01,2.01,1.95,1.95,2029,1.98241,409
2024-03-22 14:00:00,1.9599,1.96,1.925,1.94,3827,1.94058,778
2024-03-22 15:00:00,1.94,1.95,1.93,1.9306,672,1.93913,15
2024-03-22 16:00:00,1.96,1.96,1.93,1.93,7,1.95143,2
2024-03-22 17:00:00,1.9887,1.9887,1.9887,1.9887,1,1.9887,1
2024-03-22 18:00:00,1.98,1.99,1.93,1.99,70,1.98294,10
2024-03-25 03:00:00,1.99,2.02,1.96,2.02,31,1.99974,12
2024-03-25 04:00:00,2.02,2.02,2.02,2.02,21,2.02,2
2024-03-25 05:00:00,2.0,2.0,1.99,2.0,33,1.99851,10
2024-03-25 06:00:00,2.0,2.0,1.951,1.951,313,1.99208,25
2024-03-25 07:00:00,2.0099,2.03,1.95,2.02,328,2.00201,71
2024-03-25 08:00:00,2.03,2.13,1.97,2.06,9226,2.07636,1045
2024-03-25 09:00:00,2.0695,2.16,2.01,2.05,10433,2.092,1663
2024-03-25 10:00:00,2.042,2.08,2.02,2.0576,3180,2.05368,497
2024-03-25 11:00:00,2.055,2.07,2.03,2.07,2261,2.05555,465
2024-03-25 12:00:00,2.07,2.13,2.07,2.12,4800,2.10747,725
2024-03-25 13:00:00,2.12,2.13,2.07,2.0995,5320,2.09394,741
2024-03-25 14:00:00,2.1,2.105,2.04,2.08,6840,2.06919,1349
2024-03-25 15:00:00,2.08,2.1,2.06,2.06,853,2.08686,45
