date,open,high,low,close,volume,average,barCount
2025-02-19 04:00:00,11.06,11.7,11.06,11.7,4,11.538,3
2025-02-19 05:00:00,11.7,11.7,11.7,11.7,0,11.7,0
2025-02-19 06:00:00,11.7,11.7,11.7,11.7,0,11.7,0
2025-02-19 07:00:00,11.7,11.7,11.7,11.7,0,11.7,0
2025-02-19 08:00:00,11.2,11.2,11.2,11.2,27,11.2,2
2025-02-19 09:00:00,11.2,11.59,11.14,11.54,3561,11.238,1377
2025-02-19 10:00:00,11.54,11.69,11.39,11.44,2045,11.555,1258
2025-02-19 11:00:00,11.43,11.62,11.37,11.46,1891,11.471,1240
2025-02-19 12:00:00,11.46,11.46,11.17,11.28,1724,11.304,1028
2025-02-19 13:00:00,11.28,11.42,11.26,11.31,1734,11.326,1017
2025-02-19 14:00:00,11.3,11.32,11.06,11.11,3389,11.155,1357
2025-02-19 15:00:00,11.11,11.14,10.93,11.1,7519,11.028,2918
2025-02-19 16:00:00,11.1,11.1,11.08,11.1,18150,11.1,3
2025-02-19 17:00:00,11.1,11.1,11.1,11.1,0,11.1,0
2025-02-19 18:00:00,11.1,11.1,11.1,11.1,0,11.1,0
2025-02-19 19:00:00,11.19,11.19,11.19,11.19,10,11.19,1
2025-02-20 09:00:00,11.1,11.1,10.65,10.97,621,10.875,322
2025-02-20 10:00:00,10.95,11.01,10.63,10.71,1560,10.81,743
2025-02-20 11:00:00,10.71,10.79,10.65,10.68,596,10.7,341
2025-02-20 12:00:00,10.7,10.85,10.67,10.79,806,10.774,307
2025-02-20 13:00:00,10.78,10.83,10.69,10.71,994,10.78,446
2025-02-20 14:00:00,10.71,10.82,10.7,10.77,1214,10.768,407
2025-02-20 15:00:00,10.76,10.8,10.64,10.72,2219,10.718,1238
2025-02-20 16:00:00,10.74,10.74,10.74,10.74,3632,10.74,6
2025-02-20 17:00:00,10.74,10.74,10.74,10.74,0,10.74,0
2025-02-20 18:00:00,10.74,10.74,10.74,10.74,0,10.74,0
2025-02-20 19:00:00,10.9,11.5,10.9,11.49,203,11.065,28
2025-02-21 04:00:00,11.42,11.69,11.42,11.69,5,11.48,3
2025-02-21 05:00:00,11.69,11.69,11.69,11.69,0,11.69,0
2025-02-21 06:00:00,11.69,11.69,11.69,11.69,0,11.69,0
2025-02-21 07:00:00,11.5,11.68,11.5,11.51,41,11.532,17
2025-02-21 08:00:00,11.5,11.69,11.36,11.4,206,11.472,39
2025-02-21 09:00:00,11.37,11.66,11.0,11.0,1453,11.398,427
2025-02-21 10:00:00,11.0,11.29,10.81,11.29,1371,11.023,799
2025-02-21 11:00:00,11.29,11.47,11.22,11.29,633,11.356,382
2025-02-21 12:00:00,11.31,11.32,11.2,11.22,424,11.253,266
2025-02-21 13:00:00,11.22,11.29,11.06,11.18,510,11.145,253
2025-02-21 14:00:00,11.19,11.2,10.97,11.06,824,11.048,418
2025-02-21 15:00:00,11.03,11.13,10.99,11.07,1701,11.052,1011
2025-02-21 16:00:00,11.07,11.07,11.07,11.07,2573,11.07,5
2025-02-21 17:00:00,11.07,11.07,11.07,11.07,0,11.07,0
2025-02-21 18:00:00,11.07,11.07,11.07,11.07,0,11.07,0
2025-02-21 19:00:00,11.2,11.2,11.18,11.2,7,11.197,5
2025-02-24 08:00:00,11.23,11.23,11.23,11.23,2,11.23,1
2025-02-24 09:00:00,11.1,11.1,10.61,10.61,512,10.807,186
2025-02-24 10:00:00,10.62,10.67,10.31,10.38,1106,10.518,612
2025-02-24 11:00:00,10.39,10.55,10.33,10.49,901,10.433,442
2025-02-24 12:00:00,10.49,10.66,10.47,10.62,645,10.585,295
2025-02-24 13:00:00,10.61,10.63,10.43,10.47,723,10.501,430
2025-02-24 14:00:00,10.47,10.51,10.31,10.33,701,10.402,453
2025-02-24 15:00:00,10.34,10.36,10.12,10.16,2540,10.225,1344
2025-02-24 16:00:00,10.16,10.16,10.11,10.11,2482,10.16,11
2025-02-24 17:00:00,10.11,10.11,10.11,10.11,0,10.11,0
2025-02-24 18:00:00,10.11,10.11,10.11,10.11,0,10.11,0
2025-02-24 19:00:00,10.11,10.11,10.11,10.11,1,10.11,1
2025-02-25 09:00:00,10.21,10.33,10.07,10.13,416,10.174,183
2025-02-25 10:00:00,10.13,10.28,10.12,10.22,810,10.186,555
2025-02-25 11:00:00,10.22,10.26,10.01,10.24,1153,10.128,728
2025-02-25 12:00:00,10.24,10.37,10.2,10.33,777,10.295,508
2025-02-25 13:00:00,10.31,10.37,10.18,10.19,754,10.254,538
2025-02-25 14:00:00,10.19,10.2,10.05,10.13,732,10.11,480
2025-02-25 15:00:00,10.15,10.48,10.14,10.23,2517,10.284,1216
2025-02-25 16:00:00,10.24,10.24,10.24,10.24,1549,10.24,4
2025-02-25 17:00:00,10.24,10.24,10.24,10.24,0,10.24,0
2025-02-25 18:00:00,10.24,10.24,10.24,10.24,0,10.24,0
2025-02-25 19:00:00,10.24,10.24,10.24,10.24,0,10.24,0
2025-02-26 05:00:00,10.01,10.01,10.01,10.01,1,10.01,1
2025-02-26 06:00:00,10.01,10.01,10.01,10.01,0,10.01,0
2025-02-26 07:00:00,10.01,10.01,10.01,10.01,0,10.01,0
2025-02-26 08:00:00,10.44,10.94,10.44,10.8,135,10.741,18
2025-02-26 09:00:00,10.84,11.82,10.49,10.55,2224,11.131,785
2025-02-26 10:00:00,10.53,10.71,10.19,10.24,2320,10.405,1090
2025-02-26 11:00:00,10.24,10.32,10.06,10.18,1980,10.198,777
2025-02-26 12:00:00,10.18,10.35,10.07,10.13,1217,10.185,419
2025-02-26 13:00:00,10.13,10.2,9.98,9.98,642,10.103,416
2025-02-26 14:00:00,9.99,10.25,9.92,10.13,817,10.102,486
2025-02-26 15:00:00,10.14,10.33,10.14,10.17,1803,10.209,949
2025-02-26 16:00:00,10.14,10.14,10.14,10.14,1797,10.14,6
2025-02-26 17:00:00,10.34,10.34,10.34,10.34,3,10.34,1
2025-02-26 18:00:00,10.34,10.34,10.34,10.34,0,10.34,0
2025-02-26 19:00:00,10.32,10.32,10.32,10.32,1,10.32,1
2025-02-27 08:00:00,10.21,10.21,10.21,10.21,1,10.21,1
2025-02-27 09:00:00,10.24,10.5,9.99,10.04,744,10.152,173
2025-02-27 10:00:00,10.03,10.34,9.88,10.28,966,10.148,576
2025-02-27 11:00:00,10.28,10.43,10.27,10.28,631,10.359,425
2025-02-27 12:00:00,10.28,10.34,10.02,10.09,1354,10.182,517
2025-02-27 13:00:00,10.09,10.27,10.09,10.22,432,10.192,275
2025-02-27 14:00:00,10.22,10.24,10.03,10.09,688,10.121,426
2025-02-27 15:00:00,10.09,10.09,9.85,9.88,1937,9.939,1060
