date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,1.92,2.04,1.92,2.02,1676,2.00141,931
2024-05-28 00:00:00,2.05,2.16,2.0,2.045,4236,2.07264,2677
2024-05-29 00:00:00,2.0,2.16,2.0,2.13,2952,2.08834,1736
2024-05-30 00:00:00,2.1,2.28,2.09,2.26,2729,2.22852,1649
2024-05-31 00:00:00,2.3,2.63,2.27,2.29,10826,2.47114,4030
2024-06-03 00:00:00,2.34,2.4,2.14,2.21,4134,2.25154,1889
2024-06-04 00:00:00,2.23,2.32,2.19,2.21,2280,2.22914,1349
2024-06-05 00:00:00,2.21,2.43,2.2,2.37,2494,2.35761,1399
2024-06-06 00:00:00,2.37,2.5,2.22,2.23,2525,2.32684,1364
2024-06-07 00:00:00,2.2,2.2725,2.1775,2.23,1710,2.2327,1008
2024-06-10 00:00:00,2.23,2.56,2.23,2.45,6656,2.44471,4064
2024-06-11 00:00:00,2.43,2.51,2.38,2.415,3299,2.43197,2222
2024-06-12 00:00:00,2.42,2.51,2.33,2.365,3339,2.39121,1888
2024-06-13 00:00:00,2.37,2.56,2.35,2.48,2579,2.48801,1317
2024-06-14 00:00:00,2.45,2.51,2.41,2.41,1567,2.45159,790
2024-06-17 00:00:00,2.42,2.51,2.32,2.37,2745,2.416,1164
2024-06-18 00:00:00,2.38,2.5,2.32,2.48,4325,2.44114,2146
2024-06-20 00:00:00,2.45,2.55,2.371,2.52,5401,2.47423,2683
2024-06-21 00:00:00,2.57,2.59,2.37,2.51,7890,2.47273,4316
2024-06-24 00:00:00,2.05,2.4,1.95,2.05,56738,2.04138,16039
2024-06-25 00:00:00,2.05,2.3,2.01,2.14,13243,2.14047,4526
2024-06-26 00:00:00,2.13,2.13,1.92,2.04,7951,2.01237,3692
2024-06-27 00:00:00,2.03,2.08,2.01,2.025,5015,2.03348,2814
2024-06-28 00:00:00,2.0,2.0,1.66,1.785,12822,1.76442,5262
2024-07-01 00:00:00,1.73,1.9,1.72,1.9,6335,1.7795,3278
2024-07-02 00:00:00,1.85,1.93,1.76,1.76,5376,1.83722,3279
2024-07-03 00:00:00,1.75,1.815,1.71,1.8,2959,1.76918,1590
2024-07-05 00:00:00,1.81,1.81,1.62,1.66,4939,1.66715,2777
2024-07-08 00:00:00,1.67,1.8,1.67,1.76,2251,1.76069,1281
2024-07-09 00:00:00,1.84,1.84,1.67,1.68,2277,1.71397,1249
2024-07-10 00:00:00,1.7,1.79,1.66,1.76,2567,1.75066,1287
2024-07-11 00:00:00,1.77,1.87,1.765,1.79,4957,1.8095,2689
2024-07-12 00:00:00,1.88,1.88,1.69,1.71,4384,1.73538,2280
2024-07-15 00:00:00,1.73,1.8,1.7,1.74,2775,1.73061,1461
2024-07-16 00:00:00,1.76,1.81,1.69,1.78,4359,1.75871,2120
2024-07-17 00:00:00,1.75,1.77,1.7,1.7,3131,1.71727,1481
2024-07-18 00:00:00,1.71,1.76,1.63,1.68,3260,1.66915,1263
2024-07-19 00:00:00,1.69,1.72,1.64,1.65,1916,1.66846,846
2024-07-22 00:00:00,1.68,1.71,1.645,1.7,1684,1.68699,783
2024-07-23 00:00:00,1.7,1.785,1.69,1.74,2864,1.7371,1201
2024-07-24 00:00:00,1.73,1.8,1.73,1.75,4172,1.76584,1533
2024-07-25 00:00:00,1.76,1.85,1.7108,1.76,8128,1.7789,1738
2024-07-26 00:00:00,1.8,1.82,1.74,1.78,14165,1.78179,1869
2024-07-29 00:00:00,1.81,1.87,1.795,1.83,5628,1.8356,1253
2024-07-30 00:00:00,1.83,1.94,1.8,1.85,3832,1.85384,1606
2024-07-31 00:00:00,1.84,1.87,1.77,1.8,3836,1.81271,1871
2024-08-01 00:00:00,1.76,1.81,1.68,1.7,1908,1.71426,999
