date,open,high,low,close,volume,average,barCount
2024-01-02,11.22,11.49,11.05,11.35,28688,11.324,15025
2024-01-03,11.21,11.23,10.8,10.86,27331,10.919,14709
2024-01-04,10.86,10.99,10.72,10.82,32507,10.82,13883
2024-01-05,11.01,11.56,10.97,11.27,66637,11.252,25985
2024-01-08,11.1,11.45,10.84,11.44,39479,11.161,18570
2024-01-09,11.35,11.71,11.22,11.35,49970,11.415,20304
2024-01-10,11.5,11.53,10.93,11.17,29877,11.113,12945
2024-01-11,11.03,11.23,10.84,10.99,24118,11.0,13817
2024-01-12,11.03,11.31,10.95,11.06,17153,11.063,8760
2024-01-16,11.08,11.19,10.83,10.86,23304,10.947,11833
2024-01-17,10.69,10.97,10.57,10.76,47249,10.749,18325
2024-01-18,10.85,10.85,10.36,10.51,32588,10.522,13016
2024-01-19,10.49,10.49,10.25,10.35,29696,10.351,14686
2024-01-22,10.39,10.65,10.19,10.35,39266,10.339,18697
2024-01-23,10.31,10.59,10.3,10.45,39660,10.432,16615
2024-01-24,10.47,10.6,10.38,10.4,21785,10.438,11300
2024-01-25,10.48,10.63,10.38,10.52,20261,10.509,11053
2024-01-26,10.54,10.65,10.34,10.37,40346,10.434,11502
2024-01-29,10.33,10.43,10.0,10.32,250780,10.256,48575
2024-01-30,10.29,10.3,9.99,10.22,70297,10.145,22895
2024-01-31,10.3,10.4,10.0,10.0,31007,10.162,15594
2024-02-01,10.06,10.38,9.92,10.05,45288,10.042,17119
2024-02-02,10.0,10.08,9.82,9.89,21631,9.931,12823
2024-02-05,9.79,10.06,9.69,10.02,28927,9.886,15378
2024-02-06,10.03,10.32,9.97,10.3,27213,10.188,11573
2024-02-07,10.33,10.48,10.26,10.39,39581,10.385,18621
2024-02-08,10.42,10.62,10.3,10.57,59220,10.473,24756
2024-02-09,10.84,11.12,10.69,10.81,35217,10.871,17845
2024-02-12,10.79,10.9,10.66,10.87,54943,10.804,24176
2024-02-13,10.87,11.02,10.54,10.8,45148,10.727,23544
2024-02-14,10.8,11.36,10.8,11.32,48214,11.137,21940
2024-02-15,11.61,11.68,11.31,11.45,51138,11.45,17586
2024-02-16,11.3,11.61,11.26,11.59,34930,11.517,18190
2024-02-20,11.65,11.73,11.46,11.54,35126,11.549,16408
2024-02-21,11.45,11.59,11.31,11.54,25374,11.491,12952
2024-02-22,11.61,11.67,11.33,11.36,41646,11.464,16406
2024-02-23,11.36,11.68,11.28,11.6,27864,11.561,12754
2024-02-26,11.59,11.88,11.56,11.7,35229,11.695,17699
2024-02-27,11.66,11.81,11.56,11.8,25320,11.73,13886
2024-02-28,11.71,11.77,11.54,11.71,27883,11.658,14176
2024-02-29,11.83,11.89,11.33,11.44,35449,11.501,15005
2024-03-01,11.5,11.88,11.5,11.77,37596,11.743,18840
2024-03-04,11.88,12.0,11.42,11.48,35935,11.519,17396
2024-03-05,11.46,11.7,11.45,11.6,33120,11.609,15025
2024-03-06,11.76,11.8,11.52,11.57,26240,11.627,14355
2024-03-07,11.6,11.61,11.0,11.15,47134,11.179,18422
2024-03-08,11.21,11.23,10.62,10.68,60528,10.812,25735
2024-03-11,10.61,10.78,10.4,10.44,44186,10.575,20424
2024-03-12,10.44,10.52,10.23,10.29,43928,10.31,20980
2024-03-13,10.33,10.65,10.21,10.62,48603,10.48,23342
2024-03-14,10.56,10.63,10.09,10.23,41072,10.228,18323
2024-03-15,10.2,10.33,10.02,10.14,36087,10.133,16175
2024-03-18,10.15,10.21,9.84,9.87,42497,9.975,18837
2024-03-19,9.83,10.12,9.76,9.93,32257,9.984,14074
2024-03-20,9.87,10.07,9.8,10.01,29741,9.937,13714
2024-03-21,10.48,10.48,10.18,10.26,53841,10.301,23911
2024-03-22,10.23,10.32,10.09,10.15,29622,10.196,15927
2024-03-25,10.16,10.31,9.93,9.95,24637,10.063,10500
2024-03-26,10.0,10.12,9.98,10.08,25517,10.061,12710
2024-03-27,10.76,11.19,10.51,10.84,241647,10.857,77149
2024-03-28,10.81,10.93,10.37,10.54,181295,10.516,58460
2024-04-01,10.52,10.52,10.15,10.43,71260,10.37,28226
2024-04-02,10.93,11.26,10.55,10.92,171947,10.918,66851
2024-04-03,10.93,11.55,10.64,11.51,171178,11.222,65510
2024-04-04,11.68,11.69,11.39,11.51,78897,11.504,27786
2024-04-05,11.4,11.78,11.28,11.74,46045,11.651,15835
2024-04-08,11.77,11.8,11.46,11.63,28618,11.608,12473
2024-04-09,11.65,11.66,11.18,11.41,43258,11.377,16076
2024-04-10,11.19,11.27,11.07,11.2,41634,11.188,17090
2024-04-11,11.24,11.32,11.03,11.17,27358,11.172,11447
2024-04-12,11.1,11.13,10.83,10.94,45734,10.962,18344
2024-04-15,10.98,11.05,10.81,10.84,35118,10.883,14518
2024-04-16,10.77,10.92,10.63,10.71,39703,10.788,18550
2024-04-17,10.76,10.8,10.42,10.44,30276,10.557,11255
2024-04-18,10.4,10.5,10.32,10.36,26840,10.399,11924
2024-04-19,10.3,10.48,10.26,10.46,34206,10.371,15064
2024-04-22,10.52,10.82,10.36,10.6,42605,10.624,14075
2024-04-23,10.65,11.05,10.6,10.94,38861,10.935,17747
2024-04-24,10.93,11.05,10.78,10.9,22117,10.887,10552
2024-04-25,10.78,10.91,10.51,10.88,27697,10.792,14057
2024-04-26,10.93,11.11,10.87,11.03,23774,11.02,9918
2024-04-29,10.99,11.28,10.99,11.13,30045,11.142,11883
2024-04-30,11.01,11.14,10.89,10.9,28447,11.003,11887
2024-05-01,11.0,11.35,10.9,11.21,41114,11.205,18114
2024-05-02,11.34,11.35,11.14,11.24,25621,11.273,10609
2024-05-03,11.41,11.5,11.28,11.39,28122,11.408,11900
2024-05-06,11.45,11.64,11.37,11.6,26227,11.558,11058
2024-05-07,11.63,11.63,11.37,11.38,24790,11.465,11064
2024-05-08,11.28,11.31,10.98,11.21,40322,11.119,14717
2024-05-09,11.23,11.28,11.05,11.25,22908,11.193,8549
2024-05-10,11.38,11.48,11.12,11.13,14832,11.223,6910
2024-05-13,11.11,11.25,11.1,11.18,15055,11.168,6754
2024-05-14,11.27,11.35,11.14,11.33,20555,11.245,8413
2024-05-15,11.53,11.65,11.46,11.5,21261,11.525,9485
2024-05-16,11.48,11.48,11.33,11.41,22066,11.411,9642
2024-05-17,11.4,11.45,10.91,11.23,30000,11.216,14102
2024-05-20,11.23,11.39,11.2,11.37,27501,11.32,10746
2024-05-21,11.29,11.41,11.14,11.23,16904,11.236,7840
2024-05-22,11.2,11.49,11.18,11.29,37749,11.352,13540
2024-05-23,11.28,11.29,10.86,10.94,42253,11.044,18085
2024-05-24,10.96,11.08,10.9,10.98,30832,10.984,12158
2024-05-28,11.03,11.15,10.75,10.83,37800,10.835,15136
2024-05-29,11.13,11.16,10.71,10.73,81986,10.871,31089
2024-05-30,11.19,11.19,10.25,10.39,90754,10.439,36692
2024-05-31,10.5,10.55,10.19,10.36,49193,10.313,19120
2024-06-03,10.4,10.92,10.32,10.86,44227,10.788,16231
2024-06-04,10.88,11.01,10.71,10.73,36522,10.826,15286
2024-06-05,10.73,10.95,10.63,10.88,21583,10.845,9831
2024-06-06,10.87,10.9,10.52,10.62,26130,10.636,11892
2024-06-07,10.53,10.64,10.36,10.47,33300,10.505,13928
2024-06-10,10.33,10.6,10.25,10.58,32985,10.508,13248
2024-06-11,10.48,10.67,10.4,10.57,25582,10.567,10491
2024-06-12,10.86,10.93,10.71,10.83,29674,10.829,11284
2024-06-13,10.76,10.92,10.7,10.81,20592,10.789,8433
2024-06-14,10.71,10.78,10.58,10.69,20138,10.677,8682
2024-06-17,10.64,10.82,10.6,10.72,18482,10.743,9457
2024-06-18,10.73,10.87,10.68,10.84,32022,10.807,10975
2024-06-20,10.79,10.9,10.74,10.8,40068,10.803,14883
2024-06-21,10.9,10.93,10.57,10.69,104247,10.72,29470
2024-06-24,10.72,10.99,10.7,10.91,87779,10.867,26336
2024-06-25,10.86,11.02,10.73,10.83,35629,10.866,17557
2024-06-26,10.77,10.82,10.54,10.57,24609,10.623,10489
2024-06-27,10.53,10.62,10.4,10.57,33349,10.504,12930
2024-06-28,10.61,10.75,10.44,10.57,28008,10.539,12051
2024-07-01,10.5,10.89,10.49,10.83,32642,10.809,13977
2024-07-02,10.83,10.83,10.47,10.56,29611,10.592,13091
2024-07-03,10.65,10.68,10.45,10.48,19554,10.52,7392
2024-07-05,10.48,10.67,10.33,10.65,27396,10.478,12625
2024-07-08,10.71,10.88,10.61,10.72,38900,10.743,15018
2024-07-09,10.71,10.85,10.65,10.83,32312,10.768,12483
2024-07-10,10.87,11.26,10.87,11.25,60983,11.166,23255
2024-07-11,11.43,11.53,11.19,11.24,51994,11.345,20212
2024-07-12,11.29,11.37,11.11,11.35,39428,11.263,16452
2024-07-15,11.35,11.57,11.31,11.5,58362,11.452,18707
2024-07-16,11.47,11.72,11.45,11.61,43141,11.579,17527
2024-07-17,11.5,11.59,11.13,11.25,34452,11.286,14481
2024-07-18,11.29,11.4,11.07,11.11,47133,11.192,16649
2024-07-19,11.09,11.1,10.92,11.0,31531,11.008,13490
2024-07-22,11.02,11.17,10.93,11.13,18483,11.09,8793
2024-07-23,11.1,11.18,11.0,11.01,20950,11.051,9587
2024-07-24,10.93,11.01,10.75,10.75,30373,10.864,13300
2024-07-25,10.75,10.87,10.67,10.74,24268,10.768,10635
2024-07-26,10.77,11.07,10.76,10.8,27626,10.834,12325
2024-07-29,10.8,10.8,10.53,10.68,38205,10.635,14570
2024-07-30,10.68,10.83,10.55,10.67,23872,10.663,9644
2024-07-31,10.76,11.0,10.65,10.85,27825,10.855,12511
2024-08-01,10.83,10.94,10.6,10.62,24629,10.712,11757
2024-08-02,10.47,10.57,10.28,10.51,28193,10.446,13926
2024-08-05,10.04,10.45,10.0,10.3,42931,10.263,19929
2024-08-06,10.37,10.48,10.18,10.33,28415,10.354,14020
2024-08-07,10.48,10.49,10.17,10.17,30372,10.301,13220
2024-08-08,10.6,10.94,10.04,10.85,47675,10.672,20093
2024-08-09,10.85,11.24,10.85,11.12,35107,11.093,14747
2024-08-12,11.15,11.19,10.84,11.18,29004,11.094,13372
2024-08-13,11.21,11.4,11.11,11.36,30881,11.257,13437
