date,open,high,low,close,volume,average,barCount
2025-02-19 06:00:00,10.69,10.69,10.69,10.69,1,10.69,1
2025-02-19 07:00:00,10.69,10.69,10.69,10.69,0,10.69,0
2025-02-19 08:00:00,10.69,10.69,10.69,10.69,0,10.69,0
2025-02-19 09:00:00,10.69,10.81,10.6,10.79,1502,10.728,727
2025-02-19 10:00:00,10.78,10.86,10.74,10.79,3154,10.809,1721
2025-02-19 11:00:00,10.79,10.82,10.78,10.78,1526,10.802,756
2025-02-19 12:00:00,10.78,10.81,10.75,10.77,2244,10.785,767
2025-02-19 13:00:00,10.77,10.78,10.72,10.75,1482,10.752,620
2025-02-19 14:00:00,10.75,10.75,10.7,10.74,2203,10.72,870
2025-02-19 15:00:00,10.74,10.74,10.65,10.67,6628,10.676,2778
2025-02-19 16:00:00,10.67,10.71,10.67,10.71,4613,10.67,12
2025-02-19 17:00:00,10.67,10.67,10.67,10.67,1,10.67,1
2025-02-19 18:00:00,10.67,10.67,10.67,10.67,0,10.67,0
2025-02-19 19:00:00,10.67,10.67,10.67,10.67,0,10.67,0
2025-02-20 08:00:00,10.61,10.61,10.61,10.61,2,10.61,1
2025-02-20 09:00:00,10.58,10.69,10.58,10.69,1958,10.651,917
2025-02-20 10:00:00,10.69,10.7,10.64,10.68,4687,10.667,2018
2025-02-20 11:00:00,10.69,10.7,10.64,10.65,2959,10.666,1397
2025-02-20 12:00:00,10.65,10.68,10.64,10.67,2121,10.658,943
2025-02-20 13:00:00,10.67,10.68,10.62,10.66,4261,10.652,1645
2025-02-20 14:00:00,10.66,10.69,10.65,10.67,4718,10.67,1507
2025-02-20 15:00:00,10.67,10.79,10.67,10.73,9737,10.742,3263
2025-02-20 16:00:00,10.72,10.72,10.72,10.72,4480,10.72,6
2025-02-20 17:00:00,10.8,10.8,10.8,10.8,1,10.8,1
2025-02-20 18:00:00,10.8,10.8,10.8,10.8,0,10.8,0
2025-02-20 19:00:00,10.8,10.8,10.8,10.8,0,10.8,0
2025-02-21 09:00:00,10.67,10.83,10.51,10.78,1856,10.759,596
2025-02-21 10:00:00,10.78,10.86,10.73,10.77,4459,10.781,2143
2025-02-21 11:00:00,10.78,10.82,10.76,10.79,3186,10.786,1130
2025-02-21 12:00:00,10.79,10.81,10.75,10.76,3660,10.781,1323
2025-02-21 13:00:00,10.76,10.78,10.69,10.72,4407,10.731,1628
2025-02-21 14:00:00,10.72,10.75,10.7,10.75,4307,10.72,1578
2025-02-21 15:00:00,10.75,10.77,10.67,10.7,9348,10.715,3710
2025-02-21 16:00:00,10.68,10.68,10.68,10.68,4705,10.68,10
2025-02-21 17:00:00,10.68,10.68,10.68,10.68,0,10.68,0
2025-02-21 18:00:00,10.68,10.68,10.68,10.68,0,10.68,0
2025-02-21 19:00:00,10.68,10.68,10.68,10.68,0,10.68,0
2025-02-24 08:00:00,10.65,10.65,10.65,10.65,5,10.65,1
2025-02-24 09:00:00,10.66,10.72,10.57,10.59,1710,10.645,828
2025-02-24 10:00:00,10.58,10.61,10.49,10.51,2900,10.55,1388
2025-02-24 11:00:00,10.51,10.61,10.5,10.57,3161,10.573,1300
2025-02-24 12:00:00,10.57,10.7,10.57,10.66,2256,10.639,1004
