date,open,high,low,close,volume,average,barCount
2024-05-24,60.85,62.88,60.27,61.15,1664,61.648,1028
2024-05-28,62.29,62.5,60.26,60.96,1248,61.11,830
2024-05-29,59.92,61.03,59.35,60.36,1424,60.314,1085
2024-05-30,60.5,61.1,59.05,59.52,1509,60.203,1049
2024-05-31,59.54,60.26,57.51,58.47,1775,58.308,1351
2024-06-03,58.72,59.31,56.33,56.55,2960,57.073,2261
2024-06-04,56.55,57.45,55.28,57.03,1960,56.867,1534
2024-06-05,57.0,59.47,56.42,58.59,2056,58.592,1308
2024-06-06,58.2,59.05,57.13,58.71,1524,58.183,1073
2024-06-07,57.66,58.79,56.98,57.22,1287,57.708,840
2024-06-10,56.76,59.77,56.4,58.95,1563,58.911,921
2024-06-11,58.53,58.78,57.13,57.52,1169,57.788,861
2024-06-12,59.0,60.05,57.77,58.08,2212,58.921,1482
2024-06-13,58.08,59.41,57.4,59.34,1635,58.557,999
2024-06-14,59.03,59.03,57.24,57.89,1722,58.103,1074
2024-06-17,57.91,58.94,55.42,56.11,2694,56.344,1850
2024-06-18,55.76,57.64,55.11,57.07,1632,56.662,1031
2024-06-20,57.07,57.33,55.24,55.96,1223,56.144,826
2024-06-21,55.86,56.79,53.72,56.74,3426,55.732,1313
2024-06-24,56.81,57.14,55.22,55.77,2711,55.94,1404
2024-06-25,56.1,57.48,55.67,56.17,1276,56.625,738
2024-06-26,55.76,57.19,55.35,57.13,1502,56.209,941
2024-06-27,57.15,59.4,56.59,59.1,2669,58.359,1693
2024-06-28,59.6,60.81,58.68,60.17,2406,59.965,1639
2024-07-01,59.67,59.67,56.74,56.8,2059,58.167,1330
2024-07-02,56.5,57.48,55.82,57.04,1427,56.708,955
2024-07-03,56.91,57.59,54.83,56.99,1047,56.34,677
2024-07-05,56.83,57.13,55.67,56.95,788,56.626,577
2024-07-08,57.32,57.48,56.55,56.95,883,57.086,713
2024-07-09,57.06,57.83,56.68,56.99,1418,57.008,1010
2024-07-10,55.99,55.99,45.63,51.11,11937,49.888,6769
2024-07-11,52.4,52.4,49.3,49.78,7388,50.517,4485
2024-07-12,50.39,51.3,45.5,47.72,7559,47.417,4259
2024-07-15,48.95,49.19,47.45,48.64,2919,48.493,1804
2024-07-16,49.67,50.24,49.03,49.43,4056,49.732,2091
2024-07-17,48.89,49.94,46.27,47.22,4564,47.413,2656
2024-07-18,47.37,48.18,45.1,46.04,2422,46.55,1756
2024-07-19,46.57,48.18,46.08,46.77,3993,46.966,2205
2024-07-22,46.98,48.02,46.38,47.41,2554,47.199,1347
2024-07-23,47.15,49.21,46.5,48.48,3619,47.924,1696
