date,open,high,low,close,volume,average,barCount
2025-01-02 04:00:00,3.65,3.65,3.65,3.65,6,3.65,4
2025-01-02 05:00:00,3.65,3.65,3.65,3.65,0,3.65,0
2025-01-02 06:00:00,3.65,3.65,3.65,3.65,0,3.65,0
2025-01-02 07:00:00,3.68,3.68,3.68,3.68,29,3.68,5
2025-01-02 08:00:00,3.68,3.68,3.68,3.68,0,3.68,0
2025-01-02 09:00:00,3.67,3.7,3.6,3.63,1325,3.64566,369
2025-01-02 10:00:00,3.635,3.65,3.58,3.635,5968,3.61678,1125
2025-01-02 11:00:00,3.635,3.67,3.61,3.645,3351,3.64992,758
2025-01-02 12:00:00,3.64,3.655,3.56,3.5699,2936,3.5965,800
2025-01-02 13:00:00,3.5699,3.58,3.55,3.58,1858,3.55778,575
2025-01-02 14:00:00,3.58,3.5889,3.56,3.57,1694,3.5734,598
2025-01-02 15:00:00,3.575,3.6,3.56,3.565,3340,3.57611,911
2025-01-02 16:00:00,3.57,3.57,3.57,3.57,1497,3.57,7
2025-01-02 17:00:00,3.57,3.57,3.57,3.57,0,3.57,0
2025-01-02 18:00:00,3.6,3.6,3.6,3.6,1,3.6,1
2025-01-02 19:00:00,3.6,3.6,3.6,3.6,0,3.6,0
2025-01-03 08:00:00,3.6408,3.6408,3.6408,3.6408,1,3.6408,1
2025-01-03 09:00:00,3.6,3.6,3.522,3.55,1699,3.5704,448
2025-01-03 10:00:00,3.545,3.61,3.52,3.6,5949,3.5653,1265
2025-01-03 11:00:00,3.595,3.61,3.545,3.58,2658,3.57743,795
2025-01-03 12:00:00,3.575,3.58,3.5419,3.55,2438,3.56319,766
2025-01-03 13:00:00,3.55,3.6,3.545,3.595,3843,3.55952,988
2025-01-03 14:00:00,3.595,3.61,3.59,3.6,1137,3.59989,448
2025-01-03 15:00:00,3.595,3.6,3.54,3.55,5502,3.5666,1609
2025-01-03 16:00:00,3.55,3.55,3.55,3.55,2276,3.55,4
2025-01-03 17:00:00,3.55,3.55,3.55,3.55,0,3.55,0
2025-01-03 18:00:00,3.55,3.55,3.55,3.55,0,3.55,0
2025-01-03 19:00:00,3.55,3.55,3.55,3.55,0,3.55,0
2025-01-06 08:00:00,3.46,3.6,3.46,3.6,6,3.56355,2
2025-01-06 09:00:00,3.57,3.61,3.54,3.5688,2101,3.56786,685
2025-01-06 10:00:00,3.565,3.58,3.52,3.575,6496,3.5603,1500
2025-01-06 11:00:00,3.575,3.6,3.56,3.585,5719,3.5802,1333
2025-01-06 12:00:00,3.58,3.62,3.57,3.58,4972,3.58879,1261
2025-01-06 13:00:00,3.585,3.585,3.55,3.55,4066,3.57102,975
2025-01-06 14:00:00,3.555,3.56,3.52,3.52,2238,3.54346,645
2025-01-06 15:00:00,3.52,3.56,3.52,3.56,6688,3.54823,1839
2025-01-06 16:00:00,3.55,3.55,3.55,3.55,3178,3.55,9
2025-01-06 17:00:00,3.55,3.55,3.55,3.55,2,3.55,1
2025-01-06 18:00:00,3.55,3.55,3.55,3.55,0,3.55,0
2025-01-06 19:00:00,3.55,3.55,3.55,3.55,0,3.55,0
2025-01-07 08:00:00,3.5699,3.57,3.53,3.57,23,3.56822,3
2025-01-07 09:00:00,3.51,3.56,3.5,3.505,1784,3.51341,488
2025-01-07 10:00:00,3.5,3.54,3.445,3.54,8854,3.49267,2414
2025-01-07 11:00:00,3.54,3.55,3.485,3.485,4337,3.51489,1147
2025-01-07 12:00:00,3.49,3.5,3.48,3.485,1061,3.49092,441
2025-01-07 13:00:00,3.49,3.51,3.48,3.485,1452,3.49407,514
2025-01-07 14:00:00,3.485,3.49,3.47,3.475,2790,3.48123,960
2025-01-07 15:00:00,3.475,3.48,3.445,3.45,4900,3.45881,2027
2025-01-07 16:00:00,3.46,3.46,3.46,3.46,3881,3.46,9
2025-01-07 17:00:00,3.46,3.46,3.46,3.46,0,3.46,0
2025-01-07 18:00:00,3.46,3.46,3.46,3.46,0,3.46,0
2025-01-07 19:00:00,3.45,3.45,3.45,3.45,1,3.45,1
2025-01-08 05:00:00,3.45,3.46,3.45,3.46,3,3.45667,2
2025-01-08 06:00:00,3.45,3.45,3.45,3.45,1,3.45,1
2025-01-08 07:00:00,3.45,3.45,3.45,3.45,0,3.45,0
2025-01-08 08:00:00,3.42,3.5,3.41,3.5,56,3.44497,11
2025-01-08 09:00:00,3.43,3.43,3.37,3.4011,2971,3.40371,823
