date,open,high,low,close,volume,average,barCount
2024-05-24,1.08,1.1499,1.08,1.13,281,1.12339,63
2024-05-28,1.1,1.17,1.1,1.14,268,1.12085,80
2024-05-29,1.1,1.19,1.1,1.15,195,1.15313,66
2024-05-30,1.15,1.18,1.11,1.12,137,1.14668,54
2024-05-31,1.1,1.14,1.1,1.12,44,1.11929,20
2024-06-03,1.17,1.1734,1.05,1.1,591,1.08444,290
2024-06-04,1.07,1.12,1.002,1.03,263,1.05538,64
2024-06-05,1.04,1.13,1.04,1.095,135,1.10374,26
2024-06-06,1.14,1.14,1.08,1.09,51,1.0963,16
2024-06-07,1.09,1.1174,1.08,1.1,216,1.0978,56
2024-06-10,1.08,1.14,1.08,1.12,170,1.10239,73
2024-06-11,1.1,1.15,1.08,1.1,535,1.1218,311
2024-06-12,1.11,1.13,1.08,1.1,328,1.11197,133
2024-06-13,1.09,1.11,1.08,1.09,244,1.10107,58
2024-06-14,1.06,1.1,1.06,1.08,252,1.09326,67
2024-06-17,1.08,1.16,1.08,1.08,69,1.1113,31
2024-06-18,1.09,1.1,1.08,1.08,62,1.09267,22
2024-06-20,1.08,1.15,1.03,1.1,309,1.10407,102
2024-06-21,1.07,1.1,1.05,1.05,34,1.07436,9
2024-06-24,1.02,1.06,1.02,1.02,252,1.04911,60
2024-06-25,1.045,1.07,1.01,1.02,108,1.03217,42
2024-06-26,0.97,1.05,0.97,1.01,413,1.00803,108
2024-06-27,1.01,1.07,1.0,1.04,153,1.03396,47
2024-06-28,1.02,1.08,1.0,1.04,128,1.02528,45
2024-07-01,1.04,1.06,1.01,1.03,202,1.02602,53
2024-07-02,1.01,1.05,1.0,1.04,26,1.02308,15
2024-07-03,1.0,1.07,1.0,1.01,56,1.02086,27
2024-07-05,1.0,1.0792,0.98,1.04,213,1.01392,92
2024-07-08,1.01,1.06,0.98,0.98,160,1.02831,62
2024-07-09,0.98,1.05,0.98,1.03,74,1.03061,22
2024-07-10,1.04,1.08,1.0,1.08,212,1.05372,41
2024-07-11,1.08,1.15,1.04,1.11,291,1.08472,129
2024-07-12,1.09,1.47,1.084,1.42,2755,1.26826,558
2024-07-15,1.41,1.41,1.2,1.24,581,1.29016,222
2024-07-16,1.22,1.23,1.1,1.165,856,1.15906,180
2024-07-17,1.18,1.35,1.18,1.21,494,1.2615,160
2024-07-18,1.2501,1.26,1.21,1.235,110,1.2353,41
2024-07-19,1.27,1.27,1.15,1.15,270,1.17634,94
2024-07-22,1.15,1.22,1.15,1.2,540,1.17597,55
2024-07-23,1.2,1.2,1.15,1.15,569,1.15375,191
2024-07-24,1.17,1.17,1.1,1.11,165,1.14837,40
2024-07-25,1.1,1.2,1.1,1.13,510,1.12284,99
2024-07-26,1.13,1.28,1.1,1.21,1547,1.203,320
2024-07-29,1.2,1.2,1.1,1.1,600,1.12886,141
2024-07-30,1.1,1.159,1.03,1.03,332,1.09202,103
2024-07-31,1.08,1.1099,1.02,1.02,618,1.05781,185
2024-08-01,1.02,1.07,0.97,0.97,886,1.00744,199
2024-08-02,1.0,1.02,0.97,0.9989,520,0.99472,91
2024-08-05,0.9989,1.04,0.72,1.0,1651,0.92112,354
2024-08-06,1.0,1.03,0.9,0.982,631,0.96372,230
2024-08-07,1.03,1.03,0.901,0.94,786,0.99372,222
2024-08-08,1.03,1.03,0.87,0.9282,922,0.93747,266
2024-08-09,1.0,1.02,0.97,1.02,314,1.00336,101
2024-08-12,1.03,1.03,0.9429,1.02,219,1.00583,62
2024-08-13,1.03,1.03,0.98,1.0,316,0.99996,65
2024-08-14,1.0,1.0136,0.99,1.0,54,0.99999,21
2024-08-15,0.9998,1.03,0.99,1.02,157,1.01565,54
2024-08-16,1.0,1.1,1.0,1.09,492,1.07696,151
2024-08-19,1.09,1.1899,1.03,1.06,2568,1.08674,678
2024-08-20,1.03,1.14,1.0101,1.07,1539,1.07054,334
2024-08-21,1.05,1.1,0.94,1.03,1664,1.00322,357
2024-08-22,1.01,1.05,1.01,1.02,798,1.01822,144
2024-08-23,1.06,1.06,1.02,1.05,356,1.04174,68
2024-08-26,1.05,1.06,1.01,1.02,451,1.02609,166
2024-08-27,1.055,1.055,0.98,0.996,336,1.01001,124
2024-08-28,1.0,1.05,0.97,0.99,389,0.98628,130
2024-08-29,0.99,1.03,0.965,0.985,328,0.98502,75
2024-08-30,0.9701,1.01,0.96,0.975,455,0.9821,174
2024-09-03,0.9631,1.0,0.94,0.9599,693,0.95219,138
2024-09-04,0.9688,1.03,0.96,1.0,907,0.9905,113
2024-09-05,0.99,1.02,0.985,1.02,88,1.00703,42
2024-09-06,1.02,1.03,0.9899,1.0,238,1.0048,51
2024-09-09,0.99,1.06,0.98,1.0,464,1.00894,140
2024-09-10,1.0,1.02,0.9991,1.0,362,1.00812,83
2024-09-11,1.01,1.035,1.0,1.02,373,1.01446,125
2024-09-12,1.01,1.05,1.01,1.03,107,1.03187,48
2024-09-13,1.05,1.08,1.02,1.05,3125,1.05171,321
2024-09-16,1.03,1.1,1.03,1.04,1362,1.05194,274
2024-09-17,1.03,1.1,1.03,1.07,378,1.08031,80
2024-09-18,1.09,1.1,1.05,1.09,473,1.08984,115
2024-09-19,1.08,1.145,1.08,1.12,518,1.12705,166
2024-09-20,1.1,1.18,1.1,1.11,2051,1.12107,361
2024-09-23,1.1,1.11,1.0,1.0,1293,1.03446,336
2024-09-24,1.05,1.05,0.9899,1.0,1058,1.0034,210
2024-09-25,0.99,0.9902,0.94,0.9753,587,0.96591,118
2024-09-26,0.99,1.0,0.9617,1.0,267,0.98008,101
2024-09-27,1.0,1.09,0.999,1.06,767,1.05471,126
2024-09-30,1.08,1.08,0.99,1.03,244,1.0298,75
2024-10-01,1.0,1.0299,0.99,0.9945,102,1.00499,27
2024-10-02,0.9999,1.01,0.9901,1.0,357,1.00322,46
2024-10-03,1.03,1.0499,0.9789,1.0,150,1.02311,22
2024-10-04,1.04,1.04,0.99,1.0,372,1.00894,128
2024-10-07,0.99,1.05,0.99,0.9993,147,0.99898,64
2024-10-08,1.03,1.03,0.965,0.97,688,0.98245,100
2024-10-09,1.0,1.0399,0.98,1.0,402,1.00612,73
2024-10-10,0.97,1.03,0.97,1.01,86,1.00158,17
2024-10-11,1.0,1.01,0.9801,1.0,77,0.99499,23
2024-10-14,1.0,1.01,0.97,0.985,395,0.9971,96
2024-10-15,1.0,1.0,0.98,0.984,125,0.99575,37
2024-10-16,0.9887,1.0199,0.985,1.0,393,1.00006,49
2024-10-17,1.0,1.01,0.99,1.01,149,0.99985,24
2024-10-18,0.9925,1.01,0.9801,1.01,2832,0.99062,30
2024-10-21,1.01,1.01,0.98,0.9951,218,0.9913,45
2024-10-22,1.0,1.01,0.99,1.01,322,0.9992,68
2024-10-23,1.0,1.01,0.9901,1.0,860,1.00059,64
2024-10-24,1.0,1.0,0.99,0.9916,181,0.9982,35
2024-10-25,0.98,1.0,0.95,0.9842,244,0.96571,53
2024-10-28,1.01,1.01,0.9795,1.01,91,0.99966,46
2024-10-29,0.99,1.0,0.9603,0.99,183,0.99082,22
2024-10-30,0.9681,1.01,0.96,0.9706,357,0.98877,52
2024-10-31,0.99,1.0,0.98,0.985,217,0.98774,62
2024-11-01,0.9753,0.995,0.97,0.97,64,0.98191,14
2024-11-04,0.99,0.9999,0.95,0.955,318,0.97118,66
2024-11-05,0.9549,0.975,0.93,0.9375,448,0.9498,83
2024-11-06,0.955,0.975,0.9378,0.95,600,0.9593,83
2024-11-07,0.99,1.0,0.93,0.9713,980,0.95311,126
2024-11-08,0.985,0.985,0.9433,0.9778,246,0.96778,60
2024-11-11,1.0,1.06,0.9951,1.05,877,1.03426,158
2024-11-12,1.08,1.09,0.998,1.01,1193,1.01763,279
2024-11-13,1.0,1.06,1.0,1.015,1345,1.0249,305
2024-11-14,1.04,1.05,1.0,1.01,1440,1.02736,436
2024-11-15,0.98,1.05,0.98,0.9898,1386,0.99253,221
2024-11-18,0.99,1.02,0.98,1.01,720,1.00105,142
2024-11-19,1.01,1.02,0.9852,1.0,891,1.00475,216
2024-11-20,1.01,1.32,1.0,1.32,5579,1.1816,845
2024-11-21,1.32,1.34,1.2,1.27,1669,1.25816,403
2024-11-22,1.28,1.45,1.2,1.4,2482,1.34576,484
2024-11-25,1.4,1.41,1.31,1.4,1533,1.36601,377
2024-11-26,1.41,1.43,1.35,1.39,1005,1.38514,284
2024-11-27,1.4,1.49,1.31,1.455,2471,1.42707,472
2024-11-29,1.42,2.15,1.42,1.97,9981,1.85948,1970
2024-12-02,2.02,2.2,1.74,1.8,5019,1.95079,795
2024-12-03,1.79,2.0499,1.7763,1.96,3160,1.93164,545
2024-12-04,2.05,2.72,2.02,2.61,9408,2.35193,1877
2024-12-05,2.82,3.9,2.76,3.14,50816,3.41346,13545
2024-12-06,3.63,4.1,3.35,3.92,27354,3.66626,8282
2024-12-09,4.82,5.49,4.62,4.74,44242,5.02182,12545
2024-12-10,4.24,4.4329,3.62,3.98,21122,3.98214,6425
2024-12-11,4.0,4.25,3.87,3.98,12494,4.03384,3380
2024-12-12,4.03,4.03,3.22,3.49,15325,3.47673,4945
2024-12-13,3.54,3.66,3.5,3.505,6599,3.5771,1605
2024-12-16,3.26,4.085,3.1,4.02,14930,3.67691,3770
2024-12-17,4.16,4.16,3.73,3.875,6507,3.90935,1934
2024-12-18,3.8,3.805,3.36,3.4,10912,3.54194,2732
2024-12-19,3.57,3.7,3.25,3.27,5173,3.40034,2096
2024-12-20,3.16,3.48,3.07,3.07,4509,3.26155,1453
2024-12-23,3.1,3.25,3.072,3.1,4527,3.17262,1105
2024-12-24,3.18,3.67,3.12,3.29,8751,3.41065,2446
2024-12-26,3.36,3.92,3.2416,3.89,13200,3.55646,3871
2024-12-27,3.79,4.09,3.41,3.68,11670,3.74574,3006
2024-12-30,3.75,3.88,3.34,3.41,5722,3.53414,1346
2024-12-31,3.35,3.37,2.8,2.85,5529,3.08568,1717
2025-01-02,3.09,3.26,3.02,3.05,3447,3.07427,1415
2025-01-03,3.48,3.491,3.05,3.17,7039,3.2645,2424
2025-01-06,3.37,3.448,3.23,3.29,4076,3.32025,1002
2025-01-07,3.5,3.5,3.23,3.31,6047,3.33914,2433
2025-01-08,3.24,3.3,2.94,3.17,5829,3.1051,2292
2025-01-10,3.0,3.29,2.94,2.96,3943,3.0852,1714
2025-01-13,2.9,2.98,2.655,2.74,3907,2.81593,2165
2025-01-14,2.92,2.99,2.81,2.89,1217,2.88907,431
2025-01-15,2.9,2.98,2.8,2.86,3740,2.8762,2231
2025-01-16,2.89,2.92,2.84,2.88,1907,2.89052,411
2025-01-17,2.9,2.939,2.84,2.9,1831,2.89038,419
2025-01-21,3.14,3.31,2.81,2.88,9890,3.07834,3423
2025-01-22,2.9,2.9695,2.85,2.9,3190,2.89506,929
2025-01-23,2.95,2.965,2.84,2.88,2522,2.89417,871
2025-01-24,2.93,3.2,2.83,3.0,6957,3.03735,1565
2025-01-27,2.9,3.03,2.74,2.85,2943,2.87029,898
2025-01-28,2.73,2.89,2.73,2.82,2845,2.77814,393
2025-01-29,2.82,2.88,2.67,2.72,2962,2.72707,696
2025-01-30,2.81,2.88,2.72,2.78,1917,2.7997,615
2025-01-31,2.82,2.873,2.7732,2.8,1514,2.8215,515
2025-02-03,2.8,2.85,2.73,2.8,2657,2.80374,528
2025-02-04,2.81,2.83,2.75,2.78,2811,2.78911,803
2025-02-05,3.02,3.12,2.78,3.04,8861,2.9234,2742
2025-02-06,3.1,3.39,3.085,3.37,12949,3.2012,3042
2025-02-07,3.51,3.8,3.26,3.69,16258,3.57893,3847
2025-02-10,4.04,4.6,3.91,4.51,21570,4.36259,5513
2025-02-11,5.055,5.12,4.03,4.09,21478,4.71198,4997
2025-02-12,3.81,4.22,3.6,4.045,10524,3.93261,2901
2025-02-13,4.3,4.75,4.2101,4.74,10993,4.49686,3017
2025-02-14,4.89,4.89,4.46,4.54,8248,4.62642,2830
2025-02-18,4.71,4.71,4.16,4.33,8596,4.39344,2478
2025-02-19,4.27,4.318,3.88,3.93,6038,4.0769,2079
2025-02-20,3.85,4.02,3.69,4.01,6125,3.83218,1862
2025-02-21,3.94,3.94,3.55,3.555,5021,3.69143,1511
2025-02-24,3.45,3.61,3.22,3.245,4809,3.37267,1338
2025-02-25,3.21,3.23,2.945,3.035,4849,3.04619,1743
2025-02-26,3.09,3.2745,2.99,3.03,2825,3.11473,1120
2025-02-27,3.12,3.14,2.81,2.84,4379,2.97261,1655
2025-02-28,2.85,3.06,2.77,3.06,3855,2.908,1690
2025-03-03,3.17,3.1875,2.78,2.85,2998,2.9076,1018
2025-03-04,2.76,2.81,2.6,2.66,4946,2.69679,1744
2025-03-05,2.73,3.42,2.71,3.29,10788,3.17562,3604
2025-03-06,3.2,3.3,2.94,2.95,8137,3.13201,3181
2025-03-07,2.91,2.97,2.86,2.925,3889,2.93613,1454
2025-03-10,3.0,3.0,2.725,2.79,5274,2.85639,1207
2025-03-11,2.96,2.98,2.87,2.95,4238,2.93948,1503
2025-03-12,3.2,3.925,3.0,3.65,21100,3.63332,5936
2025-03-13,3.82,3.875,3.17,3.37,9914,3.58547,2758
2025-03-14,3.67,3.74,3.4408,3.575,3544,3.53842,1444
2025-03-17,3.55,4.3,3.54,4.06,11661,4.04657,3614
2025-03-18,4.01,4.1,3.7287,3.86,5491,3.88886,1929
2025-03-19,4.06,4.165,3.835,4.15,4548,4.04444,1613
2025-03-20,3.95,4.105,3.91,4.0,3889,4.00063,1362
2025-03-21,3.79,3.89,3.65,3.79,3261,3.77018,1035
2025-03-24,3.91,4.12,3.89,4.04,4798,4.03409,1003
2025-03-25,3.75,3.93,3.685,3.91,4805,3.79867,1266
2025-03-26,3.91,3.99,3.63,3.75,3833,3.84343,1166
2025-03-27,3.73,4.34,3.7,4.225,6440,4.15309,1979
