date,open,high,low,close,volume,average,barCount
2025-02-20 04:00:00,1.11,1.11,1.11,1.11,1,1.11,1
2025-02-20 05:00:00,1.11,1.11,1.11,1.11,0,1.11,0
2025-02-20 06:00:00,1.11,1.11,1.11,1.11,0,1.11,0
2025-02-20 07:00:00,1.11,1.11,1.11,1.11,0,1.11,0
2025-02-20 08:00:00,1.11,1.11,1.11,1.11,0,1.11,0
2025-02-20 09:00:00,1.24,1.25,1.2101,1.23,98,1.24042,34
2025-02-20 10:00:00,1.24,1.25,1.2201,1.24,73,1.23328,43
2025-02-20 11:00:00,1.24,1.29,1.2316,1.29,413,1.26717,70
2025-02-20 12:00:00,1.28,1.3,1.23,1.25,373,1.27973,68
2025-02-20 13:00:00,1.255,1.35,1.2545,1.35,529,1.30588,75
2025-02-20 14:00:00,1.32,1.35,1.3,1.35,385,1.33052,86
2025-02-20 15:00:00,1.35,1.36,1.32,1.345,386,1.34665,95
2025-02-20 16:00:00,1.35,1.35,1.35,1.35,3,1.35,1
2025-02-20 17:00:00,1.35,1.35,1.35,1.35,0,1.35,0
2025-02-20 18:00:00,1.35,1.35,1.35,1.35,0,1.35,0
2025-02-20 19:00:00,1.35,1.35,1.35,1.35,0,1.35,0
2025-02-21 08:00:00,1.36,1.36,1.3,1.3,14,1.33973,2
2025-02-21 09:00:00,1.36,1.4,1.3431,1.4,154,1.38263,45
2025-02-21 10:00:00,1.4,1.43,1.3837,1.418,468,1.40814,121
2025-02-21 11:00:00,1.42,1.44,1.3,1.375,812,1.36428,220
2025-02-21 12:00:00,1.39,1.42,1.38,1.42,106,1.40437,95
2025-02-21 13:00:00,1.42,1.44,1.3951,1.43,147,1.42176,120
2025-02-21 14:00:00,1.43,1.45,1.415,1.45,228,1.4382,128
2025-02-21 15:00:00,1.45,1.45,1.37,1.37,656,1.41074,281
2025-02-21 16:00:00,1.39,1.39,1.39,1.39,1,1.39,1
2025-02-21 17:00:00,1.39,1.39,1.39,1.39,0,1.39,0
2025-02-21 18:00:00,1.39,1.39,1.39,1.39,0,1.39,0
2025-02-21 19:00:00,1.37,1.37,1.37,1.37,4,1.37,2
2025-02-24 04:00:00,1.33,1.33,1.33,1.33,3,1.33,1
2025-02-24 05:00:00,1.33,1.33,1.33,1.33,0,1.33,0
2025-02-24 06:00:00,1.33,1.33,1.33,1.33,0,1.33,0
2025-02-24 07:00:00,1.33,1.33,1.33,1.33,0,1.33,0
2025-02-24 08:00:00,1.37,1.37,1.37,1.37,10,1.37,1
2025-02-24 09:00:00,1.43,1.4347,1.33,1.3609,173,1.36762,21
2025-02-24 10:00:00,1.36,1.36,1.25,1.25,272,1.28656,45
2025-02-24 11:00:00,1.26,1.26,1.21,1.2585,256,1.23245,54
2025-02-24 12:00:00,1.22,1.24,1.19,1.19,286,1.20862,39
2025-02-24 13:00:00,1.2044,1.2044,1.19,1.19,384,1.19835,32
2025-02-24 14:00:00,1.19,1.19,1.17,1.171,338,1.18107,67
2025-02-24 15:00:00,1.175,1.18,1.15,1.15,181,1.16806,70
2025-02-24 16:00:00,1.17,1.17,1.13,1.14,8,1.145,6
2025-02-24 17:00:00,1.12,1.12,1.12,1.12,6,1.12,1
2025-02-24 18:00:00,1.14,1.14,1.14,1.14,1,1.14,1
2025-02-24 19:00:00,1.14,1.14,1.14,1.14,0,1.14,0
2025-02-25 08:00:00,1.19,1.19,1.19,1.19,6,1.19,2
2025-02-25 09:00:00,1.19,1.28,1.15,1.1545,342,1.22139,42
2025-02-25 10:00:00,1.16,1.16,1.1,1.13,470,1.11732,64
2025-02-25 11:00:00,1.12,1.12,1.08,1.09,252,1.10013,26
2025-02-25 12:00:00,1.0893,1.11,1.0893,1.097,126,1.10551,18
2025-02-25 13:00:00,1.095,1.0987,1.095,1.0987,25,1.09853,3
2025-02-25 14:00:00,1.0901,1.0914,1.09,1.0914,71,1.09019,10
2025-02-25 15:00:00,1.0901,1.1,1.07,1.075,219,1.08463,42
2025-02-25 16:00:00,1.09,1.09,1.09,1.09,1,1.09,1
2025-02-25 17:00:00,1.09,1.09,1.09,1.09,0,1.09,0
2025-02-25 18:00:00,1.09,1.09,1.09,1.09,0,1.09,0
2025-02-25 19:00:00,1.09,1.09,1.09,1.09,0,1.09,0
2025-02-26 08:00:00,1.0901,1.0927,1.0901,1.0927,2,1.0914,2
2025-02-26 09:00:00,1.1,1.102,1.07,1.08,274,1.09537,33
2025-02-26 10:00:00,1.08,1.0832,1.06,1.074,202,1.07027,36
2025-02-26 11:00:00,1.07,1.0998,1.065,1.0981,57,1.07494,14
2025-02-26 12:00:00,1.07,1.1,1.0601,1.0601,21,1.07804,5
2025-02-26 13:00:00,1.07,1.13,1.07,1.1,7,1.0946,6
2025-02-26 14:00:00,1.11,1.11,1.1,1.1,25,1.10601,4
2025-02-26 15:00:00,1.07,1.13,1.07,1.11,28,1.10734,16
2025-02-26 16:00:00,1.11,1.11,1.11,1.11,0,1.11,0
2025-02-26 17:00:00,1.11,1.11,1.11,1.11,0,1.11,0
2025-02-26 18:00:00,1.11,1.11,1.11,1.11,0,1.11,0
