date,open,high,low,close,volume,average,barCount
2024-01-02,8.08,8.5,7.83,7.89,3203,8.238,1145
2024-01-03,7.9,8.73,7.8,8.5,3664,8.268,841
2024-01-04,8.22,8.52,8.0,8.19,3429,8.233,812
2024-01-05,8.03,8.5,7.94,8.13,3873,8.279,869
2024-01-08,8.0,8.7,7.8,8.47,3455,8.373,1204
2024-01-09,8.3,8.92,8.15,8.5,4149,8.474,1098
2024-01-10,8.4,8.5,8.21,8.46,3290,8.396,876
2024-01-11,8.35,8.88,8.31,8.62,3015,8.57,884
2024-01-12,8.79,8.8,8.22,8.47,4686,8.486,1646
2024-01-16,8.6,8.79,7.6,8.47,3813,8.231,1197
2024-01-17,8.3,8.54,8.0,8.4,2724,8.149,868
2024-01-18,8.23,8.8,7.85,8.31,3677,8.233,1089
2024-01-19,8.22,8.67,8.21,8.3,4370,8.509,997
2024-01-22,8.49,8.75,7.92,8.31,3096,8.462,1205
2024-01-23,8.3,8.6,8.05,8.52,2430,8.4,917
2024-01-24,8.5,8.7,8.42,8.54,3324,8.576,760
2024-01-25,8.54,8.89,8.2,8.34,4085,8.639,977
2024-01-26,8.34,8.46,7.45,7.89,4533,8.051,1549
2024-01-29,7.77,8.3,7.68,8.17,3087,8.001,857
2024-01-30,8.26,8.5,7.8,8.3,4512,8.268,1268
2024-01-31,8.49,9.03,8.02,9.0,2701,8.765,755
2024-02-01,9.0,10.0,9.0,9.5,3690,9.386,1216
2024-02-02,9.31,9.64,9.12,9.22,3069,9.361,830
2024-02-05,9.04,9.2,7.2,7.52,5676,8.454,1644
2024-02-06,7.58,7.58,5.71,7.1,2431,6.503,1090
2024-02-07,7.26,7.35,6.51,7.05,3381,6.688,946
2024-02-08,6.91,7.1,6.29,6.34,2938,6.486,965
2024-02-09,6.58,7.5,6.26,7.25,2894,6.808,1193
2024-02-12,7.16,7.29,6.35,6.58,2475,6.75,825
2024-02-13,6.59,6.69,6.1,6.19,2884,6.325,990
2024-02-14,6.3,6.66,6.18,6.58,2905,6.354,631
2024-02-15,6.45,6.7,6.36,6.6,2689,6.555,576
2024-02-16,6.36,6.85,6.36,6.43,3098,6.675,774
2024-02-20,6.32,6.83,6.3,6.46,3262,6.507,966
2024-02-21,6.41,6.68,6.3,6.57,3819,6.53,1359
2024-02-22,6.5,6.7,6.36,6.44,3105,6.509,1189
2024-02-23,6.31,6.79,6.27,6.31,3065,6.36,948
2024-02-26,6.3,6.59,6.29,6.31,3629,6.343,968
2024-02-27,6.4,6.52,6.29,6.32,3223,6.348,1173
2024-02-28,6.45,6.45,6.3,6.3,2098,6.326,730
2024-02-29,6.45,6.47,6.27,6.3,2272,6.336,569
2024-03-01,6.4,6.54,6.3,6.36,2029,6.357,717
2024-03-04,6.5,6.55,6.25,6.34,2770,6.322,985
2024-03-05,6.21,6.4,6.13,6.35,2902,6.334,726
2024-03-06,6.3,6.52,6.28,6.39,2686,6.33,861
2024-03-07,6.32,6.69,6.27,6.35,2603,6.337,684
2024-03-08,6.32,6.77,6.32,6.74,2894,6.429,894
2024-03-11,6.61,7.45,6.6,6.78,2614,7.142,545
2024-03-12,6.64,7.39,6.43,6.99,2618,6.883,686
2024-03-13,6.87,7.46,6.72,7.23,2942,7.256,424
2024-03-14,7.13,7.29,6.52,6.78,3333,6.813,1165
2024-03-15,6.64,6.9,6.37,6.9,2661,6.649,611
2024-03-18,6.9,6.9,6.4,6.6,2888,6.572,636
2024-03-19,6.56,6.91,6.4,6.88,2843,6.722,473
2024-03-20,7.0,7.1,6.79,6.97,2483,6.947,426
2024-03-21,7.01,7.25,6.88,7.0,2687,7.081,344
2024-03-22,6.88,7.05,6.76,6.83,2807,6.87,449
2024-03-25,6.83,7.0,6.6,6.66,3026,6.836,580
2024-03-26,6.72,6.97,6.35,6.4,2904,6.45,754
2024-03-27,6.4,6.89,6.4,6.77,2749,6.591,558
2024-03-28,6.77,7.8,6.64,7.51,3798,7.245,1015
2024-04-01,7.57,8.23,7.15,7.3,2696,7.609,701
2024-04-02,7.4,8.3,7.3,8.03,3340,7.868,1040
2024-04-03,8.04,8.09,7.75,7.85,2689,7.875,560
2024-04-04,7.83,8.62,7.4,7.52,2684,7.863,1176
2024-04-05,7.69,7.73,7.0,7.05,1807,7.114,497
2024-04-08,7.1,7.35,7.1,7.27,1795,7.19,379
2024-04-09,7.16,7.34,6.98,7.15,1879,7.106,353
2024-04-10,7.01,7.23,7.0,7.09,1753,7.045,664
2024-04-11,7.01,7.29,7.01,7.16,1831,7.128,385
2024-04-12,7.05,7.27,7.0,7.0,1919,7.066,435
2024-04-15,7.15,7.43,7.01,7.1,2070,7.144,657
2024-04-16,7.22,7.59,7.0,7.5,1959,7.304,616
2024-04-17,7.67,8.0,7.05,7.3,1965,7.551,676
2024-04-18,7.21,7.55,7.04,7.17,1858,7.385,473
2024-04-19,7.04,7.51,7.03,7.09,1964,7.192,537
2024-04-22,7.05,7.32,7.04,7.23,2291,7.127,498
2024-04-23,7.29,7.62,7.2,7.55,2989,7.424,798
2024-04-24,7.6,7.7,7.0,7.17,2867,7.339,974
2024-04-25,7.02,7.61,7.02,7.19,2237,7.413,736
2024-04-26,7.5,7.77,7.21,7.63,2434,7.42,672
2024-04-29,7.65,8.88,7.6,8.3,4688,8.291,1880
2024-04-30,8.25,8.31,7.7,7.91,3360,7.875,677
2024-05-01,8.21,8.21,7.7,7.71,2924,7.784,772
2024-05-02,7.74,8.76,7.53,8.5,2554,8.023,547
2024-05-03,8.62,8.76,8.13,8.19,2349,8.356,590
2024-05-06,8.15,8.35,7.5,7.9,2296,7.829,662
2024-05-07,7.71,8.45,7.71,8.27,2295,8.15,651
2024-05-08,8.05,8.2,7.31,7.51,2174,7.761,817
2024-05-09,7.5,8.0,7.5,7.62,2533,7.747,605
2024-05-10,7.85,7.93,7.51,7.52,1975,7.656,389
2024-05-13,7.69,7.91,7.56,7.71,2475,7.674,693
2024-05-14,7.8,8.0,7.04,7.1,2047,7.411,623
2024-05-15,7.2,7.82,7.2,7.7,1819,7.58,557
2024-05-16,7.58,8.39,7.58,7.98,1948,7.967,468
2024-05-17,8.1,8.25,7.83,7.96,2021,8.049,509
2024-05-20,7.85,8.3,7.73,8.3,2090,8.06,555
2024-05-21,8.24,8.7,7.9,7.9,1890,8.257,458
2024-05-22,7.85,8.2,7.6,7.98,1915,7.913,392
2024-05-23,7.85,8.49,7.74,8.3,2060,8.133,425
2024-05-24,8.5,8.64,7.95,8.22,2019,8.332,415
2024-05-28,8.68,8.68,7.79,7.94,1933,8.151,511
2024-05-29,7.73,8.25,7.73,8.13,1986,7.945,349
2024-05-30,7.98,8.49,7.98,8.25,1920,8.272,358
2024-05-31,8.19,8.66,8.19,8.66,2898,8.444,453
2024-06-03,8.53,9.1,7.91,8.09,2947,8.497,633
2024-06-04,7.93,8.71,7.93,8.05,3015,8.326,490
2024-06-05,7.95,8.34,7.5,7.5,3004,7.812,393
2024-06-06,7.41,7.81,7.2,7.7,1418,7.573,285
2024-06-07,7.55,8.1,7.55,7.82,2597,7.87,290
2024-06-10,7.7,7.75,7.25,7.39,1910,7.495,336
2024-06-11,7.24,7.46,7.0,7.11,2427,7.179,346
2024-06-12,7.1,7.3,7.05,7.23,2423,7.19,261
2024-06-13,7.36,7.91,7.25,7.69,2462,7.521,419
2024-06-14,7.69,7.8,7.42,7.57,2333,7.583,224
2024-06-17,7.5,7.85,7.23,7.79,2616,7.584,518
2024-06-18,7.87,7.87,7.4,7.52,1964,7.66,462
2024-06-20,7.69,7.71,7.26,7.59,2443,7.524,349
2024-06-21,7.7,8.7,7.56,8.25,3050,8.045,494
2024-06-24,8.07,9.0,7.96,8.72,2192,8.351,600
2024-06-25,8.9,9.36,8.6,9.2,2591,9.129,490
2024-06-26,9.14,9.98,8.77,9.01,2168,9.154,323
2024-06-27,9.0,9.1,8.48,9.07,2056,8.781,275
2024-06-28,9.01,9.3,8.75,9.11,2194,9.071,308
2024-07-01,9.25,9.25,8.4,8.9,1978,8.837,365
2024-07-02,8.89,9.0,7.98,8.47,1975,8.673,298
2024-07-03,8.3,9.29,8.1,9.2,1446,8.629,244
2024-07-05,9.02,9.3,8.87,9.09,1976,9.056,285
2024-07-08,8.89,9.19,8.58,8.9,2220,8.984,272
2024-07-09,8.87,9.2,8.49,8.54,2044,8.792,336
2024-07-10,8.45,8.97,8.4,8.5,2219,8.544,284
2024-07-11,8.5,8.99,8.46,8.96,2834,8.741,379
2024-07-12,9.0,9.3,8.72,8.9,2003,8.9,230
2024-07-15,9.09,9.09,8.25,8.5,1946,8.651,273
2024-07-16,8.33,8.7,8.25,8.45,2268,8.495,319
2024-07-17,8.5,9.79,8.45,9.08,2898,9.013,546
2024-07-18,9.05,9.15,8.5,8.68,1900,8.79,276
2024-07-19,8.7,9.31,8.41,9.05,2602,8.765,580
2024-07-22,9.25,9.96,8.93,9.73,2903,9.666,449
2024-07-23,9.6,10.26,8.96,9.14,2056,9.348,384
2024-07-24,9.07,9.5,9.0,9.2,2180,9.18,329
2024-07-25,9.11,9.5,8.9,9.01,2571,9.221,237
2024-07-26,9.18,9.78,8.97,9.4,2768,9.425,285
2024-07-29,10.39,10.39,9.0,9.17,2465,9.395,344
2024-07-30,9.24,9.94,9.1,9.7,2744,9.5,368
2024-07-31,9.79,10.0,9.57,9.65,2438,9.798,338
2024-08-01,9.61,9.72,9.15,9.15,1993,9.422,359
2024-08-02,9.1,9.41,8.8,9.21,2740,9.187,293
2024-08-05,9.01,9.96,9.01,9.96,2608,9.612,427
2024-08-06,9.83,10.02,9.57,9.78,2034,9.879,266
2024-08-07,10.0,10.03,8.99,9.09,2171,9.399,402
2024-08-08,9.04,9.4,8.72,9.01,1862,8.938,263
2024-08-09,8.97,9.55,8.97,9.1,2483,9.151,330
2024-08-12,9.05,9.62,9.05,9.48,2541,9.337,408
2024-08-13,9.39,9.78,9.18,9.44,2042,9.425,292
2024-08-14,9.6,9.6,9.09,9.25,1989,9.364,336
2024-08-15,9.23,9.6,9.06,9.31,2044,9.25,253
2024-08-16,9.61,10.34,9.13,9.89,2919,9.767,473
2024-08-19,9.96,10.3,9.8,10.11,2725,10.007,431
2024-08-20,10.16,11.0,10.02,10.26,2273,10.514,393
2024-08-21,10.2,10.45,9.85,10.23,2281,10.145,422
2024-08-22,10.38,10.9,9.81,10.39,2264,10.434,631
2024-08-23,10.34,10.43,10.11,10.3,2281,10.308,326
2024-08-26,10.11,10.4,9.66,9.89,1928,9.851,251
2024-08-27,9.86,10.35,9.59,10.16,2178,10.091,340
2024-08-28,10.39,10.39,10.0,10.18,2146,10.188,254
2024-08-29,10.1,10.41,10.1,10.13,1860,10.277,314
2024-08-30,10.6,10.6,10.26,10.41,2401,10.349,262
2024-09-03,10.32,10.49,9.6,9.61,1949,10.054,294
2024-09-04,9.56,10.24,9.55,10.24,2343,9.94,284
2024-09-05,10.2,10.39,9.63,9.68,2000,9.902,271
2024-09-06,9.67,10.09,9.67,10.02,2155,9.85,313
2024-09-09,9.97,10.19,9.89,9.91,2100,9.996,174
2024-09-10,10.04,10.18,9.85,9.99,2086,9.93,235
2024-09-11,10.03,11.06,10.0,10.9,2209,10.427,371
2024-09-12,11.0,11.0,10.14,10.38,1656,10.553,321
2024-09-13,10.29,10.33,9.7,9.82,1717,10.097,371
2024-09-16,9.37,9.92,9.0,9.0,1962,9.472,514
2024-09-17,9.5,9.79,8.7,9.33,2020,9.243,335
2024-09-18,9.49,9.58,8.75,9.26,2137,9.232,528
2024-09-19,9.68,9.74,9.4,9.56,2491,9.567,365
2024-09-20,9.74,9.8,9.29,9.55,1916,9.594,266
2024-09-23,9.48,9.65,9.32,9.4,1948,9.518,202
2024-09-24,9.32,10.0,9.07,9.92,3286,9.559,466
2024-09-25,10.0,10.15,9.85,9.85,3121,9.992,264
2024-09-26,9.79,10.9,9.79,10.72,3874,10.584,759
2024-09-27,10.72,11.03,10.21,10.43,3984,10.517,675
2024-09-30,10.41,11.74,10.32,11.02,3396,11.177,697
2024-10-01,11.5,11.5,10.55,11.25,2363,11.104,338
2024-10-02,11.49,11.63,11.1,11.41,2565,11.331,432
2024-10-03,11.25,11.67,11.06,11.19,2331,11.284,416
2024-10-04,11.12,11.29,10.3,10.48,2422,10.767,457
2024-10-07,10.39,10.78,10.28,10.56,2625,10.521,465
2024-10-08,10.86,11.0,9.83,9.94,2066,10.073,430
2024-10-09,9.85,10.08,9.5,10.07,1979,9.883,318
2024-10-10,10.26,10.67,9.96,10.16,4036,10.373,621
2024-10-11,10.16,10.66,9.76,9.91,3052,10.156,590
2024-10-14,9.83,9.95,9.12,9.29,2662,9.469,392
2024-10-15,9.22,9.86,9.2,9.66,4052,9.553,536
2024-10-16,9.66,9.9,9.3,9.56,3918,9.578,628
