date,open,high,low,close,volume,average,barCount
2025-02-19 07:00:00,5.0,5.0,5.0,5.0,5,5.0,2
2025-02-19 08:00:00,5.0,5.15,5.0,5.12,50,5.126,35
2025-02-19 09:00:00,5.0,5.25,5.0,5.07,1050,5.182,346
2025-02-19 10:00:00,5.0,5.21,5.0,5.17,305,5.134,152
2025-02-19 11:00:00,5.15,5.2,5.15,5.18,95,5.173,77
2025-02-19 12:00:00,5.17,5.2,5.08,5.08,304,5.178,150
2025-02-19 13:00:00,5.09,5.14,5.03,5.11,74,5.095,44
2025-02-19 14:00:00,5.08,5.11,5.06,5.07,155,5.098,65
2025-02-19 15:00:00,5.07,5.19,5.04,5.08,1052,5.097,386
2025-02-19 16:00:00,5.1,5.1,5.03,5.1,145,5.091,5
2025-02-19 17:00:00,5.1,5.1,5.1,5.1,170,5.1,2
2025-02-19 18:00:00,5.1,5.1,5.1,5.1,0,5.1,0
2025-02-19 19:00:00,5.1,5.1,5.1,5.1,0,5.1,0
2025-02-20 08:00:00,5.1,5.1,5.1,5.1,2,5.1,1
2025-02-20 09:00:00,5.17,5.22,5.13,5.2,1419,5.183,351
2025-02-20 10:00:00,5.19,5.24,5.19,5.23,614,5.216,204
2025-02-20 11:00:00,5.23,5.23,5.2,5.23,166,5.219,94
2025-02-20 12:00:00,5.23,5.23,5.2,5.2,148,5.206,93
2025-02-20 13:00:00,5.2,5.21,5.15,5.19,86,5.191,66
2025-02-20 14:00:00,5.19,5.21,5.17,5.2,58,5.193,39
2025-02-20 15:00:00,5.2,5.26,5.17,5.25,494,5.228,272
2025-02-20 16:00:00,5.27,5.27,5.1,5.1,454,5.27,3
2025-02-20 17:00:00,5.1,5.1,5.1,5.1,0,5.1,0
2025-02-20 18:00:00,5.1,5.1,5.1,5.1,0,5.1,0
2025-02-20 19:00:00,5.1,5.1,5.1,5.1,0,5.1,0
2025-02-21 07:00:00,5.25,5.25,5.25,5.25,2,5.25,2
2025-02-21 08:00:00,5.25,5.25,5.25,5.25,0,5.25,0
2025-02-21 09:00:00,5.3,5.35,5.25,5.27,99,5.296,32
2025-02-21 10:00:00,5.26,5.27,5.1,5.11,259,5.175,127
2025-02-21 11:00:00,5.12,5.19,5.1,5.15,172,5.144,97
2025-02-21 12:00:00,5.15,5.17,5.05,5.07,234,5.124,107
2025-02-21 13:00:00,5.07,5.11,5.03,5.09,329,5.057,189
2025-02-21 14:00:00,5.07,5.07,4.9,5.04,422,4.997,211
2025-02-21 15:00:00,4.97,5.03,4.86,4.89,826,4.953,322
2025-02-21 16:00:00,4.87,4.87,4.87,4.87,243,4.87,1
2025-02-21 17:00:00,4.87,4.87,4.87,4.87,0,4.87,0
2025-02-21 18:00:00,4.87,4.87,4.87,4.87,0,4.87,0
2025-02-21 19:00:00,4.87,4.87,4.87,4.87,0,4.87,0
2025-02-24 09:00:00,4.93,4.99,4.58,4.65,710,4.756,329
2025-02-24 10:00:00,4.66,4.83,4.61,4.68,1035,4.756,510
2025-02-24 11:00:00,4.69,4.73,4.61,4.71,290,4.692,153
2025-02-24 12:00:00,4.71,4.84,4.71,4.75,332,4.774,176
2025-02-24 13:00:00,4.75,4.85,4.7,4.76,566,4.808,287
2025-02-24 14:00:00,4.75,4.8,4.65,4.71,463,4.757,258
2025-02-24 15:00:00,4.71,4.84,4.6,4.73,1343,4.726,549
2025-02-24 16:00:00,4.73,4.88,4.7,4.7,204,4.733,5
2025-02-24 17:00:00,4.57,4.57,4.57,4.57,11,4.57,3
2025-02-24 18:00:00,4.57,4.57,4.57,4.57,0,4.57,0
2025-02-24 19:00:00,4.88,4.88,4.88,4.88,1,4.88,1
2025-02-25 04:00:00,4.72,4.72,4.72,4.72,1,4.72,1
2025-02-25 05:00:00,4.72,4.72,4.72,4.72,0,4.72,0
2025-02-25 06:00:00,4.72,4.72,4.72,4.72,1,4.72,1
2025-02-25 07:00:00,4.68,4.68,4.68,4.68,1,4.68,1
2025-02-25 08:00:00,4.9,5.15,4.9,5.15,7,4.941,3
2025-02-25 09:00:00,4.83,4.89,4.69,4.69,771,4.726,135
2025-02-25 10:00:00,4.7,4.86,4.69,4.83,1188,4.788,199
2025-02-25 11:00:00,4.83,4.83,4.81,4.82,117,4.818,54
2025-02-25 12:00:00,4.81,4.81,4.8,4.8,162,4.803,99
2025-02-25 13:00:00,4.81,4.81,4.75,4.77,332,4.784,126
2025-02-25 14:00:00,4.79,4.79,4.77,4.78,44,4.778,13
2025-02-25 15:00:00,4.78,4.82,4.75,4.75,269,4.793,125
2025-02-25 16:00:00,4.75,4.75,4.75,4.75,79,4.75,1
2025-02-25 17:00:00,4.75,4.75,4.75,4.75,0,4.75,0
2025-02-25 18:00:00,4.75,4.75,4.75,4.75,0,4.75,0
2025-02-25 19:00:00,4.75,4.75,4.75,4.75,0,4.75,0
2025-02-26 09:00:00,4.63,4.9,4.63,4.88,99,4.803,14
2025-02-26 10:00:00,4.83,5.0,4.78,4.79,1167,4.822,311
2025-02-26 11:00:00,4.79,4.8,4.75,4.78,154,4.781,98
2025-02-26 12:00:00,4.76,4.79,4.76,4.78,53,4.773,33
2025-02-26 13:00:00,4.79,4.79,4.72,4.72,67,4.763,50
2025-02-26 14:00:00,4.72,4.77,4.67,4.77,252,4.702,92
2025-02-26 15:00:00,4.77,4.86,4.77,4.81,462,4.821,129
2025-02-26 16:00:00,4.8,4.8,4.8,4.8,62,4.8,1
2025-02-26 17:00:00,4.8,4.8,4.8,4.8,0,4.8,0
2025-02-26 18:00:00,4.8,4.8,4.8,4.8,0,4.8,0
2025-02-26 19:00:00,4.8,4.8,4.8,4.8,0,4.8,0
2025-02-27 09:00:00,4.82,4.86,4.64,4.64,190,4.714,78
2025-02-27 10:00:00,4.64,4.9,4.64,4.75,351,4.779,195
2025-02-27 11:00:00,4.74,4.84,4.74,4.84,503,4.776,150
2025-02-27 12:00:00,4.85,4.88,4.83,4.84,64,4.851,34
2025-02-27 13:00:00,4.84,4.91,4.84,4.86,63,4.872,19
2025-02-27 14:00:00,4.89,4.9,4.86,4.88,26,4.871,12
2025-02-27 15:00:00,4.9,4.9,4.76,4.82,618,4.818,252
2025-02-27 16:00:00,4.81,4.81,4.81,4.81,52,4.81,2
2025-02-27 17:00:00,4.81,4.81,4.81,4.81,0,4.81,0
2025-02-27 18:00:00,4.81,4.81,4.81,4.81,0,4.81,0
2025-02-27 19:00:00,4.81,4.81,4.81,4.81,0,4.81,0
2025-02-28 08:00:00,4.81,5.06,4.81,5.06,9,4.973,5
2025-02-28 09:00:00,4.76,4.83,4.7,4.83,51,4.768,26
2025-02-28 10:00:00,4.83,4.86,4.76,4.83,515,4.783,171
2025-02-28 11:00:00,4.85,4.85,4.83,4.85,67,4.843,26
2025-02-28 12:00:00,4.84,4.96,4.83,4.92,945,4.901,385
2025-02-28 13:00:00,4.92,4.94,4.8,4.8,915,4.916,155
2025-02-28 14:00:00,4.78,4.81,4.77,4.8,161,4.784,88
2025-02-28 15:00:00,4.82,4.86,4.77,4.83,394,4.836,90
2025-02-28 16:00:00,4.82,4.82,4.82,4.82,140,4.82,3
2025-02-28 17:00:00,4.82,4.82,4.82,4.82,0,4.82,0
2025-02-28 18:00:00,4.82,4.82,4.82,4.82,0,4.82,0
2025-02-28 19:00:00,4.82,4.82,4.82,4.82,0,4.82,0
2025-03-03 09:00:00,5.0,5.06,4.79,4.99,281,4.956,170
2025-03-03 10:00:00,4.97,5.02,4.94,4.96,306,4.996,179
2025-03-03 11:00:00,4.97,4.99,4.96,4.99,63,4.975,44
2025-03-03 12:00:00,5.0,5.02,4.97,5.0,151,5.0,95
2025-03-03 13:00:00,5.0,5.0,4.9,4.92,133,4.933,86
2025-03-03 14:00:00,4.92,4.98,4.92,4.93,113,4.948,71
2025-03-03 15:00:00,4.92,4.93,4.72,4.85,1442,4.802,817
2025-03-03 16:00:00,4.83,4.83,4.83,4.83,181,4.83,4
2025-03-03 17:00:00,4.83,4.83,4.83,4.83,0,4.83,0
2025-03-03 18:00:00,4.83,4.83,4.83,4.83,0,4.83,0
2025-03-03 19:00:00,4.83,4.83,4.83,4.83,0,4.83,0
2025-03-04 08:00:00,4.83,4.83,4.83,4.83,1,4.83,1
2025-03-04 09:00:00,4.8,4.83,4.72,4.75,75,4.78,48
2025-03-04 10:00:00,4.76,4.87,4.76,4.79,128,4.817,87
2025-03-04 11:00:00,4.78,4.84,4.77,4.83,108,4.802,75
2025-03-04 12:00:00,4.83,4.95,4.83,4.89,231,4.909,153
2025-03-04 13:00:00,4.92,4.93,4.9,4.92,14,4.915,14
2025-03-04 14:00:00,4.91,4.95,4.88,4.91,202,4.911,99
2025-03-04 15:00:00,4.89,4.92,4.83,4.86,287,4.868,171
2025-03-04 16:00:00,4.84,4.84,4.84,4.84,212,4.84,1
2025-03-04 17:00:00,4.84,4.84,4.84,4.84,0,4.84,0
2025-03-04 18:00:00,4.84,4.84,4.84,4.84,0,4.84,0
2025-03-04 19:00:00,4.84,4.84,4.84,4.84,0,4.84,0
2025-03-05 09:00:00,4.87,4.98,4.87,4.98,38,4.912,10
2025-03-05 10:00:00,4.96,5.0,4.89,4.96,334,4.968,183
2025-03-05 11:00:00,4.96,4.98,4.93,4.98,159,4.953,83
2025-03-05 12:00:00,4.98,5.0,4.95,4.98,539,4.976,120
2025-03-05 13:00:00,4.98,5.03,4.96,5.0,109,4.995,83
2025-03-05 14:00:00,5.0,5.12,4.99,5.12,623,5.018,219
2025-03-05 15:00:00,5.1,5.17,5.04,5.08,477,5.102,216
2025-03-05 16:00:00,5.05,5.05,5.05,5.05,413,5.05,2
2025-03-05 17:00:00,5.05,5.05,5.05,5.05,0,5.05,0
2025-03-05 18:00:00,5.05,5.05,5.05,5.05,0,5.05,0
2025-03-05 19:00:00,5.05,5.05,5.05,5.05,0,5.05,0
2025-03-06 09:00:00,5.0,5.11,5.0,5.08,92,5.067,59
2025-03-06 10:00:00,5.09,5.11,4.97,4.97,706,5.011,339
2025-03-06 11:00:00,4.98,5.05,4.91,4.92,384,4.993,146
2025-03-06 12:00:00,4.92,4.94,4.86,4.89,307,4.883,89
2025-03-06 13:00:00,4.9,4.95,4.89,4.92,119,4.915,86
2025-03-06 14:00:00,4.92,5.02,4.92,4.96,113,4.975,88
2025-03-06 15:00:00,4.96,5.01,4.93,4.99,494,4.969,245
2025-03-06 16:00:00,4.99,4.99,4.99,4.99,65,4.99,1
2025-03-06 17:00:00,5.0,5.0,5.0,5.0,1,5.0,1
2025-03-06 18:00:00,5.0,5.0,5.0,5.0,0,5.0,0
2025-03-06 19:00:00,5.0,5.0,5.0,5.0,0,5.0,0
2025-03-07 09:00:00,4.85,5.08,4.85,5.02,395,5.002,238
2025-03-07 10:00:00,5.0,5.02,4.91,5.02,598,4.985,451
2025-03-07 11:00:00,5.02,5.02,4.97,4.98,387,4.992,169
2025-03-07 12:00:00,4.99,5.05,4.98,4.98,482,5.019,137
2025-03-07 13:00:00,4.98,5.06,4.97,5.02,342,5.016,93
2025-03-07 14:00:00,5.02,5.03,4.99,5.02,260,5.009,107
2025-03-07 15:00:00,5.01,5.05,4.97,5.03,863,4.996,420
2025-03-07 16:00:00,5.05,5.05,5.05,5.05,86,5.05,3
2025-03-07 17:00:00,5.05,5.05,5.05,5.05,0,5.05,0
2025-03-07 18:00:00,5.05,5.05,5.05,5.05,0,5.05,0
2025-03-07 19:00:00,5.05,5.05,5.05,5.05,0,5.05,0
2025-03-10 07:00:00,5.28,5.28,5.28,5.28,1,5.28,1
2025-03-10 08:00:00,5.2,5.2,5.0,5.01,127,5.016,18
2025-03-10 09:00:00,5.02,5.02,4.6,4.6,394,4.92,186
