date,open,high,low,close,volume,average,barCount
2025-01-28,21.05,21.2,19.1,19.75,107141,20.011,34670
2025-01-29,19.75,20.69,19.68,19.96,28731,20.221,12019
2025-01-30,20.75,21.82,20.52,21.79,29305,21.214,13042
2025-01-31,22.0,22.03,21.05,21.5,15027,21.552,6494
2025-02-03,21.64,22.01,20.85,21.82,13785,21.645,5906
2025-02-04,21.76,21.82,21.2,21.48,5310,21.484,3291
2025-02-05,21.5,21.55,20.67,21.13,7538,21.128,4520
2025-02-06,20.69,20.98,20.1,20.7,10687,20.704,5538
2025-02-07,20.7,21.25,20.6,21.12,4176,20.937,2905
2025-02-10,21.33,21.5,21.1,21.26,3262,21.261,2217
2025-02-11,21.02,21.31,20.63,21.26,3906,21.103,2540
2025-02-12,20.87,21.51,20.81,21.5,2274,21.317,1540
2025-02-13,21.55,21.55,21.13,21.18,1854,21.264,1177
2025-02-14,21.06,21.4,20.85,21.23,1084,21.14,599
2025-02-18,21.25,21.55,21.18,21.44,2731,21.329,875
2025-02-19,21.4,21.53,21.2,21.47,4303,21.362,1927
2025-02-20,21.62,21.73,21.0,21.3,3515,21.347,1684
2025-02-21,21.1,21.35,20.74,21.1,2161,21.006,1363
2025-02-24,21.39,21.7,21.11,21.34,5738,21.405,2990
2025-02-25,21.26,21.68,20.9,21.6,3356,21.459,2008
2025-02-26,21.73,21.77,20.31,20.6,11047,20.777,4976
2025-02-27,20.72,21.5,20.38,21.01,4076,20.918,1790
2025-02-28,21.21,21.37,20.79,20.84,4241,21.03,2670
2025-03-03,20.62,21.13,20.4,20.87,3254,20.762,1894
2025-03-04,20.61,20.7,19.72,19.77,7471,19.98,4313
2025-03-05,19.75,20.41,19.52,20.33,4306,20.02,2000
2025-03-06,20.33,20.44,19.65,19.77,1550,19.957,978
2025-03-07,19.76,21.05,19.24,19.3,4354,19.48,2378
2025-03-10,19.42,19.92,18.43,18.61,4738,18.789,2635
2025-03-11,18.45,19.41,18.45,19.26,6833,18.924,3243
2025-03-12,19.41,19.67,19.21,19.33,2701,19.391,2027
2025-03-13,19.27,19.33,18.75,18.98,2974,18.965,1742
2025-03-14,19.11,19.35,18.9,19.02,2135,19.071,1519
2025-03-17,19.07,19.85,19.02,19.54,3173,19.583,1790
2025-03-18,19.4,20.04,19.4,20.01,2591,19.798,1908
2025-03-19,19.99,20.09,19.66,19.78,1381,19.828,1023
2025-03-20,19.61,19.88,19.45,19.65,3235,19.619,2042
2025-03-21,19.65,20.03,19.01,19.05,3656,19.607,1822
2025-03-24,19.25,19.93,19.25,19.6,7247,19.758,3924
2025-03-25,19.61,19.94,18.8,19.14,7560,19.129,4020
2025-03-26,19.28,20.05,19.11,20.0,4545,19.691,2539
