date,open,high,low,close,volume,average,barCount
2024-01-02,3.11,3.16,3.05,3.06,1048,3.098,749
2024-01-03,3.09,3.09,2.89,2.91,2888,2.978,1578
2024-01-04,2.99,2.99,2.79,2.83,1811,2.856,743
2024-01-05,2.8,2.83,2.71,2.73,3363,2.752,1816
2024-01-08,2.73,2.8,2.67,2.8,1946,2.749,1078
2024-01-09,2.76,2.76,2.68,2.68,2302,2.711,1241
2024-01-10,2.67,2.76,2.63,2.76,3150,2.709,1600
2024-01-11,2.71,2.76,2.69,2.75,2726,2.729,1735
2024-01-12,2.8,2.87,2.72,2.74,2920,2.775,1639
2024-01-16,2.72,2.89,2.71,2.87,5362,2.816,2504
2024-01-17,2.8,2.95,2.8,2.94,3368,2.882,1833
2024-01-18,2.94,3.02,2.9,2.99,5212,2.933,2622
2024-01-19,2.96,3.02,2.89,3.02,3891,2.963,1733
2024-01-22,3.02,3.13,3.0,3.12,2356,3.078,983
2024-01-23,3.19,3.19,3.1,3.14,1947,3.15,955
2024-01-24,3.19,3.19,3.04,3.11,1819,3.076,688
2024-01-25,3.14,3.31,3.13,3.19,2732,3.215,1501
2024-01-26,3.21,3.28,3.13,3.14,1088,3.159,492
2024-01-29,3.13,3.27,3.13,3.26,1405,3.206,545
2024-01-30,3.27,3.27,3.2,3.21,1009,3.221,531
2024-01-31,3.2,3.27,3.12,3.13,3249,3.195,1560
2024-02-01,3.17,3.23,3.13,3.21,3095,3.197,1275
2024-02-02,3.16,3.22,3.12,3.15,1852,3.159,904
2024-02-05,3.12,3.13,3.04,3.06,2487,3.066,1020
2024-02-06,3.05,3.15,3.03,3.13,979,3.11,664
2024-02-07,3.11,3.15,3.07,3.11,2712,3.098,979
2024-02-08,3.12,3.27,3.07,3.27,5655,3.168,950
2024-02-09,3.25,3.37,3.23,3.31,1467,3.309,850
2024-02-12,3.36,3.41,3.32,3.38,3069,3.37,1205
2024-02-13,3.22,3.26,3.12,3.15,3384,3.167,1942
2024-02-14,3.2,3.26,3.18,3.25,1389,3.222,661
2024-02-15,3.27,3.32,3.22,3.32,1190,3.289,777
2024-02-16,3.42,3.42,3.3,3.33,4434,3.371,1040
2024-02-20,3.26,3.28,3.19,3.2,1142,3.215,620
2024-02-21,3.2,3.24,3.2,3.21,906,3.21,541
2024-02-22,3.2,3.23,3.16,3.19,1155,3.186,639
2024-02-23,3.2,3.23,3.18,3.2,902,3.202,607
2024-02-26,3.2,3.23,3.16,3.22,1611,3.193,844
2024-02-27,3.27,3.3,3.23,3.24,441,3.257,284
2024-02-28,3.2,3.24,3.19,3.22,768,3.216,356
2024-02-29,3.26,3.32,3.24,3.3,998,3.29,610
2024-03-01,3.29,3.31,3.23,3.26,1391,3.273,871
2024-03-04,3.26,3.28,3.19,3.2,825,3.213,382
2024-03-05,3.18,3.24,3.11,3.12,2316,3.167,1365
2024-03-06,3.44,3.55,3.35,3.51,5556,3.464,2321
2024-03-07,3.59,3.78,3.52,3.59,5302,3.644,2044
2024-03-08,3.57,3.64,3.47,3.5,2973,3.529,1393
2024-03-11,3.45,3.53,3.43,3.48,2277,3.49,1247
2024-03-12,3.46,3.62,3.45,3.57,1935,3.56,1184
2024-03-13,3.52,3.61,3.42,3.49,2900,3.473,1504
2024-03-14,3.43,3.46,3.35,3.39,1529,3.402,782
2024-03-15,3.38,3.45,3.38,3.43,4036,3.399,864
2024-03-18,3.4,3.45,3.38,3.41,1734,3.409,687
2024-03-19,3.4,3.48,3.37,3.48,1030,3.432,541
2024-03-20,3.44,3.53,3.36,3.51,1861,3.445,928
2024-03-21,3.5,3.62,3.5,3.6,1076,3.588,709
2024-03-22,3.59,3.6,3.41,3.41,1549,3.475,734
2024-03-25,3.4,3.48,3.4,3.4,627,3.421,247
2024-03-26,3.43,3.43,3.25,3.31,2167,3.31,1246
2024-03-27,3.33,3.4,3.27,3.38,2989,3.331,1217
2024-03-28,3.38,3.47,3.36,3.45,1081,3.433,585
2024-04-01,3.44,3.44,3.33,3.33,723,3.386,409
2024-04-02,3.29,3.29,3.2,3.26,3780,3.237,2086
2024-04-03,3.23,3.33,3.21,3.29,1550,3.289,897
2024-04-04,3.35,3.36,3.25,3.27,1526,3.285,799
2024-04-05,3.28,3.28,3.23,3.25,1136,3.253,597
2024-04-08,3.25,3.26,3.2,3.21,1948,3.219,902
2024-04-09,3.23,3.3,3.2,3.29,1931,3.258,1011
2024-04-10,3.24,3.29,3.18,3.23,2755,3.226,1602
2024-04-11,3.23,3.38,3.23,3.37,1104,3.315,593
2024-04-12,3.33,3.38,3.16,3.2,2995,3.216,1570
2024-04-15,3.2,3.26,3.15,3.16,1918,3.177,1185
2024-04-16,3.15,3.16,3.09,3.14,1503,3.138,905
2024-04-17,3.14,3.17,3.06,3.08,2646,3.089,1429
2024-04-18,3.07,3.11,3.03,3.05,3480,3.057,1686
2024-04-19,3.03,3.13,3.03,3.1,3192,3.087,1741
2024-04-22,3.12,3.14,3.04,3.05,2422,3.085,1103
2024-04-23,3.05,3.11,3.04,3.05,3045,3.055,1347
2024-04-24,3.05,3.07,2.97,3.0,2097,3.0,1121
2024-04-25,2.97,3.0,2.9,2.99,2052,2.955,1032
2024-04-26,3.0,3.01,2.97,3.01,1849,3.001,1052
2024-04-29,3.03,3.15,3.01,3.15,2040,3.09,678
2024-04-30,3.11,3.2,3.1,3.16,1900,3.163,1073
2024-05-01,3.17,3.34,3.12,3.26,9646,3.225,1998
2024-05-02,3.32,3.5,3.28,3.46,1279,3.446,544
2024-05-03,3.51,3.56,3.43,3.49,2134,3.484,809
