date,open,high,low,close,volume,average,barCount
2025-02-19 09:00:00,8.36,8.38,8.29,8.31,412,8.318,202
2025-02-19 10:00:00,8.3,8.33,8.21,8.32,762,8.26,458
2025-02-19 11:00:00,8.32,8.41,8.31,8.35,772,8.348,414
2025-02-19 12:00:00,8.36,8.39,8.31,8.32,404,8.343,286
2025-02-19 13:00:00,8.32,8.34,8.26,8.28,2115,8.303,723
2025-02-19 14:00:00,8.29,8.34,8.28,8.32,2349,8.312,500
2025-02-19 15:00:00,8.31,8.41,8.29,8.35,2426,8.344,1219
2025-02-19 16:00:00,8.35,8.35,8.35,8.35,1292,8.35,3
2025-02-19 17:00:00,8.35,8.35,8.35,8.35,0,8.35,0
2025-02-19 18:00:00,8.35,8.35,8.35,8.35,0,8.35,0
2025-02-19 19:00:00,8.35,8.35,8.35,8.35,0,8.35,0
2025-02-20 08:00:00,8.15,8.16,8.15,8.15,4,8.15,1
2025-02-20 09:00:00,8.35,8.35,8.25,8.26,373,8.299,163
2025-02-20 10:00:00,8.25,8.33,8.25,8.28,523,8.274,414
2025-02-20 11:00:00,8.28,8.29,8.24,8.27,1124,8.255,635
2025-02-20 12:00:00,8.27,8.3,8.25,8.27,939,8.271,438
2025-02-20 13:00:00,8.28,8.29,8.25,8.27,539,8.263,308
2025-02-20 14:00:00,8.28,8.29,8.25,8.28,1259,8.271,367
2025-02-20 15:00:00,8.29,8.35,8.26,8.3,2834,8.299,1272
2025-02-20 16:00:00,8.29,8.29,8.29,8.29,677,8.29,7
2025-02-20 17:00:00,8.29,8.29,8.29,8.29,0,8.29,0
2025-02-20 18:00:00,8.29,8.29,8.29,8.29,0,8.29,0
2025-02-20 19:00:00,8.29,8.29,8.29,8.29,0,8.29,0
2025-02-21 09:00:00,8.34,8.38,8.3,8.32,756,8.351,232
2025-02-21 10:00:00,8.31,8.34,8.25,8.27,633,8.281,416
2025-02-21 11:00:00,8.27,8.31,8.25,8.25,1104,8.269,624
2025-02-21 12:00:00,8.25,8.27,8.23,8.25,2237,8.252,754
2025-02-21 13:00:00,8.25,8.26,8.01,8.03,3292,8.158,1385
2025-02-21 14:00:00,8.03,8.09,7.94,7.99,1413,8.028,500
