date,open,high,low,close,volume,average,barCount
2025-02-18 07:00:00,54.26,54.26,54.26,54.26,1,54.26,1
2025-02-18 08:00:00,53.73,53.73,53.71,53.72,3,53.719,3
2025-02-18 09:00:00,54.4,55.11,54.01,54.83,387,54.558,212
2025-02-18 10:00:00,54.83,56.15,54.8,55.64,2222,55.502,1544
2025-02-18 11:00:00,55.57,55.71,55.2,55.34,930,55.458,709
2025-02-18 12:00:00,55.32,55.44,54.97,55.07,647,55.237,434
2025-02-18 13:00:00,55.1,55.34,54.99,55.23,597,55.194,441
2025-02-18 14:00:00,55.24,55.52,55.24,55.37,864,55.369,664
2025-02-18 15:00:00,55.32,56.0,55.28,55.97,3192,55.635,2102
2025-02-18 16:00:00,55.96,56.2,55.95,56.0,1796,56.0,14
2025-02-18 17:00:00,55.85,55.85,55.85,55.85,7,55.85,1
2025-02-18 18:00:00,55.85,55.86,55.85,55.85,20,55.85,1
2025-02-18 19:00:00,55.85,55.86,55.85,55.85,0,55.85,0
2025-02-19 06:00:00,56.26,56.26,56.23,56.23,9,56.253,5
2025-02-19 07:00:00,56.23,56.23,56.23,56.23,0,56.23,0
2025-02-19 08:00:00,56.0,56.0,56.0,56.0,1,56.0,1
2025-02-19 09:00:00,54.93,55.36,54.5,54.95,344,54.889,206
2025-02-19 10:00:00,54.94,55.45,54.57,54.68,652,54.925,445
2025-02-19 11:00:00,54.66,54.93,54.26,54.42,593,54.565,439
2025-02-19 12:00:00,54.38,54.6,54.29,54.39,358,54.482,297
2025-02-19 13:00:00,54.39,54.54,54.31,54.48,391,54.422,309
2025-02-19 14:00:00,54.48,55.35,54.42,55.28,682,54.968,466
2025-02-19 15:00:00,55.3,56.01,55.3,55.74,2824,55.75,1934
2025-02-19 16:00:00,55.72,55.72,55.72,55.72,2286,55.72,4
2025-02-19 17:00:00,55.72,55.72,55.72,55.72,0,55.72,0
2025-02-19 18:00:00,55.72,55.72,55.72,55.72,0,55.72,0
2025-02-19 19:00:00,55.72,55.72,55.72,55.72,0,55.72,0
2025-02-20 07:00:00,55.8,55.8,55.8,55.8,1,55.8,1
2025-02-20 08:00:00,55.8,55.8,55.8,55.8,0,55.8,0
2025-02-20 09:00:00,55.17,55.81,54.78,54.89,352,55.218,194
2025-02-20 10:00:00,54.9,55.21,54.06,54.11,850,54.504,662
2025-02-20 11:00:00,54.05,54.05,53.56,53.71,715,53.777,557
2025-02-20 12:00:00,53.7,53.88,53.38,53.38,735,53.623,506
2025-02-20 13:00:00,53.36,53.36,52.86,53.06,768,53.134,536
2025-02-20 14:00:00,53.06,53.39,53.03,53.24,585,53.217,473
2025-02-20 15:00:00,53.26,54.08,53.0,54.07,2760,53.692,2049
2025-02-20 16:00:00,54.09,56.0,54.09,56.0,1414,54.091,6
2025-02-20 17:00:00,56.0,56.0,56.0,56.0,0,56.0,0
2025-02-20 18:00:00,56.0,56.0,56.0,56.0,0,56.0,0
2025-02-20 19:00:00,56.0,56.0,56.0,56.0,0,56.0,0
2025-02-21 07:00:00,54.09,54.09,54.09,54.09,3,54.09,3
2025-02-21 08:00:00,54.09,54.09,54.09,54.09,0,54.09,0
2025-02-21 09:00:00,54.19,54.81,53.77,53.97,569,54.328,237
2025-02-21 10:00:00,53.9,53.96,53.03,53.13,397,53.398,297
2025-02-21 11:00:00,53.19,53.43,52.91,53.11,886,53.159,624
2025-02-21 12:00:00,53.14,53.19,52.69,52.7,391,52.966,327
2025-02-21 13:00:00,52.7,52.7,52.26,52.5,725,52.442,497
2025-02-21 14:00:00,52.49,52.7,52.36,52.49,639,52.527,459
2025-02-21 15:00:00,52.48,52.85,52.38,52.75,2079,52.663,1498
2025-02-21 16:00:00,52.76,53.28,52.74,52.74,1606,52.75,11
2025-02-21 17:00:00,52.74,52.74,52.74,52.74,0,52.74,0
2025-02-21 18:00:00,52.74,52.74,52.74,52.74,0,52.74,0
2025-02-21 19:00:00,52.74,52.74,52.74,52.74,0,52.74,0
2025-02-24 08:00:00,53.01,53.01,53.01,53.01,1,53.01,1
2025-02-24 09:00:00,53.06,53.06,50.81,51.57,521,51.769,308
2025-02-24 10:00:00,51.58,51.79,50.54,50.77,1008,51.175,793
2025-02-24 11:00:00,50.74,51.42,50.74,50.96,584,51.129,429
2025-02-24 12:00:00,50.96,51.25,50.79,50.86,678,51.002,522
2025-02-24 13:00:00,50.86,51.05,50.38,50.42,849,50.674,630
2025-02-24 14:00:00,50.39,51.0,50.39,50.85,1025,50.706,795
2025-02-24 15:00:00,50.86,51.17,50.72,50.95,3515,50.937,2451
2025-02-24 16:00:00,50.96,50.96,50.87,50.87,2088,50.96,9
2025-02-24 17:00:00,50.87,50.87,50.87,50.87,0,50.87,0
2025-02-24 18:00:00,50.75,50.75,50.75,50.75,9,50.75,1
2025-02-24 19:00:00,50.75,50.75,50.75,50.75,0,50.75,0
2025-02-25 09:00:00,51.29,52.31,50.97,52.31,598,51.836,395
2025-02-25 10:00:00,52.22,52.68,51.86,52.05,922,52.165,800
2025-02-25 11:00:00,52.05,52.11,51.38,51.85,818,51.728,602
2025-02-25 12:00:00,51.81,52.26,51.58,52.21,695,51.91,477
2025-02-25 13:00:00,52.26,52.31,51.87,51.96,794,52.049,560
2025-02-25 14:00:00,51.97,52.04,51.63,51.9,692,51.828,500
2025-02-25 15:00:00,51.94,52.08,51.38,51.53,1887,51.614,1381
2025-02-25 16:00:00,51.5,52.0,51.5,52.0,2389,51.501,3
2025-02-25 17:00:00,52.0,52.0,52.0,52.0,0,52.0,0
2025-02-25 18:00:00,52.0,52.0,52.0,52.0,0,52.0,0
2025-02-25 19:00:00,51.52,51.53,51.52,51.52,12,51.521,1
2025-02-26 04:00:00,51.6,51.6,51.6,51.6,1,51.6,1
2025-02-26 05:00:00,52.1,52.1,52.1,52.1,1,52.1,1
2025-02-26 06:00:00,52.1,52.1,52.1,52.1,0,52.1,0
2025-02-26 07:00:00,52.1,52.1,52.1,52.1,0,52.1,0
2025-02-26 08:00:00,52.1,52.1,52.1,52.1,0,52.1,0
2025-02-26 09:00:00,51.98,52.84,51.98,52.58,470,52.528,310
