date,open,high,low,close,volume,average,barCount
2023-12-20,8.17,8.3,7.72,7.75,1607,8.065,722
2023-12-21,8.03,8.89,7.92,8.88,5712,8.42,2289
2023-12-22,8.98,9.47,8.92,9.44,6286,9.275,2739
2023-12-26,9.5,10.0,9.5,9.84,2800,9.725,1170
2023-12-27,9.98,10.0,9.59,9.7,2083,9.754,815
2023-12-28,9.68,10.04,9.58,9.77,1894,9.833,944
2023-12-29,9.83,9.96,9.5,9.62,2063,9.657,906
2024-01-02,9.5,9.5,8.89,8.95,2322,9.112,1195
2024-01-03,8.64,8.85,8.42,8.7,2043,8.685,930
2024-01-04,8.68,8.72,8.43,8.49,1611,8.539,716
2024-01-05,8.43,8.69,8.36,8.55,1252,8.558,660
2024-01-08,8.65,9.32,8.65,9.06,1919,9.096,864
2024-01-09,8.89,9.13,8.79,8.91,647,8.967,351
2024-01-10,9.09,9.16,8.82,8.87,1201,8.932,463
2024-01-11,8.86,8.89,8.33,8.85,2138,8.635,940
2024-01-12,9.0,9.2,8.58,8.66,965,8.854,487
2024-01-16,8.65,8.69,8.47,8.65,1264,8.592,582
2024-01-17,8.5,8.55,8.28,8.51,1079,8.393,508
2024-01-18,8.76,8.8,8.53,8.68,1136,8.683,632
2024-01-19,8.84,8.86,8.42,8.82,1099,8.673,485
2024-01-22,8.99,9.49,8.97,9.36,2654,9.258,969
2024-01-23,9.5,9.76,9.33,9.69,2249,9.596,827
2024-01-24,9.95,10.07,9.62,9.8,4607,9.897,1735
2024-01-25,10.02,10.03,9.15,9.18,2944,9.585,1361
2024-01-26,9.13,9.2,8.4,8.43,3790,8.771,1241
2024-01-29,8.59,9.33,8.59,9.31,2259,8.95,1136
2024-01-30,9.31,9.36,8.99,9.02,1380,9.145,571
2024-01-31,8.9,9.13,8.64,8.64,1917,8.826,936
2024-02-01,8.72,8.94,8.52,8.89,1162,8.758,551
2024-02-02,8.81,9.25,8.69,9.19,1546,9.046,744
2024-02-05,9.19,9.19,8.72,9.0,1878,8.952,615
2024-02-06,9.0,9.07,8.83,8.99,874,8.943,426
2024-02-07,9.02,9.02,8.75,8.89,962,8.868,446
2024-02-08,8.9,9.47,8.86,9.29,2557,9.269,861
2024-02-09,9.42,10.32,9.4,10.28,3792,9.956,1590
2024-02-12,10.36,10.95,10.33,10.5,3373,10.687,1479
2024-02-13,10.18,10.19,9.35,9.4,2611,9.768,1142
2024-02-14,9.8,10.35,9.54,10.25,1642,10.03,695
2024-02-15,10.27,10.39,9.91,10.14,1731,10.116,766
2024-02-16,9.98,10.08,9.62,9.93,1665,9.906,644
2024-02-20,9.69,9.9,9.41,9.5,2050,9.542,799
2024-02-21,9.5,9.95,9.37,9.85,3144,9.727,1632
2024-02-22,10.25,10.45,9.8,9.82,2551,10.057,1166
2024-02-23,9.85,9.91,9.02,9.51,2972,9.374,1148
2024-02-26,9.9,11.36,9.9,11.06,16229,11.008,6156
2024-02-27,11.86,12.4,10.61,10.82,12677,11.383,5126
2024-02-28,10.95,12.25,10.82,11.97,10090,11.825,3738
2024-02-29,12.3,12.4,11.44,11.56,5311,11.707,2547
2024-03-01,11.63,11.88,11.19,11.54,6305,11.546,3034
2024-03-04,11.68,12.24,11.57,11.8,6018,11.891,2908
2024-03-05,11.52,11.54,11.0,11.5,3274,11.339,1402
2024-03-06,11.64,11.79,11.38,11.55,2562,11.535,1310
2024-03-07,11.62,12.58,11.45,12.19,14165,12.17,5761
2024-03-08,12.2,12.97,11.91,12.03,6834,12.285,2637
2024-03-11,11.87,11.9,10.97,11.08,5933,11.389,2474
2024-03-12,11.19,11.51,10.88,11.3,3220,11.142,1544
2024-03-13,11.48,11.63,10.69,10.77,2690,10.994,1085
2024-03-14,10.6,10.75,10.01,10.14,4372,10.226,1764
2024-03-15,9.98,10.12,9.77,9.94,3391,9.915,1419
2024-03-18,10.0,10.48,9.8,10.28,3129,10.212,1259
2024-03-19,10.18,10.22,9.66,9.84,2353,9.932,1056
2024-03-20,9.82,10.04,9.39,9.92,2811,9.673,1130
2024-03-21,10.29,10.86,10.17,10.2,3081,10.483,1327
2024-03-22,10.07,10.54,9.81,9.82,2120,10.057,902
2024-03-25,9.9,10.19,9.82,9.85,1489,9.949,725
2024-03-26,9.98,10.49,9.92,10.17,2007,10.198,1029
2024-03-27,10.16,10.54,10.05,10.45,1702,10.356,998
2024-03-28,10.5,10.55,10.12,10.17,2248,10.358,1145
2024-04-01,10.25,10.54,10.07,10.14,1640,10.259,805
2024-04-02,9.8,9.87,9.56,9.67,3003,9.701,1484
2024-04-03,9.71,10.05,9.53,9.9,2122,9.871,943
2024-04-04,10.11,10.55,9.95,10.04,2661,10.216,1221
2024-04-05,10.0,10.27,9.85,10.25,1352,10.134,576
2024-04-08,10.28,10.54,10.17,10.34,1710,10.362,632
2024-04-09,10.45,10.7,10.44,10.62,1750,10.574,899
2024-04-10,10.08,10.32,9.86,9.94,2606,10.011,1206
2024-04-11,10.05,10.13,9.65,9.93,1813,9.835,660
2024-04-12,9.82,9.82,9.61,9.75,1215,9.704,609
2024-04-15,9.75,9.8,9.3,9.34,1750,9.464,900
2024-04-16,9.2,9.32,9.05,9.14,1765,9.176,895
2024-04-17,9.21,9.35,8.75,8.76,1840,9.015,819
2024-04-18,8.67,8.88,8.54,8.63,1736,8.689,905
2024-04-19,8.5,8.75,8.25,8.39,1906,8.502,940
2024-04-22,8.39,8.66,8.28,8.63,1435,8.473,704
2024-04-23,8.64,9.31,8.64,9.09,1612,9.063,706
2024-04-24,9.05,9.21,8.86,9.07,1641,9.012,641
2024-04-25,8.84,9.35,8.84,9.25,1630,9.188,825
2024-04-26,9.3,9.83,9.3,9.74,1344,9.652,531
2024-04-29,9.9,10.26,9.84,10.26,1483,10.044,600
2024-04-30,10.13,10.93,10.01,10.26,2511,10.496,1202
2024-05-01,10.13,10.6,10.03,10.09,1398,10.222,731
2024-05-02,10.32,10.5,10.18,10.36,1962,10.361,1191
2024-05-03,10.48,10.54,9.9,10.23,2976,10.197,1207
2024-05-06,10.36,10.57,10.31,10.38,1354,10.419,777
2024-05-07,10.39,10.76,10.31,10.48,1385,10.509,765
2024-05-08,10.25,10.38,9.82,9.87,2480,10.081,1295
2024-05-09,8.6,8.68,6.44,6.65,21303,6.986,10114
2024-05-10,6.98,7.82,6.98,7.64,9918,7.497,4179
2024-05-13,7.84,7.86,7.27,7.76,9677,7.677,3756
2024-05-14,7.83,8.49,7.82,8.18,9889,8.212,3463
2024-05-15,8.35,8.42,7.94,8.25,5784,8.191,1874
2024-05-16,8.27,8.27,8.02,8.11,2052,8.14,838
2024-05-17,8.1,8.76,8.0,8.67,5959,8.346,2388
2024-05-20,8.67,8.83,8.3,8.38,4013,8.517,1868
2024-05-21,8.15,8.19,7.93,8.07,4218,8.073,1704
2024-05-22,8.07,8.2,7.95,8.14,2292,8.088,1165
2024-05-23,8.17,8.2,7.86,8.0,3051,7.986,1166
2024-05-24,8.04,8.32,7.96,8.23,2199,8.181,860
2024-05-28,8.35,8.6,8.02,8.08,2994,8.235,1456
2024-05-29,7.94,8.04,7.67,7.68,3285,7.823,1472
2024-05-30,7.7,7.9,7.58,7.62,1947,7.709,1038
2024-05-31,7.65,7.84,7.52,7.56,2004,7.637,1082
2024-06-03,7.73,7.83,7.47,7.52,2432,7.656,945
2024-06-04,7.47,7.47,7.16,7.39,2342,7.312,997
2024-06-05,7.45,7.69,7.26,7.67,2296,7.466,1044
2024-06-06,7.65,7.89,7.51,7.86,1490,7.704,727
2024-06-07,7.75,7.92,7.51,7.62,1529,7.667,701
2024-06-10,7.42,7.86,7.42,7.77,1946,7.672,1002
2024-06-11,7.71,8.39,7.7,8.38,3076,8.134,1216
2024-06-12,8.64,8.72,8.31,8.51,2402,8.495,1112
2024-06-13,8.45,8.56,8.0,8.18,2519,8.145,1073
2024-06-14,8.04,8.15,7.86,8.1,1969,8.006,787
2024-06-17,8.11,8.11,7.88,8.01,1074,8.002,509
2024-06-18,8.0,8.09,7.73,7.78,3635,7.87,1524
2024-06-20,7.62,7.66,7.41,7.42,2239,7.54,892
2024-06-21,7.39,7.53,7.29,7.48,1740,7.412,681
2024-06-24,7.5,7.62,7.21,7.24,1811,7.384,834
2024-06-25,7.2,7.47,7.1,7.46,1792,7.299,760
2024-06-26,7.41,7.65,7.4,7.61,1381,7.551,776
2024-06-27,7.58,7.73,7.41,7.54,993,7.535,543
2024-06-28,7.55,7.83,7.47,7.65,1431,7.63,737
2024-07-01,7.63,7.73,7.45,7.57,1284,7.541,653
2024-07-02,7.57,7.72,7.56,7.67,902,7.635,622
2024-07-03,7.67,7.75,7.35,7.37,1889,7.498,675
2024-07-05,7.39,7.68,7.25,7.65,2191,7.482,984
2024-07-08,7.74,7.94,7.64,7.66,1287,7.752,745
2024-07-09,7.66,7.74,7.45,7.46,997,7.559,506
2024-07-10,7.53,7.54,7.07,7.13,2843,7.229,1517
2024-07-11,7.31,7.35,6.95,7.06,2871,7.085,1714
2024-07-12,7.11,7.66,7.11,7.57,2000,7.473,1104
2024-07-15,7.72,7.9,7.58,7.9,2504,7.761,1041
2024-07-16,7.95,8.29,7.86,8.25,2463,8.105,1171
2024-07-17,8.13,8.28,7.84,7.91,1824,7.995,912
2024-07-18,7.9,8.09,7.5,7.64,1134,7.745,597
2024-07-19,7.64,7.64,7.23,7.26,1479,7.354,716
2024-07-22,7.37,7.58,7.23,7.5,2072,7.391,936
2024-07-23,7.47,7.91,7.44,7.84,1860,7.782,808
2024-07-24,7.72,7.8,7.21,7.22,1430,7.503,586
2024-07-25,7.26,7.62,7.16,7.35,2193,7.376,966
2024-07-26,7.38,7.6,7.33,7.54,1072,7.479,539
2024-07-29,7.54,7.69,7.4,7.44,759,7.519,360
2024-07-30,7.44,7.54,7.05,7.17,1379,7.218,644
2024-07-31,7.26,7.59,7.2,7.4,1093,7.35,599
2024-08-01,7.35,7.39,6.76,6.85,2235,6.965,989
2024-08-02,6.65,6.66,6.23,6.35,3017,6.395,1116
2024-08-05,5.99,6.13,5.63,6.02,2628,5.939,1177
2024-08-06,6.14,6.14,5.85,5.97,1680,5.999,950
2024-08-07,6.15,6.29,5.71,5.72,2580,5.901,1233
2024-08-08,7.35,8.46,6.94,8.44,18050,7.971,7372
2024-08-09,8.4,8.63,8.18,8.29,6589,8.341,3739
2024-08-12,8.29,8.62,8.22,8.43,2845,8.392,1598
2024-08-13,8.43,9.56,8.43,9.45,5928,9.236,2705
2024-08-14,9.45,9.56,8.91,9.22,3232,9.147,1753
2024-08-15,9.4,9.84,9.3,9.63,2908,9.629,1491
2024-08-16,9.61,10.5,9.37,10.09,7324,10.025,3344
2024-08-19,10.05,10.2,9.71,10.2,2391,9.911,1142
2024-08-20,10.2,10.36,9.92,10.14,1592,10.097,760
2024-08-21,10.25,10.25,9.99,10.17,1520,10.112,1036
2024-08-22,10.18,10.2,9.56,9.61,1714,9.798,900
2024-08-23,9.77,10.02,9.62,9.75,1565,9.785,896
2024-08-26,9.78,9.79,9.26,9.35,1053,9.414,599
2024-08-27,9.2,9.32,9.03,9.28,1484,9.203,607
2024-08-28,9.2,9.21,8.62,8.9,1669,8.832,901
2024-08-29,9.04,9.25,8.9,9.15,1406,9.143,811
2024-08-30,9.27,9.27,8.95,8.97,1030,9.056,583
2024-09-03,8.83,8.87,8.11,8.27,1696,8.359,912
2024-09-04,8.15,8.33,8.04,8.24,1069,8.207,689
2024-09-05,8.17,8.3,8.05,8.23,1473,8.177,792
2024-09-06,8.2,8.21,7.93,8.08,985,8.027,518
2024-09-09,8.16,8.72,8.13,8.69,2954,8.53,1272
2024-09-10,8.7,9.31,8.64,9.19,6609,9.034,2683
2024-09-11,9.29,9.56,9.12,9.47,3203,9.35,1483
2024-09-12,9.41,9.41,9.01,9.03,2058,9.209,828
2024-09-13,9.17,9.44,9.15,9.33,1575,9.331,686
2024-09-16,9.35,9.36,9.08,9.23,1284,9.224,555
2024-09-17,9.25,9.3,9.04,9.19,1220,9.142,514
2024-09-18,9.23,9.57,8.98,9.01,1185,9.2,566
2024-09-19,9.49,9.5,9.22,9.33,1079,9.341,503
2024-09-20,9.31,9.38,9.16,9.17,1603,9.278,652
2024-09-23,9.22,9.3,8.87,8.87,948,9.05,422
2024-09-24,8.9,9.0,8.6,8.97,1119,8.813,534
2024-09-25,8.92,9.0,8.58,8.62,963,8.751,461
2024-09-26,8.94,9.2,8.61,9.05,808,8.986,481
2024-09-27,9.14,9.19,8.91,9.04,1065,9.057,572
2024-09-30,8.99,9.13,8.84,9.08,783,8.982,496
2024-10-01,9.0,9.08,8.41,8.52,1104,8.63,616
2024-10-02,8.41,8.72,8.41,8.56,988,8.58,522
