date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,41.36,42.43,40.68,41.16,1168,41.41772,743
2024-05-28 00:00:00,41.58,41.875,39.64,40.78,2803,40.21353,1251
2024-05-29 00:00:00,39.88,42.96,39.845,42.89,1254,41.91934,889
2024-05-30 00:00:00,42.84,43.73,41.99,42.63,824,42.59326,621
2024-05-31 00:00:00,43.05,43.59,41.89,42.08,780,42.4364,669
2024-06-03 00:00:00,42.1,43.95,42.0,42.62,1234,42.8583,856
2024-06-04 00:00:00,42.3,42.97,40.845,40.98,1145,41.56734,765
2024-06-05 00:00:00,40.98,44.79,40.795,44.55,1141,43.68652,835
2024-06-06 00:00:00,44.48,44.99,43.26,44.64,1679,44.30917,1284
2024-06-07 00:00:00,44.61,46.33,44.61,45.56,862,45.7182,625
2024-06-10 00:00:00,45.09,47.8399,44.96,47.06,1685,46.85229,1148
2024-06-11 00:00:00,47.06,48.45,46.43,46.43,2609,47.45299,1825
2024-06-12 00:00:00,46.9,49.15,45.74,46.16,1768,47.639,968
2024-06-13 00:00:00,45.36,47.0999,44.36,45.02,920,45.29134,676
2024-06-14 00:00:00,44.14,44.33,42.135,42.41,1157,43.02436,901
2024-06-17 00:00:00,42.18,42.72,41.49,42.49,2346,42.16437,1774
2024-06-18 00:00:00,42.65,42.69,40.54,41.9,2429,41.71673,1562
2024-06-20 00:00:00,41.88,42.55,40.59,40.79,3505,41.79923,2647
2024-06-21 00:00:00,41.09,41.78,39.73,41.15,4528,40.85595,3430
2024-06-24 00:00:00,41.15,41.22,39.04,40.08,2756,40.02653,2140
2024-06-25 00:00:00,39.81,41.215,38.79,38.94,2824,40.14917,1290
2024-06-26 00:00:00,38.8,39.67,36.93,39.56,2295,38.2954,1858
2024-06-27 00:00:00,40.0,41.87,39.555,41.75,3368,40.83018,1988
2024-06-28 00:00:00,42.48,43.0,40.4,40.8,3119,41.09586,2165
2024-07-01 00:00:00,40.39,42.38,40.37,42.29,2623,41.7677,1871
2024-07-02 00:00:00,41.87,42.81,39.41,39.73,4559,40.52597,2997
