date,open,high,low,close,volume,average,barCount
2024-05-24 00:00:00,22.45,22.71,21.58,21.91,265,22.182,176
2024-05-28 00:00:00,21.8,22.1,21.07,22.09,400,21.617,310
2024-05-29 00:00:00,21.8,22.45,21.16,21.54,262,21.804,217
2024-05-30 00:00:00,21.54,21.99,21.5,21.81,209,21.744,131
2024-05-31 00:00:00,21.81,22.34,20.75,20.99,438,21.521,265
2024-06-03 00:00:00,20.88,21.28,20.47,20.63,1036,20.789,680
2024-06-04 00:00:00,20.56,20.91,19.6,19.84,601,19.995,342
2024-06-05 00:00:00,19.83,20.24,19.62,20.0,397,20.04,245
2024-06-06 00:00:00,20.26,20.54,19.74,20.3,1161,20.16,529
2024-06-07 00:00:00,20.0,20.64,20.0,20.48,338,20.406,181
2024-06-10 00:00:00,20.22,20.81,20.16,20.79,781,20.547,289
2024-06-11 00:00:00,20.81,21.75,20.5,20.85,326,20.803,260
2024-06-12 00:00:00,20.85,21.8,20.54,20.8,423,20.787,197
2024-06-13 00:00:00,20.59,21.38,19.53,19.72,710,19.986,432
2024-06-14 00:00:00,19.37,19.86,18.97,19.3,251,19.347,188
2024-06-17 00:00:00,19.18,19.31,17.24,19.0,848,18.699,492
2024-06-18 00:00:00,19.22,19.51,18.23,18.9,801,19.064,506
2024-06-20 00:00:00,19.5,19.87,18.01,18.9,1564,18.984,1033
2024-06-21 00:00:00,18.96,19.79,18.73,19.65,2646,19.426,1189
2024-06-24 00:00:00,19.65,21.01,19.3,20.36,1415,20.336,626
2024-06-25 00:00:00,20.08,20.9,19.72,19.95,683,20.237,396
2024-06-26 00:00:00,19.68,19.68,18.11,18.31,1471,18.545,999
2024-06-27 00:00:00,18.36,19.58,18.36,19.0,4100,19.073,1562
2024-06-28 00:00:00,20.0,20.0,18.95,19.0,2459,19.157,908
2024-07-01 00:00:00,18.78,19.21,18.7,18.74,1158,18.847,825
2024-07-02 00:00:00,18.62,18.71,17.8,18.06,2625,18.086,566
2024-07-03 00:00:00,18.28,18.48,17.57,17.97,518,18.05,347
2024-07-05 00:00:00,18.0,18.62,17.55,18.21,845,17.997,561
2024-07-08 00:00:00,18.44,19.44,18.34,18.96,2378,19.106,1256
2024-07-09 00:00:00,18.98,19.67,18.51,19.24,1512,19.289,1051
2024-07-10 00:00:00,19.14,20.3,19.01,20.01,1503,19.704,974
2024-07-11 00:00:00,20.09,21.73,20.09,21.17,5727,21.045,2305
2024-07-12 00:00:00,21.47,21.69,20.3,20.6,1276,20.69,804
2024-07-15 00:00:00,20.83,21.89,20.05,20.49,449,20.52,338
