date,open,high,low,close,volume,average,barCount
2023-12-20,1.5,1.58,1.45,1.48,6484,1.53061,2031
2023-12-21,1.5,1.5599,1.47,1.51,3881,1.51157,1255
2023-12-22,1.55,1.55,1.47,1.52,2209,1.5102,978
2023-12-26,1.51,1.53,1.46,1.52,2874,1.49725,945
2023-12-27,1.5,1.53,1.445,1.47,1959,1.47442,705
2023-12-28,1.44,1.48,1.4,1.44,2056,1.43431,655
2023-12-29,1.43,1.43,1.35,1.37,3294,1.37608,801
2024-01-02,1.38,1.388,1.3108,1.34,2964,1.3446,891
2024-01-03,1.34,1.365,1.27,1.28,2996,1.31078,1111
2024-01-04,1.28,1.28,1.25,1.26,2995,1.26585,789
2024-01-05,1.25,1.26,1.21,1.21,4424,1.23259,1221
2024-01-08,1.24,1.35,1.23,1.34,5233,1.30634,1527
2024-01-09,1.3,1.34,1.28,1.28,2439,1.30083,942
2024-01-10,1.27,1.29,1.26,1.29,1374,1.27632,452
2024-01-11,1.29,1.29,1.22,1.23,2447,1.24149,836
2024-01-12,1.25,1.27,1.19,1.21,3766,1.22053,1173
2024-01-16,1.21,1.21,1.14,1.15,6024,1.16862,1380
2024-01-17,1.14,1.19,1.12,1.16,3725,1.16059,875
2024-01-18,1.19,1.198,1.03,1.03,12003,1.06837,2957
2024-01-19,1.05,1.06,1.03,1.05,7517,1.04235,2543
2024-01-22,1.07,1.1,1.05,1.07,11011,1.06555,2120
2024-01-23,1.1,1.155,1.07,1.14,5818,1.10881,2014
2024-01-24,1.16,1.175,1.1,1.1,4499,1.12779,1483
2024-01-25,1.12,1.145,1.09,1.12,4786,1.11389,1396
2024-01-26,1.11,1.27,1.11,1.18,10134,1.19833,2599
2024-01-29,1.18,1.2,1.145,1.19,5483,1.16573,1914
2024-01-30,1.16,1.1777,1.14,1.16,2891,1.16081,1437
2024-01-31,1.17,1.18,1.11,1.11,6767,1.13498,2080
2024-02-01,1.14,1.16,1.0825,1.11,6178,1.10667,2155
2024-02-02,1.09,1.16,1.09,1.13,8038,1.11991,1684
2024-02-05,1.11,1.12,1.08,1.08,3575,1.10056,1034
2024-02-06,1.09,1.15,1.09,1.11,6814,1.11922,1853
2024-02-07,1.22,1.24,1.08,1.12,15995,1.1586,3309
2024-02-08,1.15,1.2,1.11,1.18,9234,1.14379,2476
2024-02-09,1.21,1.43,1.175,1.43,13743,1.30246,3067
2024-02-12,1.41,1.61,1.33,1.56,14141,1.51304,3390
2024-02-13,1.49,1.54,1.415,1.49,9517,1.4977,3231
2024-02-14,1.49,1.71,1.43,1.7,13631,1.61548,3379
2024-02-15,1.7,1.835,1.63,1.82,9453,1.74107,2643
