date,open,high,low,close,volume,average,barCount
2024-01-02,43.7,44.87,43.12,44.18,209,43.996,133
2024-01-03,43.87,44.76,42.78,43.04,172,43.764,141
2024-01-04,43.24,45.26,42.8,44.38,188,43.864,130
2024-01-05,44.0,45.59,43.94,44.04,288,44.722,194
2024-01-08,44.04,45.6,43.12,45.3,167,44.71,101
2024-01-09,45.2,47.74,45.17,45.67,346,46.223,211
2024-01-10,45.78,50.18,45.78,49.88,683,48.743,431
2024-01-11,49.93,50.49,45.7,46.19,480,47.192,296
2024-01-12,46.94,47.39,45.67,45.86,298,46.329,242
2024-01-16,45.79,46.09,44.78,45.16,407,45.304,245
2024-01-17,44.68,46.3,44.19,44.81,344,45.07,230
2024-01-18,44.82,45.52,43.3,44.18,276,44.163,146
2024-01-19,44.22,44.22,43.0,43.77,322,43.595,158
2024-01-22,44.5,44.84,43.51,44.57,231,44.224,153
2024-01-23,44.57,45.17,43.84,44.69,355,44.657,190
2024-01-24,45.29,45.29,43.75,44.07,254,44.573,195
2024-01-25,44.66,45.19,44.22,44.46,204,44.614,129
2024-01-26,44.46,45.09,43.97,44.0,186,44.518,137
2024-01-29,44.0,45.0,43.7,44.93,160,44.403,106
2024-01-30,44.69,45.08,44.31,44.92,147,44.792,122
2024-01-31,44.63,46.57,44.11,44.29,337,45.295,225
2024-02-01,44.31,45.47,43.19,45.04,294,44.152,179
2024-02-02,44.78,47.26,44.6,45.25,328,45.848,220
2024-02-05,45.23,45.95,44.4,44.61,231,45.061,159
2024-02-06,45.16,46.89,44.41,46.47,314,45.56,255
2024-02-07,47.05,48.58,46.56,47.64,415,47.385,348
2024-02-08,47.7,50.1,47.17,47.43,568,48.73,357
2024-02-09,47.59,48.51,46.87,47.59,293,47.572,174
2024-02-12,47.91,48.63,47.01,48.11,311,47.993,207
2024-02-13,46.42,49.73,46.15,46.41,359,47.815,246
2024-02-14,47.14,50.49,46.54,50.34,507,48.428,305
2024-02-15,50.57,53.38,50.57,51.54,482,51.557,374
2024-02-16,50.96,51.78,48.36,48.67,241,49.425,155
2024-02-20,48.12,48.64,47.31,47.8,307,47.864,212
2024-02-21,47.42,47.55,45.83,46.05,205,46.647,121
2024-02-22,46.5,48.04,46.15,47.72,278,47.307,209
2024-02-23,47.72,47.9,46.64,47.34,180,47.292,126
2024-02-26,47.28,49.42,46.77,48.51,364,48.015,261
2024-02-27,48.51,49.78,48.12,48.46,277,48.794,192
2024-02-28,47.85,49.03,47.5,47.95,285,48.125,238
2024-02-29,48.82,49.32,46.2,47.17,236,47.89,185
2024-03-01,47.01,48.06,46.62,47.49,291,47.35,224
2024-03-04,47.65,49.25,47.43,48.85,453,48.327,343
2024-03-05,48.67,48.75,38.36,39.55,2137,40.928,1064
2024-03-06,40.0,40.99,31.21,32.87,3754,34.647,2278
2024-03-07,32.59,33.4,29.1,31.82,2123,30.786,1447
2024-03-08,32.41,32.41,29.5,30.62,1098,30.546,789
2024-03-11,30.56,31.28,29.11,30.54,767,30.196,603
2024-03-12,30.31,32.99,30.27,32.01,454,32.271,288
2024-03-13,31.96,33.4,31.75,32.51,370,32.638,244
2024-03-14,32.38,32.46,30.0,30.11,443,31.169,324
2024-03-15,29.8,30.63,29.23,30.36,576,30.011,327
2024-03-18,30.5,31.94,29.8,30.17,591,30.64,412
2024-03-19,30.18,31.21,29.7,30.61,352,30.481,239
2024-03-20,30.44,31.05,29.19,30.36,387,30.179,290
2024-03-21,30.73,31.24,29.47,30.09,435,30.095,290
2024-03-22,30.0,30.46,29.5,30.01,239,30.159,151
2024-03-25,30.08,30.56,29.24,29.32,461,29.671,296
2024-03-26,29.37,29.99,28.32,28.42,534,28.973,370
2024-03-27,28.57,29.64,28.5,28.55,438,28.91,304
2024-03-28,28.55,29.91,28.55,29.21,223,29.33,170
2024-04-01,29.25,29.5,28.65,28.95,366,29.02,235
2024-04-02,28.95,29.47,27.7,28.18,400,28.379,240
2024-04-03,28.19,29.29,27.8,28.54,308,28.651,243
2024-04-04,28.78,29.07,27.62,28.0,605,28.147,494
2024-04-05,28.05,29.05,28.05,28.69,326,28.693,222
2024-04-08,28.75,28.79,28.0,28.13,291,28.412,204
2024-04-09,28.14,29.53,28.0,29.3,388,28.885,282
2024-04-10,28.75,29.4,28.24,28.46,383,28.713,289
2024-04-11,28.59,28.75,27.75,27.81,178,28.235,139
2024-04-12,27.7,27.96,27.13,27.64,225,27.379,126
2024-04-15,27.69,28.21,25.5,25.78,579,26.29,415
2024-04-16,26.14,26.34,25.26,25.99,276,25.996,173
2024-04-17,25.69,25.97,25.3,25.66,357,25.661,205
2024-04-18,25.75,26.0,25.28,25.45,288,25.569,152
2024-04-19,25.25,26.31,25.25,25.73,314,25.837,183
2024-04-22,25.86,26.75,25.86,26.26,213,26.347,130
2024-04-23,26.25,27.74,26.25,27.09,461,27.112,249
2024-04-24,27.01,27.45,26.28,26.62,255,26.881,177
2024-04-25,26.23,26.6,25.78,25.91,273,26.034,202
2024-04-26,25.92,26.38,25.84,26.11,138,26.025,103
2024-04-29,26.12,26.83,25.92,26.61,261,26.353,149
2024-04-30,26.19,26.32,25.25,25.53,328,25.621,204
2024-05-01,25.66,26.65,25.43,26.13,207,26.18,132
2024-05-02,26.23,26.76,25.71,26.52,162,26.213,136
2024-05-03,26.99,27.45,26.74,27.0,265,27.041,188
2024-05-06,27.38,28.18,27.1,27.67,249,27.74,170
2024-05-07,27.86,28.44,27.56,28.15,306,28.024,182
2024-05-08,26.0,26.16,20.88,21.03,3628,22.168,2090
2024-05-09,21.1,23.28,21.03,22.96,1407,22.046,881
2024-05-10,22.95,23.0,21.82,22.92,321,22.558,237
2024-05-13,23.0,23.71,22.99,23.09,232,23.15,134
2024-05-14,23.19,23.75,22.82,23.5,359,23.156,259
2024-05-15,23.7,23.79,22.78,23.7,376,23.288,218
2024-05-16,23.74,24.59,23.44,23.67,198,23.946,130
2024-05-17,23.71,23.93,23.01,23.01,142,23.473,104
2024-05-20,22.97,23.57,22.97,23.48,231,23.244,140
2024-05-21,23.28,23.65,23.04,23.54,170,23.342,121
2024-05-22,23.41,23.67,23.23,23.35,430,23.342,270
2024-05-23,23.34,23.34,22.53,22.94,340,22.851,228
2024-05-24,23.11,23.42,22.6,23.32,208,23.02,171
2024-05-28,25.0,33.36,25.0,29.0,11196,30.016,5392
2024-05-29,30.5,34.4,30.25,32.24,8725,32.385,3936
2024-05-30,33.24,33.5,28.5,29.04,5623,31.19,2908
2024-05-31,30.06,31.68,28.74,29.33,2347,29.915,1337
2024-06-03,30.15,31.48,27.85,27.92,1474,29.587,772
2024-06-04,27.77,29.44,26.52,28.41,2466,28.117,1457
2024-06-05,28.65,29.97,27.51,29.87,2210,28.799,1000
2024-06-06,29.82,30.49,29.08,29.13,1637,29.553,700
2024-06-07,28.5,32.68,28.35,31.63,6704,31.245,2688
2024-06-10,33.21,38.87,33.0,36.28,11243,36.809,5022
2024-06-11,35.8,42.36,34.0,39.72,9037,37.919,4858
2024-06-12,43.45,46.0,38.82,40.57,11900,42.445,5425
2024-06-13,41.42,42.55,37.37,38.32,5161,39.266,2496
2024-06-14,38.27,40.65,37.5,38.32,4126,38.644,2023
2024-06-17,38.14,40.19,34.81,38.65,5498,37.268,2272
2024-06-18,37.2,38.8,35.56,37.25,3208,37.095,1454
2024-06-20,38.32,38.5,34.22,35.23,3822,35.875,1345
2024-06-21,34.59,36.79,33.7,36.65,3296,35.435,1553
2024-06-24,34.21,35.68,33.28,34.66,4330,34.31,1827
2024-06-25,35.4,37.48,34.24,36.48,3114,36.314,1349
2024-06-26,35.91,36.3,33.46,34.52,3346,34.83,1590
2024-06-27,34.7,35.56,33.82,34.75,1854,34.672,855
2024-06-28,34.89,35.21,33.79,34.4,1825,34.263,863
2024-07-01,35.2,36.44,32.68,33.74,2957,33.804,1398
2024-07-02,33.91,33.91,31.33,32.75,3332,32.368,1417
2024-07-03,31.88,32.66,31.32,32.63,1161,31.916,493
2024-07-05,31.28,32.44,30.4,31.79,2630,31.463,1262
2024-07-08,32.05,32.5,31.2,31.75,1248,31.791,692
2024-07-09,32.18,34.32,31.65,33.36,1739,33.07,779
2024-07-10,34.12,34.13,31.96,32.4,1567,32.488,766
2024-07-11,33.24,34.17,32.54,33.62,1639,33.579,670
2024-07-12,33.65,33.97,32.88,33.52,934,33.541,421
2024-07-15,34.44,35.55,33.6,34.75,2665,34.557,997
2024-07-16,34.87,35.94,34.13,35.16,2867,35.06,1342
2024-07-17,34.83,36.78,34.76,36.21,2766,35.829,1480
2024-07-18,36.02,36.5,32.95,33.17,1957,34.895,909
2024-07-19,33.18,34.51,32.78,33.53,1998,33.538,951
2024-07-22,34.17,34.69,32.17,34.25,2796,33.441,1204
2024-07-23,34.16,34.6,33.2,34.0,1630,34.01,820
2024-07-24,33.61,34.71,32.6,32.93,2163,33.47,1010
2024-07-25,33.37,33.37,31.5,32.13,2664,32.329,1307
2024-07-26,33.63,34.26,32.81,33.38,1428,33.468,644
2024-07-29,33.98,35.33,32.21,32.9,1569,33.408,741
2024-07-30,32.77,34.5,32.0,34.35,2682,33.344,1511
2024-07-31,34.45,34.77,32.99,33.15,1026,33.984,574
2024-08-01,32.91,33.13,30.02,30.13,1495,30.797,801
2024-08-02,28.9,29.87,28.39,29.1,1494,29.106,662
2024-08-05,25.35,27.48,24.0,26.32,2230,26.185,1157
2024-08-06,26.09,27.67,24.6,27.52,4015,25.954,2193
2024-08-07,27.92,29.77,26.14,26.24,1905,27.565,1146
2024-08-08,27.78,28.9,26.8,28.5,1013,27.915,428
2024-08-09,28.62,29.05,27.73,28.51,831,28.393,424
2024-08-12,28.35,28.46,27.2,27.51,970,27.865,561
2024-08-13,27.8,29.23,27.62,28.72,658,28.471,373
2024-08-14,29.17,29.22,27.5,28.09,1003,28.036,527
2024-08-15,27.93,29.65,27.93,29.2,859,29.022,419
2024-08-16,29.5,29.95,28.95,29.24,774,29.28,424
2024-08-19,29.25,29.55,28.34,28.69,754,28.912,396
2024-08-20,28.92,29.76,28.16,28.91,692,28.796,328
2024-08-21,28.93,29.52,28.65,29.37,841,29.177,409
2024-08-22,29.25,29.38,28.19,28.31,616,28.568,217
2024-08-23,28.67,29.6,28.23,29.34,988,29.129,513
2024-08-26,29.08,29.9,28.87,29.29,553,29.264,297
2024-08-27,29.2,29.23,28.35,28.81,362,28.767,190
2024-08-28,28.77,28.77,27.22,27.86,847,27.843,520
2024-08-29,28.0,28.65,27.2,27.36,853,28.025,389
2024-08-30,27.43,28.2,26.13,26.7,1031,26.552,477
2024-09-03,26.22,26.57,24.37,24.62,982,25.082,487
2024-09-04,24.5,24.78,23.91,24.06,695,24.269,423
2024-09-05,24.03,24.61,23.51,23.65,475,24.041,294
2024-09-06,23.88,24.25,22.81,23.63,626,23.306,357
2024-09-09,23.55,24.27,23.3,23.62,676,23.793,310
2024-09-10,23.62,23.63,22.94,23.49,570,23.375,305
2024-09-11,23.37,23.79,22.93,23.75,396,23.403,195
2024-09-12,23.95,25.09,23.9,24.59,521,24.477,305
2024-09-13,24.94,26.27,24.58,25.92,568,25.801,246
2024-09-16,26.03,26.25,24.75,25.42,510,25.306,264
2024-09-17,25.86,26.71,25.0,25.43,574,25.735,297
2024-09-18,25.39,25.82,23.77,24.79,1149,24.645,452
