date,open,high,low,close,volume,average,barCount
2024-01-02,14.65,14.8,14.2,14.22,2955,14.45,2111
2024-01-03,13.83,14.05,13.31,13.84,3216,13.782,1967
2024-01-04,13.65,13.97,13.36,13.83,1983,13.784,1443
2024-01-05,13.74,14.31,13.71,13.83,2109,13.968,1472
2024-01-08,13.69,13.91,13.41,13.59,3986,13.719,2754
2024-01-09,13.3,13.51,12.23,12.34,3529,12.51,2253
2024-01-10,12.27,12.36,11.88,11.97,3679,12.051,2350
2024-01-11,11.9,11.9,11.16,11.57,5198,11.47,3005
2024-01-12,11.9,11.9,11.05,11.18,2909,11.362,1886
2024-01-16,11.05,11.06,10.55,11.04,4325,10.859,2970
2024-01-17,10.78,10.83,10.32,10.41,3759,10.511,2419
2024-01-18,10.46,11.29,10.46,10.87,3862,10.896,2597
2024-01-19,10.92,11.0,10.57,10.75,5410,10.758,3583
2024-01-22,10.9,11.93,10.77,11.83,7982,11.381,4049
2024-01-23,12.07,12.28,11.52,11.7,3227,11.772,2176
2024-01-24,11.96,11.96,10.6,10.64,4013,10.966,2423
2024-01-25,10.88,11.38,10.76,10.98,4061,10.978,2520
2024-01-26,11.2,11.68,10.91,11.01,3193,11.152,2049
2024-01-29,10.95,11.62,10.56,11.61,2458,11.236,1556
2024-01-30,11.48,11.51,11.07,11.1,1728,11.228,1086
2024-01-31,11.03,11.14,10.27,10.3,3189,10.703,2152
2024-02-01,10.41,10.73,9.92,10.29,3866,10.261,2451
2024-02-02,10.11,10.23,9.47,10.17,3442,9.944,1992
2024-02-05,9.91,9.98,9.31,9.44,4537,9.496,2292
2024-02-06,9.53,9.87,9.28,9.73,2725,9.68,2022
2024-02-07,9.72,9.72,9.04,9.42,4310,9.387,2799
2024-02-08,9.42,9.88,9.38,9.87,1920,9.719,1490
2024-02-09,9.92,10.54,9.85,10.19,2951,10.264,1904
2024-02-12,10.19,12.0,10.19,11.81,3568,11.601,2238
2024-02-13,10.48,10.54,9.83,10.26,5357,10.231,3155
2024-02-14,10.61,10.85,10.39,10.85,1770,10.698,1255
2024-02-15,11.06,11.38,10.88,11.37,2081,11.182,1328
2024-02-16,11.15,11.6,10.88,11.45,2132,11.364,1422
2024-02-20,11.19,11.56,10.91,11.47,4145,11.308,3052
2024-02-21,11.4,11.68,11.0,11.46,3491,11.441,2741
2024-02-22,11.6,11.83,10.96,11.05,4061,11.251,2853
2024-02-23,13.75,15.85,13.4,14.7,21263,14.814,11582
2024-02-26,14.52,17.54,14.52,16.78,11571,16.588,7103
2024-02-27,17.21,17.23,16.39,16.66,5682,16.725,3927
2024-02-28,16.43,16.54,16.05,16.12,2123,16.305,1509
2024-02-29,16.65,17.13,16.08,16.52,4089,16.622,2739
2024-03-01,16.55,16.7,15.55,15.75,2924,15.831,2084
2024-03-04,15.8,15.99,15.09,15.65,2724,15.577,1993
2024-03-05,15.16,16.16,15.16,15.73,3771,15.763,2591
2024-03-06,16.0,16.61,15.72,16.56,2021,16.265,1436
2024-03-07,16.68,16.93,16.22,16.92,2063,16.64,1403
2024-03-08,17.24,18.44,16.92,16.99,2578,17.48,1719
2024-03-11,16.93,17.16,16.04,16.39,3719,16.397,2732
2024-03-12,16.28,16.77,15.83,15.88,2886,16.188,1964
2024-03-13,15.73,16.24,15.35,15.49,1486,15.762,1211
2024-03-14,15.2,15.39,14.54,14.65,2819,14.994,1903
2024-03-15,14.5,14.83,13.36,13.53,3410,13.783,1951
2024-03-18,13.66,13.77,13.06,13.25,1904,13.38,1409
2024-03-19,13.25,13.87,13.05,13.5,2644,13.563,1996
2024-03-20,13.5,14.54,13.35,13.95,3142,13.852,2403
2024-03-21,14.03,14.28,13.5,14.21,2264,14.031,1843
2024-03-22,14.06,14.36,13.46,13.51,2494,13.697,1636
2024-03-25,13.5,14.06,13.5,13.9,1975,13.866,1480
2024-03-26,14.16,15.21,14.1,15.0,2619,14.855,1853
2024-03-27,15.16,16.35,15.08,15.7,2077,15.772,1294
2024-03-28,15.73,16.18,15.7,16.03,1826,15.975,1296
2024-04-01,16.14,16.14,15.08,15.12,1675,15.433,1135
2024-04-02,14.65,15.04,13.87,13.89,2226,14.103,1566
2024-04-03,13.68,14.05,13.44,14.03,1688,13.842,1206
2024-04-04,14.55,14.88,14.04,14.14,1579,14.462,1020
2024-04-05,13.87,14.17,13.43,13.47,2792,13.665,1754
2024-04-08,13.6,14.1,13.48,13.58,1437,13.705,1135
2024-04-09,13.63,14.78,13.6,14.53,1739,14.457,1429
2024-04-10,13.75,13.75,13.2,13.66,3472,13.415,2182
2024-04-11,13.98,14.01,13.43,13.56,2953,13.572,1677
2024-04-12,13.47,13.58,12.71,12.96,5371,13.233,1990
2024-04-15,12.83,13.29,12.65,13.28,2421,13.021,1669
2024-04-16,12.96,13.2,12.59,12.87,2644,12.882,1768
2024-04-17,12.99,13.41,12.83,13.18,2244,13.151,1391
2024-04-18,13.19,13.47,12.98,13.28,1136,13.214,827
2024-04-19,13.22,14.01,13.15,13.61,2478,13.548,1691
2024-04-22,13.94,13.94,12.95,13.21,3163,13.253,1849
2024-04-23,13.29,14.8,13.12,14.6,8994,14.13,4147
2024-04-24,14.47,14.83,13.3,13.57,4217,13.764,2948
2024-04-25,13.4,15.24,13.39,14.23,12205,14.153,7067
