date,open,high,low,close,volume,average,barCount
2023-12-07,454.47,458.9,454.2,458.05,515506,457.778,271503
2023-12-08,458.02,460.75,455.63,460.59,596583,459.38,321138
2023-12-11,459.82,462.42,456.99,462.3,490644,460.984,254478
2023-12-12,462.98,464.77,460.6,464.72,474043,462.934,249182
2023-12-13,464.88,473.38,464.1,472.03,726664,467.732,395419
2023-12-14,472.05,473.73,469.25,471.67,815844,471.897,405931
2023-12-15,471.18,472.58,468.44,470.1,786890,469.627,368665
2023-12-18,470.61,472.98,470.01,471.79,550924,472.018,237555
2023-12-19,472.43,474.92,472.13,474.67,439340,474.06,211020
2023-12-20,474.89,475.9,467.36,468.73,774583,471.409,379297
2023-12-21,470.7,473.04,468.26,472.38,689315,471.36,329816
2023-12-22,472.15,475.38,471.7,473.18,492907,473.905,254096
2023-12-26,474.41,476.58,473.83,475.59,341118,475.356,177096
2023-12-27,475.64,476.9,474.89,476.9,443835,475.788,225046
2023-12-28,477.05,477.58,476.26,477.05,381620,476.935,196884
2023-12-29,477.4,477.63,473.3,475.07,747591,475.224,378265
2024-01-02,476.25,476.36,470.49,472.5,788160,472.077,387959
2024-01-03,472.07,472.53,468.17,469.35,728874,469.601,390385
2024-01-04,469.4,470.96,467.05,467.8,588509,468.719,305151
2024-01-05,466.86,470.44,464.61,468.45,639642,468.197,321956
2024-01-08,467.7,474.75,466.13,474.21,594857,472.127,279092
2024-01-09,473.88,474.93,471.35,473.79,481157,473.337,237451
2024-01-10,473.91,477.45,473.23,477.08,504366,475.705,257937
2024-01-11,478.46,478.5,472.26,475.46,629474,475.246,315157
2024-01-12,476.12,478.6,474.17,475.65,471812,476.594,251834
2024-01-16,474.25,476.61,473.06,474.75,622283,474.751,336992
2024-01-17,472.6,474.77,469.87,472.32,552178,471.652,282170
2024-01-18,472.64,477.06,472.04,476.74,644237,474.834,318055
2024-01-19,477.84,482.75,476.49,482.64,716905,480.3,333665
2024-01-22,483.67,485.22,482.78,483.54,547141,483.913,306650
2024-01-23,483.35,485.99,482.89,485.97,376837,484.057,200260
2024-01-24,486.86,488.77,484.41,485.47,644598,486.857,352515
2024-01-25,485.79,488.31,485.39,486.94,564435,487.051,312150
2024-01-26,486.21,489.12,485.71,486.75,516378,487.716,278316
2024-01-29,487.7,491.42,486.94,491.29,450317,489.255,231696
2024-01-30,491.15,491.62,488.15,489.21,461642,490.841,241059
2024-01-31,489.15,489.81,482.69,484.02,920152,485.595,467267
2024-02-01,484.71,492.61,483.7,491.74,697079,486.889,377465
2024-02-02,491.95,496.05,488.95,493.61,757598,493.295,383547
2024-02-05,493.65,494.17,490.23,492.57,540748,492.621,295079
2024-02-06,492.99,494.32,492.03,493.82,433385,493.037,256430
2024-02-07,493.98,498.53,493.5,497.76,518484,497.428,290029
2024-02-08,497.98,498.71,497.2,498.06,412164,498.042,222537
2024-02-09,498.96,501.65,498.28,501.0,477196,500.349,259458
2024-02-12,500.98,503.5,500.02,500.2,411409,501.635,220035
2024-02-13,499.54,500.93,490.71,494.27,875401,493.695,437878
2024-02-14,495.0,499.33,494.37,498.65,549102,496.892,296549
2024-02-15,499.7,502.5,498.79,501.61,484346,500.827,269790
2024-02-16,502.41,503.3,498.29,498.35,515293,500.883,287451
2024-02-20,498.33,499.51,494.45,496.06,557275,496.165,309702
2024-02-21,495.33,501.16,493.56,500.9,443606,495.68,255328
2024-02-22,503.12,508.49,501.1,507.34,617943,506.218,335317
2024-02-23,507.47,510.13,507.01,507.05,472107,508.508,243317
2024-02-26,507.32,508.75,505.26,505.74,379419,507.104,204283
2024-02-27,506.0,507.31,504.75,506.7,359989,506.201,185895
2024-02-28,505.78,506.98,504.5,505.77,409461,505.933,211001
2024-02-29,505.2,509.74,504.5,508.58,607836,508.022,285540
2024-03-01,509.0,513.29,507.39,512.01,509625,511.551,276779
2024-03-04,512.74,514.2,511.41,511.59,385538,512.733,215961
2024-03-05,510.73,511.4,504.91,506.97,565734,507.486,302639
2024-03-06,508.58,512.07,507.51,508.93,547988,510.109,313095
2024-03-07,508.7,515.89,508.0,514.91,461676,514.448,269099
2024-03-08,515.75,518.23,511.13,511.64,664001,514.194,386650
2024-03-11,511.3,512.69,508.5,512.69,449976,510.529,259259
2024-03-12,513.39,517.38,510.1,517.01,569873,515.149,303948
2024-03-13,517.36,517.49,514.49,516.55,402119,516.295,231612
2024-03-14,517.0,518.32,511.82,514.25,737711,514.309,398737
2024-03-15,512.65,514.55,508.36,509.79,638568,509.951,358504
2024-03-18,511.41,515.48,509.83,512.47,563350,513.796,294473
2024-03-19,512.45,516.0,510.29,515.45,455960,514.009,250898
2024-03-20,515.52,522.05,515.04,521.88,521910,517.942,285337
2024-03-21,523.48,524.11,521.91,522.85,441373,523.086,243625
2024-03-22,522.22,523.09,520.75,520.75,521722,521.79,236213
2024-03-25,520.85,521.38,519.39,520.47,360876,520.272,198389
2024-03-26,520.98,522.25,518.36,519.71,427554,520.017,212803
2024-03-27,520.32,523.54,519.48,522.43,536129,521.352,279060
2024-03-28,522.82,524.61,522.41,522.95,526021,523.546,264735
