date,open,high,low,close,volume,average,barCount
2025-01-07 04:00:00,595.67,595.96,595.11,595.35,243,595.456,79
2025-01-07 05:00:00,595.23,596.05,595.08,596.03,157,595.787,57
2025-01-07 06:00:00,596.01,596.15,595.4,595.69,907,595.592,302
2025-01-07 07:00:00,595.8,596.4,595.36,595.81,1197,596.079,431
2025-01-07 08:00:00,595.36,597.0,594.23,596.95,1544,596.331,547
2025-01-07 09:00:00,596.92,597.75,596.1,596.34,23828,596.958,12169
2025-01-07 10:00:00,596.34,596.34,590.27,593.44,83454,592.843,40306
2025-01-07 11:00:00,593.45,593.72,590.51,590.7,36934,592.543,20211
2025-01-07 12:00:00,590.72,591.73,589.64,590.9,29376,590.755,15339
2025-01-07 13:00:00,590.91,592.41,590.73,591.0,20625,591.57,11776
2025-01-07 14:00:00,591.0,591.57,589.83,590.02,24714,590.638,13212
2025-01-07 15:00:00,590.02,590.13,586.78,588.72,110740,588.209,50302
2025-01-07 16:00:00,588.73,591.28,588.63,588.72,38798,588.7,3183
2025-01-07 17:00:00,588.76,588.9,588.71,588.77,574,588.798,171
2025-01-07 18:00:00,588.74,589.16,588.18,589.15,1340,588.671,327
2025-01-07 19:00:00,589.16,589.62,589.01,589.48,780,589.404,226
2025-01-08 04:00:00,589.8,590.54,589.8,590.33,225,590.275,76
2025-01-08 05:00:00,590.52,590.8,590.44,590.77,134,590.563,58
2025-01-08 06:00:00,590.84,590.84,587.05,588.8,1478,588.415,441
2025-01-08 07:00:00,588.9,588.9,586.07,586.75,4539,587.114,1532
2025-01-08 08:00:00,587.77,590.6,586.19,589.19,6865,588.407,2235
2025-01-08 09:00:00,589.28,589.42,586.5,587.38,37508,587.843,20011
2025-01-08 10:00:00,587.3,588.73,586.0,588.42,40879,587.422,22108
2025-01-08 11:00:00,588.42,589.94,587.2,589.43,24535,588.777,13464
2025-01-08 12:00:00,589.43,589.46,585.19,586.94,28320,586.689,14777
2025-01-08 13:00:00,586.94,589.57,586.88,587.77,25936,588.335,14863
2025-01-08 14:00:00,587.8,590.58,587.09,588.53,38695,588.936,19920
2025-01-08 15:00:00,588.54,589.79,587.88,589.42,60108,589.077,30526
2025-01-08 16:00:00,589.42,590.0,588.59,588.96,21820,589.501,2766
2025-01-08 17:00:00,588.91,589.14,588.91,588.95,994,589.027,347
2025-01-08 18:00:00,588.95,589.07,588.41,588.41,384,588.754,153
2025-01-08 19:00:00,588.55,588.57,587.53,588.17,919,588.102,279
2025-01-10 04:00:00,588.11,588.29,587.37,587.79,331,587.901,130
2025-01-10 05:00:00,587.78,588.64,587.76,588.51,399,588.299,119
2025-01-10 06:00:00,588.43,589.61,588.43,588.61,1282,589.276,233
2025-01-10 07:00:00,588.57,588.84,587.48,588.82,1053,588.347,450
2025-01-10 08:00:00,588.8,589.35,582.44,584.2,17886,584.62,5760
2025-01-10 09:00:00,583.99,585.96,582.28,582.98,56058,584.05,29376
2025-01-10 10:00:00,582.39,583.23,579.15,581.1,106341,581.043,57802
2025-01-10 11:00:00,581.1,581.37,578.78,579.1,48954,580.047,26887
2025-01-10 12:00:00,579.12,581.71,578.55,581.56,35259,579.95,20441
2025-01-10 13:00:00,581.55,584.5,580.98,584.42,37692,582.973,20159
2025-01-10 14:00:00,584.44,584.46,581.23,582.1,47750,582.291,27034
2025-01-10 15:00:00,582.09,582.37,579.7,580.51,99626,580.609,48376
2025-01-10 16:00:00,580.52,580.86,579.75,580.03,33688,580.401,3194
2025-01-10 17:00:00,580.03,580.1,579.79,579.95,1018,579.965,352
2025-01-10 18:00:00,579.98,580.03,579.68,579.9,299,579.868,129
2025-01-10 19:00:00,579.85,579.94,579.66,579.78,87,579.839,55
2025-01-13 04:00:00,578.23,578.23,575.04,575.25,488,575.605,207
2025-01-13 05:00:00,575.33,576.16,575.2,575.7,116,575.497,46
2025-01-13 06:00:00,575.5,576.23,575.5,575.97,256,575.965,117
2025-01-13 07:00:00,576.02,577.48,575.3,576.94,3007,576.503,1167
2025-01-13 08:00:00,575.8,578.77,575.31,576.78,2842,576.855,1093
2025-01-13 09:00:00,576.78,578.32,575.35,577.87,49344,576.367,24629
2025-01-13 10:00:00,577.88,579.18,575.94,577.9,45061,577.516,23749
2025-01-13 11:00:00,577.9,578.21,575.88,576.0,33951,577.239,17957
2025-01-13 12:00:00,576.02,579.55,575.68,579.46,28726,577.759,14457
2025-01-13 13:00:00,579.46,580.29,578.88,580.01,27745,579.621,15230
2025-01-13 14:00:00,580.01,581.0,578.97,580.48,32431,580.04,16421
2025-01-13 15:00:00,580.47,581.75,579.87,581.54,65581,580.794,33768
2025-01-13 16:00:00,581.53,582.25,581.17,582.15,43442,581.476,3099
2025-01-13 17:00:00,582.14,582.5,582.07,582.38,965,582.207,226
2025-01-13 18:00:00,582.59,583.93,582.59,583.21,1980,583.266,657
2025-01-13 19:00:00,583.2,583.2,582.76,583.2,443,583.049,175
2025-01-14 04:00:00,583.98,585.0,583.98,584.61,175,584.71,79
2025-01-14 05:00:00,584.31,584.71,584.07,584.53,92,584.404,41
2025-01-14 06:00:00,584.25,584.27,583.48,583.68,613,583.828,184
2025-01-14 07:00:00,583.63,583.81,582.23,582.95,2143,582.983,673
2025-01-14 08:00:00,583.55,585.99,581.5,583.74,11249,584.316,3523
