date,open,high,low,close,volume,average,barCount
2024-01-02,9.93,10.1,9.91,9.98,2729,10.01094,1324
2024-01-03,9.8,9.9075,9.73,9.86,3335,9.81988,1821
2024-01-04,9.86,9.88,9.625,9.66,4028,9.74407,2043
2024-01-05,9.83,10.145,9.81,9.86,4222,9.95214,1878
2024-01-08,9.63,9.7889,9.59,9.77,3381,9.70912,1552
2024-01-09,9.87,9.87,9.6698,9.74,3761,9.75229,1904
2024-01-10,9.03,9.22,9.0,9.16,8790,9.11984,3982
2024-01-11,9.28,9.32,9.15,9.27,3334,9.24876,1497
2024-01-12,9.52,9.5788,9.41,9.43,2813,9.48023,1350
2024-01-16,9.04,9.1,8.91,8.93,8670,8.97616,3436
2024-01-17,8.59,8.6377,8.5092,8.62,7006,8.5845,3242
2024-01-18,8.37,8.55,8.34,8.54,10255,8.45104,4629
2024-01-19,8.57,8.57,8.415,8.54,4628,8.50416,2192
2024-01-22,8.18,8.3725,8.18,8.33,7625,8.30011,3475
2024-01-23,8.39,8.66,8.39,8.65,8668,8.53873,4701
2024-01-24,8.64,8.74,8.59,8.62,5255,8.65306,2579
2024-01-25,8.78,8.78,8.545,8.63,3428,8.63211,1670
2024-01-26,8.7,8.74,8.625,8.69,2061,8.68578,946
2024-01-29,8.82,8.82,8.66,8.75,3357,8.72813,1732
2024-01-30,8.74,8.79,8.65,8.79,2424,8.73243,1318
2024-01-31,8.84,8.855,8.545,8.55,4712,8.70101,2183
2024-02-01,8.67,8.75,8.61,8.68,2978,8.68922,1498
2024-02-02,8.54,8.54,8.335,8.36,3889,8.40648,1852
2024-02-05,8.25,8.26,8.06,8.18,3836,8.15854,1563
2024-02-06,8.27,8.54,8.26,8.41,5028,8.40391,1960
2024-02-07,8.23,8.25,8.11,8.23,3301,8.17734,1430
2024-02-08,8.1,8.16,8.04,8.13,4089,8.0916,1491
2024-02-09,7.73,7.82,7.575,7.69,14662,7.69225,4217
2024-02-12,7.64,8.08,7.64,8.02,8581,7.91563,3781
2024-02-13,7.83,7.85,7.67,7.69,5407,7.72973,2054
2024-02-14,7.94,8.0,7.88,7.96,3764,7.94062,1661
2024-02-15,7.96,8.24,7.92,8.22,5677,8.10809,2619
2024-02-16,8.1,8.32,8.065,8.26,3414,8.21049,2049
2024-02-20,7.66,7.74,7.6,7.66,10505,7.66295,5144
2024-02-21,7.5,7.72,7.47,7.64,6081,7.57909,3254
2024-02-22,7.7,7.8289,7.65,7.77,4307,7.74538,2329
2024-02-23,7.6,7.73,7.57,7.7,4773,7.6691,2280
2024-02-26,7.42,7.49,7.305,7.39,6515,7.39383,2786
2024-02-27,7.83,7.845,7.58,7.67,10135,7.70219,4547
2024-02-28,7.52,7.54,7.3725,7.38,4540,7.43945,2045
2024-02-29,7.52,7.6492,7.505,7.58,4801,7.57611,2077
2024-03-01,7.67,7.84,7.65,7.8,5083,7.77408,2547
2024-03-04,7.73,7.75,7.6,7.6,4219,7.64984,1884
2024-03-05,7.53,7.67,7.51,7.58,4090,7.60784,2233
2024-03-06,7.8,7.925,7.78,7.89,5736,7.8779,2342
2024-03-07,7.93,8.01,7.88,7.94,4953,7.95807,2068
2024-03-08,7.91,7.94,7.795,7.84,4770,7.86551,1738
2024-03-11,7.53,7.6,7.45,7.53,5388,7.51836,2714
2024-03-12,7.58,7.6,7.51,7.52,3788,7.54812,1981
2024-03-13,7.63,7.86,7.61,7.81,5707,7.79956,3071
2024-03-14,7.67,7.67,7.34,7.35,5421,7.41967,2357
2024-03-15,7.39,7.43,7.32,7.41,4044,7.3715,1739
2024-03-18,7.2,7.21,7.104,7.15,4771,7.15642,2180
2024-03-19,7.27,7.45,7.27,7.38,4593,7.38166,2106
2024-03-20,7.4,7.83,7.39,7.79,6223,7.62901,3367
2024-03-21,7.83,7.83,7.68,7.77,3218,7.73974,1283
2024-03-22,7.65,7.81,7.6,7.66,4510,7.68436,2212
2024-03-25,7.63,7.76,7.6,7.7,5112,7.70338,2521
2024-03-26,7.71,7.71,7.475,7.5,3358,7.5345,1458
2024-03-27,7.51,7.65,7.45,7.65,3893,7.54831,2120
2024-03-28,7.72,7.83,7.71,7.81,4391,7.78129,1782
2024-04-01,7.85,7.855,7.72,7.75,1782,7.77473,887
2024-04-02,8.11,8.13,7.98,8.01,3892,8.04664,1685
2024-04-03,8.03,8.15,8.025,8.13,4213,8.08327,2083
2024-04-04,8.47,8.5,8.1812,8.2,5977,8.35922,2848
2024-04-05,8.23,8.27,8.095,8.16,5159,8.17502,2936
2024-04-08,8.8,8.95,8.685,8.74,10251,8.79982,4717
2024-04-09,9.24,9.33,9.0808,9.13,10037,9.20252,5035
2024-04-10,8.97,9.1,8.71,8.79,9911,8.87781,5456
2024-04-11,8.9,8.94,8.62,8.83,7652,8.75325,4641
2024-04-12,9.01,9.11,8.615,8.69,8620,8.89027,4519
2024-04-15,8.87,8.88,8.56,8.61,6702,8.6644,3547
2024-04-16,8.24,8.35,8.12,8.21,6103,8.22569,3178
2024-04-17,8.26,8.34,8.13,8.16,2778,8.21933,1521
2024-04-18,8.22,8.325,8.18,8.28,2912,8.25257,1526
2024-04-19,8.2,8.3089,8.135,8.2,3535,8.21201,1505
2024-04-22,7.95,7.99,7.86,7.93,2784,7.93424,1253
2024-04-23,7.19,7.27,7.09,7.17,14268,7.17905,6026
2024-04-24,6.93,7.105,6.9,7.07,8945,6.99181,3903
2024-04-25,6.88,6.9,6.78,6.86,12327,6.8514,4363
2024-04-26,7.0,7.03,6.9,6.93,5180,6.95927,2248
2024-04-29,7.1,7.18,7.1,7.14,3862,7.13804,1663
2024-04-30,7.11,7.18,7.015,7.03,3914,7.08857,1882
2024-05-01,7.09,7.1611,6.89,6.94,3464,6.96875,1579
2024-05-02,6.87,6.9,6.735,6.74,6500,6.80949,2240
2024-05-03,7.0,7.15,6.985,7.05,4514,7.05249,1667
2024-05-06,7.28,7.33,7.165,7.2,2635,7.226,1347
2024-05-07,7.26,7.31,7.175,7.22,3157,7.24992,1423
2024-05-08,7.2,7.36,7.17,7.23,3193,7.23848,1576
2024-05-09,7.17,7.23,7.12,7.17,2955,7.16504,1278
2024-05-10,7.45,7.5,7.35,7.37,4276,7.41276,1675
2024-05-13,7.43,7.55,7.43,7.47,3903,7.4962,1565
2024-05-14,7.28,7.32,7.253,7.31,2836,7.28519,1274
2024-05-15,7.33,7.355,7.2,7.34,2292,7.30446,1071
2024-05-16,7.34,7.4,7.28,7.39,2899,7.34325,1367
2024-05-17,7.32,7.51,7.3,7.51,3966,7.43712,1968
2024-05-20,7.36,7.56,7.34,7.54,8166,7.44244,3350
2024-05-21,7.38,7.61,7.35,7.58,5914,7.5429,2720
2024-05-22,7.4,7.4,7.28,7.35,4626,7.34389,1985
2024-05-23,7.29,7.29,7.0525,7.14,5379,7.13092,2289
2024-05-24,7.22,7.255,7.19,7.22,2148,7.22688,1126
2024-05-28,6.91,7.07,6.87,6.99,6423,6.951,2725
2024-05-29,7.01,7.06,6.915,6.95,4424,6.98169,1952
2024-05-30,6.89,6.915,6.665,6.89,10929,6.78371,4970
2024-05-31,6.71,6.8499,6.65,6.82,9314,6.74181,4481
2024-06-03,6.42,6.54,6.2698,6.35,14608,6.38415,5628
2024-06-04,6.24,6.36,6.215,6.27,8035,6.26783,3478
2024-06-05,6.31,6.355,6.24,6.34,4617,6.30776,2173
2024-06-06,6.38,6.46,6.375,6.42,3856,6.42276,1533
2024-06-07,6.41,6.49,6.385,6.41,3735,6.43747,1371
2024-06-10,6.41,6.4501,6.38,6.4,2034,6.41265,783
2024-06-11,6.42,6.54,6.31,6.48,5556,6.46931,2541
2024-06-12,6.64,6.65,6.48,6.51,3594,6.56042,1415
2024-06-13,6.46,6.46,6.36,6.44,3964,6.41224,1380
2024-06-14,6.31,6.59,6.29,6.58,5820,6.46562,2290
2024-06-17,6.7,6.8,6.655,6.74,4364,6.73266,1564
2024-06-18,6.98,7.275,6.98,7.25,8929,7.15098,2665
2024-06-20,7.5,7.9,7.5,7.69,13384,7.63644,5258
2024-06-21,7.69,7.715,7.515,7.64,6220,7.62372,2751
2024-06-24,7.74,7.825,7.69,7.81,4642,7.76917,1688
2024-06-25,7.69,7.69,7.53,7.61,3507,7.5848,1465
2024-06-26,7.5,7.59,7.42,7.53,3987,7.50822,1766
2024-06-27,7.37,7.425,7.3,7.37,4772,7.36125,1708
2024-06-28,7.65,7.675,7.54,7.61,4515,7.59775,1638
2024-07-01,7.76,7.845,7.6,7.66,3941,7.68974,1645
2024-07-02,7.58,7.6305,7.39,7.46,3239,7.47895,1373
2024-07-03,7.77,8.03,7.77,7.95,4746,7.92432,1524
2024-07-05,8.04,8.056,7.78,7.87,6409,7.90321,3157
2024-07-08,7.92,7.99,7.865,7.96,3755,7.94006,1675
2024-07-09,7.89,7.96,7.84,7.84,4105,7.90627,1799
2024-07-10,7.73,7.7399,7.515,7.62,5448,7.62974,2501
2024-07-11,7.61,7.69,7.53,7.65,3578,7.60966,1536
2024-07-12,7.69,7.72,7.565,7.63,2586,7.63967,1258
2024-07-15,7.27,7.31,7.18,7.29,6027,7.2562,2359
2024-07-16,7.33,7.51,7.3075,7.48,3827,7.43274,1879
2024-07-17,7.43,7.505,7.35,7.37,3750,7.42315,1722
2024-07-18,7.49,7.51,7.295,7.31,3629,7.39091,1566
2024-07-19,7.35,7.45,7.25,7.31,2956,7.34002,1454
2024-07-22,7.92,8.13,7.77,8.05,10432,7.94242,4344
2024-07-23,8.07,8.15,7.98,8.12,5307,8.06424,2233
2024-07-24,7.81,7.98,7.63,7.64,6941,7.77483,3131
2024-07-25,7.71,7.78,7.65,7.67,4643,7.70765,2363
2024-07-26,7.86,7.87,7.7,7.78,3701,7.77198,1860
2024-07-29,7.8,7.86,7.635,7.69,3271,7.70663,1588
2024-07-30,7.79,7.91,7.73,7.86,2533,7.83039,1152
2024-07-31,8.03,8.15,7.9802,8.06,3071,8.07073,1239
2024-08-01,8.06,8.13,7.87,7.94,4078,8.01796,2096
2024-08-02,7.56,7.56,7.16,7.2,8328,7.29593,3189
2024-08-05,7.04,7.21,6.985,7.13,5538,7.10861,2887
2024-08-06,7.07,7.21,7.05,7.19,3285,7.14462,1466
2024-08-07,7.23,7.35,7.1401,7.17,3255,7.24175,1432
2024-08-08,7.07,7.18,7.051,7.16,2138,7.119,928
2024-08-09,7.2,7.22,7.07,7.14,1645,7.12627,747
2024-08-12,7.0,7.06,6.87,6.87,4455,6.94712,1845
2024-08-13,7.01,7.08,6.955,7.03,2564,7.00998,1136
2024-08-14,7.18,7.29,7.125,7.2,2454,7.20744,1165
2024-08-15,7.51,7.56,7.44,7.45,3481,7.50497,1710
2024-08-16,7.53,7.64,7.52,7.61,2955,7.59753,1581
2024-08-19,7.67,7.75,7.555,7.56,1988,7.64512,1060
2024-08-20,7.32,7.365,7.1168,7.23,6616,7.23288,2641
2024-08-21,7.52,7.69,7.41,7.65,5175,7.58486,2271
2024-08-22,7.97,8.08,7.93,7.96,7758,7.99086,3521
2024-08-23,8.01,8.38,8.01,8.38,5929,8.25792,2358
2024-08-26,8.31,8.4,8.28,8.31,2893,8.33746,1256
2024-08-27,8.26,8.31,8.1149,8.12,3117,8.17697,1384
2024-08-28,7.97,8.08,7.9112,7.95,2360,7.97143,1199
2024-08-29,8.07,8.12,8.035,8.07,1674,8.0725,947
2024-08-30,7.84,7.84,7.45,7.61,8584,7.64215,4675
2024-09-03,7.4,7.4,6.99,7.04,8185,7.1364,3180
2024-09-04,7.15,7.29,7.0001,7.04,7376,7.13571,3824
2024-09-05,7.35,7.4,7.185,7.28,5447,7.29189,2764
2024-09-06,7.33,7.34,7.095,7.17,3518,7.17883,1576
2024-09-09,7.14,7.1499,6.92,7.0,4458,7.01577,1830
2024-09-10,7.0,7.0,6.715,6.8,7835,6.80525,2302
2024-09-11,6.72,6.72,6.55,6.63,5629,6.62618,2303
2024-09-12,6.63,6.755,6.6,6.67,7055,6.66119,3066
2024-09-13,7.0,7.045,6.865,6.91,6668,6.94661,2625
2024-09-16,7.0,7.13,6.99,7.12,4324,7.05847,1605
2024-09-17,7.12,7.2,7.1,7.16,3148,7.16243,1388
2024-09-18,7.13,7.225,6.98,7.06,3675,7.07406,1772
2024-09-19,7.23,7.285,7.16,7.19,3316,7.22986,1599
2024-09-20,6.91,6.925,6.79,6.85,6097,6.84775,2447
2024-09-23,7.08,7.1801,7.03,7.07,4370,7.08816,1584
2024-09-24,7.25,7.325,7.165,7.24,7454,7.25215,2680
2024-09-25,7.25,7.25,7.05,7.06,3973,7.10545,1623
2024-09-26,6.68,6.8,6.635,6.72,15508,6.70257,5883
2024-09-27,6.73,6.87,6.69,6.77,9856,6.76037,4236
2024-09-30,6.82,6.83,6.69,6.76,3880,6.75292,1456
2024-10-01,6.71,6.89,6.68,6.79,7224,6.78325,3191
2024-10-02,6.96,7.042,6.91,6.96,6915,6.97818,2762
2024-10-03,7.13,7.27,7.045,7.23,6767,7.18318,2573
2024-10-04,7.25,7.34,7.2305,7.28,4375,7.27487,2054
2024-10-07,7.2,7.265,7.165,7.2,2594,7.20728,1081
2024-10-08,7.08,7.09,6.9,6.97,4819,6.96769,2032
2024-10-09,6.73,6.75,6.645,6.69,8947,6.69984,3084
2024-10-10,6.88,7.02,6.8,7.0,8377,6.91321,2730
2024-10-11,6.98,7.0089,6.88,6.91,3439,6.93201,1396
2024-10-14,6.76,6.82,6.71,6.82,3358,6.78211,1258
2024-10-15,6.46,6.48,6.37,6.37,11891,6.42481,3678
2024-10-16,6.47,6.56,6.45,6.52,6313,6.51386,2389
2024-10-17,6.48,6.52,6.4109,6.46,4916,6.4721,1971
2024-10-18,6.64,6.68,6.56,6.59,4804,6.61703,2014
2024-10-21,6.54,6.58,6.445,6.45,4134,6.48825,1406
2024-10-22,6.3,6.31,6.165,6.24,9557,6.22784,2435
2024-10-23,5.95,6.03,5.84,5.88,16770,5.90866,5253
2024-10-24,6.19,6.1979,5.97,6.05,7407,6.06539,2498
2024-10-25,5.99,6.028,5.93,5.93,5343,5.97176,1939
2024-10-28,5.72,5.79,5.69,5.76,12940,5.74047,4452
2024-10-29,5.82,5.875,5.7899,5.86,9332,5.84203,3404
2024-10-30,5.65,5.72,5.63,5.68,9730,5.68232,3161
2024-10-31,5.68,5.755,5.57,5.71,7066,5.65873,2123
2024-11-01,5.91,5.925,5.67,5.72,10960,5.77025,3609
2024-11-04,5.97,6.06,5.97,5.98,5983,6.01834,1845
2024-11-05,6.08,6.09,5.95,5.98,7648,6.0074,2918
2024-11-06,5.86,5.985,5.86,5.97,4143,5.92043,1462
2024-11-07,6.19,6.22,6.11,6.14,7595,6.16091,2146
2024-11-08,5.8,5.8,5.65,5.73,10202,5.6946,2921
2024-11-11,5.52,5.59,5.5,5.56,10326,5.54252,2998
2024-11-12,5.33,5.399,5.3,5.36,10456,5.34678,2911
2024-11-13,5.39,5.45,5.33,5.4,6326,5.38551,1964
2024-11-14,5.14,5.285,5.14,5.18,11497,5.20746,3361
2024-11-15,5.23,5.31,5.21,5.24,6690,5.23892,2552
2024-11-18,5.3,5.475,5.29,5.43,6688,5.41395,2385
2024-11-19,5.21,5.2579,5.17,5.21,9026,5.21459,2318
2024-11-20,5.31,5.475,5.3,5.42,7929,5.39647,3047
2024-11-21,5.44,5.495,5.41,5.47,4068,5.45976,1681
2024-11-22,5.43,5.53,5.41,5.51,4966,5.49275,2134
2024-11-25,5.36,5.39,5.24,5.25,9638,5.29827,3129
2024-11-26,5.17,5.21,5.11,5.16,6924,5.15194,2434
2024-11-27,5.06,5.18,5.05,5.14,6818,5.12616,2367
2024-11-29,4.97,5.02,4.9,5.01,8707,4.9665,2751
2024-12-02,5.01,5.26,4.97,5.25,13997,5.16735,4769
2024-12-03,5.06,5.1,4.99,5.04,9916,5.05038,3243
2024-12-04,5.11,5.14,5.04,5.04,6191,5.07705,2079
2024-12-05,5.06,5.11,5.01,5.04,7028,5.04569,2784
2024-12-06,5.08,5.09,4.91,4.97,8389,4.96661,3038
2024-12-09,5.2,5.535,5.2,5.36,13824,5.38925,4180
2024-12-10,5.26,5.405,5.205,5.27,10286,5.2968,3631
2024-12-11,5.07,5.09,4.97,5.02,9255,5.02435,3157
2024-12-12,5.18,5.25,5.14,5.17,6895,5.17625,2397
2024-12-13,5.04,5.06,4.97,5.04,4977,5.01994,1717
2024-12-16,5.07,5.075,4.88,4.89,6420,4.95206,2011
2024-12-17,4.89,4.92,4.835,4.91,7021,4.88109,2184
2024-12-18,4.85,4.915,4.73,4.78,10090,4.83196,3157
2024-12-19,4.63,4.68,4.6,4.62,9431,4.63664,2947
2024-12-20,4.6,4.7,4.575,4.67,7138,4.64218,2044
2024-12-23,4.61,4.7,4.53,4.7,6791,4.60351,2131
2024-12-24,4.69,4.69,4.56,4.62,4059,4.61229,1396
2024-12-26,4.62,4.72,4.59,4.64,8098,4.65105,2353
2024-12-27,4.5,4.54,4.38,4.5,9442,4.48541,2370
2024-12-30,4.4,4.53,4.38,4.46,12458,4.44866,3605
2024-12-31,4.48,4.61,4.47,4.56,5750,4.55261,1818
2025-01-02,4.68,4.82,4.65,4.77,7794,4.76057,1993
2025-01-03,4.69,4.735,4.64,4.69,5579,4.69579,1915
2025-01-06,4.61,4.725,4.595,4.66,7519,4.66748,2567
2025-01-07,4.43,4.51,4.38,4.47,19412,4.44639,5467
2025-01-08,4.36,4.495,4.285,4.42,12657,4.38722,4639
2025-01-10,5.015,5.1493,4.93,5.07,20797,5.03242,5389
2025-01-13,5.12,5.3,5.12,5.26,16487,5.21253,5643
2025-01-14,5.14,5.165,5.01,5.06,9843,5.07197,2987
2025-01-15,5.16,5.19,5.07,5.12,6916,5.12478,2438
